 Output files for river discharge q_out (m3/s) (with MAP IDs as in hymo.dat)
 year  day              15            69
  2000     1        55.823        80.924
  2000     2        52.371        80.744
  2000     3        45.866        79.825
  2000     4        38.057        78.939
  2000     5        30.622        76.545
  2000     6        24.027        74.669
  2000     7        18.655        71.691
  2000     8        14.523        68.004
  2000     9        11.573        63.476
  2000    10         9.738        58.509
  2000    11         8.934        52.828
  2000    12         9.115        47.098
  2000    13         9.919        41.495
  2000    14        10.784        36.096
  2000    15        11.721        31.266
  2000    16        12.705        27.310
  2000    17        13.866        24.176
  2000    18        14.519        21.615
  2000    19        15.285        19.920
  2000    20        16.500        19.856
  2000    21        17.248        20.334
  2000    22        18.278        21.432
  2000    23        19.546        22.896
  2000    24        20.807        24.723
  2000    25        22.023        25.898
  2000    26        22.771        26.799
  2000    27        23.833        27.911
  2000    28        25.049        29.264
  2000    29        26.444        30.823
  2000    30        27.962        32.218
  2000    31        29.200        33.573
  2000    32        30.564        35.082
  2000    33        32.867        37.460
  2000    34        34.868        38.976
  2000    35        37.320        41.019
  2000    36        40.051        43.107
  2000    37        42.159        45.122
  2000    38        44.156        47.305
  2000    39        46.538        49.990
  2000    40        49.467        52.668
  2000    41        51.941        55.632
  2000    42        54.668        58.951
  2000    43        57.217        62.400
  2000    44        59.659        65.589
  2000    45        62.048        69.173
  2000    46        64.506        72.901
  2000    47        66.873        76.647
  2000    48        69.169        80.563
  2000    49        71.733        84.542
  2000    50        73.994        89.088
  2000    51        75.421        91.687
  2000    52        77.019        95.091
  2000    53        78.742        98.694
  2000    54        80.559       102.274
  2000    55        82.190       105.739
  2000    56        83.870       109.012
  2000    57        85.479       112.070
  2000    58        87.077       115.232
  2000    59        88.732       118.301
  2000    60        90.305       121.366
  2000    61        91.930       124.524
  2000    62        93.090       126.633
  2000    63        94.366       129.065
  2000    64        95.403       131.386
  2000    65        96.645       133.577
  2000    66        97.917       135.869
  2000    67        99.421       138.272
  2000    68       100.912       140.603
  2000    69       102.720       143.401
  2000    70       104.966       145.923
  2000    71       106.544       148.445
  2000    72       108.807       151.017
  2000    73       110.532       153.597
  2000    74       111.946       156.621
  2000    75       114.256       160.464
  2000    76       121.184       163.980
  2000    77       131.877       166.565
  2000    78       143.284       168.966
  2000    79       151.020       171.606
  2000    80       151.753       175.112
  2000    81       152.053       179.289
  2000    82       152.035       184.190
  2000    83       152.780       191.147
  2000    84       152.610       197.717
  2000    85       152.413       204.162
  2000    86       152.067       209.945
  2000    87       151.568       215.174
  2000    88       152.197       219.546
  2000    89       154.414       224.168
  2000    90       156.490       227.542
  2000    91       158.173       230.452
  2000    92       159.624       232.881
  2000    93       161.169       235.128
  2000    94       162.609       237.242
  2000    95       164.222       239.870
  2000    96       165.223       241.589
  2000    97       166.150       243.175
  2000    98       166.904       244.740
  2000    99       167.290       246.200
  2000   100       168.031       248.284
  2000   101       168.515       249.836
  2000   102       168.961       251.589
  2000   103       169.412       253.410
  2000   104       170.604       255.246
  2000   105       170.010       255.811
  2000   106       170.355       257.081
  2000   107       170.713       258.145
  2000   108       171.005       259.260
  2000   109       171.190       260.218
  2000   110       171.108       260.736
  2000   111       171.512       261.658
  2000   112       171.582       262.360
  2000   113       170.927       262.398
  2000   114       171.105       263.250
  2000   115       171.320       263.960
  2000   116       170.952       263.238
  2000   117       170.644       263.272
  2000   118       170.685       263.683
  2000   119       170.879       264.180
  2000   120       170.759       264.015
  2000   121       170.499       263.956
  2000   122       170.290       264.299
  2000   123       170.022       263.707
  2000   124       169.510       263.613
  2000   125       169.122       263.114
  2000   126       168.766       262.841
  2000   127       168.420       262.329
  2000   128       167.802       261.698
  2000   129       167.391       261.296
  2000   130       166.927       260.837
  2000   131       166.732       260.719
  2000   132       166.272       260.346
  2000   133       166.048       259.727
  2000   134       165.043       258.779
  2000   135       164.540       258.231
  2000   136       163.954       257.490
  2000   137       163.291       256.727
  2000   138       162.715       255.915
  2000   139       162.199       255.165
  2000   140       161.911       254.744
  2000   141       161.123       254.026
  2000   142       160.792       253.437
  2000   143       160.252       253.002
  2000   144       159.506       252.060
  2000   145       158.590       250.554
  2000   146       158.047       250.169
  2000   147       157.122       248.791
  2000   148       156.346       247.617
  2000   149       155.599       246.527
  2000   150       155.153       245.597
  2000   151       154.527       245.004
  2000   152       153.747       243.839
  2000   153       153.150       242.768
  2000   154       152.099       241.305
  2000   155       151.602       240.649
  2000   156       151.057       239.822
  2000   157       150.315       239.026
  2000   158       149.499       237.389
  2000   159       148.846       236.837
  2000   160       148.352       236.008
  2000   161       147.486       234.524
  2000   162       146.417       233.001
  2000   163       145.642       231.926
  2000   164       145.174       231.288
  2000   165       144.468       229.829
  2000   166       143.512       228.740
  2000   167       142.704       227.459
  2000   168       141.935       226.480
  2000   169       141.198       225.342
  2000   170       140.464       224.325
  2000   171       139.700       223.042
  2000   172       138.906       221.708
  2000   173       138.363       220.671
  2000   174       137.430       219.323
  2000   175       136.981       218.576
  2000   176       135.940       216.998
  2000   177       135.160       215.783
  2000   178       134.376       214.677
  2000   179       133.637       213.513
  2000   180       132.958       212.415
  2000   181       132.275       211.434
  2000   182       131.465       210.136
  2000   183       130.711       208.900
  2000   184       130.025       207.756
  2000   185       129.379       206.795
  2000   186       128.935       205.906
  2000   187       128.296       205.002
  2000   188       127.706       203.818
  2000   189       127.103       202.697
  2000   190       125.961       201.668
  2000   191       125.018       199.925
  2000   192       124.248       198.928
  2000   193       123.659       198.020
  2000   194       122.825       196.566
  2000   195       122.206       195.612
  2000   196       121.746       195.073
  2000   197       121.133       193.709
  2000   198       120.101       192.330
  2000   199       119.265       190.950
  2000   200       118.480       189.935
  2000   201       117.901       188.957
  2000   202       117.259       187.946
  2000   203       116.398       186.510
  2000   204       115.635       185.311
  2000   205       114.933       184.169
  2000   206       114.811       183.352
  2000   207       113.771       182.285
  2000   208       113.211       181.235
  2000   209       112.597       180.435
  2000   210       111.789       179.434
  2000   211       111.062       177.854
  2000   212       110.263       176.638
  2000   213       109.568       175.562
  2000   214       109.042       174.583
  2000   215       108.429       173.733
  2000   216       107.695       172.661
  2000   217       106.955       171.361
  2000   218       106.562       170.960
  2000   219       105.672       169.345
  2000   220       104.964       168.227
  2000   221       104.324       167.300
  2000   222       103.915       166.438
  2000   223       103.313       165.381
  2000   224       102.567       164.232
  2000   225       101.989       163.441
  2000   226       101.688       162.969
  2000   227       100.609       161.172
  2000   228        99.893       160.108
  2000   229        99.275       159.131
  2000   230        98.701       158.183
  2000   231        98.115       157.300
  2000   232        97.451       156.345
  2000   233        96.922       155.340
  2000   234        96.438       154.466
  2000   235        95.725       153.365
  2000   236        95.438       152.842
  2000   237        94.720       151.572
  2000   238        94.211       150.684
  2000   239        93.493       149.644
  2000   240        92.855       148.564
  2000   241        92.304       147.533
  2000   242        92.050       146.955
  2000   243        91.350       146.128
  2000   244        90.406       144.848
  2000   245        89.995       144.061
  2000   246        89.612       143.463
  2000   247        89.223       142.634
  2000   248        88.775       142.097
  2000   249        88.823       142.131
  2000   250        87.858       140.357
  2000   251        87.498       140.103
  2000   252        87.120       139.350
  2000   253        86.016       137.840
  2000   254        85.166       136.725
  2000   255        84.963       136.178
  2000   256        84.158       135.149
  2000   257        83.611       134.310
  2000   258        83.072       133.406
  2000   259        82.520       132.341
  2000   260        82.027       131.601
  2000   261        81.472       130.589
  2000   262        81.113       129.990
  2000   263        80.452       128.814
  2000   264        79.815       127.975
  2000   265        79.306       127.017
  2000   266        78.785       126.175
  2000   267        78.281       125.320
  2000   268        77.883       124.682
  2000   269        77.560       123.861
  2000   270        77.253       123.342
  2000   271        77.080       122.991
  2000   272        76.745       122.259
  2000   273        75.648       120.803
  2000   274        75.319       120.062
  2000   275        75.003       119.384
  2000   276        74.920       119.130
  2000   277        73.913       118.066
  2000   278        73.444       117.222
  2000   279        72.980       116.512
  2000   280        72.532       115.805
  2000   281        72.725       116.057
  2000   282        71.576       114.472
  2000   283        71.011       113.491
  2000   284        70.436       112.594
  2000   285        69.875       111.829
  2000   286        69.406       111.128
  2000   287        68.945       110.387
  2000   288        68.500       109.586
  2000   289        68.236       108.968
  2000   290        67.717       108.190
  2000   291        67.376       107.458
  2000   292        66.866       106.608
  2000   293        66.540       106.072
  2000   294        66.253       105.383
  2000   295        65.843       104.735
  2000   296        65.307       104.080
  2000   297        65.012       103.471
  2000   298        64.517       102.658
  2000   299        64.139       102.115
  2000   300        63.815       101.413
  2000   301        63.256       100.773
  2000   302        63.086       100.258
  2000   303        62.897        99.752
  2000   304        63.395       100.288
  2000   305        62.728        99.706
  2000   306        62.424        99.185
  2000   307        61.635        98.069
  2000   308        61.111        97.143
  2000   309        61.236        96.962
  2000   310        61.136        98.448
  2000   311        60.804        99.715
  2000   312        60.130       100.670
  2000   313        59.907       102.200
  2000   314        59.474       103.048
  2000   315        58.865       102.408
  2000   316        58.567       101.556
  2000   317        58.043       100.186
  2000   318        57.621        98.871
  2000   319        57.547        97.782
  2000   320        57.243        96.819
  2000   321        57.145        95.845
  2000   322        56.404        93.301
  2000   323        55.653        91.801
  2000   324        55.194        90.697
  2000   325        55.228        89.537
  2000   326        54.709        88.384
  2000   327        54.171        86.998
  2000   328        53.976        85.956
  2000   329        53.647        85.632
  2000   330        53.652        85.187
  2000   331        53.389        84.747
  2000   332        53.520        84.391
  2000   333        53.269        84.012
  2000   334        52.824        83.340
  2000   335        52.553        82.698
  2000   336        52.347        82.425
  2000   337        52.207        82.238
  2000   338        52.008        82.098
  2000   339        51.545        81.274
  2000   340        51.542        81.525
  2000   341        51.412        81.084
  2000   342        51.262        80.910
  2000   343        51.096        80.467
  2000   344        50.544        79.609
  2000   345        50.339        79.144
  2000   346        51.654        80.207
  2000   347        53.315        80.724
  2000   348        55.145        81.145
  2000   349        56.218        81.662
  2000   350        55.821        82.206
  2000   351        55.076        82.099
  2000   352        54.706        82.523
  2000   353        53.992        82.427
  2000   354        53.481        82.290
  2000   355        53.082        82.531
  2000   356        52.719        82.382
  2000   357        52.524        82.678
  2000   358        52.165        81.370
  2000   359        52.475        81.189
  2000   360        52.984        80.768
  2000   361        53.457        80.491
  2000   362        53.982        80.193
  2000   363        54.544        79.826
  2000   364        54.955        79.666
  2000   365        55.871        80.170
  2000   366        56.594        80.653
