actual evapotranspiration [mm] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	 1.972	 1.998
2000	2	1	 1.651	 2.030
2000	3	1	 2.207	 2.601
2000	4	1	 2.160	 2.267
2000	5	1	 3.229	 3.336
2000	6	1	 3.402	 3.738
2000	7	1	 3.254	 3.405
2000	8	1	 3.567	 3.604
2000	9	1	 3.411	 3.363
2000	10	1	 2.974	 2.869
2000	11	1	 3.135	 2.883
2000	12	1	 3.510	 3.006
2000	13	1	 3.610	 3.028
2000	14	1	 3.501	 3.270
2000	15	1	 3.855	 3.561
2000	16	1	 3.659	 3.484
2000	17	1	 3.331	 4.144
2000	18	1	 4.018	 4.647
2000	19	1	 3.946	 4.465
2000	20	1	 2.462	 2.497
2000	21	1	 2.366	 2.284
2000	22	1	 2.523	 2.317
2000	23	1	 2.510	 2.451
2000	24	1	 2.394	 2.047
2000	25	1	 2.455	 2.544
2000	26	1	 3.124	 3.194
2000	27	1	 3.388	 3.535
2000	28	1	 3.301	 3.255
2000	29	1	 3.334	 3.241
2000	30	1	 3.247	 3.915
2000	31	1	 3.360	 3.841
2000	32	1	 3.833	 4.258
2000	33	1	 2.744	 3.394
2000	34	1	 3.295	 3.382
2000	35	1	 3.481	 3.161
2000	36	1	 2.640	 2.797
2000	37	1	 2.226	 2.722
2000	38	1	 2.580	 3.061
2000	39	1	 2.831	 3.195
2000	40	1	 2.493	 3.631
2000	41	1	 3.104	 3.610
2000	42	1	 2.919	 3.206
2000	43	1	 3.324	 3.533
2000	44	1	 3.640	 3.863
2000	45	1	 3.694	 3.848
2000	46	1	 3.739	 3.388
2000	47	1	 3.542	 3.372
2000	48	1	 3.746	 4.004
2000	49	1	 2.652	 3.053
2000	50	1	 2.140	 1.767
2000	51	1	 2.826	 3.411
2000	52	1	 3.220	 3.282
2000	53	1	 3.258	 3.372
2000	54	1	 3.133	 3.470
2000	55	1	 3.416	 3.674
2000	56	1	 3.549	 3.350
2000	57	1	 3.238	 3.154
2000	58	1	 3.225	 3.455
2000	59	1	 2.905	 3.200
2000	60	1	 2.537	 2.942
2000	61	1	 2.270	 2.367
2000	62	1	 2.347	 2.765
2000	63	1	 2.576	 2.807
2000	64	1	 3.048	 3.047
2000	65	1	 3.207	 3.283
2000	66	1	 3.544	 3.661
2000	67	1	 3.497	 3.452
2000	68	1	 3.055	 3.152
2000	69	1	 2.742	 2.679
2000	70	1	 2.010	 2.380
2000	71	1	 2.035	 1.863
2000	72	1	 1.688	 1.598
2000	73	1	 1.940	 2.102
2000	74	1	 1.968	 2.090
2000	75	1	 1.878	 1.810
2000	76	1	 1.585	 1.978
2000	77	1	 2.198	 2.963
2000	78	1	 2.257	 3.147
2000	79	1	 2.695	 3.483
2000	80	1	 2.694	 2.842
2000	81	1	 2.896	 3.176
2000	82	1	 3.356	 3.358
2000	83	1	 2.780	 2.767
2000	84	1	 2.973	 3.025
2000	85	1	 3.104	 2.965
2000	86	1	 3.337	 3.161
2000	87	1	 3.080	 2.832
2000	88	1	 3.218	 3.167
2000	89	1	 3.010	 2.823
2000	90	1	 3.020	 2.879
2000	91	1	 3.177	 2.937
2000	92	1	 2.829	 2.939
2000	93	1	 2.686	 2.767
2000	94	1	 2.882	 2.642
2000	95	1	 2.275	 1.727
2000	96	1	 2.298	 1.843
2000	97	1	 2.308	 2.204
2000	98	1	 2.470	 2.463
2000	99	1	 2.801	 2.616
2000	100	1	 2.746	 2.110
2000	101	1	 2.966	 2.884
2000	102	1	 2.839	 2.342
2000	103	1	 2.836	 2.213
