daily potential evapotranspiration [mm/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 2.453	 2.489
2000	2	 1.527	 2.084
2000	3	 2.913	 3.561
2000	4	 2.816	 3.128
2000	5	 5.079	 5.956
2000	6	 5.510	 6.146
2000	7	 5.847	 6.735
2000	8	 5.864	 6.254
2000	9	 5.613	 6.159
2000	10	 5.362	 5.457
2000	11	 5.651	 6.072
2000	12	 6.678	 6.364
2000	13	 6.607	 6.553
2000	14	 7.001	 7.288
2000	15	 7.565	 7.725
2000	16	 7.207	 6.973
2000	17	 4.920	 5.946
2000	18	 6.373	 6.702
2000	19	 6.474	 6.722
2000	20	 3.209	 3.135
2000	21	 3.846	 3.409
2000	22	 3.880	 3.334
2000	23	 3.647	 3.325
2000	24	 3.548	 2.816
2000	25	 3.512	 3.881
2000	26	 5.226	 5.081
2000	27	 5.571	 5.459
2000	28	 5.570	 5.244
2000	29	 4.973	 4.666
2000	30	 4.107	 5.504
2000	31	 5.323	 6.693
2000	32	 6.288	 7.371
2000	33	 4.012	 4.060
2000	34	 5.593	 5.523
2000	35	 5.541	 4.793
2000	36	 3.543	 4.088
2000	37	 3.035	 4.115
2000	38	 3.980	 4.794
2000	39	 4.283	 4.618
2000	40	 3.224	 5.540
2000	41	 4.664	 6.183
2000	42	 4.917	 5.864
2000	43	 5.404	 5.424
2000	44	 5.734	 6.477
2000	45	 6.191	 6.554
2000	46	 6.285	 6.350
2000	47	 6.196	 6.321
2000	48	 5.768	 5.766
2000	49	 3.831	 4.958
2000	50	 2.678	 2.198
2000	51	 4.373	 5.677
2000	52	 5.346	 6.334
2000	53	 5.773	 6.199
2000	54	 5.695	 6.076
2000	55	 6.044	 6.052
2000	56	 5.970	 6.060
2000	57	 5.860	 6.257
2000	58	 5.482	 5.792
2000	59	 4.601	 5.295
2000	60	 3.878	 4.497
2000	61	 2.977	 3.202
2000	62	 3.611	 4.585
2000	63	 3.889	 4.893
2000	64	 4.885	 5.382
2000	65	 5.408	 6.104
2000	66	 5.956	 6.438
2000	67	 5.817	 6.243
2000	68	 5.680	 6.050
2000	69	 4.453	 4.419
2000	70	 2.417	 3.355
2000	71	 3.054	 2.255
2000	72	 1.820	 1.649
2000	73	 2.185	 2.434
2000	74	 3.051	 3.149
2000	75	 2.559	 2.306
2000	76	 1.736	 2.595
2000	77	 3.111	 4.728
2000	78	 3.486	 5.891
2000	79	 4.729	 6.201
2000	80	 5.016	 5.300
2000	81	 5.016	 4.987
2000	82	 5.729	 6.003
2000	83	 4.458	 4.980
2000	84	 5.152	 5.732
2000	85	 5.396	 5.630
2000	86	 5.426	 5.702
2000	87	 5.385	 5.668
2000	88	 5.627	 6.301
2000	89	 5.164	 5.076
2000	90	 4.851	 5.283
2000	91	 5.098	 5.491
2000	92	 5.477	 5.662
2000	93	 5.217	 5.385
2000	94	 4.858	 5.029
2000	95	 3.748	 3.391
2000	96	 3.848	 3.430
2000	97	 3.856	 3.728
2000	98	 4.037	 4.159
2000	99	 4.893	 4.868
2000	100	 4.671	 4.402
2000	101	 4.888	 4.888
2000	102	 5.018	 4.850
2000	103	 4.975	 4.474
2000	104	 2.985	 3.791
2000	105	 5.194	 5.353
2000	106	 4.996	 5.244
2000	107	 4.652	 5.253
2000	108	 4.355	 4.966
2000	109	 4.210	 4.884
2000	110	 4.614	 5.222
2000	111	 3.754	 4.610
2000	112	 3.633	 4.275
2000	113	 5.205	 5.078
2000	114	 4.710	 4.167
2000	115	 4.070	 3.366
2000	116	 4.783	 5.256
2000	117	 5.291	 5.539
2000	118	 4.886	 4.843
2000	119	 4.042	 3.937
2000	120	 3.883	 4.238
2000	121	 3.990	 4.159
2000	122	 3.900	 3.189
2000	123	 3.882	 3.993
2000	124	 4.391	 3.838
2000	125	 4.535	 4.386
2000	126	 4.542	 4.407
2000	127	 4.465	 4.814
2000	128	 4.998	 5.358
2000	129	 4.970	 5.337
2000	130	 5.019	 5.340
2000	131	 4.357	 4.613
2000	132	 4.292	 4.296
2000	133	 3.597	 4.333
2000	134	 4.779	 4.945
2000	135	 4.683	 4.724
2000	136	 4.749	 4.875
2000	137	 4.972	 5.023
2000	138	 4.941	 5.248
2000	139	 4.728	 5.186
2000	140	 3.915	 4.444
2000	141	 4.316	 4.221
2000	142	 3.548	 3.679
2000	143	 3.276	 2.799
2000	144	 3.495	 2.906
2000	145	 4.120	 4.146
2000	146	 3.794	 3.116
2000	147	 4.409	 4.073
2000	148	 4.636	 4.603
2000	149	 4.777	 4.890
2000	150	 4.139	 4.774
2000	151	 3.940	 3.978
2000	152	 4.120	 4.228
2000	153	 3.819	 4.241
2000	154	 4.669	 5.016
2000	155	 4.087	 4.219
2000	156	 3.614	 3.749
2000	157	 3.636	 3.178
2000	158	 3.842	 4.291
2000	159	 3.620	 3.133
2000	160	 2.979	 2.585
2000	161	 3.297	 3.401
2000	162	 4.145	 4.281
2000	163	 4.228	 4.225
2000	164	 3.501	 3.300
2000	165	 3.394	 4.089
2000	166	 3.950	 4.053
2000	167	 4.112	 4.314
2000	168	 4.172	 3.953
2000	169	 4.150	 3.983
2000	170	 4.117	 3.751
2000	171	 4.165	 4.010
2000	172	 4.296	 4.356
2000	173	 3.749	 4.074
2000	174	 4.257	 4.448
2000	175	 3.460	 3.566
2000	176	 4.262	 4.425
2000	177	 4.366	 4.529
2000	178	 4.481	 4.446
2000	179	 4.479	 4.466
2000	180	 4.314	 4.405
2000	181	 4.165	 4.014
2000	182	 4.366	 4.292
2000	183	 4.418	 4.438
2000	184	 4.288	 4.403
2000	185	 4.050	 3.998
2000	186	 3.250	 3.447
2000	187	 2.999	 2.913
2000	188	 2.614	 2.987
2000	189	 2.269	 2.951
2000	190	 3.446	 2.758
2000	191	 4.077	 4.215
2000	192	 4.228	 4.069
2000	193	 3.875	 3.765
2000	194	 4.222	 4.670
2000	195	 3.969	 4.339
2000	196	 3.263	 3.021
2000	197	 3.002	 3.534
2000	198	 3.955	 4.117
2000	199	 4.354	 4.684
2000	200	 4.618	 4.478
2000	201	 4.290	 4.266
2000	202	 4.153	 4.126
2000	203	 4.663	 4.855
2000	204	 4.897	 5.017
2000	205	 4.962	 5.056
2000	206	 3.323	 4.411
2000	207	 4.396	 4.364
2000	208	 4.064	 4.246
2000	209	 3.895	 3.548
2000	210	 4.312	 3.360
2000	211	 4.498	 4.658
2000	212	 4.905	 5.027
2000	213	 5.013	 5.122
2000	214	 4.619	 5.006
2000	215	 4.493	 4.564
2000	216	 4.746	 4.634
2000	217	 5.027	 5.220
2000	218	 4.261	 3.689
2000	219	 5.023	 5.091
2000	220	 5.237	 5.335
2000	221	 5.258	 5.105
2000	222	 4.571	 4.723
2000	223	 4.492	 4.871
2000	224	 4.871	 5.180
2000	225	 4.737	 4.626
2000	226	 3.747	 3.329
2000	227	 5.203	 5.340
2000	228	 5.535	 5.589
2000	229	 5.571	 5.605
2000	230	 5.479	 5.599
2000	231	 5.437	 5.502
2000	232	 5.652	 5.447
2000	233	 5.450	 5.502
2000	234	 5.112	 5.253
2000	235	 5.516	 5.596
2000	236	 4.564	 4.515
2000	237	 5.009	 5.308
2000	238	 4.790	 5.189
2000	239	 5.262	 5.489
2000	240	 5.486	 5.889
2000	241	 5.435	 6.268
2000	242	 4.420	 5.471
2000	243	 4.878	 5.329
2000	244	 6.158	 6.318
2000	245	 5.685	 6.046
2000	246	 5.133	 5.329
2000	247	 4.602	 5.296
2000	248	 4.280	 4.439
2000	249	 2.302	 1.993
2000	250	 3.730	 4.325
2000	251	 3.137	 2.767
2000	252	 2.615	 2.577
2000	253	 4.567	 4.458
2000	254	 5.680	 5.457
2000	255	 4.604	 4.833
2000	256	 5.592	 5.551
2000	257	 5.714	 5.765
2000	258	 5.823	 5.946
2000	259	 5.989	 6.488
2000	260	 5.962	 6.255
2000	261	 6.160	 6.676
2000	262	 5.686	 5.984
2000	263	 6.275	 6.851
2000	264	 6.792	 6.810
2000	265	 6.872	 7.115
2000	266	 7.003	 7.124
2000	267	 7.081	 7.234
2000	268	 6.795	 6.720
2000	269	 6.253	 6.699
2000	270	 5.655	 5.879
2000	271	 4.584	 4.612
2000	272	 4.094	 4.431
2000	273	 6.357	 6.344
2000	274	 5.868	 6.347
2000	275	 5.337	 6.268
2000	276	 3.967	 5.106
2000	277	 5.967	 6.228
2000	278	 6.018	 6.531
2000	279	 6.063	 6.525
2000	280	 6.056	 6.599
2000	281	 3.699	 4.008
2000	282	 6.301	 6.491
2000	283	 6.762	 7.245
2000	284	 7.273	 7.760
2000	285	 7.741	 7.949
2000	286	 7.881	 8.111
2000	287	 7.998	 8.134
2000	288	 8.066	 8.293
2000	289	 7.460	 7.883
2000	290	 7.823	 7.939
2000	291	 7.524	 7.880
2000	292	 7.873	 8.184
2000	293	 7.526	 7.598
2000	294	 7.035	 7.554
2000	295	 7.022	 7.395
2000	296	 7.503	 7.303
2000	297	 7.059	 7.076
2000	298	 7.399	 7.534
2000	299	 7.291	 7.254
2000	300	 6.986	 7.480
2000	301	 7.603	 7.497
2000	302	 6.707	 7.179
2000	303	 5.890	 6.811
2000	304	 2.360	 3.248
2000	305	 3.441	 3.144
2000	306	 3.099	 2.813
2000	307	 4.699	 4.442
2000	308	 5.258	 5.641
2000	309	 3.224	 4.806
2000	310	 2.093	 1.526
2000	311	 1.909	 1.800
2000	312	 3.124	 2.852
2000	313	 2.534	 2.119
2000	314	 2.818	 3.529
2000	315	 3.837	 4.518
2000	316	 3.609	 3.583
2000	317	 4.327	 4.106
2000	318	 4.648	 4.495
2000	319	 3.552	 4.110
2000	320	 3.422	 3.220
2000	321	 2.462	 2.359
2000	322	 4.205	 6.425
2000	323	 6.040	 7.233
2000	324	 6.687	 6.915
2000	325	 5.296	 6.824
2000	326	 6.256	 6.770
2000	327	 7.323	 7.292
2000	328	 6.958	 7.589
2000	329	 7.175	 6.658
2000	330	 5.978	 6.348
2000	331	 5.927	 5.957
2000	332	 4.187	 5.256
2000	333	 4.095	 4.716
2000	334	 4.844	 5.214
2000	335	 4.872	 5.774
2000	336	 4.633	 5.165
2000	337	 4.125	 4.447
2000	338	 3.902	 3.580
2000	339	 4.855	 4.997
2000	340	 3.852	 2.935
2000	341	 3.450	 3.430
2000	342	 3.206	 3.072
2000	343	 3.124	 3.646
2000	344	 4.831	 5.590
2000	345	 5.127	 6.035
2000	346	 2.869	 2.657
2000	347	 3.249	 2.744
2000	348	 3.053	 3.158
2000	349	 3.006	 3.134
2000	350	 2.278	 3.147
2000	351	 2.964	 3.508
2000	352	 2.278	 1.633
2000	353	 3.264	 2.380
2000	354	 3.597	 3.612
2000	355	 3.671	 3.259
2000	356	 3.818	 3.842
2000	357	 3.473	 2.662
2000	358	 5.457	 6.619
2000	359	 6.176	 6.556
2000	360	 6.213	 7.117
2000	361	 6.468	 7.023
2000	362	 6.515	 6.864
2000	363	 6.363	 6.783
2000	364	 6.766	 6.657
2000	365	 4.929	 5.053
2000	366	 3.788	 3.829
