soil moisture in profile [mm] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	  952.670	  895.553
2000	2	  973.050	  919.487
2000	3	  981.162	  926.934
2000	4	  989.140	  936.171
2000	5	  987.786	  932.953
2000	6	  985.095	  930.251
2000	7	  981.887	  926.601
2000	8	  978.801	  923.667
2000	9	  976.807	  920.189
2000	10	  974.876	  917.419
2000	11	  971.710	  914.450
2000	12	  967.607	  911.173
2000	13	  963.440	  907.888
2000	14	  959.417	  904.375
2000	15	  955.074	  900.584
2000	16	  950.956	  896.983
2000	17	  952.387	  894.831
2000	18	  953.127	  896.683
2000	19	  955.231	  896.816
2000	20	  971.602	  920.921
2000	21	  987.152	  940.260
2000	22	 1004.060	  958.373
2000	23	 1010.736	  974.358
2000	24	 1019.329	  983.182
2000	25	 1026.669	  994.117
2000	26	 1024.296	  995.112
2000	27	 1025.954	  995.957
2000	28	 1025.834	  996.001
2000	29	 1032.382	  998.826
2000	30	 1043.446	  997.007
2000	31	 1045.389	  992.797
2000	32	 1043.134	  987.909
2000	33	 1057.956	  992.660
2000	34	 1062.016	  996.398
2000	35	 1060.478	 1000.028
2000	36	 1071.236	 1013.488
2000	37	 1079.137	 1023.907
2000	38	 1082.541	 1035.342
2000	39	 1088.181	 1034.391
2000	40	 1091.606	 1030.955
2000	41	 1089.870	 1026.595
2000	42	 1086.650	 1022.890
2000	43	 1082.946	 1019.612
2000	44	 1079.934	 1015.255
2000	45	 1076.269	 1011.362
2000	46	 1072.051	 1007.477
2000	47	 1067.815	 1003.851
2000	48	 1067.640	 1003.625
2000	49	 1074.234	 1008.203
2000	50	 1080.045	 1022.628
2000	51	 1079.042	 1019.745
2000	52	 1076.713	 1015.832
2000	53	 1072.917	 1011.975
2000	54	 1068.915	 1008.161
2000	55	 1064.999	 1004.780
2000	56	 1061.820	 1001.256
2000	57	 1058.606	  998.159
2000	58	 1055.957	  995.889
2000	59	 1060.287	 1000.351
2000	60	 1074.092	 1010.595
2000	61	 1080.377	 1021.619
2000	62	 1089.731	 1020.669
2000	63	 1090.767	 1018.000
2000	64	 1088.598	 1014.817
2000	65	 1085.237	 1011.130
2000	66	 1081.008	 1007.201
2000	67	 1077.190	 1003.412
2000	68	 1073.284	  999.852
2000	69	 1074.899	 1001.381
2000	70	 1091.064	 1005.175
2000	71	 1102.433	 1022.147
2000	72	 1114.882	 1042.232
2000	73	 1122.504	 1061.051
2000	74	 1131.761	 1071.723
2000	75	 1143.346	 1085.135
2000	76	 1161.665	 1097.820
2000	77	 1164.670	 1094.731
2000	78	 1162.489	 1090.265
2000	79	 1157.913	 1085.383
2000	80	 1153.440	 1081.642
2000	81	 1149.042	 1078.548
2000	82	 1145.457	 1074.342
2000	83	 1142.074	 1070.996
2000	84	 1138.019	 1067.158
2000	85	 1133.654	 1063.543
2000	86	 1129.275	 1059.888
2000	87	 1125.557	 1056.614
2000	88	 1121.491	 1052.756
2000	89	 1118.018	 1049.686
2000	90	 1114.904	 1046.696
2000	91	 1111.494	 1043.286
2000	92	 1107.596	 1039.910
2000	93	 1104.007	 1036.739
2000	94	 1101.075	 1034.121
2000	95	 1098.291	 1031.940
2000	96	 1095.424	 1029.861
2000	97	 1092.685	 1027.939
2000	98	 1090.021	 1025.874
2000	99	 1087.161	 1023.573
2000	100	 1084.391	 1021.097
2000	101	 1082.532	 1018.965
2000	102	 1080.227	 1016.391
2000	103	 1077.450	 1013.962
2000	104	 1076.552	 1011.883
2000	105	 1073.553	 1009.015
2000	106	 1070.798	 1006.280
2000	107	 1069.005	 1003.531
2000	108	 1066.596	 1000.864
2000	109	 1064.393	  998.128
2000	110	 1063.026	  995.218
2000	111	 1066.221	  992.703
2000	112	 1064.678	  992.269
2000	113	 1061.501	  989.918
2000	114	 1058.397	  988.035
2000	115	 1055.818	  986.061
2000	116	 1052.642	  983.028
2000	117	 1049.194	  979.857
2000	118	 1045.742	  976.882
2000	119	 1042.852	  974.438
2000	120	 1040.382	  972.077
2000	121	 1038.014	  969.664
2000	122	 1035.579	  967.648
2000	123	 1033.009	  965.254
2000	124	 1030.286	  963.024
2000	125	 1027.361	  960.547
2000	126	 1024.465	  958.088
2000	127	 1021.477	  955.342
2000	128	 1017.993	  952.048
2000	129	 1014.703	  948.757
2000	130	 1011.473	  945.597
2000	131	 1008.504	  942.583
2000	132	 1005.821	  940.099
2000	133	 1003.431	  937.560
2000	134	 1000.703	  934.925
2000	135	  998.065	  932.491
2000	136	  995.325	  929.935
2000	137	  992.228	  927.066
2000	138	  988.989	  923.746
2000	139	  985.960	  920.487
2000	140	  983.526	  917.644
2000	141	  980.800	  915.026
2000	142	  978.603	  912.914
2000	143	  976.658	  911.222
2000	144	  974.481	  909.440
2000	145	  971.980	  907.113
2000	146	  969.730	  905.294
2000	147	  967.139	  903.104
2000	148	  964.171	  900.463
2000	149	  961.067	  897.425
2000	150	  958.399	  894.447
2000	151	  955.613	  891.885
2000	152	  952.735	  889.153
2000	153	  950.134	  886.317
2000	154	  947.152	  883.109
2000	155	  944.610	  880.659
2000	156	  942.421	  878.528
2000	157	  940.294	  876.711
2000	158	  938.166	  874.537
2000	159	  936.227	  872.932
2000	160	  934.567	  871.623
2000	161	  932.644	  869.796
2000	162	  930.256	  867.544
2000	163	  927.789	  865.289
2000	164	  925.670	  863.618
2000	165	  923.521	  861.405
2000	166	  921.090	  859.129
2000	167	  918.748	  856.820
2000	168	  916.402	  854.671
2000	169	  914.114	  852.572
2000	170	  911.883	  850.568
2000	171	  909.563	  848.427
2000	172	  907.110	  846.121
2000	173	  904.767	  843.752
2000	174	  902.498	  841.297
2000	175	  900.565	  839.422
2000	176	  898.328	  837.210
2000	177	  895.938	  834.902
2000	178	  893.406	  832.648
2000	179	  890.779	  830.310
2000	180	  888.381	  828.079
2000	181	  886.240	  826.121
2000	182	  883.956	  824.057
2000	183	  881.407	  821.619
2000	184	  879.024	  819.317
2000	185	  876.731	  817.254
2000	186	  874.826	  815.427
2000	187	  873.083	  813.833
2000	188	  871.587	  812.267
2000	189	  870.189	  810.713
2000	190	  868.375	  809.293
2000	191	  866.251	  807.291
2000	192	  864.044	  805.304
2000	193	  861.943	  803.388
2000	194	  859.543	  801.057
2000	195	  857.355	  798.727
2000	196	  855.509	  797.109
2000	197	  853.737	  795.267
2000	198	  851.494	  793.143
2000	199	  849.192	  790.563
2000	200	  846.581	  788.131
2000	201	  844.023	  785.818
2000	202	  841.448	  783.404
2000	203	  838.745	  780.736
2000	204	  836.017	  778.166
2000	205	  833.192	  775.504
2000	206	  831.213	  773.086
2000	207	  828.871	  770.797
2000	208	  826.744	  768.780
2000	209	  824.820	  767.081
2000	210	  822.588	  765.355
2000	211	  820.421	  763.270
2000	212	  817.946	  760.842
2000	213	  815.334	  758.332
2000	214	  813.009	  756.077
2000	215	  810.877	  753.996
2000	216	  808.655	  751.902
2000	217	  806.100	  749.462
2000	218	  803.913	  747.560
2000	219	  801.581	  745.398
2000	220	  799.041	  742.980
2000	221	  796.443	  740.600
2000	222	  794.130	  738.449
2000	223	  791.639	  736.009
2000	224	  788.939	  733.397
2000	225	  786.418	  731.041
2000	226	  784.506	  729.475
2000	227	  782.183	  727.250
2000	228	  779.704	  724.916
2000	229	  777.146	  722.554
2000	230	  774.741	  720.319
2000	231	  772.460	  718.209
2000	232	  769.915	  715.939
2000	233	  767.413	  713.652
2000	234	  765.041	  711.461
2000	235	  762.582	  709.136
2000	236	  760.355	  707.090
2000	237	  757.857	  704.645
2000	238	  755.330	  702.121
2000	239	  752.491	  699.462
2000	240	  749.480	  696.556
2000	241	  746.455	  693.435
2000	242	  744.113	  690.467
2000	243	  741.759	  687.952
2000	244	  738.958	  685.188
2000	245	  736.244	  682.519
2000	246	  733.532	  679.910
2000	247	  731.513	  677.223
2000	248	  729.762	  675.992
2000	249	  728.618	  674.484
