daily river flow [m3/s] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	   0.985	   0.451
2000	2	  18.989	  34.778
2000	3	   3.550	   1.659
2000	4	   5.022	   2.367
2000	5	   6.409	   3.029
2000	6	   7.733	   3.667
2000	7	   8.987	   4.266
2000	8	  10.173	   4.834
2000	9	  11.291	   5.370
2000	10	  12.355	   5.880
2000	11	  13.366	   6.357
2000	12	  14.308	   6.805
2000	13	  15.179	   7.225
2000	14	  15.985	   7.617
2000	15	  16.727	   7.981
2000	16	  17.412	   8.321
2000	17	  18.061	   8.643
2000	18	  18.713	   8.952
2000	19	  19.376	   9.265
2000	20	  22.023	  42.770
2000	21	  21.385	  14.419
2000	22	  29.550	  14.153
2000	23	  24.051	  12.042
2000	24	  25.653	  13.104
2000	25	  27.403	  14.325
2000	26	  29.033	  15.514
2000	27	  30.680	  16.719
2000	28	  32.243	  17.874
2000	29	  33.979	  19.093
2000	30	  35.997	  20.235
2000	31	  38.011	  21.313
2000	32	  39.877	  22.315
2000	33	  52.506	  23.365
2000	34	  44.628	  24.445
2000	35	  46.941	  25.570
2000	36	  49.517	  26.935
2000	37	  54.014	  28.497
2000	38	  57.179	  30.314
2000	39	  61.194	  32.021
2000	40	  64.197	  33.629
2000	41	  65.661	  35.128
2000	42	  67.670	  36.526
2000	43	  70.021	  37.817
2000	44	  72.327	  39.011
2000	45	  74.259	  40.104
2000	46	  76.132	  41.106
2000	47	  77.884	  42.022
2000	48	  79.517	  42.880
2000	49	  81.361	  43.823
2000	50	  83.352	  45.008
2000	51	  85.193	  46.103
2000	52	  86.912	  47.128
2000	53	  88.494	  48.063
2000	54	  89.948	  48.917
2000	55	  91.273	  49.700
2000	56	  92.469	  50.418
2000	57	  93.564	  51.076
2000	58	  94.563	  51.681
2000	59	  95.638	  52.329
2000	60	  98.742	  53.109
2000	61	  98.567	  54.053
2000	62	 100.365	  54.935
2000	63	 102.121	  55.775
2000	64	 103.748	  56.566
2000	65	 105.250	  57.293
2000	66	 106.625	  57.953
2000	67	 107.879	  58.551
2000	68	 109.008	  59.092
2000	69	 110.120	  59.605
2000	70	 119.959	  60.183
2000	71	 113.559	  63.205
2000	72	 116.794	  81.041
2000	73	 119.452	  91.213
2000	74	 123.993	  65.543
2000	75	 132.483	  69.528
2000	76	 288.072	  72.459
2000	77	 141.743	  73.055
2000	78	 140.874	  75.250
2000	79	 142.474	  77.293
