daily river flow [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.85065E+05	0.38965E+05
2000	2	0.16406E+07	0.30048E+07
2000	3	0.30673E+06	0.14329E+06
2000	4	0.43390E+06	0.20447E+06
2000	5	0.55376E+06	0.26169E+06
2000	6	0.66812E+06	0.31679E+06
2000	7	0.77644E+06	0.36860E+06
2000	8	0.87891E+06	0.41769E+06
2000	9	0.97552E+06	0.46401E+06
2000	10	0.10675E+07	0.50802E+06
2000	11	0.11548E+07	0.54922E+06
2000	12	0.12362E+07	0.58796E+06
2000	13	0.13115E+07	0.62425E+06
2000	14	0.13811E+07	0.65809E+06
2000	15	0.14452E+07	0.68955E+06
2000	16	0.15044E+07	0.71892E+06
2000	17	0.15604E+07	0.74678E+06
2000	18	0.16168E+07	0.77349E+06
2000	19	0.16740E+07	0.80048E+06
2000	20	0.19027E+07	0.36953E+07
2000	21	0.18477E+07	0.12458E+07
2000	22	0.25531E+07	0.12228E+07
2000	23	0.20780E+07	0.10405E+07
2000	24	0.22165E+07	0.11322E+07
2000	25	0.23676E+07	0.12376E+07
2000	26	0.25084E+07	0.13404E+07
2000	27	0.26507E+07	0.14445E+07
2000	28	0.27858E+07	0.15443E+07
2000	29	0.29358E+07	0.16497E+07
2000	30	0.31101E+07	0.17483E+07
2000	31	0.32842E+07	0.18414E+07
2000	32	0.34454E+07	0.19280E+07
2000	33	0.45365E+07	0.20188E+07
2000	34	0.38559E+07	0.21121E+07
2000	35	0.40557E+07	0.22093E+07
2000	36	0.42782E+07	0.23272E+07
2000	37	0.46668E+07	0.24622E+07
2000	38	0.49403E+07	0.26191E+07
2000	39	0.52872E+07	0.27666E+07
2000	40	0.55466E+07	0.29055E+07
2000	41	0.56731E+07	0.30350E+07
2000	42	0.58467E+07	0.31558E+07
2000	43	0.60498E+07	0.32674E+07
2000	44	0.62491E+07	0.33705E+07
2000	45	0.64160E+07	0.34650E+07
2000	46	0.65778E+07	0.35515E+07
2000	47	0.67292E+07	0.36307E+07
2000	48	0.68703E+07	0.37049E+07
2000	49	0.70296E+07	0.37863E+07
2000	50	0.72016E+07	0.38887E+07
2000	51	0.73607E+07	0.39833E+07
2000	52	0.75092E+07	0.40718E+07
2000	53	0.76459E+07	0.41526E+07
2000	54	0.77715E+07	0.42264E+07
2000	55	0.78860E+07	0.42941E+07
2000	56	0.79893E+07	0.43561E+07
2000	57	0.80839E+07	0.44130E+07
2000	58	0.81703E+07	0.44652E+07
2000	59	0.82631E+07	0.45212E+07
2000	60	0.85313E+07	0.45886E+07
2000	61	0.85162E+07	0.46702E+07
2000	62	0.86715E+07	0.47464E+07
2000	63	0.88233E+07	0.48190E+07
2000	64	0.89638E+07	0.48873E+07
2000	65	0.90936E+07	0.49502E+07
2000	66	0.92124E+07	0.50071E+07
2000	67	0.93208E+07	0.50588E+07
2000	68	0.94183E+07	0.51056E+07
2000	69	0.95144E+07	0.51499E+07
2000	70	0.10364E+08	0.51998E+07
2000	71	0.98115E+07	0.54609E+07
2000	72	0.10091E+08	0.70020E+07
2000	73	0.10321E+08	0.78808E+07
2000	74	0.10713E+08	0.56629E+07
2000	75	0.11447E+08	0.60072E+07
2000	76	0.24889E+08	0.62605E+07
2000	77	0.12247E+08	0.63119E+07
2000	78	0.12172E+08	0.65016E+07
2000	79	0.12310E+08	0.66781E+07
2000	80	0.12592E+08	0.68381E+07
2000	81	0.12857E+08	0.69846E+07
2000	82	0.13117E+08	0.71191E+07
2000	83	0.13314E+08	0.72418E+07
2000	84	0.13499E+08	0.73535E+07
2000	85	0.13674E+08	0.74547E+07
2000	86	0.13832E+08	0.75462E+07
2000	87	0.13973E+08	0.76293E+07
2000	88	0.14100E+08	0.77037E+07
2000	89	0.14213E+08	0.77709E+07
2000	90	0.14315E+08	0.78319E+07
2000	91	0.14408E+08	0.78867E+07
2000	92	0.14490E+08	0.79355E+07
2000	93	0.14562E+08	0.79789E+07
2000	94	0.14626E+08	0.80178E+07
2000	95	0.14683E+08	0.80529E+07
2000	96	0.14734E+08	0.80849E+07
2000	97	0.14779E+08	0.81140E+07
2000	98	0.14818E+08	0.81403E+07
2000	99	0.14851E+08	0.81638E+07
2000	100	0.14879E+08	0.81842E+07
2000	101	0.14902E+08	0.82017E+07
2000	102	0.14921E+08	0.82166E+07
2000	103	0.14937E+08	0.82288E+07
2000	104	0.14949E+08	0.82388E+07
2000	105	0.14957E+08	0.82461E+07
2000	106	0.14962E+08	0.82510E+07
2000	107	0.14964E+08	0.82536E+07
2000	108	0.14962E+08	0.82541E+07
2000	109	0.14958E+08	0.82526E+07
2000	110	0.14951E+08	0.82490E+07
2000	111	0.14949E+08	0.82437E+07
2000	112	0.14943E+08	0.82371E+07
2000	113	0.14935E+08	0.82288E+07
2000	114	0.14923E+08	0.82194E+07
2000	115	0.14909E+08	0.82090E+07
2000	116	0.14891E+08	0.81969E+07
2000	117	0.14870E+08	0.81833E+07
2000	118	0.14847E+08	0.81683E+07
2000	119	0.14820E+08	0.81522E+07
2000	120	0.14792E+08	0.81351E+07
2000	121	0.14762E+08	0.81170E+07
2000	122	0.14730E+08	0.80980E+07
2000	123	0.14696E+08	0.80781E+07
2000	124	0.14660E+08	0.80572E+07
2000	125	0.14622E+08	0.80355E+07
2000	126	0.14582E+08	0.80128E+07
2000	127	0.14541E+08	0.79892E+07
2000	128	0.14497E+08	0.79645E+07
