groundwater discharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.81286E+05	0.36232E+05
2000	2	1	0.18661E+06	0.85630E+05
2000	3	1	0.30235E+06	0.13999E+06
2000	4	1	0.42937E+06	0.20094E+06
2000	5	1	0.55009E+06	0.25922E+06
2000	6	1	0.66460E+06	0.31437E+06
2000	7	1	0.77309E+06	0.36628E+06
2000	8	1	0.87562E+06	0.41543E+06
2000	9	1	0.97226E+06	0.46184E+06
2000	10	1	0.10643E+07	0.50592E+06
2000	11	1	0.11517E+07	0.54719E+06
2000	12	1	0.12332E+07	0.58601E+06
2000	13	1	0.13086E+07	0.62238E+06
2000	14	1	0.13783E+07	0.65631E+06
2000	15	1	0.14425E+07	0.68785E+06
2000	16	1	0.15018E+07	0.71730E+06
2000	17	1	0.15577E+07	0.74518E+06
2000	18	1	0.16137E+07	0.77167E+06
2000	19	1	0.16707E+07	0.79833E+06
2000	20	1	0.17438E+07	0.83726E+06
2000	21	1	0.18347E+07	0.88853E+06
2000	22	1	0.19493E+07	0.95441E+06
2000	23	1	0.20734E+07	0.10363E+07
2000	24	1	0.22117E+07	0.11279E+07
2000	25	1	0.23627E+07	0.12332E+07
2000	26	1	0.25046E+07	0.13364E+07
2000	27	1	0.26461E+07	0.14403E+07
2000	28	1	0.27816E+07	0.15405E+07
2000	29	1	0.29310E+07	0.16454E+07
2000	30	1	0.31050E+07	0.17448E+07
2000	31	1	0.32792E+07	0.18381E+07
2000	32	1	0.34411E+07	0.19248E+07
2000	33	1	0.36428E+07	0.20146E+07
2000	34	1	0.38507E+07	0.21079E+07
2000	35	1	0.40439E+07	0.22050E+07
2000	36	1	0.42727E+07	0.23224E+07
2000	37	1	0.45246E+07	0.24573E+07
2000	38	1	0.47812E+07	0.26140E+07
2000	39	1	0.50526E+07	0.27623E+07
2000	40	1	0.53304E+07	0.29015E+07
2000	41	1	0.55848E+07	0.30312E+07
2000	42	1	0.58183E+07	0.31521E+07
2000	43	1	0.60322E+07	0.32638E+07
2000	44	1	0.62285E+07	0.33670E+07
2000	45	1	0.64086E+07	0.34615E+07
2000	46	1	0.65737E+07	0.35482E+07
2000	47	1	0.67251E+07	0.36275E+07
2000	48	1	0.68659E+07	0.37015E+07
2000	49	1	0.70243E+07	0.37821E+07
2000	50	1	0.71960E+07	0.38840E+07
2000	51	1	0.73558E+07	0.39797E+07
2000	52	1	0.75045E+07	0.40684E+07
2000	53	1	0.76415E+07	0.41493E+07
2000	54	1	0.77674E+07	0.42232E+07
2000	55	1	0.78821E+07	0.42909E+07
2000	56	1	0.79855E+07	0.43531E+07
2000	57	1	0.80803E+07	0.44100E+07
2000	58	1	0.81667E+07	0.44623E+07
2000	59	1	0.82586E+07	0.45176E+07
2000	60	1	0.83779E+07	0.45844E+07
2000	61	1	0.85103E+07	0.46658E+07
2000	62	1	0.86650E+07	0.47429E+07
2000	63	1	0.88171E+07	0.48157E+07
2000	64	1	0.89581E+07	0.48841E+07
2000	65	1	0.90882E+07	0.49470E+07
2000	66	1	0.92073E+07	0.50041E+07
2000	67	1	0.93159E+07	0.50559E+07
2000	68	1	0.94135E+07	0.51028E+07
2000	69	1	0.95091E+07	0.51468E+07
2000	70	1	0.96418E+07	0.51960E+07
2000	71	1	0.98039E+07	0.52654E+07
2000	72	1	0.10004E+08	0.53646E+07
2000	73	1	0.10230E+08	0.54993E+07
2000	74	1	0.10488E+08	0.56575E+07
2000	75	1	0.10797E+08	0.58510E+07
2000	76	1	0.11194E+08	0.60838E+07
2000	77	1	0.11597E+08	0.62989E+07
2000	78	1	0.11959E+08	0.64959E+07
2000	79	1	0.12283E+08	0.66727E+07
