total subsurface runoff (groundwater+interflow) [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.84933E+05	0.38756E+05
2000	2	1	0.19065E+06	0.88612E+05
2000	3	1	0.30651E+06	0.14310E+06
2000	4	1	0.43368E+06	0.20425E+06
2000	5	1	0.55374E+06	0.26171E+06
2000	6	1	0.66813E+06	0.31678E+06
2000	7	1	0.77646E+06	0.36862E+06
2000	8	1	0.87892E+06	0.41770E+06
2000	9	1	0.97551E+06	0.46403E+06
2000	10	1	0.10675E+07	0.50804E+06
2000	11	1	0.11548E+07	0.54924E+06
2000	12	1	0.12362E+07	0.58798E+06
2000	13	1	0.13115E+07	0.62427E+06
2000	14	1	0.13811E+07	0.65812E+06
2000	15	1	0.14453E+07	0.68957E+06
2000	16	1	0.15045E+07	0.71894E+06
2000	17	1	0.15604E+07	0.74676E+06
2000	18	1	0.16168E+07	0.77338E+06
2000	19	1	0.16739E+07	0.80041E+06
2000	20	1	0.17475E+07	0.84003E+06
2000	21	1	0.18387E+07	0.89171E+06
2000	22	1	0.19535E+07	0.95794E+06
2000	23	1	0.20778E+07	0.10401E+07
2000	24	1	0.22162E+07	0.11320E+07
2000	25	1	0.23674E+07	0.12374E+07
2000	26	1	0.25084E+07	0.13404E+07
2000	27	1	0.26506E+07	0.14444E+07
2000	28	1	0.27858E+07	0.15443E+07
2000	29	1	0.29356E+07	0.16496E+07
2000	30	1	0.31098E+07	0.17483E+07
2000	31	1	0.32841E+07	0.18414E+07
2000	32	1	0.34453E+07	0.19280E+07
2000	33	1	0.36479E+07	0.20186E+07
2000	34	1	0.38557E+07	0.21119E+07
2000	35	1	0.40485E+07	0.22091E+07
2000	36	1	0.42779E+07	0.23268E+07
2000	37	1	0.45299E+07	0.24619E+07
2000	38	1	0.47866E+07	0.26188E+07
2000	39	1	0.50582E+07	0.27666E+07
2000	40	1	0.53362E+07	0.29055E+07
2000	41	1	0.55900E+07	0.30351E+07
2000	42	1	0.58233E+07	0.31559E+07
2000	43	1	0.60369E+07	0.32674E+07
2000	44	1	0.62332E+07	0.33706E+07
2000	45	1	0.64130E+07	0.34650E+07
2000	46	1	0.65779E+07	0.35515E+07
2000	47	1	0.67292E+07	0.36308E+07
2000	48	1	0.68702E+07	0.37048E+07
2000	49	1	0.70294E+07	0.37862E+07
2000	50	1	0.72014E+07	0.38884E+07
2000	51	1	0.73606E+07	0.39833E+07
2000	52	1	0.75092E+07	0.40718E+07
2000	53	1	0.76459E+07	0.41526E+07
2000	54	1	0.77716E+07	0.42265E+07
2000	55	1	0.78861E+07	0.42941E+07
2000	56	1	0.79893E+07	0.43562E+07
2000	57	1	0.80840E+07	0.44130E+07
2000	58	1	0.81703E+07	0.44652E+07
2000	59	1	0.82630E+07	0.45211E+07
2000	60	1	0.83832E+07	0.45883E+07
2000	61	1	0.85160E+07	0.46699E+07
2000	62	1	0.86713E+07	0.47463E+07
2000	63	1	0.88232E+07	0.48190E+07
2000	64	1	0.89638E+07	0.48873E+07
