total surface runoff [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.21486E+03	0.24194E+03
2000	2	1	0.14498E+07	0.29161E+07
2000	3	1	0.16577E+03	0.16184E+03
2000	4	1	0.16424E+03	0.18588E+03
2000	5	1	0.36879E+02	0.32289E+01
2000	6	1	0.18462E+02	0.17645E+02
2000	7	1	0.77189E+01	0.82520E-01
2000	8	1	0.13855E+02	0.11233E+02
2000	9	1	0.27664E+02	0.79446E-01
2000	10	1	0.21525E+02	0.16169E+01
2000	11	1	0.46444E+01	0.76680E-01
2000	12	1	0.10013E+00	0.75484E-01
2000	13	1	0.98325E-01	0.74322E-01
2000	14	1	0.96401E-01	0.73098E-01
2000	15	1	0.94449E-01	0.71806E-01
2000	16	1	0.92387E-01	0.70486E-01
2000	17	1	0.75220E+02	0.30448E+02
2000	18	1	0.75220E+02	0.10255E+03
2000	19	1	0.95170E+02	0.72106E+02
2000	20	1	0.15515E+06	0.28552E+07
2000	21	1	0.88755E+04	0.35404E+06
2000	22	1	0.59945E+06	0.26480E+06
2000	23	1	0.15044E+03	0.29965E+03
2000	24	1	0.17960E+03	0.17950E+03
2000	25	1	0.16272E+03	0.22276E+03
2000	26	1	0.23086E+02	0.73758E+02
2000	27	1	0.89067E+02	0.76962E+02
2000	28	1	0.59914E+02	0.59338E+02
2000	29	1	0.16426E+03	0.10420E+03
2000	30	1	0.23485E+03	0.40112E+02
2000	31	1	0.96751E+02	0.11651E+00
2000	32	1	0.38440E+02	0.11419E+00
2000	33	1	0.88860E+06	0.13624E+03
2000	34	1	0.13205E+03	0.12022E+03
2000	35	1	0.72144E+04	0.11542E+03
2000	36	1	0.22719E+03	0.26923E+03
2000	37	1	0.13681E+06	0.22117E+03
2000	38	1	0.15363E+06	0.24521E+03
2000	39	1	0.22896E+06	0.48143E+02
2000	40	1	0.21040E+06	0.14493E+02
2000	41	1	0.83149E+05	0.13407E+00
2000	42	1	0.23416E+05	0.16708E+01
2000	43	1	0.12902E+05	0.12885E+02
2000	44	1	0.15946E+05	0.12823E+00
2000	45	1	0.30134E+04	0.64718E+01
2000	46	1	0.92966E+01	0.12418E+00
2000	47	1	0.46910E+01	0.16610E+01
2000	48	1	0.69138E+02	0.65748E+02
2000	49	1	0.15814E+03	0.12824E+03
2000	50	1	0.13973E+03	0.26763E+03
2000	51	1	0.44595E+02	0.16090E+02
2000	52	1	0.29247E+02	0.12745E+00
2000	53	1	0.62279E+01	0.12567E+00
2000	54	1	0.14807E+00	0.12367E+00
2000	55	1	0.46888E+01	0.96717E+01
2000	56	1	0.16963E+02	0.16588E+01
2000	57	1	0.10823E+02	0.48615E+01
2000	58	1	0.18494E+02	0.22484E+02
2000	59	1	0.12130E+03	0.12663E+03
2000	60	1	0.14805E+06	0.21636E+03
2000	61	1	0.14587E+03	0.22117E+03
2000	62	1	0.19651E+03	0.35316E+02
2000	63	1	0.72221E+02	0.80750E+01
2000	64	1	0.29254E+02	0.32667E+01
2000	65	1	0.12372E+02	0.12404E+00
2000	66	1	0.31627E+01	0.12231E+00
2000	67	1	0.77639E+01	0.12040E+00
2000	68	1	0.15027E+00	0.11856E+00
2000	69	1	0.78348E+02	0.70551E+02
2000	70	1	0.71601E+06	0.10260E+03
2000	71	1	0.22414E+03	0.19144E+06
2000	72	1	0.78419E+05	0.16329E+07
2000	73	1	0.82512E+05	0.23766E+07
2000	74	1	0.21570E+06	0.21959E+03
2000	75	1	0.64003E+06	0.15010E+06
2000	76	1	0.13684E+08	0.16971E+06
2000	77	1	0.63846E+06	0.70885E+04
2000	78	1	0.20209E+06	0.82677E+01
2000	79	1	0.16213E+05	0.16489E+00
2000	80	1	0.65764E+04	0.17013E+01
2000	81	1	0.75834E+04	0.16119E+02
2000	82	1	0.31786E+05	0.15811E+00
2000	83	1	0.13646E+05	0.32972E+01
2000	84	1	0.22352E+04	0.15408E+00
2000	85	1	0.19056E+02	0.15197E+00
2000	86	1	0.47233E+01	0.16887E+01
2000	87	1	0.93243E+01	0.16866E+01
2000	88	1	0.47187E+01	0.14569E+00
2000	89	1	0.93200E+01	0.32847E+01
2000	90	1	0.13921E+02	0.48850E+01
2000	91	1	0.10851E+02	0.13983E+00
2000	92	1	0.16795E+00	0.13789E+00
2000	93	1	0.16597E+00	0.13598E+00
2000	94	1	0.10845E+02	0.48776E+01
2000	95	1	0.31706E+01	0.13277E+00
2000	96	1	0.16346E+01	0.13149E+00
2000	97	1	0.31675E+01	0.80781E+01
2000	98	1	0.62350E+01	0.96791E+01
2000	99	1	0.77680E+01	0.80758E+01
2000	100	1	0.77664E+01	0.12680E+00
2000	101	1	0.24644E+02	0.14482E+02
2000	102	1	0.15436E+02	0.12415E+00
2000	103	1	0.77623E+01	0.12290E+00
2000	104	1	0.23106E+02	0.16605E+01
2000	105	1	0.31566E+01	0.12036E+00
2000	106	1	0.62240E+01	0.16578E+01
2000	107	1	0.21568E+02	0.16564E+01
2000	108	1	0.10825E+02	0.48594E+01
2000	109	1	0.12358E+02	0.11466E+00
2000	110	1	0.26167E+02	0.11324E+00
2000	111	1	0.96754E+02	0.64573E+01
2000	112	1	0.20032E+02	0.44909E+02
2000	113	1	0.14132E+00	0.64549E+01
2000	114	1	0.13965E+00	0.11260E+02
2000	115	1	0.13817E+00	0.32484E+01
2000	116	1	0.13676E+00	0.10618E+00
2000	117	1	0.13515E+00	0.10470E+00
2000	118	1	0.13348E+00	0.10319E+00
2000	119	1	0.13187E+00	0.10179E+00
2000	120	1	0.46733E+01	0.16395E+01
2000	121	1	0.46720E+01	0.99372E-01
2000	122	1	0.12787E+00	0.98184E-01
2000	123	1	0.12653E+00	0.97079E-01
2000	124	1	0.12514E+00	0.95839E-01
2000	125	1	0.12369E+00	0.94605E-01
2000	126	1	0.12218E+00	0.93276E-01
2000	127	1	0.12067E+00	0.91913E-01
2000	128	1	0.11907E+00	0.90361E-01
2000	129	1	0.11729E+00	0.88618E-01
2000	130	1	0.11551E+00	0.86901E-01
2000	131	1	0.11376E+00	0.85241E-01
2000	132	1	0.11218E+00	0.83738E-01
2000	133	1	0.11073E+00	0.82415E-01
2000	134	1	0.10938E+00	0.81061E-01
2000	135	1	0.10789E+00	0.79687E-01
2000	136	1	0.10641E+00	0.78367E-01
2000	137	1	0.10485E+00	0.76954E-01
2000	138	1	0.10320E+00	0.75366E-01
2000	139	1	0.10159E+00	0.73638E-01
2000	140	1	0.10015E+00	0.71993E-01
2000	141	1	0.98873E-01	0.70541E-01
2000	142	1	0.31059E+01	0.69241E-01
2000	143	1	0.31048E+01	0.68199E-01
2000	144	1	0.95489E-01	0.67298E-01
2000	145	1	0.94341E-01	0.66285E-01
2000	146	1	0.93112E-01	0.65132E-01
2000	147	1	0.91923E-01	0.64135E-01
2000	148	1	0.90555E-01	0.62970E-01
2000	149	1	0.89046E-01	0.61592E-01
2000	150	1	0.87555E-01	0.60095E-01
2000	151	1	0.86197E-01	0.58678E-01
2000	152	1	0.84796E-01	0.57384E-01
2000	153	1	0.83403E-01	0.56015E-01
2000	154	1	0.82054E-01	0.54562E-01
2000	155	1	0.80630E-01	0.53144E-01
2000	156	1	0.79408E-01	0.52041E-01
2000	157	1	0.78320E-01	0.51087E-01
2000	158	1	0.77253E-01	0.50187E-01
2000	159	1	0.76208E-01	0.49246E-01
2000	160	1	0.75265E-01	0.48529E-01
2000	161	1	0.74393E-01	0.47843E-01
2000	162	1	0.73363E-01	0.46924E-01
2000	163	1	0.72191E-01	0.45865E-01
2000	164	1	0.71066E-01	0.44890E-01
2000	165	1	0.70051E-01	0.44028E-01
2000	166	1	0.68995E-01	0.42979E-01
2000	167	1	0.67858E-01	0.41909E-01
2000	168	1	0.66745E-01	0.40849E-01
2000	169	1	0.65639E-01	0.39850E-01
2000	170	1	0.64559E-01	0.38878E-01
2000	171	1	0.63485E-01	0.37919E-01
2000	172	1	0.62416E-01	0.36891E-01
2000	173	1	0.61327E-01	0.35797E-01
2000	174	1	0.60292E-01	0.34714E-01
2000	175	1	0.59316E-01	0.33810E-01
2000	176	1	0.58409E-01	0.33274E-01
2000	177	1	0.57380E-01	0.32818E-01
2000	178	1	0.56285E-01	0.32354E-01
2000	179	1	0.55134E-01	0.31899E-01
2000	180	1	0.53991E-01	0.31441E-01
2000	181	1	0.52954E-01	0.31006E-01
2000	182	1	0.51971E-01	0.30606E-01
2000	183	1	0.50904E-01	0.30182E-01
2000	184	1	0.49787E-01	0.29728E-01
2000	185	1	0.48730E-01	0.29296E-01
2000	186	1	0.47757E-01	0.28911E-01
2000	187	1	0.46927E-01	0.28580E-01
2000	188	1	0.46180E-01	0.28282E-01
2000	189	1	0.45523E-01	0.27988E-01
2000	190	1	0.44839E-01	0.27709E-01
2000	191	1	0.43983E-01	0.27427E-01
2000	192	1	0.43019E-01	0.27046E-01
2000	193	1	0.42044E-01	0.26678E-01
2000	194	1	0.41058E-01	0.26314E-01
2000	195	1	0.40015E-01	0.25894E-01
2000	196	1	0.39084E-01	0.15644E+01
2000	197	1	0.38269E-01	0.25232E-01
2000	198	1	0.37406E-01	0.24899E-01
2000	199	1	0.36398E-01	0.24517E-01
2000	200	1	0.35321E-01	0.24089E-01
2000	201	1	0.34158E-01	0.23687E-01
2000	202	1	0.33013E-01	0.23309E-01
