sub-daily contribution to river [m3/s] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	    0.98455	    0.45098
2000	2	1	   18.98859	   34.77755
2000	3	1	    3.55012	    1.65850
2000	4	1	    5.02199	    2.36658
2000	5	1	    6.40930	    3.02883
2000	6	1	    7.73292	    3.66650
2000	7	1	    8.98659	    4.26616
2000	8	1	   10.17257	    4.83439
2000	9	1	   11.29073	    5.37049
2000	10	1	   12.35524	    5.87992
2000	11	1	   13.36598	    6.35676
2000	12	1	   14.30776	    6.80511
2000	13	1	   15.17899	    7.22511
2000	14	1	   15.98464	    7.61682
2000	15	1	   16.72700	    7.98087
2000	16	1	   17.41221	    8.32079
2000	17	1	   18.06051	    8.64324
2000	18	1	   18.71334	    8.95240
2000	19	1	   19.37556	    9.26478
2000	20	1	   22.02250	   42.77005
2000	21	1	   21.38493	   14.41932
2000	22	1	   29.54968	   14.15298
2000	23	1	   24.05090	   12.04249
2000	24	1	   25.65347	   13.10379
2000	25	1	   27.40269	   14.32459
2000	26	1	   29.03273	   15.51419
2000	27	1	   30.67965	   16.71871
2000	28	1	   32.24339	   17.87405
2000	29	1	   33.97936	   19.09344
2000	30	1	   35.99697	   20.23544
2000	31	1	   38.01123	   21.31257
2000	32	1	   39.87674	   22.31494
2000	33	1	   52.50635	   23.36518
2000	34	1	   44.62840	   24.44505
2000	35	1	   46.94051	   25.57031
2000	36	1	   49.51672	   26.93484
2000	37	1	   54.01382	   28.49729
2000	38	1	   57.17904	   30.31360
2000	39	1	   61.19423	   32.02084
2000	40	1	   64.19682	   33.62877
2000	41	1	   65.66091	   35.12775
2000	42	1	   67.66966	   36.52601
2000	43	1	   70.02110	   37.81741
2000	44	1	   72.32739	   39.01086
2000	45	1	   74.25895	   40.10394
2000	46	1	   76.13235	   41.10552
2000	47	1	   77.88393	   42.02237
2000	48	1	   79.51710	   42.88046
2000	49	1	   81.36076	   43.82293
2000	50	1	   83.35169	   45.00834
2000	51	1	   85.19290	   46.10252
2000	52	1	   86.91196	   47.12757
2000	53	1	   88.49371	   48.06271
2000	54	1	   89.94813	   48.91702
2000	55	1	   91.27347	   49.69988
2000	56	1	   92.46876	   50.41831
2000	57	1	   93.56422	   51.07624
2000	58	1	   94.56326	   51.68065
2000	59	1	   95.63819	   52.32892
2000	60	1	   98.74174	   53.10877
2000	61	1	   98.56706	   54.05292
2000	62	1	  100.36492	   54.93481
2000	63	1	  102.12099	   55.77543
2000	64	1	  103.74786	   56.56583
2000	65	1	  105.25011	   57.29345
2000	66	1	  106.62498	   57.95303
2000	67	1	  107.87945	   58.55084
2000	68	1	  109.00785	   59.09249
2000	69	1	  110.12034	   59.60483
2000	70	1	  119.95939	   60.18290
2000	71	1	  113.55885	   63.20491
2000	72	1	  116.79379	   81.04132
2000	73	1	  119.45234	   91.21284
2000	74	1	  123.99346	   65.54310
2000	75	1	  132.48294	   69.52818
2000	76	1	  288.07184	   72.45908
2000	77	1	  141.74281	   73.05453
2000	78	1	  140.87384	   75.24975
2000	79	1	  142.47418	   77.29311
2000	80	1	  145.73997	   79.14487
2000	81	1	  148.80386	   80.83984
2000	82	1	  151.81396	   82.39657
2000	83	1	  154.09984	   83.81765
2000	84	1	  156.23949	   85.10988
2000	85	1	  158.26079	   86.28081
2000	86	1	  160.08691	   87.34074
2000	87	1	  161.72264	   88.30188
2000	88	1	  163.18997	   89.16304
2000	89	1	  164.50288	   89.94093
2000	90	1	  165.68820	   90.64741
2000	91	1	  166.75990	   91.28167
2000	92	1	  167.71213	   91.84642
2000	93	1	  168.54668	   92.34868
2000	94	1	  169.28247	   92.79836
2000	95	1	  169.94417	   93.20510
2000	96	1	  170.53104	   93.57534
2000	97	1	  171.04836	   93.91190
2000	98	1	  171.50014	   94.21645
2000	99	1	  171.88649	   94.48785
2000	100	1	  172.21138	   94.72439
2000	101	1	  172.47942	   94.92667
2000	102	1	  172.70081	   95.09925
2000	103	1	  172.87665	   95.24105
2000	104	1	  173.01978	   95.35704
2000	105	1	  173.11760	   95.44144
2000	106	1	  173.17519	   95.49792
2000	107	1	  173.19006	   95.52776
2000	108	1	  173.17174	   95.53361
2000	109	1	  173.12376	   95.51580
2000	110	1	  173.04544	   95.47440
2000	111	1	  173.02013	   95.41360
2000	112	1	  172.95293	   95.33630
2000	113	1	  172.85606	   95.24097
2000	114	1	  172.72289	   95.13239
2000	115	1	  172.55606	   95.01144
2000	116	1	  172.35190	   94.87187
2000	117	1	  172.11053	   94.71429
2000	118	1	  171.83501	   94.54078
2000	119	1	  171.53192	   94.35455
2000	120	1	  171.20543	   94.15644
2000	121	1	  170.85620	   93.94633
2000	122	1	  170.48454	   93.72686
2000	123	1	  170.09062	   93.49599
2000	124	1	  169.67439	   93.25499
2000	125	1	  169.23564	   93.00294
2000	126	1	  168.77586	   92.74055
2000	127	1	  168.29556	   92.46719
2000	128	1	  167.79250	   92.18168
2000	129	1	  167.26810	   91.88483
2000	130	1	  166.72353	   91.57764
2000	131	1	  166.16217	   91.26162
2000	132	1	  165.58627	   90.93872
2000	133	1	  164.99875	   90.60893
2000	134	1	  164.39705	   90.27201
2000	135	1	  163.78299	   89.92898
2000	136	1	  163.15652	   89.57979
2000	137	1	  162.51747	   89.22420
2000	138	1	  161.86618	   88.86169
2000	139	1	  161.20377	   88.49294
2000	140	1	  160.53383	   88.11949
2000	141	1	  159.85513	   87.74198
2000	142	1	  159.17128	   87.36200
2000	143	1	  158.48322	   86.98053
2000	144	1	  157.78986	   86.59728
2000	145	1	  157.09036	   86.21102
2000	146	1	  156.38615	   85.82342
2000	147	1	  155.67607	   85.43351
2000	148	1	  154.95949	   85.04066
2000	149	1	  154.23640	   84.64452
2000	150	1	  153.50891	   84.24546
2000	151	1	  152.77696	   83.84454
2000	152	1	  152.04062	   83.44154
2000	153	1	  151.30118	   83.03658
2000	154	1	  150.55753	   82.62935
2000	155	1	  149.81149	   82.22109
2000	156	1	  149.06415	   81.81218
2000	157	1	  148.31569	   81.40320
2000	158	1	  147.56630	   80.99346
2000	159	1	  146.81662	   80.58411
2000	160	1	  146.06763	   80.17560
2000	161	1	  145.31856	   79.76711
2000	162	1	  144.56866	   79.35824
2000	163	1	  143.81804	   78.94912
2000	164	1	  143.06760	   78.54061
2000	165	1	  142.31741	   78.13196
2000	166	1	  141.56696	   77.72335
2000	167	1	  140.81657	   77.31472
2000	168	1	  140.06639	   76.90636
2000	169	1	  139.31665	   76.49837
2000	170	1	  138.56755	   76.09090
2000	171	1	  137.81927	   75.68387
2000	172	1	  137.07159	   75.27719
2000	173	1	  136.32495	   74.87099
2000	174	1	  135.57933	   74.46405
2000	175	1	  134.83554	   74.05478
2000	176	1	  134.09297	   73.64634
2000	177	1	  133.35168	   73.23881
2000	178	1	  132.61151	   72.83224
2000	179	1	  131.87257	   72.42666
2000	180	1	  131.13522	   72.02216
2000	181	1	  130.39975	   71.61893
2000	182	1	  129.66614	   71.21691
2000	183	1	  128.93422	   70.81600
2000	184	1	  128.20425	   70.41631
2000	185	1	  127.47641	   70.01798
2000	186	1	  126.75123	   69.62122
2000	187	1	  126.02883	   69.22615
2000	188	1	  125.30959	   68.83276
2000	189	1	  124.59360	   68.44110
2000	190	1	  123.88030	   68.05125
2000	191	1	  123.16954	   67.66279
2000	192	1	  122.46132	   67.27589
2000	193	1	  121.75579	   66.89059
2000	194	1	  121.05267	   66.50663
2000	195	1	  120.35229	   66.12417
2000	196	1	  119.65497	   65.74359
2000	197	1	  118.96067	   65.36454
2000	198	1	  118.26911	   64.98708
2000	199	1	  117.58028	   64.61106
2000	200	1	  116.89401	   64.23657
2000	201	1	  116.21049	   63.86367
2000	202	1	  115.52970	   63.49232
2000	203	1	  114.85155	   63.12244
2000	204	1	  114.17611	   62.75412
2000	205	1	  113.50339	   62.38730
2000	206	1	  112.83340	   62.02216
2000	207	1	  112.16590	   61.65866
2000	208	1	  111.49975	   61.29688
2000	209	1	  110.83582	   60.93700
2000	210	1	  110.17525	   60.57893
2000	211	1	  109.51810	   60.22253
2000	212	1	  108.86423	   59.86782
2000	213	1	  108.21365	   59.51477
2000	214	1	  107.56648	   59.16345
2000	215	1	  106.92273	   58.81388
2000	216	1	  106.28237	   58.46607
2000	217	1	  105.64533	   58.11996
2000	218	1	  105.01186	   57.77575
2000	219	1	  104.38165	   57.43320
2000	220	1	  103.75485	   57.09242
2000	221	1	  103.13141	   56.75341
2000	222	1	  102.51146	   56.41621
2000	223	1	  101.89488	   56.08075
2000	224	1	  101.28165	   55.74707
2000	225	1	  100.67188	   55.41519
2000	226	1	  100.06570	   55.08525
2000	227	1	   99.46280	   54.75702
2000	228	1	   98.86338	   54.43063
2000	229	1	   98.26740	   54.10607
2000	230	1	   97.67485	   53.78333
2000	231	1	   97.08575	   53.46242
2000	232	1	   96.49998	   53.14330
2000	233	1	   95.91758	   52.82595
2000	234	1	   95.33855	   52.51039
2000	235	1	   94.76275	   52.19654
2000	236	1	   94.19037	   51.88451
2000	237	1	   93.62115	   51.57413
2000	238	1	   93.05521	   51.26548
2000	239	1	   92.49239	   50.95848
2000	240	1	   91.93271	   50.65312
2000	241	1	   91.37614	   50.34935
2000	242	1	   90.82317	   50.04722
2000	243	1	   90.27267	   49.74672
2000	244	1	   89.72542	   49.44778
2000	245	1	   89.18135	   49.15049
2000	246	1	   88.64033	   48.85479
2000	247	1	   88.10297	   48.56070
2000	248	1	   87.56787	   48.26883
2000	249	1	   87.03644	   47.97777
2000	250	1	   86.50909	   47.68863
2000	251	1	   85.99847	   47.40244
2000	252	1	   85.48236	   47.11575
2000	253	1	   84.96183	   46.83164
2000	254	1	   84.45297	   46.54916
2000	255	1	   83.94700	   46.26826
2000	256	1	   83.44353	   45.98884
2000	257	1	   82.94271	   45.71091
2000	258	1	   82.44447	   45.43446
2000	259	1	   81.94878	   45.15943
2000	260	1	   81.45564	   44.88586
2000	261	1	   80.96500	   44.61371
2000	262	1	   80.47696	   44.34238
2000	263	1	   79.99139	   44.07037
2000	264	1	   79.50830	   43.79823
2000	265	1	   79.02769	   43.52767
2000	266	1	   78.54953	   43.25868
2000	267	1	   78.07382	   42.99127
2000	268	1	   77.60055	   42.72543
2000	269	1	   77.12975	   42.46114
2000	270	1	   76.66147	   42.19842
2000	271	1	   76.19582	   41.93732
2000	272	1	   75.73290	   41.67791
2000	273	1	   75.27215	   41.41973
2000	274	1	   74.81412	   41.16328
2000	275	1	   74.35860	   40.90834
2000	276	1	   73.90564	   40.65496
2000	277	1	   73.45494	   40.40305
2000	278	1	   73.00677	   40.15264
2000	279	1	   72.56116	   39.90372
2000	280	1	   72.12547	   39.65699
2000	281	1	   71.68790	   39.41184
2000	282	1	   71.24450	   39.16566
2000	283	1	   70.81078	   38.92184
2000	284	1	   70.37950	   38.67821
2000	285	1	   69.95045	   38.43613
2000	286	1	   69.52362	   38.19561
2000	287	1	   69.09901	   37.95663
2000	288	1	   68.67660	   37.71917
2000	289	1	   68.25646	   37.48325
2000	290	1	   67.83791	   37.24883
2000	291	1	   67.41809	   37.01591
2000	292	1	   67.00070	   36.78447
2000	293	1	   66.58582	   36.55453
2000	294	1	   66.17340	   36.32605
2000	295	1	   65.76344	   36.09903
2000	296	1	   65.35588	   35.87347
2000	297	1	   64.95097	   35.64934
2000	298	1	   64.54816	   35.42663
2000	299	1	   64.14793	   35.20537
2000	300	1	   63.75013	   34.98550
2000	301	1	   63.35468	   34.76705
2000	302	1	   62.96170	   34.55000
2000	303	1	   62.57162	   34.33437
2000	304	1	   62.19557	   34.12137
2000	305	1	   61.80851	   33.91358
2000	306	1	   61.42560	   33.70371
2000	307	1	   61.04091	   33.48689
2000	308	1	   60.66350	   33.27707
2000	309	1	   60.29665	   33.07655
2000	310	1	   59.93492	  113.77601
2000	311	1	   59.57747	   32.67419
2000	312	1	   59.22410	   32.47607
2000	313	1	   58.88181	   32.28304
2000	314	1	   58.52942	   32.08067
2000	315	1	   58.18885	   31.89153
2000	316	1	   57.86138	   31.71395
2000	317	1	   57.52498	   31.52568
2000	318	1	   57.19838	   31.34809
2000	319	1	   56.87735	   31.16700
2000	320	1	   56.57498	   30.99704
2000	321	1	   56.29092	   30.83545
2000	322	1	   56.00896	   30.65893
2000	323	1	   55.72272	   30.49580
2000	324	1	   55.44575	   30.33283
2000	325	1	   55.16926	   30.16991
2000	326	1	   54.89126	   30.00702
2000	327	1	   54.61341	   29.84403
2000	328	1	   54.33525	   29.68104
2000	329	1	   54.05632	   29.51818
2000	330	1	   53.77730	   29.35550
2000	331	1	   53.49882	   29.19344
2000	332	1	   53.24592	   29.03390
2000	333	1	   52.99411	   28.87762
2000	334	1	   52.73909	   28.71074
2000	335	1	   52.49506	   28.55135
2000	336	1	   52.25461	   28.39425
2000	337	1	   52.02834	   28.24475
2000	338	1	   51.81501	   28.09821
2000	339	1	   51.62335	   27.95377
2000	340	1	   51.46740	   31.68311
2000	341	1	   51.32516	   27.70609
2000	342	1	   51.24472	   27.60148
2000	343	1	   51.18739	   27.49177
2000	344	1	   51.12484	   27.38012
2000	345	1	   51.09080	   27.28084
2000	346	1	   86.86458	   66.14478
2000	347	1	   51.28717	   27.17846
2000	348	1	   51.43501	   27.16147
2000	349	1	   51.65598	   27.16258
2000	350	1	   51.94975	   27.19900
2000	351	1	   52.27713	   27.25806
2000	352	1	   52.63790	   27.36647
2000	353	1	   53.02070	   27.49955
2000	354	1	   53.51809	   27.65903
2000	355	1	   54.05643	   27.83596
2000	356	1	   54.66658	   28.04914
2000	357	1	   55.30765	   28.28863
2000	358	1	   55.90701	   28.49985
2000	359	1	   56.46686	   28.70208
2000	360	1	   56.98833	   28.88535
2000	361	1	   57.46285	   29.04944
2000	362	1	   57.88866	   29.19587
2000	363	1	   58.26718	   29.32571
2000	364	1	   58.60133	   29.44098
2000	365	1	   58.90698	   29.54751
2000	366	1	   59.36039	   29.72983
