Specification of soil-vegetation components (links soter. terrain component. soil and vegetation properties)
For each block: first line Soil IDs. Second line Land use. third line fraction of SVCs in each terrain component
Subasin-ID[id]	LU-ID[id]	TC-ID[id]	fraction_rocky[-]	nbrSVC[-]	Soil-ID(n_values)[-]	Vegetation-ID(n_values)[-]	fraction(n_values)[-]
15	1	1	0.001	3	1016	1016	1027
15	1	1	0.001	3	45	55	55
15	1	1	0.001	3	0.499	0.25	0.25
15	1	2	0.001	3	1016	1016	1027
15	1	2	0.001	3	45	55	55
15	1	2	0.001	3	0.499	0.25	0.25
15	1	3	0.001	3	1016	1016	1027
15	1	3	0.001	3	45	55	55
15	1	3	0.001	3	0.499	0.25	0.25
15	2	4	0.001	3	1016	1016	1027
15	2	4	0.001	3	45	55	55
15	2	4	0.001	3	0.499	0.25	0.25
15	2	5	0.001	3	1016	1016	1027
15	2	5	0.001	3	45	55	55
15	2	5	0.001	3	0.499	0.25	0.25
15	2	6	0.001	3	1016	1016	1027
15	2	6	0.001	3	45	55	55
15	2	6	0.001	3	0.499	0.25	0.25
69	1	1	0.001	3	1016	1016	1027
69	1	1	0.001	3	45	55	55
69	1	1	0.001	3	0.499	0.25	0.25
69	1	2	0.001	3	1016	1016	1027
69	1	2	0.001	3	45	55	55
69	1	2	0.001	3	0.499	0.25	0.25
69	1	3	0.001	3	1016	1016	1027
69	1	3	0.001	3	45	55	55
69	1	3	0.001	3	0.499	0.25	0.25
69	2	4	0.001	3	1016	1016	1027
69	2	4	0.001	3	45	55	55
69	2	4	0.001	3	0.499	0.25	0.25
69	2	5	0.001	3	1016	1016	1027
69	2	5	0.001	3	45	55	55
69	2	5	0.001	3	0.499	0.25	0.25
69	2	6	0.001	3	1016	1016	1027
69	2	6	0.001	3	45	55	55
69	2	6	0.001	3	0.499	0.25	0.25
