Daily average temperature (in degree Celsius)
Date	No. of days	Subbasin-ID.
0	0	69	15
1012000	1	22.3	21.7
2012000	2	21.8	20.9
3012000	3	22.8	21.7
4012000	4	22.9	21.9
5012000	5	23.9	23
6012000	6	24.1	23.2
7012000	7	24.1	23.4
8012000	8	24	22.9
9012000	9	24.2	22.8
10012000	10	23.9	23
11012000	11	23.8	22.8
12012000	12	24	23.7
13012000	13	24.7	24.3
14012000	14	25.6	25.3
15012000	15	26.3	25.8
16012000	16	26.7	26.4
17012000	17	26.2	25.3
18012000	18	25.7	24.9
19012000	19	26.3	25.1
20012000	20	23.8	23.4
21012000	21	23.4	23
22012000	22	23.2	22.7
23012000	23	23	22.8
24012000	24	22.5	22.5
25012000	25	23.4	22.6
26012000	26	24.5	23.9
27012000	27	25.1	24.2
28012000	28	24.5	24.2
29012000	29	24.1	23.4
30012000	30	25	23.4
31012000	31	25.8	24
1022000	32	25.8	24.5
2022000	33	24.6	23.6
3022000	34	24.9	24.1
4022000	35	24.7	24.4
5022000	36	24.2	23.6
6022000	37	23.8	22.9
7022000	38	24	23.2
8022000	39	24.5	23.1
9022000	40	25	22.7
10022000	41	25	23.5
11022000	42	24.4	23.5
12022000	43	24.4	23.8
13022000	44	24.7	23.6
14022000	45	24.7	23.8
15022000	46	24.8	23.9
16022000	47	25.1	24.2
17022000	48	24.8	23.8
18022000	49	23.8	22.6
19022000	50	22.1	21.6
20022000	51	23.6	22.5
21022000	52	24.5	23.1
22022000	53	24.4	23
23022000	54	24.5	23.3
24022000	55	24.5	23.8
25022000	56	25.1	24.1
26022000	57	25.3	24.5
27022000	58	25.1	24.3
28022000	59	24.2	23.3
29022000	60	23.4	22.5
1032000	61	22.9	22.3
2032000	62	23.5	22.3
3032000	63	23.9	22.6
4032000	64	24.2	23
5032000	65	24.4	23.3
6032000	66	24.5	23.3
7032000	67	24.9	24.1
8032000	68	24.9	24.2
9032000	69	24.4	23.5
10032000	70	23.5	21.6
11032000	71	22.8	22.2
12032000	72	21.9	21.5
13032000	73	22.4	21.7
14032000	74	23	22.3
15032000	75	22.6	22.1
16032000	76	22.9	21.8
17032000	77	23.8	22.4
18032000	78	24.6	23
19032000	79	24.4	23.7
20032000	80	24.5	23.7
21032000	81	24.4	23.2
22032000	82	24.3	23.4
23032000	83	24.6	23.2
24032000	84	24.6	23.4
25032000	85	24.6	23.6
26032000	86	24.7	23.8
27032000	87	24.8	23.9
28032000	88	25	23.9
29032000	89	24.4	23.4
30032000	90	24.2	23.1
31032000	91	24.4	23.3
1042000	92	24.2	23.3
2042000	93	24.3	23.5
3042000	94	24.4	23.3
4042000	95	23.7	22.9
5042000	96	23.3	22.3
6042000	97	23.7	22.5
7042000	98	23.1	22.2
8042000	99	23.5	22.9
9042000	100	23.9	23
10042000	101	24.1	23
11042000	102	24	22.9
12042000	103	24.5	24
13042000	104	25	23.6
14042000	105	25.4	24.5
15042000	106	25.7	24.7
16042000	107	25.3	24.2
17042000	108	25	24
18042000	109	25.3	24.2
19042000	110	25.5	24.4
20042000	111	25.5	23.7
21042000	112	25.3	23.9
22042000	113	25.3	23.8
23042000	114	24.6	23.5
24042000	115	24.5	23.3
25042000	116	24.3	23.2
26042000	117	23	21.9
27042000	118	23.2	21.5
28042000	119	23.6	22
29042000	120	23.8	22.1
30042000	121	24.1	22.6
1052000	122	24.2	23
2052000	123	24.6	23.3
3052000	124	24.7	23.6
4052000	125	24.1	23
5052000	126	23.8	22.7
6052000	127	24.3	23.4
7052000	128	25.5	24.3
8052000	129	26	24.2
9052000	130	25.9	24.6
10052000	131	25.9	24.5
11052000	132	25.3	24
12052000	133	23.7	22.9
13052000	134	22.2	21.2
14052000	135	21.7	20.4
15052000	136	22.2	20.9
16052000	137	22.3	21.8
17052000	138	23.4	22.5
18052000	139	24.3	23.4
19052000	140	24.6	23.3
20052000	141	24.7	23.5
21052000	142	24.1	23
22052000	143	23.7	22.8
23052000	144	22.9	22.3
24052000	145	22.2	21.4
25052000	146	21.2	19.9
26052000	147	22.4	20.9
27052000	148	23.4	21.9
28052000	149	23.8	22.4
29052000	150	23.8	22.5
30052000	151	23.9	22.6
31052000	152	24.4	23.1
1062000	153	25.2	23.9
