Daily total precipitation [mm] for each subasin, ordered according to Map-IDs
Date		Subbasin-ID.
0	0	69	15
1012000	1	15.4	14.3
2012000	2	26.4	22.8
3012000	3	10.4	11.1
4012000	4	11.9	11
5012000	5	0.5	2.7
6012000	6	1.4	1.5
7012000	7	0.1	0.8
8012000	8	1	1.2
9012000	9	0.2	2.1
10012000	10	0.4	1.7
11012000	11	0.2	0.6
12012000	12	0	0
13012000	13	0	0
14012000	14	0	0
15012000	15	0	0
16012000	16	0.1	0
17012000	17	2.2	5.2
18012000	18	6.7	5.2
19012000	19	4.8	6.5
20012000	20	27	19.4
21012000	21	22	18.6
22012000	22	20.9	20.3
23012000	23	19	10.1
24012000	24	11.5	12
25012000	25	14.2	10.9
26012000	26	4.9	1.8
27012000	27	5.1	6.1
28012000	28	4	4.2
29012000	29	6.8	11
30012000	30	2.8	15.6
31012000	31	0.3	6.6
1022000	32	0	2.8
2022000	33	8.8	19.1
3022000	34	7.8	8.9
4022000	35	7.5	3.4
5022000	36	17.1	15.1
6022000	37	14.1	12
7022000	38	15.6	7.9
8022000	39	3.3	10.5
9022000	40	1.2	8
10022000	41	0.2	3.3
11022000	42	0.4	1.5
12022000	43	1.1	1.3
13022000	44	0.3	2.2
14022000	45	0.7	1.5
15022000	46	0.2	0.9
16022000	47	0.4	0.6
17022000	48	4.4	4.8
18022000	49	8.3	10.6
19022000	50	17	9.4
20022000	51	1.3	3.2
21022000	52	0.1	2.2
22022000	53	0.2	0.7
23022000	54	0.3	0.3
24022000	55	0.9	0.6
25022000	56	0.4	1.4
26022000	57	0.6	1
27022000	58	1.7	1.5
28022000	59	8.2	8.2
29022000	60	13.8	17.5
1032000	61	14.1	9.8
2032000	62	2.5	13.1
3032000	63	0.8	5
4032000	64	0.5	2.2
5032000	65	0.2	1.1
6032000	66	0.3	0.5
7032000	67	0.2	0.8
8032000	68	0.1	0.2
9032000	69	4.7	5.4
10032000	70	6.7	19.5
11032000	71	19.5	14.9
12032000	72	22.6	15.9
13032000	73	22.1	11.5
14032000	74	14	13.4
15032000	75	16.7	16
16032000	76	16.4	23.6
17032000	77	1.5	8.4
18032000	78	0.2	3
19032000	79	0	0.8
20032000	80	0.4	0.7
21032000	81	1.3	0.8
22032000	82	0.3	1.9
23032000	83	0.5	1.4
24032000	84	0.2	0.8
25032000	85	0.3	0.5
26032000	86	0.4	0.6
27032000	87	0.4	0.9
28032000	88	0.1	0.6
29032000	89	0.5	0.9
30032000	90	0.6	1.2
31032000	91	0.2	1
1042000	92	0.2	0.1
2042000	93	0.2	0.2
3042000	94	0.6	1
4042000	95	0.1	0.5
5042000	96	0.3	0.4
6042000	97	0.8	0.5
7042000	98	0.9	0.7
8042000	99	0.8	0.8
9042000	100	0.1	0.8
10042000	101	1.2	1.9
11042000	102	0.2	1.3
12042000	103	0.2	0.8
13042000	104	0.4	1.8
14042000	105	0.1	0.5
15042000	106	0.4	0.7
16042000	107	0.4	1.7
17042000	108	0.6	1
18042000	109	0.3	1.1
19042000	110	0.2	2
20042000	111	0.7	6.6
21042000	112	3.1	1.6
22042000	113	0.7	0
23042000	114	1	0
24042000	115	0.5	0.3
25042000	116	0	0
26042000	117	0	0
27042000	118	0	0
28042000	119	0.1	0.2
29042000	120	0.4	0.6
30042000	121	0.2	0.6
1052000	122	0.1	0.3
2052000	123	0	0.1
3052000	124	0	0.1
4052000	125	0	0
5052000	126	0	0
6052000	127	0	0
7052000	128	0	0
8052000	129	0	0
9052000	130	0	0
10052000	131	0	0
11052000	132	0.1	0
12052000	133	0	0
13052000	134	0	0
14052000	135	0	0
15052000	136	0	0
16052000	137	0	0
17052000	138	0	0
18052000	139	0	0
19052000	140	0	0.1
20052000	141	0	0
21052000	142	0.3	0.5
22052000	143	0.1	0.5
23052000	144	0	0
24052000	145	0	0
25052000	146	0	0
26052000	147	0	0
27052000	148	0	0
28052000	149	0	0
29052000	150	0	0
30052000	151	0	0
31052000	152	0	0
1062000	153	0	0
2062000	154	0	0
3062000	155	0	0
4062000	156	0	0
5062000	157	0	0
6062000	158	0	0
7062000	159	0	0
8062000	160	0.3	0.1
9062000	161	0	0
10062000	162	0	0
11062000	163	0	0
12062000	164	0.2	0
13062000	165	0	0.1
14062000	166	0	0
15062000	167	0	0
16062000	168	0	0
17062000	169	0	0
18062000	170	0	0
19062000	171	0	0
20062000	172	0	0
21062000	173	0	0
22062000	174	0	0
23062000	175	0	0.1
24062000	176	0	0
25062000	177	0	0
26062000	178	0	0
27062000	179	0	0
28062000	180	0	0
29062000	181	0	0
30062000	182	0	0
1072000	183	0	0
2072000	184	0	0
3072000	185	0	0
4072000	186	0.1	0
5072000	187	0	0
6072000	188	0	0.1
7072000	189	0.1	0.1
8072000	190	0.1	0.1
9072000	191	0	0
10072000	192	0	0
11072000	193	0	0
12072000	194	0	0
13072000	195	0	0
14072000	196	0.4	0.1
15072000	197	0	0
16072000	198	0	0.1
17072000	199	0	0
18072000	200	0	0
19072000	201	0.1	0.1
20072000	202	0	0
21072000	203	0	0
22072000	204	0	0
23072000	205	0	0
24072000	206	0	0
25072000	207	0	0.1
26072000	208	0	0.2
27072000	209	0.1	0.1
28072000	210	0.1	0
29072000	211	0	0
30072000	212	0	0
31072000	213	0	0
1082000	214	0	0
2082000	215	0	0
3082000	216	0	0
4082000	217	0	0
5082000	218	0	0.1
6082000	219	0	0
7082000	220	0	0
8082000	221	0	0
9082000	222	0	0.1
10082000	223	0	0
11082000	224	0	0
12082000	225	0	0
13082000	226	0	0.1
14082000	227	0	0
15082000	228	0	0
16082000	229	0	0
17082000	230	0	0
18082000	231	0	0
19082000	232	0	0
20082000	233	0	0
21082000	234	0	0
22082000	235	0	0
23082000	236	0.1	0
24082000	237	0	0
25082000	238	0	0
26082000	239	0	0
27082000	240	0	0
28082000	241	0	0
29082000	242	0	1.5
30082000	243	0.1	0.4
31082000	244	0	0
1092000	245	0	0
2092000	246	0	0
3092000	247	0.1	2.3
4092000	248	2.5	0.7
5092000	249	0.3	0.5
6092000	250	0.2	4.9
7092000	251	5	18.2
8092000	252	0.4	6.7
9092000	253	0	0.3
10092000	254	0	0.1
11092000	255	0	0
12092000	256	0	0
13092000	257	0	0
14092000	258	0	0
15092000	259	0	0
16092000	260	0	0
17092000	261	0	0
18092000	262	0	0
19092000	263	0	0
20092000	264	0	0
21092000	265	0	0
22092000	266	0	0
23092000	267	0	0
24092000	268	0	0
25092000	269	0	0
26092000	270	0	0.1
27092000	271	0.2	0
28092000	272	0.8	0.6
29092000	273	0	0
30092000	274	0	0
1102000	275	0	0.1
2102000	276	0	0
3102000	277	0	0
4102000	278	0	0.1
5102000	279	0.1	0.8
6102000	280	3.2	12.1
7102000	281	5.6	8.3
8102000	282	0	0.9
9102000	283	0	0
10102000	284	0	0
11102000	285	0	0
12102000	286	0	0
13102000	287	0	0
14102000	288	0	0
15102000	289	0	0
16102000	290	0	0
17102000	291	0	0
18102000	292	0	0
19102000	293	0	0
20102000	294	0	0
21102000	295	0	0
22102000	296	0.2	0.1
23102000	297	0.1	0.9
24102000	298	0	0.2
25102000	299	0.1	0.1
26102000	300	0	0.1
27102000	301	0	0
28102000	302	0	0.1
29102000	303	0.4	2.2
30102000	304	5.4	16.6
31102000	305	5.3	9.1
1112000	306	6.2	7.2
2112000	307	1.8	2.7
3112000	308	2.2	2.4
4112000	309	7.6	13
5112000	310	39	18.9
