Daily average humidity [%]
Date	No. of days	Subbasin-ID.
0	0	69	15
1022000	32	84	90
2022000	33	84	93
3022000	34	93	94
4022000	35	92	91
5022000	36	93	92
6022000	37	94	95
7022000	38	93	95
8022000	39	90	93
9022000	40	89	92
10022000	41	87	91
11022000	42	92	95
12022000	43	88	92
13022000	44	84	89
14022000	45	87	91
15022000	46	86	89
16022000	47	86	90
17022000	48	84	88
18022000	49	94	93
19022000	50	96	94
20022000	51	92	93
21022000	52	92	93
22022000	53	90	92
23022000	54	88	91
24022000	55	88	91
25022000	56	89	92
26022000	57	93	95
27022000	58	92	94
28022000	59	94	94
29022000	60	93	95
1032000	61	92	92
2032000	62	93	94
3032000	63	92	92
4032000	64	90	90
5032000	65	90	91
6032000	66	87	86
7032000	67	88	88
8032000	68	90	90
9032000	69	94	93
10032000	70	93	93
11032000	71	95	96
12032000	72	95	95
13032000	73	92	93
14032000	74	96	97
15032000	75	96	96
16032000	76	95	96
17032000	77	91	94
18032000	78	91	95
19032000	79	86	93
20032000	80	92	94
21032000	81	89	91
22032000	82	88	92
23032000	83	91	92
24032000	84	90	91
25032000	85	88	89
26032000	86	84	86
27032000	87	92	92
28032000	88	88	90
29032000	89	86	91
30032000	90	88	90
31032000	91	84	88
1042000	92	86	91
2042000	93	87	92
3042000	94	91	91
4042000	95	87	88
5042000	96	87	87
6042000	97	88	88
7042000	98	87	88
8042000	99	91	91
9042000	100	90	90
10042000	101	89	91
11042000	102	91	94
12042000	103	90	92
13042000	104	88	93
14042000	105	91	93
15042000	106	89	93
16042000	107	88	92
17042000	108	83	89
18042000	109	84	90
19042000	110	85	93
20042000	111	80	86
21042000	112	82	89
22042000	113	94	93
23042000	114	90	89
24042000	115	85	89
25042000	116	82	87
26042000	117	80	85
27042000	118	75	79
28042000	119	76	79
29042000	120	79	81
30042000	121	79	82
1052000	122	77	81
2052000	123	77	79
3052000	124	78	82
4052000	125	76	78
5052000	126	76	78
6052000	127	72	74
7052000	128	62	67
8052000	129	62	66
9052000	130	66	67
10052000	131	59	65
11052000	132	71	73
12052000	133	68	71
13052000	134	71	73
14052000	135	74	73
15052000	136	72	70
16052000	137	62	60
17052000	138	49	54
18052000	139	52	60
19052000	140	56	68
20052000	141	61	64
21052000	142	67	65
22052000	143	71	70
23052000	144	69	69
24052000	145	66	64
25052000	146	68	66
26052000	147	70	63
27052000	148	62	52
28052000	149	51	49
29052000	150	51	56
30052000	151	54	46
31052000	152	52	46
1062000	153	49	54
2062000	154	48	53
3062000	155	63	59
4062000	156	66	64
5062000	157	67	65
6062000	158	70	67
7062000	159	74	70
8062000	160	74	70
9062000	161	70	66
10062000	162	68	61
11062000	163	65	57
12062000	164	72	60
13062000	165	66	57
