Daily average radiation [W/m2]
Date	No. of days	Subbasin-ID.
0	0	69	15
01022000	32	328.4	294.8
02022000	33	199.8	205.9
03022000	34	262.2	269.2
04022000	35	233.2	265.1
05022000	36	206.5	186.3
06022000	37	209.4	167.9
07022000	38	236.6	206.4
08022000	39	226.1	219.4
09022000	40	260.9	176.4
10022000	41	286.2	233.3
11022000	42	278.7	244.2
12022000	43	258.8	262.8
13022000	44	298.5	276.4
14022000	45	303.1	295.3
15022000	46	293.7	297.6
16022000	47	290.8	292.7
17022000	48	268.8	276.2
18022000	49	244.4	202.5
19022000	50	124.3	157.1
20022000	51	275.2	225.9
21022000	52	297.5	264
22022000	53	291.7	282.4
23022000	54	285.1	277.4
24022000	55	284.1	289.2
25022000	56	281.6	284.7
26022000	57	290	278.2
27022000	58	272.1	263.6
28022000	59	256.4	231.9
29022000	60	227	205.1
01032000	61	174.7	167.4
02032000	62	230.2	194.5
03032000	63	241.1	204.9
04032000	64	259.1	244.5
05032000	65	287.8	265.4
06032000	66	299.5	285.8
07032000	67	289.7	276.6
08032000	68	282.8	271.4
09032000	69	219.3	224.7
10032000	70	178.9	146
11032000	71	135.4	171.4
12032000	72	104.3	119.1
13032000	73	144	135.7
14032000	74	172.4	171
15032000	75	138.3	150.7
16032000	76	149.4	111.6
17032000	77	234.5	172.9
18032000	78	278.4	186.5
19032000	79	289.8	235.3
20032000	80	255	247.3
21032000	81	241.3	249.5
22032000	82	283.2	278.4
23032000	83	241	226.2
24032000	84	271.4	254.2
25032000	85	266.2	262.3
26032000	86	266.7	261
27032000	87	268.6	261.5
28032000	88	291.5	270.8
29032000	89	243.5	254.7
30032000	90	254	242.6
31032000	91	259.6	250.9
01042000	92	268.7	268.3
02042000	93	257.2	256.5
03042000	94	244	242.4
04042000	95	177.4	196.1
05042000	96	180.6	202.4
06042000	97	191.9	202.4
07042000	98	212	211.4
08042000	99	241.8	245.8
09042000	100	220	235.5
10042000	101	238.7	245.1
11042000	102	238.6	251.3
12042000	103	220.2	244
13042000	104	189	163.1
14042000	105	252.2	250.7
15042000	106	245.3	241.6
16042000	107	247.2	229.7
17042000	108	234.6	217.1
18042000	109	230.3	210.7
19042000	110	243.5	227.3
20042000	111	216.4	192
21042000	112	204.6	187.6
22042000	113	242.1	254.6
23042000	114	207.1	234.2
24042000	115	172.2	208.4
25042000	116	249.5	237.7
26042000	117	267	264.8
27042000	118	234.4	246.4
28042000	119	195.2	207.9
29042000	120	208.3	201.7
30042000	121	203.7	204.6
01052000	122	162.3	198.6
02052000	123	193.8	195.6
03052000	124	187.5	217
04052000	125	211.7	223.8
05052000	126	213.9	225.5
06052000	127	226.7	217.2
07052000	128	239.3	232.1
08052000	129	236.1	231
09052000	130	238.2	231.6
10052000	131	206.3	204
11052000	132	200.6	206.9
12052000	133	207.7	181.5
13052000	134	241.6	240.3
14052000	135	236	240
15052000	136	239.1	239
16052000	137	240.4	239.7
17052000	138	239.7	232.7
18052000	139	234.1	222.1
19052000	140	203.7	191.9
20052000	141	196	206.1
21052000	142	178.5	176.4
22052000	143	145.2	167.9
23052000	144	151.5	178.6
24052000	145	205.3	206.7
25052000	146	166	199.7
26052000	147	203.2	220.9
27052000	148	217.7	221.6
28052000	149	223.7	224.3
29052000	150	218.9	199.5
30052000	151	186.5	187
31052000	152	194.2	192.7
01062000	153	190.7	179.9
02062000	154	220.7	214.4
03062000	155	197.1	196.1
04062000	156	183.3	181.4
05062000	157	165.3	186.7
06062000	158	214.2	199
07062000	159	168.9	193.6
08062000	160	144.6	165.3
09062000	161	174.7	174
10062000	162	206.8	205.6
11062000	163	207.8	210.8
12062000	164	170.2	179
13062000	165	197.5	169.1
14062000	166	193.9	191.1
15062000	167	209	202.9
16062000	168	197	210.1
17062000	169	200	211.3
18062000	170	188.1	209.9
19062000	171	196.6	207.7
20062000	172	209.5	209.9
21062000	173	192	181.1
22062000	174	207	210
23062000	175	176.6	177.4
24062000	176	217.2	214.1
25062000	177	223.4	219
26062000	178	221.6	220.6
27062000	179	219.8	218.5
28062000	180	217.2	215
29062000	181	202.7	211.6
30062000	182	213.3	216.4
01072000	183	210.9	211.9
02072000	184	213.2	209.6
03072000	185	200.1	203
04072000	186	176.4	170.6
05072000	187	155.7	161.2
06072000	188	158.9	145.7
07072000	189	153.9	128.5
08072000	190	148.3	179.4
09072000	191	207	203.9
10072000	192	200.8	210.4
11072000	193	185.5	192.3
12072000	194	219.6	201.9
13072000	195	203.4	193.1
14072000	196	155.6	167.3
15072000	197	177.9	155.7
16072000	198	198.2	191.7
17072000	199	221.4	217.7
18072000	200	215	225.7
19072000	201	200.9	203.5
20072000	202	191	194.7
21072000	203	218.6	214.2
22072000	204	227.3	223.7
23072000	205	229.8	225.2
24072000	206	201.8	162
25072000	207	200.4	206
26072000	208	201.1	192
27072000	209	173.4	188.5
28072000	210	167.1	206.5
29072000	211	227.6	221.7
30072000	212	238.4	235.9
31072000	213	241.3	240
01082000	214	239.9	225.6
02082000	215	219.6	221.1
03082000	216	219.9	228
04082000	217	240.4	232.3
05082000	218	177.8	202.5
06082000	219	245.4	239.2
07082000	220	248.7	246
08082000	221	234.4	243.5
09082000	222	216.8	211.8
10082000	223	214.8	201.5
11082000	224	224	213.1
12082000	225	203.4	210.7
13082000	226	161.9	176.6
14082000	227	247.2	239.7
15082000	228	259.7	256.1
16082000	229	260.3	257.3
17082000	230	260.9	254.8
18082000	231	259.2	256
19082000	232	250.1	257
20082000	233	248.3	245.9
21082000	234	238.3	232.8
22082000	235	253.6	251.9
23082000	236	208	210.7
24082000	237	234.6	224.4
25082000	238	225.9	210.4
26082000	239	235.4	225.1
27082000	240	247.2	230.7
28082000	241	258.7	227.5
29082000	242	225.7	193
30082000	243	230.8	220.7
31082000	244	271.4	267.8
01092000	245	262.9	250
02092000	246	228.8	222.4
03092000	247	226	206.6
04092000	248	208.2	210.3
05092000	249	113.1	127.6
