total subsurface runoff (groundwater+interflow) [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.10178E+08	0.57290E+07
2000	2	1	0.10443E+08	0.58555E+07
2000	3	1	0.10710E+08	0.59853E+07
2000	4	1	0.10950E+08	0.61197E+07
2000	5	1	0.11238E+08	0.62844E+07
2000	6	1	0.11552E+08	0.64740E+07
2000	7	1	0.11867E+08	0.66948E+07
2000	8	1	0.12195E+08	0.68982E+07
2000	9	1	0.12526E+08	0.70852E+07
2000	10	1	0.12819E+08	0.72555E+07
2000	11	1	0.13081E+08	0.74109E+07
2000	12	1	0.13315E+08	0.75512E+07
2000	13	1	0.13525E+08	0.76780E+07
2000	14	1	0.13713E+08	0.77913E+07
2000	15	1	0.13880E+08	0.78927E+07
2000	16	1	0.14030E+08	0.79829E+07
2000	17	1	0.14166E+08	0.80655E+07
2000	18	1	0.14324E+08	0.81571E+07
2000	19	1	0.14496E+08	0.82767E+07
2000	20	1	0.14653E+08	0.83857E+07
2000	21	1	0.14796E+08	0.84851E+07
2000	22	1	0.14924E+08	0.85734E+07
2000	23	1	0.15039E+08	0.86518E+07
2000	24	1	0.15140E+08	0.87215E+07
2000	25	1	0.15228E+08	0.87837E+07
2000	26	1	0.15305E+08	0.88385E+07
2000	27	1	0.15373E+08	0.88868E+07
2000	28	1	0.15448E+08	0.89398E+07
2000	29	1	0.15555E+08	0.90074E+07
2000	30	1	0.15678E+08	0.90931E+07
2000	31	1	0.15827E+08	0.91720E+07
2000	32	1	0.15972E+08	0.92455E+07
2000	33	1	0.16103E+08	0.93130E+07
2000	34	1	0.16222E+08	0.93733E+07
2000	35	1	0.16327E+08	0.94258E+07
2000	36	1	0.16421E+08	0.94711E+07
2000	37	1	0.16502E+08	0.95100E+07
2000	38	1	0.16581E+08	0.95465E+07
2000	39	1	0.16704E+08	0.95893E+07
2000	40	1	0.16862E+08	0.96568E+07
2000	41	1	0.17064E+08	0.97613E+07
2000	42	1	0.17295E+08	0.99096E+07
2000	43	1	0.17564E+08	0.10085E+08
2000	44	1	0.17892E+08	0.10304E+08
2000	45	1	0.18325E+08	0.10569E+08
2000	46	1	0.18763E+08	0.10809E+08
2000	47	1	0.19153E+08	0.11025E+08
2000	48	1	0.19501E+08	0.11216E+08
2000	49	1	0.19811E+08	0.11386E+08
2000	50	1	0.20088E+08	0.11538E+08
2000	51	1	0.20334E+08	0.11677E+08
2000	52	1	0.20557E+08	0.11800E+08
2000	53	1	0.20757E+08	0.11911E+08
2000	54	1	0.20935E+08	0.12008E+08
2000	55	1	0.21091E+08	0.12095E+08
2000	56	1	0.21228E+08	0.12171E+08
2000	57	1	0.21348E+08	0.12237E+08
2000	58	1	0.21452E+08	0.12295E+08
2000	59	1	0.21544E+08	0.12346E+08
2000	60	1	0.21624E+08	0.12389E+08
2000	61	1	0.21693E+08	0.12425E+08
2000	62	1	0.21749E+08	0.12455E+08
2000	63	1	0.21796E+08	0.12480E+08
2000	64	1	0.21835E+08	0.12501E+08
2000	65	1	0.21867E+08	0.12518E+08
2000	66	1	0.21891E+08	0.12532E+08
2000	67	1	0.21909E+08	0.12542E+08
2000	68	1	0.21921E+08	0.12550E+08
2000	69	1	0.21926E+08	0.12554E+08
2000	70	1	0.21926E+08	0.12554E+08
2000	71	1	0.21921E+08	0.12552E+08
2000	72	1	0.21912E+08	0.12547E+08
