total sediment production [t] for all sub-basins (MAP-IDs) and particle classes{ 3}
Year	Day 	15:1	15:2	15:3	69:1	69:2	69:3
2000	1	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	2	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	3	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	4	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	5	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	6	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	7	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	8	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	9	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	10	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	11	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	12	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	13	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	14	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	15	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	16	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	17	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	18	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	19	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	20	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	21	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	22	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	23	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	24	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	25	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	26	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	27	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	28	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	29	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	30	  0.000	  0.000	  0.000	  0.001	  0.001	  0.001
2000	31	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	32	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	33	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	34	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	35	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	36	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	37	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	38	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	39	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	40	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	41	  0.000	  0.000	  0.000	  0.001	  0.001	  0.001
2000	42	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	43	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	44	  2.718	  2.147	  3.415	  0.000	  0.000	  0.000
2000	45	 28.072	 22.214	 45.958	  0.000	  0.000	  0.000
2000	46	  7.941	  6.297	 20.651	  0.000	  0.000	  0.000
2000	47	  0.313	  0.248	  0.814	  0.000	  0.000	  0.000
2000	48	  0.004	  0.003	  0.009	  0.000	  0.000	  0.000
2000	49	  0.001	  0.001	  0.003	  0.000	  0.000	  0.000
2000	50	  0.011	  0.009	  0.028	  0.000	  0.000	  0.000
2000	51	  0.001	  0.001	  0.004	  0.000	  0.000	  0.000
2000	52	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	53	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	54	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	55	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	56	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	57	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	58	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	59	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	60	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	61	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	62	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	63	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	64	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	65	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	66	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	67	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	68	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	69	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	70	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	71	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	72	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	73	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	74	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	75	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	76	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	77	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	78	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	79	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	80	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	81	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	82	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	83	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	84	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	85	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	86	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	87	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	88	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	89	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	90	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	91	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	92	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	93	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	94	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	95	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	96	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	97	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	98	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	99	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	100	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	101	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	102	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	103	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
2000	104	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000
