sub-daily contribution to river [m3/s] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	   18.37860	    7.58902
2000	1	2	   34.72078	   14.82992
2000	1	3	   48.53651	   20.95263
2000	1	4	   60.22344	   26.13373
2000	1	5	   70.11409	   30.52148
2000	1	6	   78.49327	   34.23967
2000	1	7	   85.54773	   37.36462
2000	1	8	   91.48425	   39.98746
2000	1	9	   96.47404	   42.18606
2000	1	10	  100.66673	   44.02451
2000	1	11	  104.18068	   45.55729
2000	1	12	  107.12035	   46.83245
2000	1	13	  109.57473	   47.88871
2000	1	14	  111.61526	   48.76105
2000	1	15	  113.30776	   49.47496
2000	1	16	  114.70211	   50.05467
2000	1	17	  115.84383	   50.52139
2000	1	18	  116.76794	   50.89185
2000	1	19	  117.55434	   51.20691
2000	1	20	  118.21999	   51.47247
2000	1	21	  118.78231	   51.69903
2000	1	22	  119.25886	   51.89050
2000	1	23	  119.66165	   52.05201
2000	1	24	  119.99769	   52.18854
2000	2	1	  120.28751	   52.30262
2000	2	2	  120.55923	   52.40099
2000	2	3	  120.83532	   52.47756
2000	2	4	  121.23935	   52.54398
2000	2	5	  121.63573	   52.59971
2000	2	6	  123.27206	   52.64914
2000	2	7	  124.59862	   52.67883
2000	2	8	  125.68826	   52.68793
2000	2	9	  126.58308	   52.68489
2000	2	10	  127.31321	   52.66930
2000	2	11	  127.90287	   52.64721
2000	2	12	  128.46370	   52.61581
2000	2	13	  128.95833	   52.59110
2000	2	14	  129.39255	   52.56216
2000	2	15	  129.83243	   52.53831
2000	2	16	  130.23236	   52.52612
2000	2	17	  131.01079	   52.51655
2000	2	18	  131.66676	   52.51913
2000	2	19	  132.25665	   52.53579
2000	2	20	  132.80260	   52.58953
2000	2	21	  133.48178	   52.65080
2000	2	22	  135.47189	   52.72694
2000	2	23	  137.13289	   52.80890
2000	2	24	  138.54347	   52.91405
2000	3	1	  139.74255	   53.02379
2000	3	2	  140.78001	   53.14499
2000	3	3	  141.67613	   53.26563
2000	3	4	  142.45676	   53.39126
2000	3	5	  143.14668	   53.51574
2000	3	6	  143.75708	   53.63437
2000	3	7	  144.25883	   53.72687
2000	3	8	  144.69432	   53.80138
2000	3	9	  145.04536	   53.87545
2000	3	10	  145.34151	   53.94717
2000	3	11	  145.60809	   54.00653
2000	3	12	  145.87479	   54.05786
2000	3	13	  146.09641	   54.09475
2000	3	14	  146.27104	   54.12178
2000	3	15	  146.46298	   54.15145
2000	3	16	  146.70320	   54.18294
2000	3	17	  146.95410	   54.21184
2000	3	18	  147.18004	   54.23341
2000	3	19	  147.43184	   54.34627
2000	3	20	  147.70476	   54.47421
2000	3	21	  148.11829	   54.65620
2000	3	22	  148.64827	   54.83155
2000	3	23	  149.22597	   55.02299
2000	3	24	  149.77945	   55.21230
2000	4	1	  150.29312	   55.41884
2000	4	2	  150.76674	   55.61366
2000	4	3	  151.19148	   55.80938
2000	4	4	  151.58534	   56.06550
2000	4	5	  151.95198	   56.31136
2000	4	6	  152.28839	   56.55831
2000	4	7	  152.54390	   56.82484
2000	4	8	  152.72601	   57.05239
2000	4	9	  152.83791	   57.24916
2000	4	10	  152.89223	   57.42346
2000	4	11	  152.89287	   57.62131
2000	4	12	  152.84572	   57.78831
2000	4	13	  152.76047	   57.93750
2000	4	14	  152.64297	   58.07020
2000	4	15	  152.49744	   58.18738
2000	4	16	  152.32991	   58.28463
2000	4	17	  152.14679	   58.36584
2000	4	18	  151.94505	   58.44432
2000	4	19	  151.77885	   58.52254
2000	4	20	  151.63823	   58.60271
2000	4	21	  151.52133	   58.68359
2000	4	22	  151.42903	   58.76366
2000	4	23	  151.36487	   58.85248
2000	4	24	  151.32852	   58.94350
2000	5	1	  151.31976	   59.07946
2000	5	2	  151.33064	   59.23995
2000	5	3	  151.35622	   59.47591
2000	5	4	  151.42392	   59.76622
2000	5	5	  151.53313	   60.23069
2000	5	6	  151.75572	   60.63934
2000	5	7	  151.97229	   61.12273
2000	5	8	  152.17482	   61.64701
2000	5	9	  153.34637	   62.25795
2000	5	10	  154.27150	   62.77003
2000	5	11	  155.03847	   63.21498
2000	5	12	  155.67290	   63.58847
2000	5	13	  156.22403	   63.90012
2000	5	14	  156.70039	   64.16924
2000	5	15	  157.12810	   64.41537
2000	5	16	  157.71068	   65.03458
2000	5	17	  158.60799	   65.51908
2000	5	18	  159.50488	   65.93749
2000	5	19	  160.52386	   66.29466
2000	5	20	  162.96614	   66.62947
2000	5	21	  164.99045	   66.92642
2000	5	22	  166.70694	   67.34064
2000	5	23	  168.14101	   67.75933
2000	5	24	  169.37018	   68.29816
2000	6	1	  170.43225	   68.77055
2000	6	2	  171.50073	   69.20355
2000	6	3	  172.49059	   69.65123
2000	6	4	  173.41618	   70.32804
2000	6	5	  174.51872	   70.89946
2000	6	6	  175.50481	   71.40485
2000	6	7	  176.39096	   71.82977
2000	6	8	  177.18147	   72.19437
2000	6	9	  177.91035	   72.68264
2000	6	10	  178.54121	   73.11896
2000	6	11	  179.48418	   73.53712
2000	6	12	  180.27669	   73.92664
2000	6	13	  180.95491	   74.83338
2000	6	14	  181.52679	   75.55489
2000	6	15	  182.02049	   76.18575
2000	6	16	  182.45377	   76.76820
2000	6	17	  182.97510	   77.30166
2000	6	18	  183.74797	   77.80939
2000	6	19	  184.50760	   78.28061
2000	6	20	  185.29956	   78.71688
2000	6	21	  186.10643	   79.16483
2000	6	22	  186.94005	   79.58267
2000	6	23	  187.87767	   79.96825
2000	6	24	  188.87276	   80.32146
2000	7	1	  189.86316	   80.65444
2000	7	2	  190.76895	   81.00520
2000	7	3	  191.68538	   82.02472
2000	7	4	  192.52040	   82.86553
2000	7	5	  193.29445	   83.58595
2000	7	6	  194.01880	   84.20330
2000	7	7	  194.92795	   84.69710
2000	7	8	  195.70110	   85.10213
2000	7	9	  196.39932	   85.42699
2000	7	10	  197.03185	   85.68518
2000	7	11	  197.59947	   85.89471
2000	7	12	  198.21513	   86.08395
2000	7	13	  198.80019	   86.25706
2000	7	14	  199.31683	   86.44499
2000	7	15	  199.74635	   86.61140
2000	7	16	  200.09378	   86.90007
2000	7	17	  200.48436	   87.41167
2000	7	18	  200.83855	   87.82600
2000	7	19	  201.22237	   88.19675
2000	7	20	  201.62259	   88.60222
2000	7	21	  202.03520	   90.03205
2000	7	22	  202.46310	   91.22080
2000	7	23	  202.87057	   92.22952
2000	7	24	  203.26180	   93.09930
2000	8	1	  203.63538	   93.82710
2000	8	2	  203.97957	   94.45433
2000	8	3	  204.31255	   94.99029
2000	8	4	  204.77977	   95.44903
2000	8	5	  205.25685	   95.84304
2000	8	6	  205.72237	   96.18566
2000	8	7	  206.12628	   96.45356
2000	8	8	  206.55756	   96.67589
2000	8	9	  206.95718	   96.85149
