Output file for river discharge q_out (m3/s) (with MAP IDs as in hymo.dat)
Year	Day	Timestep	15	69
2000	1	1	  78.981	 100.800
2000	2	1	 148.000	 215.317
2000	3	1	 117.741	 188.681
2000	4	1	 122.865	 185.758
2000	5	1	 126.084	 196.475
2000	6	1	 133.593	 202.639
2000	7	1	 134.724	 209.552
2000	8	1	 140.464	 214.125
2000	9	1	 143.835	 222.087
2000	10	1	 143.956	 223.628
2000	11	1	 144.469	 225.526
2000	12	1	 145.586	 227.617
2000	13	1	 148.203	 231.404
2000	14	1	 150.059	 234.933
2000	15	1	 151.820	 237.639
2000	16	1	 153.501	 240.336
2000	17	1	 155.073	 242.813
2000	18	1	 156.908	 244.874
2000	19	1	 158.905	 248.937
2000	20	1	 160.847	 252.100
2000	21	1	 162.349	 253.787
2000	22	1	 163.793	 256.017
2000	23	1	 165.113	 258.012
2000	24	1	 166.273	 259.943
2000	25	1	 167.283	 261.669
2000	26	1	 168.175	 263.302
2000	27	1	 168.955	 264.614
2000	28	1	 169.827	 266.216
2000	29	1	 173.062	 271.163
2000	30	1	 172.482	 272.811
2000	31	1	 174.182	 274.583
2000	32	1	 175.835	 277.409
2000	33	1	 177.329	 278.662
2000	34	1	 178.680	 280.245
2000	35	1	 179.884	 281.861
2000	36	1	 180.954	 283.321
2000	37	1	 181.880	 284.755
2000	38	1	 182.795	 286.055
2000	39	1	 193.612	 298.153
2000	40	1	 186.017	 296.753
2000	41	1	 189.996	 324.352
2000	42	1	 192.679	 339.652
2000	43	1	 197.354	 308.710
2000	44	1	 206.434	 322.435
2000	45	1	 354.896	 439.760
2000	46	1	 263.413	 421.380
2000	47	1	 190.862	 312.543
2000	48	1	 232.873	 347.918
2000	49	1	 212.536	 345.334
2000	50	1	 229.514	 349.704
2000	51	1	 224.604	 358.860
2000	52	1	 231.778	 358.791
2000	53	1	 231.034	 364.415
2000	54	1	 234.687	 366.543
2000	55	1	 235.182	 367.972
2000	56	1	 235.571	 369.256
2000	57	1	 236.924	 371.412
2000	58	1	 238.108	 373.212
2000	59	1	 239.146	 374.929
2000	60	1	 240.049	 376.409
2000	61	1	 240.815	 377.542
2000	62	1	 241.454	 378.379
2000	63	1	 241.983	 379.245
2000	64	1	 242.433	 380.095
2000	65	1	 242.787	 380.725
2000	66	1	 243.063	 381.136
2000	67	1	 243.262	 381.469
2000	68	1	 243.380	 381.673
2000	69	1	 243.439	 381.695
2000	70	1	 243.430	 381.720
2000	71	1	 243.373	 381.750
2000	72	1	 243.267	 381.504
2000	73	1	 243.142	 381.245
2000	74	1	 242.930	 381.263
2000	75	1	 242.695	 380.451
2000	76	1	 242.415	 380.038
2000	77	1	 242.098	 379.681
2000	78	1	 241.747	 379.047
2000	79	1	 241.356	 378.425
2000	80	1	 241.048	 377.903
2000	81	1	 240.685	 377.911
2000	82	1	 240.276	 376.585
2000	83	1	 239.843	 375.445
2000	84	1	 239.375	 374.702
2000	85	1	 238.852	 373.914
2000	86	1	 238.290	 372.844
2000	87	1	 237.699	 371.798
2000	88	1	 237.081	 370.826
2000	89	1	 236.431	 369.875
2000	90	1	 235.754	 368.829
2000	91	1	 235.054	 367.678
2000	92	1	 234.329	 366.460
2000	93	1	 233.574	 365.216
2000	94	1	 232.799	 363.893
2000	95	1	 232.002	 362.575
2000	96	1	 231.183	 361.248
2000	97	1	 230.334	 359.888
2000	98	1	 229.467	 358.428
2000	99	1	 228.577	 357.004
2000	100	1	 227.676	 355.556
2000	101	1	 226.754	 354.163
2000	102	1	 225.826	 352.682
2000	103	1	 224.866	 351.232
2000	104	1	 223.905	 349.555
2000	105	1	 222.929	 348.011
2000	106	1	 221.939	 346.424
2000	107	1	 220.937	 344.800
2000	108	1	 219.925	 343.194
2000	109	1	 218.912	 341.611
2000	110	1	 217.879	 340.084
2000	111	1	 216.852	 338.393
2000	112	1	 215.817	 336.912
2000	113	1	 214.774	 335.290
2000	114	1	 213.720	 333.525
2000	115	1	 212.672	 331.797
2000	116	1	 211.610	 330.151
2000	117	1	 210.546	 328.390
2000	118	1	 209.477	 326.671
2000	119	1	 208.412	 324.968
2000	120	1	 207.339	 323.357
2000	121	1	 206.258	 321.674
2000	122	1	 205.180	 319.948
2000	123	1	 204.087	 318.257
2000	124	1	 203.007	 316.453
2000	125	1	 201.925	 314.820
2000	126	1	 200.839	 313.170
2000	127	1	 199.752	 311.444
2000	128	1	 198.670	 309.723
2000	129	1	 197.594	 308.056
2000	130	1	 196.510	 306.434
2000	131	1	 195.422	 304.666
2000	132	1	 194.341	 302.862
2000	133	1	 193.270	 301.171
2000	134	1	 192.194	 299.558
2000	135	1	 191.114	 297.887
2000	136	1	 190.038	 296.113
2000	137	1	 188.965	 294.409
2000	138	1	 187.895	 292.718
2000	139	1	 186.827	 291.043
2000	140	1	 185.760	 289.368
2000	141	1	 184.694	 287.685
2000	142	1	 183.638	 286.007
2000	143	1	 182.574	 284.401
2000	144	1	 181.525	 282.695
2000	145	1	 180.465	 281.133
2000	146	1	 179.413	 279.367
2000	147	1	 178.365	 277.708
2000	148	1	 177.320	 276.051
2000	149	1	 176.279	 274.417
2000	150	1	 175.242	 272.810
2000	151	1	 174.205	 271.198
2000	152	1	 173.172	 269.550
2000	153	1	 172.145	 267.930
2000	154	1	 171.122	 266.342
2000	155	1	 170.109	 264.778
2000	156	1	 169.095	 263.282
2000	157	1	 168.087	 261.723
2000	158	1	 167.084	 260.201
2000	159	1	 166.071	 258.657
2000	160	1	 165.067	 256.924
2000	161	1	 164.072	 255.271
2000	162	1	 163.085	 253.701
2000	163	1	 162.096	 252.182
2000	164	1	 161.117	 250.601
2000	165	1	 160.146	 249.115
2000	166	1	 159.176	 247.681
2000	167	1	 158.200	 246.165
2000	168	1	 157.232	 244.537
2000	169	1	 156.270	 242.967
2000	170	1	 155.318	 241.438
2000	171	1	 154.368	 239.998
2000	172	1	 153.416	 238.503
2000	173	1	 152.471	 236.956
2000	174	1	 151.532	 235.452
2000	175	1	 150.613	 233.997
2000	176	1	 149.673	 232.727
2000	177	1	 148.752	 231.161
2000	178	1	 147.833	 229.776
2000	179	1	 146.914	 228.345
2000	180	1	 146.002	 226.839
2000	181	1	 145.092	 225.386
2000	182	1	 144.190	 223.919
2000	183	1	 143.297	 222.502
2000	184	1	 142.405	 221.154
2000	185	1	 141.512	 219.770
2000	186	1	 140.623	 218.341
2000	187	1	 139.748	 216.946
2000	188	1	 138.864	 215.657
2000	189	1	 137.990	 214.181
2000	190	1	 137.123	 212.798
2000	191	1	 136.268	 211.454
2000	192	1	 135.411	 210.205
2000	193	1	 134.556	 208.860
2000	194	1	 133.710	 207.491
2000	195	1	 132.877	 206.208
2000	196	1	 132.026	 204.996
2000	197	1	 131.191	 203.496
2000	198	1	 130.363	 202.157
2000	199	1	 129.541	 200.863
2000	200	1	 128.724	 199.593
2000	201	1	 127.909	 198.322
2000	202	1	 127.105	 197.032
2000	203	1	 126.305	 195.801
2000	204	1	 125.503	 194.583
2000	205	1	 124.717	 193.307
2000	206	1	 123.924	 192.173
2000	207	1	 123.141	 190.890
2000	208	1	 122.357	 189.686
2000	209	1	 121.579	 188.406
2000	210	1	 120.809	 187.165
2000	211	1	 120.052	 185.985
2000	212	1	 119.285	 185.091
2000	213	1	 118.516	 183.692
2000	214	1	 117.767	 182.312
2000	215	1	 117.023	 181.205
2000	216	1	 116.283	 180.109
2000	217	1	 115.546	 179.302
2000	218	1	 114.828	 178.032
2000	219	1	 114.085	 177.066
2000	220	1	 113.377	 176.321
2000	221	1	 112.667	 176.889
2000	222	1	 111.930	 174.390
2000	223	1	 111.214	 172.241
2000	224	1	 110.521	 170.990
2000	225	1	 109.814	 169.992
2000	226	1	 109.118	 168.773
2000	227	1	 108.426	 167.667
2000	228	1	 107.737	 166.564
2000	229	1	 107.054	 165.469
2000	230	1	 106.373	 164.395
2000	231	1	 105.701	 163.316
2000	232	1	 105.023	 162.301
2000	233	1	 104.350	 161.171
2000	234	1	 103.684	 160.053
2000	235	1	 103.022	 158.996
2000	236	1	 102.363	 157.938
2000	237	1	 101.712	 156.901
2000	238	1	 101.066	 155.912
2000	239	1	 100.424	 154.967
2000	240	1	  99.791	 154.057
2000	241	1	  99.156	 153.170
2000	242	1	  98.500	 152.260
2000	243	1	  97.872	 150.916
2000	244	1	  97.248	 149.988
2000	245	1	  96.635	 149.100
2000	246	1	  95.995	 148.244
2000	247	1	  95.377	 147.022
2000	248	1	  94.762	 146.057
2000	249	1	  94.158	 145.178
2000	250	1	  93.575	 145.643
2000	251	1	  92.943	 144.463
2000	252	1	  92.341	 142.289
2000	253	1	  91.741	 141.174
2000	254	1	  91.145	 140.169
2000	255	1	  90.556	 139.178
2000	256	1	  89.970	 138.234
2000	257	1	  89.387	 137.296
2000	258	1	  88.814	 136.382
2000	259	1	  88.234	 135.541
2000	260	1	  87.661	 134.592
2000	261	1	  87.085	 133.719
2000	262	1	  86.518	 132.787
2000	263	1	  85.956	 131.942
2000	264	1	  85.394	 131.117
2000	265	1	  84.830	 130.233
2000	266	1	  84.279	 129.318
2000	267	1	  83.723	 128.591
2000	268	1	  83.175	 127.603
2000	269	1	  82.632	 126.747
2000	270	1	  82.084	 125.925
2000	271	1	  81.553	 124.999
2000	272	1	  81.024	 124.288
2000	273	1	  80.534	 123.880
2000	274	1	  79.995	 125.223
2000	275	1	  79.473	 123.360
2000	276	1	  78.932	 122.309
2000	277	1	  78.409	 120.734
2000	278	1	  77.920	 119.858
2000	279	1	  77.431	 184.592
2000	280	1	  76.937	 139.135
2000	281	1	  76.436	 112.672
2000	282	1	  75.962	 125.842
2000	283	1	  75.473	 117.316
2000	284	1	  74.989	 116.317
2000	285	1	  74.529	 114.539
2000	286	1	  74.054	 114.545
2000	287	1	  73.592	 113.366
2000	288	1	  73.149	 113.063
2000	289	1	  72.717	 112.884
2000	290	1	  72.312	 113.987
2000	291	1	  71.887	 113.278
2000	292	1	  71.458	 110.525
2000	293	1	  71.048	 108.644
2000	294	1	  70.658	 108.104
2000	295	1	  70.246	 107.815
2000	296	1	  69.834	 106.725
2000	297	1	  69.435	 105.856
2000	298	1	  69.031	 105.265
2000	299	1	  68.641	 104.599
2000	300	1	  68.241	 104.159
2000	301	1	  67.881	 103.819
2000	302	1	  67.511	 105.695
2000	303	1	  67.131	 104.266
2000	304	1	  66.768	 102.272
2000	305	1	  66.412	 101.748
2000	306	1	  66.073	 101.488
2000	307	1	  65.746	 101.668
2000	308	1	  65.430	 101.150
2000	309	1	  65.169	 105.179
2000	310	1	  64.917	 101.011
2000	311	1	  64.726	  99.749
2000	312	1	  64.558	 100.826
2000	313	1	  64.370	  99.223
2000	314	1	  64.223	  97.858
2000	315	1	  93.529	 151.649
2000	316	1	  70.436	 121.515
2000	317	1	  63.786	  95.112
2000	318	1	  64.847	 101.738
2000	319	1	  64.571	  99.128
2000	320	1	  64.790	  99.300
2000	321	1	  65.057	  98.981
2000	322	1	  65.333	  99.255
2000	323	1	  65.731	  99.616
2000	324	1	  66.173	 101.204
2000	325	1	  66.685	 101.025
2000	326	1	  67.233	 101.975
2000	327	1	  67.719	 102.228
2000	328	1	  68.177	 102.270
2000	329	1	  68.603	 102.420
2000	330	1	  68.981	 102.847
2000	331	1	  69.312	 103.170
2000	332	1	  69.599	 103.554
2000	333	1	  69.839	 103.852
2000	334	1	  70.070	 104.139
2000	335	1	  70.440	 105.471
2001	1	1	  70.946	 107.666
2001	2	1	  87.138	 146.571
2001	3	1	  74.174	 122.314
2001	4	1	  73.703	 109.363
2001	5	1	  74.695	 114.739
2001	6	1	  75.654	 113.066
2001	7	1	  76.562	 114.233
2001	8	1	  77.424	 115.406
2001	9	1	  78.247	 116.677
2001	10	1	  79.050	 118.000
2001	11	1	  79.804	 119.161
2001	12	1	  80.513	 120.055
2001	13	1	  81.186	 120.938
2001	14	1	  81.819	 121.892
2001	15	1	  82.393	 122.743
2001	16	1	  82.926	 123.413
2001	17	1	  83.499	 124.246
2001	18	1	  84.079	 125.922
2001	19	1	  84.711	 126.768
2001	20	1	  89.687	 173.737
2001	21	1	  90.337	 156.375
2001	22	1	 102.734	 148.917
2001	23	1	  90.644	 148.258
2001	24	1	  92.656	 139.984
2001	25	1	  95.555	 146.280
2001	26	1	  97.342	 148.863
2001	27	1	  99.849	 152.126
2001	28	1	 101.767	 156.127
2001	29	1	 104.454	 160.420
2001	30	1	 110.125	 168.640
2001	31	1	 110.971	 171.562
