daily river flow [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.69856E+05	0.30367E+05
2000	2	0.15407E+06	0.61752E+05
2000	3	0.24099E+06	0.93660E+05
2000	4	0.32400E+06	0.12716E+06
2000	5	0.42393E+06	0.16784E+06
2000	6	0.53441E+06	0.21424E+06
2000	7	0.64971E+06	0.26883E+06
2000	8	0.77440E+06	0.32068E+06
2000	9	0.90527E+06	0.37097E+06
2000	10	0.10293E+07	0.41857E+06
2000	11	0.11478E+07	0.46402E+06
2000	12	0.12601E+07	0.50725E+06
2000	13	0.13666E+07	0.54801E+06
2000	14	0.14672E+07	0.58658E+06
2000	15	0.15622E+07	0.62295E+06
2000	16	0.16520E+07	0.65731E+06
2000	17	0.17380E+07	0.69003E+06
2000	18	0.18347E+07	0.72531E+06
2000	19	0.19391E+07	0.76906E+06
2000	20	0.20380E+07	0.80926E+06
2000	21	0.21330E+07	0.84818E+06
2000	22	0.22226E+07	0.88462E+06
2000	23	0.23072E+07	0.91900E+06
2000	24	0.23864E+07	0.95152E+06
2000	25	0.24600E+07	0.98218E+06
2000	26	0.25292E+07	0.10111E+07
2000	27	0.25940E+07	0.10385E+07
2000	28	0.26636E+07	0.10664E+07
2000	29	0.27496E+07	0.10999E+07
2000	30	0.28436E+07	0.11395E+07
2000	31	0.29520E+07	0.11766E+07
2000	32	0.30596E+07	0.12130E+07
2000	33	0.31616E+07	0.12478E+07
2000	34	0.32580E+07	0.12806E+07
2000	35	0.33485E+07	0.13115E+07
2000	36	0.34332E+07	0.13404E+07
2000	37	0.35116E+07	0.13674E+07
2000	38	0.35899E+07	0.13930E+07
2000	39	0.40287E+07	0.14217E+07
2000	40	0.38149E+07	0.14597E+07
2000	41	0.39625E+07	0.20888E+07
2000	42	0.41277E+07	0.22380E+07
2000	43	0.43168E+07	0.16614E+07
2000	44	0.46802E+07	0.17600E+07
2000	45	0.14643E+08	0.18787E+07
2000	46	0.53793E+07	0.19901E+07
2000	47	0.54833E+07	0.20959E+07
2000	48	0.56541E+07	0.21934E+07
2000	49	0.58784E+07	0.22841E+07
2000	50	0.60885E+07	0.23690E+07
2000	51	0.62839E+07	0.24488E+07
2000	52	0.64533E+07	0.25233E+07
2000	53	0.66168E+07	0.25926E+07
2000	54	0.67668E+07	0.26569E+07
2000	55	0.69030E+07	0.27167E+07
2000	56	0.70271E+07	0.27723E+07
2000	57	0.71407E+07	0.28236E+07
2000	58	0.72443E+07	0.28716E+07
2000	59	0.73398E+07	0.29164E+07
2000	60	0.74281E+07	0.29579E+07
2000	61	0.75088E+07	0.29963E+07
2000	62	0.75818E+07	0.30319E+07
2000	63	0.76482E+07	0.30652E+07
2000	64	0.77099E+07	0.30966E+07
2000	65	0.77667E+07	0.31262E+07
2000	66	0.78190E+07	0.31541E+07
2000	67	0.78670E+07	0.31803E+07
2000	68	0.79107E+07	0.32046E+07
2000	69	0.79504E+07	0.32273E+07
2000	70	0.79862E+07	0.32483E+07
2000	71	0.80190E+07	0.32676E+07
2000	72	0.80488E+07	0.32855E+07
2000	73	0.80764E+07	0.33021E+07
2000	74	0.81010E+07	0.33171E+07
2000	75	0.81229E+07	0.33306E+07
2000	76	0.81420E+07	0.33427E+07
2000	77	0.81588E+07	0.33536E+07
2000	78	0.81737E+07	0.33633E+07
2000	79	0.81866E+07	0.33716E+07
2000	80	0.82030E+07	0.33790E+07
2000	81	0.82169E+07	0.33855E+07
2000	82	0.82286E+07	0.33910E+07
2000	83	0.82377E+07	0.33959E+07
2000	84	0.82445E+07	0.34000E+07
2000	85	0.82488E+07	0.34032E+07
2000	86	0.82506E+07	0.34054E+07
2000	87	0.82501E+07	0.34066E+07
2000	88	0.82477E+07	0.34071E+07
2000	89	0.82437E+07	0.34070E+07
2000	90	0.82383E+07	0.34062E+07
2000	91	0.82313E+07	0.34049E+07
2000	92	0.82228E+07	0.34029E+07
2000	93	0.82127E+07	0.34004E+07
2000	94	0.82012E+07	0.33972E+07
2000	95	0.81882E+07	0.33934E+07
2000	96	0.81737E+07	0.33890E+07
2000	97	0.81578E+07	0.33839E+07
2000	98	0.81404E+07	0.33782E+07
2000	99	0.81217E+07	0.33714E+07
2000	100	0.81018E+07	0.33642E+07
2000	101	0.80810E+07	0.33566E+07
2000	102	0.80593E+07	0.33486E+07
2000	103	0.80366E+07	0.33402E+07
2000	104	0.80130E+07	0.33313E+07
2000	105	0.79886E+07	0.33222E+07
2000	106	0.79632E+07	0.33126E+07
2000	107	0.79370E+07	0.33027E+07
2000	108	0.79100E+07	0.32924E+07
2000	109	0.78824E+07	0.32818E+07
2000	110	0.78543E+07	0.32709E+07
2000	111	0.78257E+07	0.32599E+07
2000	112	0.77968E+07	0.32487E+07
2000	113	0.77675E+07	0.32374E+07
2000	114	0.77377E+07	0.32259E+07
2000	115	0.77075E+07	0.32143E+07
2000	116	0.76769E+07	0.32025E+07
2000	117	0.76458E+07	0.31904E+07
2000	118	0.76142E+07	0.31782E+07
2000	119	0.75822E+07	0.31657E+07
2000	120	0.75499E+07	0.31531E+07
2000	121	0.75173E+07	0.31404E+07
2000	122	0.74844E+07	0.31275E+07
2000	123	0.74512E+07	0.31144E+07
2000	124	0.74177E+07	0.31012E+07
2000	125	0.73840E+07	0.30879E+07
2000	126	0.73503E+07	0.30745E+07
2000	127	0.73163E+07	0.30611E+07
2000	128	0.72823E+07	0.30476E+07
2000	129	0.72482E+07	0.30341E+07
2000	130	0.72140E+07	0.30205E+07
2000	131	0.71797E+07	0.30069E+07
2000	132	0.71453E+07	0.29932E+07
2000	133	0.71108E+07	0.29795E+07
2000	134	0.70762E+07	0.29657E+07
2000	135	0.70416E+07	0.29519E+07
2000	136	0.70068E+07	0.29380E+07
2000	137	0.69720E+07	0.29241E+07
2000	138	0.69372E+07	0.29101E+07
2000	139	0.69023E+07	0.28961E+07
2000	140	0.68673E+07	0.28821E+07
2000	141	0.68322E+07	0.28681E+07
2000	142	0.67972E+07	0.28540E+07
2000	143	0.67618E+07	0.28399E+07
2000	144	0.67265E+07	0.28258E+07
2000	145	0.66912E+07	0.28116E+07
2000	146	0.66560E+07	0.27975E+07
2000	147	0.66207E+07	0.27833E+07
2000	148	0.65855E+07	0.27691E+07
2000	149	0.65503E+07	0.27550E+07
2000	150	0.65151E+07	0.27408E+07
2000	151	0.64800E+07	0.27266E+07
2000	152	0.64450E+07	0.27125E+07
2000	153	0.64100E+07	0.26983E+07
2000	154	0.63751E+07	0.26842E+07
2000	155	0.63403E+07	0.26700E+07
2000	156	0.63056E+07	0.26559E+07
2000	157	0.62710E+07	0.26419E+07
2000	158	0.62366E+07	0.26279E+07
2000	159	0.62023E+07	0.26139E+07
2000	160	0.61681E+07	0.26000E+07
2000	161	0.61340E+07	0.25861E+07
2000	162	0.60999E+07	0.25722E+07
2000	163	0.60660E+07	0.25584E+07
2000	164	0.60322E+07	0.25445E+07
2000	165	0.59985E+07	0.25307E+07
2000	166	0.59649E+07	0.25170E+07
2000	167	0.59315E+07	0.25033E+07
2000	168	0.58981E+07	0.24896E+07
2000	169	0.58649E+07	0.24759E+07
2000	170	0.58318E+07	0.24623E+07
2000	171	0.57987E+07	0.24487E+07
2000	172	0.57658E+07	0.24352E+07
2000	173	0.57330E+07	0.24217E+07
2000	174	0.57003E+07	0.24082E+07
2000	175	0.56678E+07	0.23947E+07
2000	176	0.56353E+07	0.23813E+07
2000	177	0.56030E+07	0.23680E+07
2000	178	0.55709E+07	0.23547E+07
2000	179	0.55389E+07	0.23414E+07
2000	180	0.55070E+07	0.23282E+07
2000	181	0.54752E+07	0.23151E+07
2000	182	0.54436E+07	0.23020E+07
2000	183	0.54121E+07	0.22889E+07
2000	184	0.53808E+07	0.22759E+07
2000	185	0.53496E+07	0.22630E+07
2000	186	0.53185E+07	0.22501E+07
2000	187	0.52876E+07	0.22372E+07
2000	188	0.52568E+07	0.22245E+07
2000	189	0.52262E+07	0.22117E+07
2000	190	0.51957E+07	0.21990E+07
2000	191	0.51654E+07	0.21864E+07
2000	192	0.51352E+07	0.21739E+07
2000	193	0.51052E+07	0.21614E+07
2000	194	0.50753E+07	0.21489E+07
2000	195	0.50455E+07	0.21365E+07
2000	196	0.50160E+07	0.21242E+07
2000	197	0.49865E+07	0.21119E+07
2000	198	0.49573E+07	0.20997E+07
2000	199	0.49282E+07	0.20876E+07
2000	200	0.48992E+07	0.20755E+07
2000	201	0.48704E+07	0.20635E+07
2000	202	0.48417E+07	0.20515E+07
2000	203	0.48132E+07	0.20396E+07
2000	204	0.47849E+07	0.20278E+07
2000	205	0.47567E+07	0.20160E+07
2000	206	0.47286E+07	0.20043E+07
2000	207	0.47007E+07	0.19926E+07
2000	208	0.46729E+07	0.19810E+07
2000	209	0.46453E+07	0.19695E+07
2000	210	0.46178E+07	0.19580E+07
2000	211	0.45905E+07	0.19465E+07
2000	212	0.45633E+07	0.19351E+07
2000	213	0.45362E+07	0.19238E+07
2000	214	0.45093E+07	0.19125E+07
2000	215	0.44825E+07	0.19012E+07
2000	216	0.44558E+07	0.18900E+07
2000	217	0.44293E+07	0.18787E+07
2000	218	0.44030E+07	0.18674E+07
2000	219	0.43768E+07	0.18560E+07
2000	220	0.43519E+07	0.18447E+07
2000	221	0.43266E+07	0.18334E+07
2000	222	0.43007E+07	0.18223E+07
2000	223	0.42757E+07	0.18111E+07
2000	224	0.42508E+07	0.18001E+07
2000	225	0.42260E+07	0.17891E+07
2000	226	0.42013E+07	0.17782E+07
2000	227	0.41767E+07	0.17673E+07
2000	228	0.41522E+07	0.17565E+07
2000	229	0.41278E+07	0.17458E+07
2000	230	0.41035E+07	0.17351E+07
2000	231	0.40794E+07	0.17244E+07
2000	232	0.40553E+07	0.17139E+07
2000	233	0.40313E+07	0.17034E+07
2000	234	0.40075E+07	0.16929E+07
2000	235	0.39837E+07	0.16825E+07
2000	236	0.39601E+07	0.16722E+07
2000	237	0.39365E+07	0.16619E+07
2000	238	0.39131E+07	0.16517E+07
2000	239	0.38897E+07	0.16415E+07
2000	240	0.38665E+07	0.16314E+07
2000	241	0.38434E+07	0.16213E+07
2000	242	0.38204E+07	0.16111E+07
2000	243	0.37976E+07	0.16010E+07
2000	244	0.37748E+07	0.15910E+07
2000	245	0.37521E+07	0.15810E+07
2000	246	0.37296E+07	0.15711E+07
2000	247	0.37072E+07	0.15612E+07
2000	248	0.36848E+07	0.15514E+07
2000	249	0.36632E+07	0.15417E+07
2000	250	0.36414E+07	0.15321E+07
2000	251	0.36190E+07	0.15224E+07
2000	252	0.35973E+07	0.15128E+07
2000	253	0.35757E+07	0.15033E+07
2000	254	0.35542E+07	0.14939E+07
2000	255	0.35328E+07	0.14845E+07
2000	256	0.35115E+07	0.14752E+07
2000	257	0.34903E+07	0.14660E+07
2000	258	0.34691E+07	0.14568E+07
2000	259	0.34477E+07	0.14477E+07
2000	260	0.34265E+07	0.14386E+07
2000	261	0.34054E+07	0.14296E+07
2000	262	0.33844E+07	0.14206E+07
2000	263	0.33635E+07	0.14117E+07
2000	264	0.33427E+07	0.14029E+07
2000	265	0.33221E+07	0.13941E+07
2000	266	0.33015E+07	0.13854E+07
2000	267	0.32811E+07	0.13767E+07
2000	268	0.32608E+07	0.13681E+07
2000	269	0.32407E+07	0.13595E+07
2000	270	0.32206E+07	0.13510E+07
2000	271	0.32007E+07	0.13426E+07
2000	272	0.31809E+07	0.13342E+07
2000	273	0.31621E+07	0.13259E+07
2000	274	0.31425E+07	0.13181E+07
