River sediment load in ton/timestep (with MAP IDs as in hymo.dat)
Year	Day	Timestep	15	69
2000	1	1	    0.000	    0.000
2000	2	1	    0.001	    0.000
2000	3	1	    0.003	    0.001
2000	4	1	    0.005	    0.001
2000	5	1	    0.007	    0.002
2000	6	1	    0.009	    0.004
2000	7	1	    0.010	    0.006
2000	8	1	    0.011	    0.009
2000	9	1	    0.012	    0.011
2000	10	1	    0.012	    0.013
2000	11	1	    0.011	    0.014
2000	12	1	    0.010	    0.015
2000	13	1	    0.008	    0.015
2000	14	1	    0.006	    0.016
2000	15	1	    0.005	    0.016
2000	16	1	    0.004	    0.015
2000	17	1	    0.002	    0.015
2000	18	1	    0.002	    0.014
2000	19	1	    0.003	    0.014
2000	20	1	    0.004	    0.013
2000	21	1	    0.005	    0.013
2000	22	1	    0.005	    0.012
2000	23	1	    0.004	    0.011
2000	24	1	    0.004	    0.010
2000	25	1	    0.003	    0.009
2000	26	1	    0.003	    0.009
2000	27	1	    0.002	    0.008
2000	28	1	    0.002	    0.008
2000	29	1	    0.002	    0.008
2000	30	1	    0.004	    0.008
2000	31	1	    0.007	    0.009
2000	32	1	    0.009	    0.009
2000	33	1	    0.010	    0.010
2000	34	1	    0.010	    0.010
2000	35	1	    0.009	    0.010
2000	36	1	    0.007	    0.009
2000	37	1	    0.006	    0.009
2000	38	1	    0.005	    0.010
2000	39	1	   10.382	    0.010
2000	40	1	   31.138	    0.011
2000	41	1	   51.895	   10.529
2000	42	1	   63.989	   37.765
2000	43	1	   57.086	   71.494
2000	44	1	   50.794	  107.003
2000	45	1	  415.988	  144.852
2000	46	1	 1154.219	  166.034
2000	47	1	 1894.874	  167.345
2000	48	1	 2324.830	  161.395
2000	49	1	 2074.718	  164.419
2000	50	1	 1794.862	  229.702
2000	51	1	 1517.280	  395.970
2000	52	1	 1243.426	  646.285
2000	53	1	  969.672	  917.267
2000	54	1	  695.887	 1125.103
2000	55	1	  422.063	 1269.296
2000	56	1	  148.691	 1353.401
2000	57	1	    6.327	 1381.072
2000	58	1	    0.418	 1355.611
2000	59	1	    0.093	 1283.973
2000	60	1	    0.051	 1171.839
2000	61	1	    0.027	 1022.629
2000	62	1	    0.008	  855.947
2000	63	1	    0.000	  691.050
2000	64	1	    0.000	  534.715
2000	65	1	    0.000	  395.299
2000	66	1	    0.000	  279.578
2000	67	1	    0.000	  188.890
2000	68	1	    0.000	  120.423
2000	69	1	    0.000	   71.008
