total deep ground water discharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.93589E+07	0.52072E+07
2000	2	0.93833E+07	0.52049E+07
2000	3	0.94121E+07	0.52042E+07
2000	4	0.94378E+07	0.52054E+07
2000	5	0.94792E+07	0.52135E+07
2000	6	0.95325E+07	0.52279E+07
2000	7	0.95910E+07	0.52505E+07
2000	8	0.96591E+07	0.52717E+07
2000	9	0.97339E+07	0.52910E+07
2000	10	0.98029E+07	0.53077E+07
2000	11	0.98662E+07	0.53224E+07
2000	12	0.99237E+07	0.53350E+07
2000	13	0.99757E+07	0.53454E+07
2000	14	0.10022E+08	0.53538E+07
2000	15	0.10063E+08	0.53602E+07
2000	16	0.10100E+08	0.53648E+07
2000	17	0.10132E+08	0.53678E+07
2000	18	0.10175E+08	0.53727E+07
2000	19	0.10227E+08	0.53866E+07
2000	20	0.10275E+08	0.53989E+07
2000	21	0.10318E+08	0.54090E+07
2000	22	0.10356E+08	0.54168E+07
2000	23	0.10390E+08	0.54227E+07
2000	24	0.10418E+08	0.54269E+07
2000	25	0.10441E+08	0.54295E+07
2000	26	0.10460E+08	0.54304E+07
2000	27	0.10475E+08	0.54300E+07
2000	28	0.10494E+08	0.54297E+07
2000	29	0.10531E+08	0.54352E+07
2000	30	0.10576E+08	0.54473E+07
2000	31	0.10635E+08	0.54582E+07
2000	32	0.10695E+08	0.54678E+07
2000	33	0.10749E+08	0.54760E+07
2000	34	0.10798E+08	0.54823E+07
2000	35	0.10842E+08	0.54867E+07
2000	36	0.10879E+08	0.54895E+07
2000	37	0.10911E+08	0.54905E+07
2000	38	0.10943E+08	0.54902E+07
2000	39	0.10999E+08	0.54923E+07
2000	40	0.11074E+08	0.55041E+07
2000	41	0.11176E+08	0.55302E+07
2000	42	0.11296E+08	0.55738E+07
2000	43	0.11440E+08	0.56292E+07
2000	44	0.11620E+08	0.57026E+07
2000	45	0.11864E+08	0.57963E+07
2000	46	0.12116E+08	0.58842E+07
2000	47	0.12345E+08	0.59656E+07
2000	48	0.12551E+08	0.60391E+07
2000	49	0.12736E+08	0.61057E+07
2000	50	0.12903E+08	0.61667E+07
2000	51	0.13052E+08	0.62228E+07
2000	52	0.13187E+08	0.62738E+07
2000	53	0.13308E+08	0.63197E+07
2000	54	0.13416E+08	0.63607E+07
2000	55	0.13511E+08	0.63974E+07
2000	56	0.13594E+08	0.64300E+07
2000	57	0.13667E+08	0.64586E+07
2000	58	0.13730E+08	0.64838E+07
2000	59	0.13785E+08	0.65061E+07
2000	60	0.13833E+08	0.65253E+07
2000	61	0.13874E+08	0.65415E+07
2000	62	0.13907E+08	0.65550E+07
2000	63	0.13934E+08	0.65664E+07
2000	64	0.13956E+08	0.65759E+07
2000	65	0.13974E+08	0.65838E+07
2000	66	0.13988E+08	0.65901E+07
2000	67	0.13997E+08	0.65949E+07
2000	68	0.14003E+08	0.65979E+07
2000	69	0.14004E+08	0.65994E+07
2000	70	0.14002E+08	0.65994E+07
2000	71	0.13998E+08	0.65978E+07
2000	72	0.13990E+08	0.65949E+07
2000	73	0.13981E+08	0.65909E+07
2000	74	0.13969E+08	0.65854E+07
2000	75	0.13954E+08	0.65786E+07
2000	76	0.13937E+08	0.65705E+07
2000	77	0.13917E+08	0.65613E+07
2000	78	0.13896E+08	0.65509E+07
2000	79	0.13873E+08	0.65395E+07
2000	80	0.13854E+08	0.65271E+07
2000	81	0.13833E+08	0.65139E+07
2000	82	0.13810E+08	0.65000E+07
2000	83	0.13784E+08	0.64855E+07
2000	84	0.13756E+08	0.64704E+07
2000	85	0.13726E+08	0.64545E+07
2000	86	0.13694E+08	0.64377E+07
2000	87	0.13660E+08	0.64201E+07
2000	88	0.13624E+08	0.64018E+07
2000	89	0.13586E+08	0.63831E+07
