Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    15	  2000	     1	     1	     0.000	    57.660	       8217.3	       3659.0	     0.155	     0.000	     0.000	     0.155	     0.020	   426.296	     1303075.6	     4962100.5	
    15	  2000	     2	     1	     0.000	    62.354	       8849.9	      42129.6	     4.971	     0.000	     0.000	     4.971	     0.020	   429.688	     2144680.2	     9951540.0	
    15	  2000	     3	     1	     0.000	    68.551	      16756.5	      26666.2	     9.872	     0.000	     0.000	     9.872	     0.020	   432.103	     2881159.2	    15029591.0	
    15	  2000	     4	     1	     0.000	    76.592	      20730.7	      12720.3	    14.998	     0.000	     0.000	    14.998	     0.020	   434.099	     3578291.0	    20341522.0	
    15	  2000	     5	     1	     0.000	    84.365	      15787.7	      67280.0	    20.382	     0.000	     0.000	    20.382	     0.020	   435.848	     4256266.5	    25919420.0	
    15	  2000	     6	     1	     0.000	    90.830	      15609.4	      61724.3	    25.844	     0.000	     0.000	    25.844	     0.020	   437.383	     4902733.5	    31578588.0	
    15	  2000	     7	     1	     0.000	    95.965	      23057.0	      45768.1	    31.260	     0.000	     0.000	    31.260	     0.020	   438.732	     5511874.0	    37190120.0	
    15	  2000	     8	     1	     0.000	   100.425	      27432.6	      67250.5	    36.000	     0.000	     0.000	    36.000	     0.020	   439.950	     6094629.0	    42794552.0	
    15	  2000	     9	     1	     0.000	   104.471	      22537.1	      55917.6	    36.000	     0.000	     0.000	    36.000	     0.020	   441.132	     6689791.5	    48742108.0	
    15	  2000	    10	     1	     0.000	   106.861	      35325.6	      24995.8	    36.000	     0.000	     0.000	    36.000	     0.020	   442.249	     7280103.0	    54852460.0	
    15	  2000	    11	     1	     0.000	   108.783	      40085.4	      12229.5	    36.000	     0.000	     0.000	    36.000	     0.020	   443.311	     7865676.0	    61111284.0	
    15	  2000	    12	     1	     0.000	   109.761	      47132.1	      11338.0	    36.000	     0.000	     0.000	    36.000	     0.020	   444.314	     8441293.0	    67446696.0	
    15	  2000	    13	     1	     0.000	   110.346	      53211.3	      20414.8	    36.000	     0.000	     0.000	    36.000	     0.020	   445.264	     9006413.0	    73835704.0	
    15	  2000	    14	     1	     0.000	   110.883	      60851.1	      14742.8	    36.000	     0.000	     0.000	    36.000	     0.020	   446.165	     9560613.0	    80257728.0	
    15	  2000	    15	     1	     0.000	   111.530	      65168.1	       9332.3	    36.000	     0.000	     0.000	    36.000	     0.020	   447.025	    10106200.0	    86725960.0	
    15	  2000	    16	     1	     0.000	   112.212	      65215.4	       6315.5	    36.000	    53.535	     0.000	    89.535	     0.020	   447.270	    10264129.0	    88624632.0	
    15	  2000	    17	     1	     0.000	   112.969	      60710.0	      50523.7	    36.000	    76.268	     0.000	   112.268	     0.020	   447.276	    10268168.0	    88673344.0	
    15	  2000	    18	     1	     0.000	   114.196	      40321.5	     111573.1	    36.000	    78.058	     0.000	   114.058	     0.020	   447.286	    10274919.0	    88754776.0	
    15	  2000	    19	     1	     0.000	   115.124	      28190.1	      98942.2	    36.000	    79.929	     0.000	   115.929	     0.020	   447.286	    10274877.0	    88754280.0	
    15	  2000	    20	     1	     0.000	   115.067	      46033.5	      33682.5	    36.000	    79.866	     0.000	   115.866	     0.020	   447.276	    10267989.0	    88671176.0	
    15	  2000	    21	     1	     0.000	   115.246	      56269.6	      23156.7	    36.000	    79.083	     0.000	   115.083	     0.020	   447.273	    10266267.0	    88650416.0	
    15	  2000	    22	     1	     0.000	   115.604	      60768.5	       7368.0	    36.000	    79.201	     0.000	   115.201	     0.020	   447.270	    10264585.0	    88630128.0	
    15	  2000	    23	     1	     0.000	   116.126	      59940.3	       3157.7	    36.000	    79.488	     0.000	   115.488	     0.020	   447.270	    10264304.0	    88626744.0	
    15	  2000	    24	     1	     0.000	   116.484	      63622.2	       6315.5	    36.000	    79.807	     0.000	   115.807	     0.020	   447.270	    10264261.0	    88626224.0	
    15	  2000	    25	     1	     0.000	   116.966	      62841.9	      14736.1	    36.000	    80.283	     0.000	   116.283	     0.020	   447.271	    10265024.0	    88635424.0	
    15	  2000	    26	     1	     0.000	   117.431	      61684.0	      10525.8	    36.000	    80.854	     0.000	   116.854	     0.020	   447.271	    10264770.0	    88632368.0	
    15	  2000	    27	     1	     0.000	   117.953	      57701.2	      15788.7	    36.000	    81.341	     0.000	   117.341	     0.020	   447.272	    10265537.0	    88641616.0	
    15	  2000	    28	     1	     0.000	   118.610	      48432.5	      86311.3	    36.000	    82.105	     0.000	   118.105	     0.020	   447.282	    10272153.0	    88721408.0	
    15	  2000	    29	     1	     0.000	   119.182	      40821.1	     184200.9	    36.000	    83.601	     0.000	   119.601	     0.020	   447.295	    10280897.0	    88826904.0	
    15	  2000	    30	     1	     0.000	   119.803	      31334.3	     103152.5	    36.000	    85.442	     0.000	   121.442	     0.020	   447.286	    10274966.0	    88755344.0	
    15	  2000	    31	     1	     0.000	   119.906	      38006.4	     137887.5	    36.000	    84.717	     0.000	   120.717	     0.020	   447.290	    10277292.0	    88783408.0	
    15	  2000	    32	     1	     0.000	   120.172	      40939.1	      52628.8	    36.000	    85.308	     0.000	   121.308	     0.020	   447.279	    10269981.0	    88695216.0	
    15	  2000	    33	     1	     0.000	   120.240	      51416.9	      23156.7	    36.000	    84.355	     0.000	   120.355	     0.020	   447.274	    10266669.0	    88655264.0	
    15	  2000	    34	     1	     0.000	   120.523	      56921.5	      11578.3	    36.000	    84.176	     0.000	   120.176	     0.020	   447.271	    10265253.0	    88638184.0	
    15	  2000	    35	     1	     0.000	   120.834	      62690.6	       5262.9	    36.000	    84.289	     0.000	   120.289	     0.020	   447.270	    10264251.0	    88626104.0	
    15	  2000	    36	     1	     0.000	   121.406	      61226.2	       8420.6	    36.000	    84.722	     0.000	   120.722	     0.020	   447.270	    10264634.0	    88630720.0	
    15	  2000	    37	     1	     0.000	   121.984	      59786.7	       2105.2	    36.000	    85.353	     0.000	   121.353	     0.020	   447.270	    10264230.0	    88625848.0	
    15	  2000	    38	     1	     0.000	   122.936	      46867.7	      56839.1	    36.000	    86.248	     0.000	   122.248	     0.020	   447.278	    10269839.0	    88693496.0	
    15	  2000	    39	     1	     0.000	   124.261	      25445.0	     205252.5	    36.000	    88.356	     0.000	   124.356	     0.020	   447.300	    10283915.0	    88863336.0	
    15	  2000	    40	     1	     0.000	   124.748	      32145.4	     156833.9	    36.000	    90.809	     0.000	   126.809	     0.020	   447.293	    10279348.0	    88808216.0	
    15	  2000	    41	     1	     0.000	   125.930	      19151.9	     167359.7	    36.000	    91.353	     0.000	   127.353	     0.020	   447.296	    10281297.0	    88831736.0	
    15	  2000	    42	     1	     0.000	   126.541	      22996.8	     121046.3	    36.000	    92.236	     0.000	   128.236	     0.020	   447.290	    10277140.0	    88781576.0	
    15	  2000	    43	     1	     0.000	   126.907	      32115.4	     141045.3	    36.000	    92.021	     0.000	   128.021	     0.020	   447.291	    10278042.0	    88792456.0	
    15	  2000	    44	     1	     0.000	   127.948	      26940.3	     168412.3	    36.000	    93.189	     0.000	   129.189	     0.020	   447.295	    10280739.0	    88825000.0	
