Output file TC-wise cloud fraction (-)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.23811E+00
2000	1	1	15	1	2	 0.23811E+00
2000	1	1	15	1	1	 0.23811E+00
2000	1	1	15	2	6	 0.23811E+00
2000	1	1	15	2	5	 0.23811E+00
2000	1	1	15	2	4	 0.23811E+00
2000	1	1	69	1	3	 0.15128E+00
2000	1	1	69	1	2	 0.15128E+00
2000	1	1	69	1	1	 0.15128E+00
2000	1	1	69	2	6	 0.15128E+00
2000	1	1	69	2	5	 0.15128E+00
2000	1	1	69	2	4	 0.15128E+00
2000	2	1	15	1	3	 0.46946E+00
2000	2	1	15	1	2	 0.46946E+00
2000	2	1	15	1	1	 0.46946E+00
2000	2	1	15	2	6	 0.46946E+00
2000	2	1	15	2	5	 0.46946E+00
2000	2	1	15	2	4	 0.46946E+00
2000	2	1	69	1	3	 0.48518E+00
2000	2	1	69	1	2	 0.48518E+00
2000	2	1	69	1	1	 0.48518E+00
2000	2	1	69	2	6	 0.48518E+00
2000	2	1	69	2	5	 0.48518E+00
2000	2	1	69	2	4	 0.48518E+00
2000	3	1	15	1	3	 0.30844E+00
2000	3	1	15	1	2	 0.30844E+00
2000	3	1	15	1	1	 0.30844E+00
2000	3	1	15	2	6	 0.30844E+00
2000	3	1	15	2	5	 0.30844E+00
2000	3	1	15	2	4	 0.30844E+00
2000	3	1	69	1	3	 0.32642E+00
2000	3	1	69	1	2	 0.32642E+00
2000	3	1	69	1	1	 0.32642E+00
2000	3	1	69	2	6	 0.32642E+00
2000	3	1	69	2	5	 0.32642E+00
2000	3	1	69	2	4	 0.32642E+00
2000	4	1	15	1	3	 0.32103E+00
2000	4	1	15	1	2	 0.32103E+00
2000	4	1	15	1	1	 0.32103E+00
2000	4	1	15	2	6	 0.32103E+00
2000	4	1	15	2	5	 0.32103E+00
2000	4	1	15	2	4	 0.32103E+00
2000	4	1	69	1	3	 0.40273E+00
2000	4	1	69	1	2	 0.40273E+00
2000	4	1	69	1	1	 0.40273E+00
2000	4	1	69	2	6	 0.40273E+00
2000	4	1	69	2	5	 0.40273E+00
2000	4	1	69	2	4	 0.40273E+00
2000	5	1	15	1	3	 0.52430E+00
2000	5	1	15	1	2	 0.52430E+00
2000	5	1	15	1	1	 0.52430E+00
2000	5	1	15	2	6	 0.52430E+00
2000	5	1	15	2	5	 0.52430E+00
2000	5	1	15	2	4	 0.52430E+00
2000	5	1	69	1	3	 0.47272E+00
2000	5	1	69	1	2	 0.47272E+00
2000	5	1	69	1	1	 0.47272E+00
2000	5	1	69	2	6	 0.47272E+00
2000	5	1	69	2	5	 0.47272E+00
2000	5	1	69	2	4	 0.47272E+00
2000	6	1	15	1	3	 0.57259E+00
2000	6	1	15	1	2	 0.57259E+00
2000	6	1	15	1	1	 0.57259E+00
2000	6	1	15	2	6	 0.57259E+00
2000	6	1	15	2	5	 0.57259E+00
2000	6	1	15	2	4	 0.57259E+00
2000	6	1	69	1	3	 0.46695E+00
2000	6	1	69	1	2	 0.46695E+00
2000	6	1	69	1	1	 0.46695E+00
2000	6	1	69	2	6	 0.46695E+00
2000	6	1	69	2	5	 0.46695E+00
2000	6	1	69	2	4	 0.46695E+00
2000	7	1	15	1	3	 0.47620E+00
2000	7	1	15	1	2	 0.47620E+00
2000	7	1	15	1	1	 0.47620E+00
2000	7	1	15	2	6	 0.47620E+00
2000	7	1	15	2	5	 0.47620E+00
2000	7	1	15	2	4	 0.47620E+00
2000	7	1	69	1	3	 0.39955E+00
2000	7	1	69	1	2	 0.39955E+00
2000	7	1	69	1	1	 0.39955E+00
2000	7	1	69	2	6	 0.39955E+00
2000	7	1	69	2	5	 0.39955E+00
2000	7	1	69	2	4	 0.39955E+00
2000	8	1	15	1	3	 0.44492E+00
2000	8	1	15	1	2	 0.44492E+00
2000	8	1	15	1	1	 0.44492E+00
2000	8	1	15	2	6	 0.44492E+00
2000	8	1	15	2	5	 0.44492E+00
2000	8	1	15	2	4	 0.44492E+00
2000	8	1	69	1	3	 0.42796E+00
2000	8	1	69	1	2	 0.42796E+00
2000	8	1	69	1	1	 0.42796E+00
2000	8	1	69	2	6	 0.42796E+00
2000	8	1	69	2	5	 0.42796E+00
2000	8	1	69	2	4	 0.42796E+00
2000	9	1	15	1	3	 0.55508E+00
2000	9	1	15	1	2	 0.55508E+00
2000	9	1	15	1	1	 0.55508E+00
2000	9	1	15	2	6	 0.55508E+00
2000	9	1	15	2	5	 0.55508E+00
2000	9	1	15	2	4	 0.55508E+00
2000	9	1	69	1	3	 0.34195E+00
2000	9	1	69	1	2	 0.34195E+00
2000	9	1	69	1	1	 0.34195E+00
2000	9	1	69	2	6	 0.34195E+00
2000	9	1	69	2	5	 0.34195E+00
2000	9	1	69	2	4	 0.34195E+00
2000	10	1	15	1	3	 0.41338E+00
2000	10	1	15	1	2	 0.41338E+00
2000	10	1	15	1	1	 0.41338E+00
2000	10	1	15	2	6	 0.41338E+00
2000	10	1	15	2	5	 0.41338E+00
2000	10	1	15	2	4	 0.41338E+00
2000	10	1	69	1	3	 0.28036E+00
2000	10	1	69	1	2	 0.28036E+00
2000	10	1	69	1	1	 0.28036E+00
2000	10	1	69	2	6	 0.28036E+00
2000	10	1	69	2	5	 0.28036E+00
2000	10	1	69	2	4	 0.28036E+00
2000	11	1	15	1	3	 0.38786E+00
2000	11	1	15	1	2	 0.38786E+00
2000	11	1	15	1	1	 0.38786E+00
2000	11	1	15	2	6	 0.38786E+00
2000	11	1	15	2	5	 0.38786E+00
2000	11	1	15	2	4	 0.38786E+00
2000	11	1	69	1	3	 0.30138E+00
2000	11	1	69	1	2	 0.30138E+00
2000	11	1	69	1	1	 0.30138E+00
2000	11	1	69	2	6	 0.30138E+00
2000	11	1	69	2	5	 0.30138E+00
2000	11	1	69	2	4	 0.30138E+00
2000	12	1	15	1	3	 0.34326E+00
2000	12	1	15	1	2	 0.34326E+00
2000	12	1	15	1	1	 0.34326E+00
2000	12	1	15	2	6	 0.34326E+00
2000	12	1	15	2	5	 0.34326E+00
2000	12	1	15	2	4	 0.34326E+00
2000	12	1	69	1	3	 0.35326E+00
2000	12	1	69	1	2	 0.35326E+00
2000	12	1	69	1	1	 0.35326E+00
2000	12	1	69	2	6	 0.35326E+00
2000	12	1	69	2	5	 0.35326E+00
2000	12	1	69	2	4	 0.35326E+00
2000	13	1	15	1	3	 0.31140E+00
2000	13	1	15	1	2	 0.31140E+00
2000	13	1	15	1	1	 0.31140E+00
2000	13	1	15	2	6	 0.31140E+00
2000	13	1	15	2	5	 0.31140E+00
2000	13	1	15	2	4	 0.31140E+00
2000	13	1	69	1	3	 0.25634E+00
2000	13	1	69	1	2	 0.25634E+00
2000	13	1	69	1	1	 0.25634E+00
2000	13	1	69	2	6	 0.25634E+00
2000	13	1	69	2	5	 0.25634E+00
2000	13	1	69	2	4	 0.25634E+00
2000	14	1	15	1	3	 0.26657E+00
2000	14	1	15	1	2	 0.26657E+00
2000	14	1	15	1	1	 0.26657E+00
2000	14	1	15	2	6	 0.26657E+00
2000	14	1	15	2	5	 0.26657E+00
2000	14	1	15	2	4	 0.26657E+00
2000	14	1	69	1	3	 0.24720E+00
2000	14	1	69	1	2	 0.24720E+00
2000	14	1	69	1	1	 0.24720E+00
2000	14	1	69	2	6	 0.24720E+00
2000	14	1	69	2	5	 0.24720E+00
2000	14	1	69	2	4	 0.24720E+00
2000	15	1	15	1	3	 0.26312E+00
2000	15	1	15	1	2	 0.26312E+00
2000	15	1	15	1	1	 0.26312E+00
2000	15	1	15	2	6	 0.26312E+00
2000	15	1	15	2	5	 0.26312E+00
2000	15	1	15	2	4	 0.26312E+00
2000	15	1	69	1	3	 0.27278E+00
2000	15	1	69	1	2	 0.27278E+00
2000	15	1	69	1	1	 0.27278E+00
2000	15	1	69	2	6	 0.27278E+00
2000	15	1	69	2	5	 0.27278E+00
2000	15	1	69	2	4	 0.27278E+00
2000	16	1	15	1	3	 0.27746E+00
2000	16	1	15	1	2	 0.27746E+00
2000	16	1	15	1	1	 0.27746E+00
2000	16	1	15	2	6	 0.27746E+00
2000	16	1	15	2	5	 0.27746E+00
2000	16	1	15	2	4	 0.27746E+00
2000	16	1	69	1	3	 0.28215E+00
2000	16	1	69	1	2	 0.28215E+00
2000	16	1	69	1	1	 0.28215E+00
2000	16	1	69	2	6	 0.28215E+00
2000	16	1	69	2	5	 0.28215E+00
2000	16	1	69	2	4	 0.28215E+00
2000	17	1	15	1	3	 0.32027E+00
2000	17	1	15	1	2	 0.32027E+00
2000	17	1	15	1	1	 0.32027E+00
2000	17	1	15	2	6	 0.32027E+00
2000	17	1	15	2	5	 0.32027E+00
2000	17	1	15	2	4	 0.32027E+00
2000	17	1	69	1	3	 0.33848E+00
2000	17	1	69	1	2	 0.33848E+00
2000	17	1	69	1	1	 0.33848E+00
2000	17	1	69	2	6	 0.33848E+00
2000	17	1	69	2	5	 0.33848E+00
2000	17	1	69	2	4	 0.33848E+00
2000	18	1	15	1	3	 0.50315E+00
2000	18	1	15	1	2	 0.50315E+00
2000	18	1	15	1	1	 0.50315E+00
2000	18	1	15	2	6	 0.50315E+00
2000	18	1	15	2	5	 0.50315E+00
2000	18	1	15	2	4	 0.50315E+00
2000	18	1	69	1	3	 0.40034E+00
2000	18	1	69	1	2	 0.40034E+00
2000	18	1	69	1	1	 0.40034E+00
2000	18	1	69	2	6	 0.40034E+00
2000	18	1	69	2	5	 0.40034E+00
2000	18	1	69	2	4	 0.40034E+00
2000	19	1	15	1	3	 0.61570E+00
2000	19	1	15	1	2	 0.61570E+00
2000	19	1	15	1	1	 0.61570E+00
2000	19	1	15	2	6	 0.61570E+00
2000	19	1	15	2	5	 0.61570E+00
2000	19	1	15	2	4	 0.61570E+00
2000	19	1	69	1	3	 0.69594E+00
2000	19	1	69	1	2	 0.69594E+00
2000	19	1	69	1	1	 0.69594E+00
2000	19	1	69	2	6	 0.69594E+00
2000	19	1	69	2	5	 0.69594E+00
2000	19	1	69	2	4	 0.69594E+00
2000	20	1	15	1	3	 0.44905E+00
2000	20	1	15	1	2	 0.44905E+00
2000	20	1	15	1	1	 0.44905E+00
2000	20	1	15	2	6	 0.44905E+00
2000	20	1	15	2	5	 0.44905E+00
2000	20	1	15	2	4	 0.44905E+00
2000	20	1	69	1	3	 0.32881E+00
2000	20	1	69	1	2	 0.32881E+00
2000	20	1	69	1	1	 0.32881E+00
2000	20	1	69	2	6	 0.32881E+00
2000	20	1	69	2	5	 0.32881E+00
2000	20	1	69	2	4	 0.32881E+00
2000	21	1	15	1	3	 0.35804E+00
2000	21	1	15	1	2	 0.35804E+00
2000	21	1	15	1	1	 0.35804E+00
2000	21	1	15	2	6	 0.35804E+00
2000	21	1	15	2	5	 0.35804E+00
2000	21	1	15	2	4	 0.35804E+00
2000	21	1	69	1	3	 0.27658E+00
2000	21	1	69	1	2	 0.27658E+00
2000	21	1	69	1	1	 0.27658E+00
2000	21	1	69	2	6	 0.27658E+00
2000	21	1	69	2	5	 0.27658E+00
2000	21	1	69	2	4	 0.27658E+00
2000	22	1	15	1	3	 0.31532E+00
2000	22	1	15	1	2	 0.31532E+00
2000	22	1	15	1	1	 0.31532E+00
2000	22	1	15	2	6	 0.31532E+00
2000	22	1	15	2	5	 0.31532E+00
2000	22	1	15	2	4	 0.31532E+00
2000	22	1	69	1	3	 0.29277E+00
2000	22	1	69	1	2	 0.29277E+00
2000	22	1	69	1	1	 0.29277E+00
2000	22	1	69	2	6	 0.29277E+00
2000	22	1	69	2	5	 0.29277E+00
2000	22	1	69	2	4	 0.29277E+00
2000	23	1	15	1	3	 0.32941E+00
2000	23	1	15	1	2	 0.32941E+00
2000	23	1	15	1	1	 0.32941E+00
2000	23	1	15	2	6	 0.32941E+00
2000	23	1	15	2	5	 0.32941E+00
