total subsurface runoff [m**3/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.70729E+07	0.28968E+07
2000	2	0.73170E+07	0.29920E+07
2000	3	0.75649E+07	0.30902E+07
2000	4	0.77902E+07	0.31927E+07
2000	5	0.80590E+07	0.33175E+07
2000	6	0.83529E+07	0.34613E+07
2000	7	0.86485E+07	0.36290E+07
2000	8	0.89583E+07	0.37863E+07
2000	9	0.92716E+07	0.39337E+07
2000	10	0.95521E+07	0.40706E+07
2000	11	0.98054E+07	0.41977E+07
2000	12	0.10033E+08	0.43147E+07
2000	13	0.10240E+08	0.44223E+07
2000	14	0.10425E+08	0.45205E+07
2000	15	0.10593E+08	0.46100E+07
2000	16	0.10744E+08	0.46915E+07
2000	17	0.10883E+08	0.47673E+07
2000	18	0.11041E+08	0.48509E+07
2000	19	0.11214E+08	0.49572E+07
2000	20	0.11371E+08	0.50555E+07
2000	21	0.11516E+08	0.51469E+07
2000	22	0.11648E+08	0.52299E+07
2000	23	0.11766E+08	0.53054E+07
2000	24	0.11872E+08	0.53741E+07
2000	25	0.11965E+08	0.54369E+07
2000	26	0.12049E+08	0.54940E+07
2000	27	0.12123E+08	0.55461E+07
2000	28	0.12205E+08	0.56020E+07
2000	29	0.12316E+08	0.56704E+07
2000	30	0.12441E+08	0.57542E+07
2000	31	0.12590E+08	0.58326E+07
2000	32	0.12735E+08	0.59069E+07
2000	33	0.12867E+08	0.59764E+07
2000	34	0.12988E+08	0.60401E+07
2000	35	0.13096E+08	0.60975E+07
2000	36	0.13193E+08	0.61490E+07
2000	37	0.13278E+08	0.61954E+07
2000	38	0.13362E+08	0.62391E+07
2000	39	0.13486E+08	0.62889E+07
2000	40	0.13641E+08	0.63601E+07
2000	41	0.13837E+08	0.64644E+07
2000	42	0.14059E+08	0.66074E+07
2000	43	0.14316E+08	0.67752E+07
2000	44	0.14627E+08	0.69814E+07
2000	45	0.15032E+08	0.72299E+07
2000	46	0.15440E+08	0.74576E+07
2000	47	0.15804E+08	0.76664E+07
2000	48	0.16127E+08	0.78536E+07
2000	49	0.16416E+08	0.80230E+07
2000	50	0.16676E+08	0.81779E+07
2000	51	0.16905E+08	0.83200E+07
2000	52	0.17114E+08	0.84495E+07
2000	53	0.17302E+08	0.85672E+07
2000	54	0.17469E+08	0.86736E+07
2000	55	0.17616E+08	0.87697E+07
2000	56	0.17746E+08	0.88567E+07
2000	57	0.17861E+08	0.89345E+07
2000	58	0.17962E+08	0.90045E+07
2000	59	0.18051E+08	0.90680E+07
2000	60	0.18130E+08	0.91247E+07
2000	61	0.18198E+08	0.91749E+07
2000	62	0.18256E+08	0.92193E+07
2000	63	0.18304E+08	0.92588E+07
2000	64	0.18346E+08	0.92944E+07
2000	65	0.18381E+08	0.93266E+07
2000	66	0.18410E+08	0.93556E+07
2000	67	0.18433E+08	0.93816E+07
2000	68	0.18451E+08	0.94046E+07
2000	69	0.18462E+08	0.94243E+07
2000	70	0.18469E+08	0.94408E+07
2000	71	0.18472E+08	0.94545E+07
2000	72	0.18470E+08	0.94654E+07
2000	73	0.18466E+08	0.94739E+07
2000	74	0.18457E+08	0.94794E+07
2000	75	0.18445E+08	0.94823E+07
2000	76	0.18429E+08	0.94827E+07
2000	77	0.18411E+08	0.94808E+07
2000	78	0.18389E+08	0.94767E+07
2000	79	0.18365E+08	0.94704E+07
2000	80	0.18347E+08	0.94622E+07
2000	81	0.18325E+08	0.94525E+07
2000	82	0.18300E+08	0.94413E+07
2000	83	0.18272E+08	0.94288E+07
2000	84	0.18241E+08	0.94151E+07
2000	85	0.18207E+08	0.93997E+07
