daily river flow [m3/s] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	  81.827	  33.514
2000	2	 100.328	  34.617
2000	3	  89.514	  35.753
2000	4	  90.880	  36.938
2000	5	  96.211	  38.385
2000	6	 100.650	  40.048
2000	7	 103.718	  41.988
2000	8	 108.801	  43.806
2000	9	 111.839	  45.510
2000	10	 112.257	  47.094
2000	11	 113.899	  48.565
2000	12	 116.328	  49.918
2000	13	 118.859	  51.163
2000	14	 120.761	  52.298
2000	15	 122.571	  53.334
2000	16	 124.297	  54.277
2000	17	 125.903	  55.155
2000	18	 127.741	  56.123
2000	19	 129.737	  57.355
2000	20	 131.587	  58.489
2000	21	 133.234	  59.546
2000	22	 134.751	  60.506
2000	23	 136.123	  61.379
2000	24	 137.349	  62.175
2000	25	 138.429	  62.901
2000	26	 139.397	  63.562
2000	27	 140.258	  64.164
2000	28	 141.199	  64.813
2000	29	 144.388	  65.605
2000	30	 143.929	  66.576
2000	31	 145.653	  67.479
2000	32	 147.329	  68.338
2000	33	 148.861	  69.143
2000	34	 150.255	  69.879
2000	35	 151.509	  70.543
2000	36	 152.632	  71.140
2000	37	 153.618	  71.676
2000	38	 154.584	  72.183
2000	39	 165.036	  72.759
2000	40	 157.818	  75.918
2000	41	 161.612	  94.913
2000	42	 164.115	 106.005
2000	43	 168.681	  78.386
2000	44	 177.469	  82.640
2000	45	 353.878	  85.824
2000	46	 186.740	  86.385
2000	47	 185.376	  88.695
2000	48	 186.783	  90.860
2000	49	 190.007	  92.821
2000	50	 193.018	  94.613
2000	51	 195.975	  96.256
2000	52	 198.164	  97.755
2000	53	 200.194	  99.116
2000	54	 202.101	 100.347
2000	55	 203.806	 101.459
2000	56	 205.310	 102.466
2000	57	 206.638	 103.366
2000	58	 207.803	 104.176
2000	59	 208.835	 104.910
2000	60	 209.747	 105.566
2000	61	 210.535	 106.147
2000	62	 211.200	 106.661
2000	63	 211.763	 107.118
2000	64	 212.248	 107.530
2000	65	 212.655	 107.902
2000	66	 212.990	 108.238
2000	67	 213.257	 108.539
2000	68	 213.456	 108.804
2000	69	 213.592	 109.032
2000	70	 213.669	 109.223
2000	71	 213.698	 109.382
2000	72	 213.681	 109.508
2000	73	 213.629	 109.606
2000	74	 213.532	 109.670
2000	75	 213.393	 109.703
2000	76	 213.211	 109.708
2000	77	 212.995	 109.686
2000	78	 212.748	 109.638
2000	79	 212.471	 109.565
2000	80	 212.259	 109.471
2000	81	 212.002	 109.359
2000	82	 211.716	 109.229
2000	83	 211.391	 109.084
2000	84	 211.032	 108.926
2000	85	 210.635	 108.748
2000	86	 210.200	 108.550
2000	87	 209.729	 108.335
2000	88	 209.231	 108.105
2000	89	 208.709	 107.863
2000	90	 208.164	 107.608
2000	91	 207.596	 107.342
2000	92	 207.006	 107.064
2000	93	 206.394	 106.775
