Output file TC-wise radiation modified for slope and aspect (-)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.19173E+03
2000	1	1	15	1	2	 0.23657E+03
2000	1	1	15	1	1	 0.21640E+03
2000	1	1	15	2	6	 0.24235E+03
2000	1	1	15	2	5	 0.24934E+03
2000	1	1	15	2	4	 0.27979E+03
2000	1	1	69	1	3	 0.21293E+03
2000	1	1	69	1	2	 0.26343E+03
2000	1	1	69	1	1	 0.24072E+03
2000	1	1	69	2	6	 0.27214E+03
2000	1	1	69	2	5	 0.28010E+03
2000	1	1	69	2	4	 0.31470E+03
2000	2	1	15	1	3	 0.13908E+03
2000	2	1	15	1	2	 0.16606E+03
2000	2	1	15	1	1	 0.15392E+03
2000	2	1	15	2	6	 0.15155E+03
2000	2	1	15	2	5	 0.15508E+03
2000	2	1	15	2	4	 0.17088E+03
2000	2	1	69	1	3	 0.13529E+03
2000	2	1	69	1	2	 0.16119E+03
2000	2	1	69	1	1	 0.14954E+03
2000	2	1	69	2	6	 0.14597E+03
2000	2	1	69	2	5	 0.14930E+03
2000	2	1	69	2	4	 0.16427E+03
2000	3	1	15	1	3	 0.17737E+03
2000	3	1	15	1	2	 0.21657E+03
2000	3	1	15	1	1	 0.19891E+03
2000	3	1	15	2	6	 0.21201E+03
2000	3	1	15	2	5	 0.21787E+03
2000	3	1	15	2	4	 0.24343E+03
2000	3	1	69	1	3	 0.17325E+03
2000	3	1	69	1	2	 0.21101E+03
2000	3	1	69	1	1	 0.19400E+03
2000	3	1	69	2	6	 0.20491E+03
2000	3	1	69	2	5	 0.21048E+03
2000	3	1	69	2	4	 0.23484E+03
2000	4	1	15	1	3	 0.17515E+03
2000	4	1	15	1	2	 0.21344E+03
2000	4	1	15	1	1	 0.19617E+03
2000	4	1	15	2	6	 0.20645E+03
2000	4	1	15	2	5	 0.21213E+03
2000	4	1	15	2	4	 0.23688E+03
2000	4	1	69	1	3	 0.15604E+03
2000	4	1	69	1	2	 0.18800E+03
2000	4	1	69	1	1	 0.17359E+03
2000	4	1	69	2	6	 0.17538E+03
