total surface runoff [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.38389E+02	0.69236E-01
2000	2	1	0.28851E+03	0.13619E+03
2000	3	1	0.13200E+03	0.12017E+03
2000	4	1	0.47606E+02	0.11537E+03
2000	5	1	0.22714E+03	0.26918E+03
2000	6	1	0.17958E+03	0.22112E+03
2000	7	1	0.11667E+03	0.24516E+03
2000	8	1	0.15657E+03	0.48087E+02
2000	9	1	0.11821E+03	0.14438E+02
2000	10	1	0.46089E+02	0.79785E-01
2000	11	1	0.18466E+02	0.16172E+01
2000	12	1	0.15396E+02	0.12832E+02
2000	13	1	0.29204E+02	0.76367E-01
2000	14	1	0.18462E+02	0.64208E+01
2000	15	1	0.92530E+01	0.74248E-01
2000	16	1	0.46478E+01	0.16121E+01
2000	17	1	0.69095E+02	0.65700E+02
2000	18	1	0.15810E+03	0.12819E+03
2000	19	1	0.13969E+03	0.26758E+03
2000	20	1	0.44552E+02	0.16039E+02
2000	21	1	0.29205E+02	0.76498E-01
2000	22	1	0.61866E+01	0.75221E-01
2000	23	1	0.10708E+00	0.74150E-01
2000	24	1	0.46481E+01	0.96231E+01
2000	25	1	0.16922E+02	0.16111E+01
2000	26	1	0.10783E+02	0.48145E+01
2000	27	1	0.18454E+02	0.22438E+02
2000	28	1	0.12127E+03	0.12658E+03
2000	29	1	0.26398E+03	0.21631E+03
2000	30	1	0.14583E+03	0.22112E+03
2000	31	1	0.19647E+03	0.35267E+02
2000	32	1	0.72181E+02	0.80266E+01
2000	33	1	0.29215E+02	0.32186E+01
2000	34	1	0.12333E+02	0.76152E-01
2000	35	1	0.31239E+01	0.74684E-01
2000	36	1	0.77255E+01	0.73160E-01
2000	37	1	0.11218E+00	0.71677E-01
2000	38	1	0.78310E+02	0.70504E+02
2000	39	1	0.33607E+06	0.10255E+03
2000	40	1	0.22410E+03	0.30764E+03
2000	41	1	0.23945E+03	0.57754E+06
2000	42	1	0.17194E+03	0.65754E+06
2000	43	1	0.20110E+03	0.21955E+03
2000	44	1	0.13912E+06	0.26281E+03
2000	45	1	0.98157E+07	0.25802E+03
2000	46	1	0.25348E+06	0.19289E+02
2000	47	1	0.85389E+05	0.12165E+00
2000	48	1	0.69825E+04	0.11998E+00
2000	49	1	0.28528E+04	0.16569E+01
2000	50	1	0.31304E+04	0.16075E+02
2000	51	1	0.75667E+04	0.11477E+00
2000	52	1	0.16969E+02	0.32544E+01
2000	53	1	0.77609E+01	0.11164E+00
2000	54	1	0.31557E+01	0.10993E+00
2000	55	1	0.46883E+01	0.16471E+01
2000	56	1	0.92898E+01	0.16454E+01
2000	57	1	0.46846E+01	0.10489E+00
2000	58	1	0.92863E+01	0.32443E+01
2000	59	1	0.13888E+02	0.48450E+01
2000	60	1	0.10818E+02	0.10021E+00
2000	61	1	0.13537E+00	0.98607E-01
2000	62	1	0.13374E+00	0.97041E-01
2000	63	1	0.10813E+02	0.48389E+01
2000	64	1	0.31390E+01	0.94378E-01
2000	65	1	0.16033E+01	0.93305E-01
2000	66	1	0.31365E+01	0.80400E+01
2000	67	1	0.62042E+01	0.96412E+01
2000	68	1	0.77375E+01	0.80379E+01
2000	69	1	0.77362E+01	0.89016E-01
2000	70	1	0.24614E+02	0.14444E+02
2000	71	1	0.15406E+02	0.86691E-01
2000	72	1	0.77328E+01	0.85502E-01
2000	73	1	0.23077E+02	0.16233E+01
2000	74	1	0.31276E+01	0.83315E-01
2000	75	1	0.61952E+01	0.16209E+01
2000	76	1	0.21539E+02	0.16196E+01
2000	77	1	0.10796E+02	0.48227E+01
2000	78	1	0.12330E+02	0.78111E-01
2000	79	1	0.26139E+02	0.76798E-01
2000	80	1	0.96726E+02	0.64210E+01
2000	81	1	0.20003E+02	0.44873E+02
2000	82	1	0.11336E+00	0.64188E+01
2000	83	1	0.11180E+00	0.11224E+02
2000	84	1	0.11046E+00	0.32125E+01
2000	85	1	0.10925E+00	0.70413E-01
2000	86	1	0.10787E+00	0.69032E-01
2000	87	1	0.10642E+00	0.67598E-01
2000	88	1	0.10503E+00	0.66267E-01
2000	89	1	0.46466E+01	0.16040E+01
2000	90	1	0.46455E+01	0.63998E-01
2000	91	1	0.10162E+00	0.62898E-01
2000	92	1	0.10047E+00	0.61879E-01
2000	93	1	0.99271E-01	0.60724E-01
2000	94	1	0.98006E-01	0.59573E-01
2000	95	1	0.96686E-01	0.58325E-01
2000	96	1	0.95354E-01	0.57039E-01
2000	97	1	0.93920E-01	0.55560E-01
2000	98	1	0.92336E-01	0.53888E-01
2000	99	1	0.90760E-01	0.52343E-01
2000	100	1	0.89220E-01	0.51210E-01
2000	101	1	0.87827E-01	0.50434E-01
2000	102	1	0.86559E-01	0.49744E-01
2000	103	1	0.85365E-01	0.49028E-01
2000	104	1	0.84041E-01	0.48266E-01
2000	105	1	0.82731E-01	0.47540E-01
2000	106	1	0.81333E-01	0.46847E-01
2000	107	1	0.79795E-01	0.46123E-01
2000	108	1	0.78246E-01	0.45352E-01
2000	109	1	0.76850E-01	0.44611E-01
2000	110	1	0.75627E-01	0.43962E-01
2000	111	1	0.30827E+01	0.43370E-01
2000	112	1	0.30817E+01	0.42899E-01
2000	113	1	0.72383E-01	0.42522E-01
2000	114	1	0.71279E-01	0.42123E-01
2000	115	1	0.70092E-01	0.41641E-01
2000	116	1	0.68944E-01	0.41235E-01
2000	117	1	0.67615E-01	0.40739E-01
2000	118	1	0.66143E-01	0.40174E-01
2000	119	1	0.64687E-01	0.39569E-01
2000	120	1	0.63363E-01	0.38992E-01
2000	121	1	0.61995E-01	0.38484E-01
2000	122	1	0.60634E-01	0.37950E-01
2000	123	1	0.59315E-01	0.37394E-01
2000	124	1	0.57919E-01	0.36798E-01
2000	125	1	0.56725E-01	0.36312E-01
2000	126	1	0.55664E-01	0.35887E-01
2000	127	1	0.54623E-01	0.35497E-01
2000	128	1	0.53602E-01	0.35049E-01
2000	129	1	0.52689E-01	0.34720E-01
2000	130	1	0.51882E-01	0.34441E-01
2000	131	1	0.50921E-01	0.34045E-01
2000	132	1	0.49794E-01	0.33577E-01
2000	133	1	0.48689E-01	0.33137E-01
2000	134	1	0.47694E-01	0.32781E-01
2000	135	1	0.46657E-01	0.32332E-01
2000	136	1	0.45539E-01	0.31879E-01
2000	137	1	0.44444E-01	0.31420E-01
2000	138	1	0.43377E-01	0.30991E-01
2000	139	1	0.42372E-01	0.30571E-01
2000	140	1	0.41406E-01	0.30166E-01
2000	141	1	0.40488E-01	0.29734E-01
2000	142	1	0.39611E-01	0.29279E-01
2000	143	1	0.38831E-01	0.28828E-01
2000	144	1	0.38236E-01	0.28376E-01
2000	145	1	0.37856E-01	0.27993E-01
2000	146	1	0.37414E-01	0.27547E-01
2000	147	1	0.36955E-01	0.27092E-01
2000	148	1	0.36481E-01	0.26645E-01
2000	149	1	0.36008E-01	0.26196E-01
2000	150	1	0.35568E-01	0.25769E-01
2000	151	1	0.35152E-01	0.25377E-01
2000	152	1	0.34716E-01	0.24961E-01
2000	153	1	0.34264E-01	0.24515E-01
2000	154	1	0.33835E-01	0.24091E-01
2000	155	1	0.33436E-01	0.23713E-01
2000	156	1	0.33101E-01	0.23389E-01
2000	157	1	0.32799E-01	0.23098E-01
2000	158	1	0.32540E-01	0.22812E-01
2000	159	1	0.32285E-01	0.22540E-01
2000	160	1	0.31953E-01	0.22264E-01
2000	161	1	0.31570E-01	0.21890E-01
2000	162	1	0.31183E-01	0.21528E-01
2000	163	1	0.30811E-01	0.21170E-01
2000	164	1	0.30414E-01	0.20757E-01
2000	165	1	0.30055E-01	0.15593E+01
2000	166	1	0.29753E-01	0.20106E-01
2000	167	1	0.29447E-01	0.19779E-01
2000	168	1	0.29081E-01	0.19403E-01
2000	169	1	0.28689E-01	0.18980E-01
