 Output files for river discharge q_out (m3/s) (with MAP IDs as in hymo.dat)
 year  day              15            69
  2000     1        16.548        18.201
  2000     2        17.584        19.934
  2000     3        18.057        20.922
  2000     4        18.749        22.162
  2000     5        19.784        23.337
  2000     6        20.673        24.401
  2000     7        21.452        25.439
  2000     8        22.443        26.665
  2000     9        23.660        27.770
  2000    10        24.393        28.972
  2000    11        25.110        30.307
  2000    12        25.453        31.551
  2000    13        25.386        32.402
  2000    14        24.898        33.329
  2000    15        24.152        34.161
  2000    16        23.172        34.817
  2000    17        22.047        35.400
  2000    18        21.071        35.822
  2000    19        20.062        36.414
  2000    20        18.882        35.585
  2000    21        18.087        35.122
  2000    22        17.549        34.637
  2000    23        17.127        34.005
  2000    24        16.625        33.189
  2000    25        16.127        32.199
  2000    26        15.574        31.091
  2000    27        14.999        30.080
  2000    28        14.450        29.083
  2000    29        13.921        28.169
  2000    30        13.585        27.410
  2000    31        13.370        26.293
  2000    32        13.538        25.472
  2000    33        13.830        24.727
  2000    34        14.242        24.019
  2000    35        14.567        23.421
  2000    36        14.820        22.935
  2000    37        14.885        22.511
  2000    38        14.902        22.390
  2000    39        14.914        22.265
  2000    40        14.663        22.235
  2000    41        14.936        22.250
  2000    42        15.467        22.214
  2000    43        16.386        22.410
  2000    44        17.927        23.106
  2000    45        20.097        23.902
  2000    46        22.603        24.710
  2000    47        25.668        25.898
  2000    48        28.452        27.396
  2000    49        30.661        29.244
  2000    50        32.016        31.064
  2000    51        32.398        32.678
  2000    52        32.432        34.757
  2000    53        31.539        36.524
  2000    54        30.292        38.394
  2000    55        28.749        40.032
  2000    56        26.988        41.373
  2000    57        25.125        42.201
  2000    58        23.475        42.957
  2000    59        21.946        42.930
  2000    60        20.483        42.440
  2000    61        19.142        41.529
  2000    62        18.012        40.342
  2000    63        16.992        38.904
  2000    64        16.156        37.540
  2000    65        15.251        35.714
  2000    66        14.446        33.784
  2000    67        13.698        31.845
  2000    68        12.937        29.921
  2000    69        12.358        28.306
  2000    70        11.775        26.623
  2000    71        11.245        25.142
  2000    72        10.778        23.823
  2000    73        10.554        22.651
  2000    74         9.924        21.240
  2000    75         9.574        20.182
  2000    76         9.260        19.191
  2000    77         8.957        18.326
  2000    78         8.654        17.517
  2000    79         8.317        16.685
  2000    80         8.121        16.039
  2000    81         7.884        15.407
  2000    82         7.527        14.676
  2000    83         7.385        14.205
  2000    84         7.267        13.750
  2000    85         7.028        13.015
  2000    86         6.801        12.508
  2000    87         6.644        12.133
  2000    88         6.511        11.817
  2000    89         6.311        11.395
  2000    90         6.086        11.029
  2000    91         5.877        10.777
  2000    92         5.665        10.355
  2000    93         5.418        10.057
  2000    94         5.209         9.695
  2000    95         5.017         9.393
  2000    96         4.837         9.057
  2000    97         4.619         8.711
  2000    98         4.445         8.420
  2000    99         4.268         8.128
  2000   100         4.140         7.908
  2000   101         3.974         7.650
  2000   102         3.854         7.360
  2000   103         3.621         7.025
  2000   104         3.479         6.772
  2000   105         3.334         6.498
  2000   106         3.187         6.233
  2000   107         3.061         5.972
  2000   108         2.949         5.734
  2000   109         2.876         5.558
  2000   110         2.738         5.347
  2000   111         2.671         5.168
  2000   112         2.582         5.021
  2000   113         2.473         4.812
  2000   114         2.351         4.535
  2000   115         2.284         4.429
  2000   116         2.174         4.196
  2000   117         2.088         4.003
  2000   118         2.008         3.833
  2000   119         1.967         3.694
  2000   120         1.906         3.608
  2000   121         1.827         3.455
  2000   122         1.772         3.323
  2000   123         1.667         3.150
  2000   124         1.627         3.081
  2000   125         1.584         2.997
  2000   126         1.522         2.920
  2000   127         1.457         2.750
  2000   128         1.413         2.710
  2000   129         1.389         2.641
  2000   130         1.331         2.504
  2000   131         1.256         2.368
  2000   132         1.213         2.286
  2000   133         1.202         2.254
  2000   134         1.169         2.139
  2000   135         1.113         2.068
  2000   136         1.072         1.982
  2000   137         1.036         1.930
  2000   138         1.003         1.865
  2000   139         0.971         1.815
  2000   140         0.937         1.743
  2000   141         0.901         1.668
  2000   142         0.889         1.624
  2000   143         0.842         1.553
  2000   144         0.839         1.539
  2000   145         0.786         1.450
  2000   146         0.756         1.396
  2000   147         0.727         1.353
  2000   148         0.703         1.307
  2000   149         0.683         1.266
  2000   150         0.664         1.237
  2000   151         0.635         1.183
  2000   152         0.611         1.135
  2000   153         0.593         1.095
  2000   154         0.579         1.071
  2000   155         0.580         1.052
  2000   156         0.567         1.032
  2000   157         0.558         0.991
  2000   158         0.550         0.956
  2000   159         0.505         0.929
  2000   160         0.475         0.851
  2000   161         0.458         0.829
  2000   162         0.453         0.815
  2000   163         0.433         0.764
  2000   164         0.426         0.749
  2000   165         0.430         0.764
  2000   166         0.423         0.723
  2000   167         0.390         0.682
  2000   168         0.369         0.643
  2000   169         0.352         0.629
  2000   170         0.348         0.618
  2000   171         0.340         0.604
  2000   172         0.318         0.565
  2000   173         0.302         0.540
  2000   174         0.290         0.520
  2000   175         0.313         0.519
  2000   176         0.281         0.503
  2000   177         0.277         0.488
  2000   178         0.271         0.488
  2000   179         0.254         0.475
  2000   180         0.242         0.430
  2000   181         0.227         0.406
  2000   182         0.217         0.390
  2000   183         0.217         0.380
  2000   184         0.210         0.377
  2000   185         0.196         0.362
  2000   186         0.182         0.335
  2000   187         0.185         0.356
  2000   188         0.165         0.314
  2000   189         0.154         0.297
  2000   190         0.147         0.291
  2000   191         0.152         0.287
  2000   192         0.148         0.273
  2000   193         0.137         0.255
  2000   194         0.136         0.255
  2000   195         0.147         0.269
  2000   196         0.122         0.221
  2000   197         0.114         0.209
  2000   198         0.111         0.200
  2000   199         0.110         0.193
  2000   200         0.108         0.189
  2000   201         0.102         0.183
  2000   202         0.103         0.175
  2000   203         0.105         0.173
  2000   204         0.098         0.161
  2000   205         0.108         0.174
  2000   206         0.100         0.155
  2000   207         0.101         0.152
  2000   208         0.092         0.143
  2000   209         0.087         0.133
  2000   210         0.086         0.124
  2000   211         0.097         0.134
  2000   212         0.088         0.133
  2000   213         0.070         0.114
  2000   214         0.074         0.115
  2000   215         0.078         0.122
