total overland flow [m**3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.45129E+05	0.13007E+00
2000	2	0.50506E+06	0.59294E+02
2000	3	0.30678E+06	0.47085E+02
2000	4	0.97763E+05	0.44044E+02
2000	5	0.54028E+06	0.18188E+03
2000	6	0.61594E+06	0.13545E+03
2000	7	0.47123E+06	0.19915E+05
2000	8	0.66810E+06	0.18132E+05
2000	9	0.54640E+06	0.82805E+03
2000	10	0.19167E+06	0.14810E+00
2000	11	0.49132E+05	0.14536E+00
2000	12	0.27507E+05	0.14330E+00
2000	13	0.47224E+05	0.14121E+00
2000	14	0.18907E+05	0.13890E+00
2000	15	0.39882E+04	0.13670E+00
2000	16	0.52862E+02	0.13447E+00
2000	17	0.18424E+02	0.15198E+02
2000	18	0.13735E+04	0.53720E+02
2000	19	0.43733E+05	0.18719E+03
2000	20	0.17281E+05	0.14200E+00
2000	21	0.39458E+04	0.13947E+00
2000	22	0.16332E+00	0.13684E+00
2000	23	0.16066E+00	0.13455E+00
2000	24	0.15814E+00	0.13256E+00
2000	25	0.15604E+00	0.13069E+00
2000	26	0.15416E+00	0.12878E+00
2000	27	0.15242E+00	0.12707E+00
2000	28	0.65865E+02	0.36796E+02
2000	29	0.17722E+03	0.13742E+03
2000	30	0.73734E+02	0.13201E+03
2000	31	0.31214E+06	0.13923E+00
2000	32	0.22610E+02	0.13795E+00
2000	33	0.10302E+01	0.13596E+00
2000	34	0.16827E+00	0.13392E+00
2000	35	0.16569E+00	0.13189E+00
2000	36	0.16311E+00	0.12988E+00
2000	37	0.16091E+00	0.12795E+00
2000	38	0.28277E+02	0.97440E+01
2000	39	0.19712E+03	0.35031E+02
2000	40	0.14455E+03	0.21513E+03
2000	41	0.12094E+06	0.26760E+03
2000	42	0.22316E+06	0.94241E+06
2000	43	0.38750E+06	0.12675E+03
2000	44	0.72589E+06	0.66065E+05
2000	45	0.19255E+07	0.32145E+06
2000	46	0.86063E+06	0.24585E+05
2000	47	0.25377E+06	0.12645E+03
2000	48	0.21037E+05	0.44693E+02
2000	49	0.71851E+04	0.52535E+00
2000	50	0.11403E+05	0.16909E+00
2000	51	0.40916E+05	0.16691E+00
2000	52	0.20113E+05	0.16464E+00
2000	53	0.38390E+04	0.16251E+00
2000	54	0.62799E+02	0.16024E+00
2000	55	0.60789E+01	0.15801E+00
2000	56	0.18612E+00	0.15586E+00
2000	57	0.18379E+00	0.15369E+00
2000	58	0.18151E+00	0.15150E+00
2000	59	0.17953E+00	0.14961E+00
2000	60	0.17758E+00	0.14766E+00
2000	61	0.17543E+00	0.14560E+00
2000	62	0.17319E+00	0.14359E+00
2000	63	0.17118E+00	0.14178E+00
2000	64	0.16947E+00	0.14022E+00
2000	65	0.16779E+00	0.13884E+00
2000	66	0.16611E+00	0.13756E+00
2000	67	0.16449E+00	0.13630E+00
