groundwater discharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.66050E+05	0.27260E+05
2000	1	2	0.12488E+06	0.53327E+05
2000	1	3	0.17462E+06	0.75369E+05
2000	1	4	0.21669E+06	0.94021E+05
2000	1	5	0.25230E+06	0.10982E+06
2000	1	6	0.28246E+06	0.12320E+06
2000	1	7	0.30786E+06	0.13445E+06
2000	1	8	0.32923E+06	0.14390E+06
2000	1	9	0.34719E+06	0.15181E+06
2000	1	10	0.36229E+06	0.15843E+06
2000	1	11	0.37494E+06	0.16395E+06
2000	1	12	0.38552E+06	0.16854E+06
2000	1	13	0.39436E+06	0.17234E+06
2000	1	14	0.40170E+06	0.17548E+06
2000	1	15	0.40780E+06	0.17805E+06
2000	1	16	0.41282E+06	0.18014E+06
2000	1	17	0.41693E+06	0.18182E+06
2000	1	18	0.42025E+06	0.18315E+06
2000	1	19	0.42308E+06	0.18429E+06
2000	1	20	0.42548E+06	0.18524E+06
2000	1	21	0.42751E+06	0.18606E+06
2000	1	22	0.42922E+06	0.18675E+06
2000	1	23	0.43067E+06	0.18733E+06
2000	1	24	0.43188E+06	0.18782E+06
2000	2	1	0.43291E+06	0.18823E+06
2000	2	2	0.43386E+06	0.18857E+06
2000	2	3	0.43487E+06	0.18886E+06
2000	2	4	0.43631E+06	0.18910E+06
2000	2	5	0.43776E+06	0.18930E+06
2000	2	6	0.44360E+06	0.18947E+06
2000	2	7	0.44842E+06	0.18957E+06
2000	2	8	0.45236E+06	0.18961E+06
2000	2	9	0.45558E+06	0.18960E+06
2000	2	10	0.45818E+06	0.18954E+06
2000	2	11	0.46031E+06	0.18945E+06
2000	2	12	0.46231E+06	0.18934E+06
2000	2	13	0.46411E+06	0.18924E+06
2000	2	14	0.46568E+06	0.18915E+06
2000	2	15	0.46725E+06	0.18906E+06
2000	2	16	0.46870E+06	0.18901E+06
2000	2	17	0.47147E+06	0.18898E+06
2000	2	18	0.47386E+06	0.18899E+06
2000	2	19	0.47599E+06	0.18905E+06
2000	2	20	0.47795E+06	0.18923E+06
2000	2	21	0.48037E+06	0.18946E+06
2000	2	22	0.48752E+06	0.18974E+06
2000	2	23	0.49352E+06	0.19003E+06
2000	2	24	0.49861E+06	0.19040E+06
2000	3	1	0.50294E+06	0.19080E+06
2000	3	2	0.50667E+06	0.19124E+06
2000	3	3	0.50990E+06	0.19168E+06
