groundwater recharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.17554E+07	0.10183E+07
2000	1	2	0.17543E+07	0.10173E+07
2000	1	3	0.17529E+07	0.10162E+07
2000	1	4	0.17522E+07	0.10152E+07
2000	1	5	0.17511E+07	0.10141E+07
2000	1	6	0.17499E+07	0.10131E+07
2000	1	7	0.17439E+07	0.10088E+07
2000	1	8	0.17380E+07	0.10045E+07
2000	1	9	0.17319E+07	0.10002E+07
2000	1	10	0.17258E+07	0.99601E+06
2000	1	11	0.17195E+07	0.99173E+06
2000	1	12	0.17131E+07	0.98702E+06
2000	1	13	0.17066E+07	0.98193E+06
2000	1	14	0.16999E+07	0.97675E+06
2000	1	15	0.16935E+07	0.97167E+06
2000	1	16	0.16869E+07	0.96660E+06
2000	1	17	0.16804E+07	0.96151E+06
2000	1	18	0.16737E+07	0.95648E+06
2000	1	19	0.16711E+07	0.95464E+06
2000	1	20	0.16687E+07	0.95279E+06
2000	1	21	0.16661E+07	0.95086E+06
2000	1	22	0.16637E+07	0.94903E+06
2000	1	23	0.16615E+07	0.94718E+06
2000	1	24	0.16593E+07	0.94532E+06
2000	2	1	0.16586E+07	0.94392E+06
2000	2	2	0.16744E+07	0.94256E+06
2000	2	3	0.16851E+07	0.94170E+06
2000	2	4	0.17053E+07	0.94094E+06
2000	2	5	0.17079E+07	0.94015E+06
2000	2	6	0.18272E+07	0.93960E+06
2000	2	7	0.18209E+07	0.93815E+06
2000	2	8	0.18146E+07	0.93666E+06
2000	2	9	0.18084E+07	0.93512E+06
2000	2	10	0.18027E+07	0.93341E+06
2000	2	11	0.17977E+07	0.93234E+06
2000	2	12	0.17996E+07	0.93167E+06
2000	2	13	0.17997E+07	0.93338E+06
2000	2	14	0.17980E+07	0.93431E+06
2000	2	15	0.18013E+07	0.93428E+06
2000	2	16	0.18020E+07	0.93555E+06
2000	2	17	0.18372E+07	0.93610E+06
2000	2	18	0.18361E+07	0.93683E+06
2000	2	19	0.18364E+07	0.93819E+06
2000	2	20	0.18379E+07	0.94210E+06
2000	2	21	0.18561E+07	0.94389E+06
2000	2	22	0.19873E+07	0.94577E+06
2000	2	23	0.19831E+07	0.94717E+06
2000	2	24	0.19799E+07	0.95033E+06
2000	3	1	0.19772E+07	0.95271E+06
2000	3	2	0.19755E+07	0.95495E+06
2000	3	3	0.19738E+07	0.95650E+06
2000	3	4	0.19723E+07	0.95826E+06
2000	3	5	0.19716E+07	0.95954E+06
2000	3	6	0.19707E+07	0.96038E+06
2000	3	7	0.19659E+07	0.95872E+06
2000	3	8	0.19632E+07	0.95733E+06
2000	3	9	0.19587E+07	0.95761E+06
2000	3	10	0.19550E+07	0.95838E+06
2000	3	11	0.19530E+07	0.95767E+06
2000	3	12	0.19536E+07	0.95676E+06
2000	3	13	0.19502E+07	0.95535E+06
2000	3	14	0.19457E+07	0.95408E+06
2000	3	15	0.19461E+07	0.95383E+06
2000	3	16	0.19502E+07	0.95418E+06
2000	3	17	0.19517E+07	0.95377E+06
2000	3	18	0.19498E+07	0.95265E+06
2000	3	19	0.19522E+07	0.96182E+06
2000	3	20	0.19546E+07	0.96608E+06
2000	3	21	0.19673E+07	0.97300E+06
2000	3	22	0.19813E+07	0.97545E+06
2000	3	23	0.19899E+07	0.97883E+06
2000	3	24	0.19926E+07	0.98170E+06
2000	4	1	0.19935E+07	0.98564E+06
2000	4	2	0.19937E+07	0.98761E+06
2000	4	3	0.19929E+07	0.99009E+06
2000	4	4	0.19928E+07	0.99887E+06
2000	4	5	0.19926E+07	0.10026E+07
2000	4	6	0.19917E+07	0.10056E+07
2000	4	7	0.19858E+07	0.10108E+07
2000	4	8	0.19795E+07	0.10111E+07
2000	4	9	0.19728E+07	0.10104E+07
2000	4	10	0.19657E+07	0.10102E+07
2000	4	11	0.19585E+07	0.10148E+07
2000	4	12	0.19513E+07	0.10148E+07
2000	4	13	0.19441E+07	0.10144E+07
2000	4	14	0.19370E+07	0.10141E+07
2000	4	15	0.19300E+07	0.10140E+07
2000	4	16	0.19232E+07	0.10129E+07
2000	4	17	0.19164E+07	0.10119E+07
2000	4	18	0.19094E+07	0.10118E+07
2000	4	19	0.19069E+07	0.10128E+07
2000	4	20	0.19043E+07	0.10134E+07
2000	4	21	0.19017E+07	0.10140E+07
2000	4	22	0.18993E+07	0.10144E+07
2000	4	23	0.18977E+07	0.10156E+07
2000	4	24	0.18966E+07	0.10168E+07
2000	5	1	0.18958E+07	0.10220E+07
2000	5	2	0.18945E+07	0.10269E+07
2000	5	3	0.18932E+07	0.10367E+07
2000	5	4	0.18941E+07	0.10462E+07
2000	5	5	0.18962E+07	0.10698E+07
2000	5	6	0.19041E+07	0.10715E+07
2000	5	7	0.19044E+07	0.10846E+07
2000	5	8	0.19030E+07	0.10976E+07
