soil moisture in profile [mm] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	  940.364	  878.368
2000	2	  956.179	  883.606
2000	3	  961.160	  887.764
2000	4	  960.450	  891.845
2000	5	  972.307	  905.881
2000	6	  981.353	  916.924
2000	7	  985.899	  929.117
2000	8	  992.761	  928.840
2000	9	  997.420	  926.025
2000	10	  996.708	  922.222
2000	11	  994.380	  919.030
2000	12	  991.500	  916.259
2000	13	  989.218	  912.336
2000	14	  986.217	  908.829
2000	15	  982.606	  905.140
2000	16	  978.914	  901.836
2000	17	  979.306	  902.019
2000	18	  986.578	  907.008
2000	19	  993.137	  921.952
2000	20	  992.719	  919.461
2000	21	  990.899	  915.857
2000	22	  987.577	  912.288
2000	23	  984.008	  908.773
2000	24	  980.481	  905.666
2000	25	  977.686	  902.295
2000	26	  974.812	  899.221
2000	27	  972.475	  897.195
2000	28	  977.230	  901.951
2000	29	  991.565	  912.554
2000	30	  998.412	  923.985
2000	31	 1008.358	  923.364
2000	32	 1009.912	  921.004
2000	33	 1008.197	  918.095
2000	34	 1005.232	  914.652
2000	35	 1001.379	  910.967
2000	36	  997.895	  907.411
2000	37	  994.293	  904.044
2000	38	  996.260	  905.814
2000	39	 1013.042	  909.906
2000	40	 1024.999	  927.255
2000	41	 1038.208	  947.932
2000	42	 1046.651	  967.499
2000	43	 1056.765	  978.838
2000	44	 1069.382	  993.096
2000	45	 1089.588	 1006.769
2000	46	 1093.707	 1004.460
2000	47	 1092.332	 1000.669
2000	48	 1088.411	  996.418
2000	49	 1084.491	  993.243
2000	50	 1080.629	  990.719
2000	51	 1077.489	  986.996
2000	52	 1074.559	  984.109
2000	53	 1070.912	  980.702
2000	54	 1066.936	  977.572
2000	55	 1062.925	  974.344
2000	56	 1059.546	  971.440
2000	57	 1055.809	  967.920
2000	58	 1052.668	  965.188
2000	59	 1049.887	  962.512
2000	60	 1046.832	  959.414
2000	61	 1043.393	  956.316
2000	62	 1040.240	  953.407
2000	63	 1037.707	  951.028
2000	64	 1035.357	  949.089
2000	65	 1032.922	  947.242
2000	66	 1030.576	  945.522
2000	67	 1028.288	  943.661
2000	68	 1025.781	  941.554
2000	69	 1023.372	  939.241
2000	70	 1021.701	  937.303
2000	71	 1019.560	  934.886
2000	72	 1016.973	  932.630
2000	73	 1016.254	  930.753
2000	74	 1013.421	  928.257
2000	75	 1010.899	  925.881
2000	76	 1009.264	  923.496
2000	77	 1007.090	  921.152
2000	78	 1005.211	  918.763
2000	79	 1003.998	  916.244
2000	80	 1007.392	  913.987
2000	81	 1005.948	  913.685
2000	82	 1002.833	  911.377
2000	83	  999.802	  909.556
2000	84	  997.296	  907.672
2000	85	  994.198	  904.740
2000	86	  990.839	  901.761
2000	87	  987.512	  899.179
2000	88	  984.773	  897.026
2000	89	  982.599	  894.943
2000	90	  980.452	  892.822
