total deep ground water recharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.41019E+08	0.23597E+08
2000	2	0.43457E+08	0.22534E+08
2000	3	0.47122E+08	0.23050E+08
2000	4	0.46737E+08	0.24209E+08
2000	5	0.47892E+08	0.26700E+08
2000	6	0.53120E+08	0.30830E+08
2000	7	0.55781E+08	0.34702E+08
2000	8	0.56837E+08	0.36688E+08
2000	9	0.58680E+08	0.35053E+08
2000	10	0.57705E+08	0.32972E+08
2000	11	0.54114E+08	0.30751E+08
2000	12	0.50229E+08	0.28686E+08
2000	13	0.46626E+08	0.26773E+08
2000	14	0.43376E+08	0.24840E+08
2000	15	0.40382E+08	0.23129E+08
2000	16	0.37380E+08	0.21527E+08
2000	17	0.34812E+08	0.20273E+08
2000	18	0.34652E+08	0.20157E+08
2000	19	0.37218E+08	0.22974E+08
2000	20	0.38065E+08	0.24178E+08
2000	21	0.36689E+08	0.23064E+08
2000	22	0.34854E+08	0.21765E+08
2000	23	0.32844E+08	0.20349E+08
2000	24	0.30684E+08	0.19081E+08
2000	25	0.28730E+08	0.17991E+08
2000	26	0.27058E+08	0.16920E+08
2000	27	0.25579E+08	0.16014E+08
2000	28	0.24698E+08	0.15477E+08
2000	29	0.27912E+08	0.16853E+08
2000	30	0.30851E+08	0.19042E+08
2000	31	0.34206E+08	0.20867E+08
2000	32	0.35973E+08	0.20091E+08
2000	33	0.35449E+08	0.19242E+08
2000	34	0.33953E+08	0.18206E+08
2000	35	0.32230E+08	0.17089E+08
2000	36	0.30400E+08	0.16054E+08
2000	37	0.28502E+08	0.15120E+08
2000	38	0.27039E+08	0.14430E+08
2000	39	0.29208E+08	0.14389E+08
2000	40	0.35168E+08	0.16852E+08
2000	41	0.41649E+08	0.20763E+08
2000	42	0.46666E+08	0.26732E+08
2000	43	0.50950E+08	0.32679E+08
2000	44	0.59396E+08	0.38160E+08
2000	45	0.71576E+08	0.44189E+08
2000	46	0.80744E+08	0.47823E+08
2000	47	0.79614E+08	0.44350E+08
2000	48	0.74482E+08	0.40596E+08
2000	49	0.68920E+08	0.37430E+08
2000	50	0.63861E+08	0.35062E+08
2000	51	0.59240E+08	0.32833E+08
2000	52	0.55418E+08	0.30664E+08
2000	53	0.52000E+08	0.28748E+08
2000	54	0.48430E+08	0.26878E+08
2000	55	0.45061E+08	0.25202E+08
2000	56	0.42144E+08	0.23690E+08
2000	57	0.39541E+08	0.22248E+08
2000	58	0.37201E+08	0.20903E+08
2000	59	0.35269E+08	0.19827E+08
2000	60	0.33517E+08	0.18792E+08
2000	61	0.31707E+08	0.17753E+08
2000	62	0.29892E+08	0.16796E+08
2000	63	0.28362E+08	0.15969E+08
2000	64	0.27149E+08	0.15285E+08
2000	65	0.26022E+08	0.14717E+08
2000	66	0.24942E+08	0.14216E+08
2000	67	0.23939E+08	0.13747E+08
2000	68	0.22961E+08	0.13264E+08
2000	69	0.22005E+08	0.12745E+08
2000	70	0.21179E+08	0.12237E+08
2000	71	0.20490E+08	0.11780E+08
2000	72	0.19768E+08	0.11319E+08
2000	73	0.19143E+08	0.10912E+08
2000	74	0.18600E+08	0.10495E+08
2000	75	0.17884E+08	0.10064E+08
2000	76	0.17216E+08	0.96631E+07
2000	77	0.16689E+08	0.92901E+07
2000	78	0.16179E+08	0.89354E+07
2000	79	0.15700E+08	0.85786E+07
2000	80	0.15446E+08	0.82494E+07
2000	81	0.15528E+08	0.79692E+07
2000	82	0.15198E+08	0.77097E+07
2000	83	0.14717E+08	0.74727E+07
2000	84	0.14224E+08	0.72679E+07
2000	85	0.13694E+08	0.70278E+07
2000	86	0.13131E+08	0.67434E+07
2000	87	0.12583E+08	0.64726E+07
2000	88	0.12099E+08	0.62391E+07
2000	89	0.11689E+08	0.60340E+07
2000	90	0.11312E+08	0.58360E+07
2000	91	0.10942E+08	0.56573E+07
2000	92	0.10571E+08	0.54824E+07
2000	93	0.10197E+08	0.53030E+07
2000	94	0.98187E+07	0.51239E+07
2000	95	0.94461E+07	0.49434E+07
2000	96	0.90841E+07	0.47618E+07
2000	97	0.87085E+07	0.45655E+07
2000	98	0.83280E+07	0.43651E+07
2000	99	0.79660E+07	0.41765E+07
2000	100	0.76355E+07	0.40051E+07
2000	101	0.73444E+07	0.38575E+07
2000	102	0.70908E+07	0.37244E+07
2000	103	0.68411E+07	0.35904E+07
2000	104	0.65879E+07	0.34615E+07
2000	105	0.63439E+07	0.33388E+07
2000	106	0.60923E+07	0.32133E+07
2000	107	0.58340E+07	0.30810E+07
2000	108	0.55902E+07	0.29494E+07
2000	109	0.53850E+07	0.28325E+07
2000	110	0.51966E+07	0.27309E+07
2000	111	0.50255E+07	0.26461E+07
2000	112	0.48862E+07	0.25790E+07
