actual evapotranspiration [mm] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	 4.165	 4.258
2000	2	1	 3.151	 3.774
2000	3	1	 3.732	 3.815
2000	4	1	 3.844	 3.578
2000	5	1	 3.035	 3.208
2000	6	1	 2.622	 3.136
2000	7	1	 2.993	 3.482
2000	8	1	 3.241	 3.536
2000	9	1	 2.879	 3.714
2000	10	1	 3.446	 3.661
2000	11	1	 3.079	 3.285
2000	12	1	 3.434	 3.623
2000	13	1	 3.906	 3.943
2000	14	1	 3.861	 3.972
2000	15	1	 3.848	 3.658
2000	16	1	 3.639	 3.550
2000	17	1	 4.148	 4.377
2000	18	1	 3.053	 3.480
2000	19	1	 2.519	 2.140
2000	20	1	 3.163	 3.520
2000	21	1	 3.491	 3.315
2000	22	1	 3.350	 3.425
2000	23	1	 3.194	 3.539
2000	24	1	 3.502	 3.784
2000	25	1	 3.691	 3.521
2000	26	1	 3.359	 3.432
2000	27	1	 3.399	 3.654
2000	28	1	 3.325	 3.633
2000	29	1	 2.949	 3.357
2000	30	1	 2.646	 2.749
2000	31	1	 2.743	 3.052
2000	32	1	 2.951	 2.892
2000	33	1	 3.296	 3.121
2000	34	1	 3.293	 3.333
2000	35	1	 3.620	 3.727
2000	36	1	 3.589	 3.506
2000	37	1	 3.106	 3.205
2000	38	1	 3.140	 3.070
2000	39	1	 2.375	 2.767
2000	40	1	 2.431	 2.236
2000	41	1	 2.045	 1.947
2000	42	1	 2.301	 2.468
2000	43	1	 2.373	 2.491
2000	44	1	 2.263	 2.190
2000	45	1	 1.943	 2.359
2000	46	1	 2.584	 3.097
2000	47	1	 2.572	 3.194
2000	48	1	 2.780	 3.487
2000	49	1	 2.782	 2.912
2000	50	1	 2.981	 3.267
2000	51	1	 3.583	 3.433
2000	52	1	 2.891	 2.857
2000	53	1	 3.058	 3.112
2000	54	1	 3.172	 3.188
2000	55	1	 3.408	 3.347
2000	56	1	 3.175	 2.935
2000	57	1	 3.301	 3.207
2000	58	1	 3.103	 2.930
2000	59	1	 3.093	 3.004
2000	60	1	 3.265	 2.993
2000	61	1	 2.870	 2.996
2000	62	1	 2.744	 2.823
2000	63	1	 2.974	 2.767
2000	64	1	 2.342	 1.757
2000	65	1	 2.367	 1.902
2000	66	1	 2.378	 2.347
2000	67	1	 2.548	 2.631
2000	68	1	 2.902	 2.782
2000	69	1	 2.845	 2.141
2000	70	1	 3.195	 3.094
2000	71	1	 2.962	 2.423
2000	72	1	 2.947	 2.263
2000	73	1	 2.146	 2.153
2000	74	1	 2.898	 2.615
2000	75	1	 2.887	 2.856
2000	76	1	 3.039	 2.882
2000	77	1	 2.867	 3.039
2000	78	1	 2.776	 2.775
2000	79	1	 3.021	 2.846
2000	80	1	 3.160	 3.041
2000	81	1	 2.649	 3.535
2000	82	1	 2.583	 2.854
2000	83	1	 2.533	 2.685
2000	84	1	 2.375	 2.293
2000	85	1	 2.647	 2.956
2000	86	1	 2.939	 2.930
2000	87	1	 2.962	 2.743
2000	88	1	 2.644	 2.337
2000	89	1	 2.653	 2.612
2000	90	1	 2.605	 2.444
2000	91	1	 2.369	 1.939
2000	92	1	 2.289	 2.281
2000	93	1	 2.456	 2.078
2000	94	1	 2.554	 2.282
2000	95	1	 2.539	 2.271
2000	96	1	 2.644	 2.565
2000	97	1	 3.155	 3.121
2000	98	1	 2.953	 3.126
2000	99	1	 2.911	 3.001
2000	100	1	 2.663	 2.862
2000	101	1	 2.389	 2.469
2000	102	1	 2.105	 2.396
2000	103	1	 2.454	 2.498
2000	104	1	 2.374	 2.301
2000	105	1	 2.486	 2.428
2000	106	1	 2.854	 2.747
2000	107	1	 3.006	 3.202
2000	108	1	 2.805	 3.146
2000	109	1	 2.349	 2.734
2000	110	1	 2.517	 2.514
2000	111	1	 2.633	 2.398
2000	112	1	 2.378	 1.722
2000	113	1	 1.995	 1.684
2000	114	1	 2.314	 2.232
2000	115	1	 2.070	 1.727
2000	116	1	 2.417	 2.100
2000	117	1	 2.800	 2.555
2000	118	1	 2.943	 2.954
2000	119	1	 2.513	 2.898
2000	120	1	 2.637	 2.485
2000	121	1	 2.734	 2.657
2000	122	1	 2.462	 2.764
2000	123	1	 2.848	 3.139
2000	124	1	 2.413	 2.383
2000	125	1	 2.063	 2.066
2000	126	1	 2.005	 1.753
2000	127	1	 2.010	 2.111
2000	128	1	 1.824	 1.545
2000	129	1	 1.675	 1.637
2000	130	1	 1.813	 1.769
2000	131	1	 2.282	 2.196
2000	132	1	 2.363	 2.200
2000	133	1	 2.020	 1.874
2000	134	1	 2.177	 2.161
2000	135	1	 2.337	 2.225
2000	136	1	 2.251	 2.261
2000	137	1	 2.257	 2.101
2000	138	1	 2.203	 2.053
2000	139	1	 2.148	 1.958
2000	140	1	 2.240	 2.097
2000	141	1	 2.375	 2.263
2000	142	1	 2.267	 2.328
2000	143	1	 2.196	 2.416
2000	144	1	 1.988	 1.839
2000	145	1	 2.167	 2.179
2000	146	1	 2.324	 2.276
2000	147	1	 2.467	 2.222
2000	148	1	 2.564	 2.306
2000	149	1	 2.337	 2.199
2000	150	1	 2.082	 1.927
2000	151	1	 2.226	 2.033
2000	152	1	 2.493	 2.409
2000	153	1	 2.329	 2.272
2000	154	1	 2.241	 2.035
2000	155	1	 1.854	 1.924
2000	156	1	 1.693	 1.567
2000	157	1	 1.571	 1.539
2000	158	1	 1.473	 1.653
2000	159	1	 1.891	 1.518
2000	160	1	 2.079	 1.977
2000	161	1	 2.162	 1.962
2000	162	1	 2.058	 1.892
2000	163	1	 2.358	 2.307
2000	164	1	 2.147	 2.307
2000	165	1	 1.928	 2.054
2000	166	1	 1.733	 1.820
2000	167	1	 2.326	 2.102
2000	168	1	 2.266	 2.559
2000	169	1	 2.576	 2.412
2000	170	1	 2.643	 2.414
2000	171	1	 2.541	 2.395
2000	172	1	 2.671	 2.649
2000	173	1	 2.697	 2.552
2000	174	1	 2.794	 2.644
2000	175	1	 1.949	 2.401
2000	176	1	 2.434	 2.272
2000	177	1	 2.333	 2.000
2000	178	1	 2.019	 1.804
2000	179	1	 2.207	 1.829
2000	180	1	 2.143	 2.070
2000	181	1	 2.451	 2.413
2000	182	1	 2.589	 2.495
2000	183	1	 2.302	 2.241
2000	184	1	 2.110	 2.066
2000	185	1	 2.200	 2.081
2000	186	1	 2.533	 2.426
2000	187	1	 2.283	 1.889
2000	188	1	 2.312	 2.148
2000	189	1	 2.519	 2.405
2000	190	1	 2.579	 2.367
2000	191	1	 2.408	 2.139
2000	192	1	 2.471	 2.427
2000	193	1	 2.681	 2.600
2000	194	1	 2.503	 2.344
2000	195	1	 2.005	 1.555
2000	196	1	 2.306	 2.213
2000	197	1	 2.462	 2.323
2000	198	1	 2.541	 2.351
2000	199	1	 2.389	 2.224
2000	200	1	 2.264	 2.099
2000	201	1	 2.529	 2.259
2000	202	1	 2.485	 2.276
2000	203	1	 2.357	 2.180
2000	204	1	 2.443	 2.314
2000	205	1	 2.212	 2.148
2000	206	1	 2.483	 2.434
2000	207	1	 2.512	 2.515
2000	208	1	 2.825	 2.649
2000	209	1	 2.997	 2.896
2000	210	1	 3.010	 3.112
2000	211	1	 3.892	 2.958
2000	212	1	 2.771	 2.620
2000	213	1	 2.788	 2.755
2000	214	1	 2.701	 2.661
2000	215	1	 2.699	 2.600
2000	216	1	 4.389	 2.795
2000	217	1	 2.482	 3.795
2000	218	1	 1.666	 1.828
2000	219	1	 4.206	 2.260
2000	220	1	 3.967	 3.702
2000	221	1	 2.828	 2.485
2000	222	1	 3.425	 3.265
2000	223	1	 4.489	 2.849
2000	224	1	 3.133	 2.414
2000	225	1	 2.780	 2.679
2000	226	1	 2.878	 2.773
2000	227	1	 2.876	 2.790
2000	228	1	 3.000	 3.116
2000	229	1	 3.119	 3.133
2000	230	1	 3.222	 3.293
2000	231	1	 2.918	 2.893
2000	232	1	 3.022	 3.100
2000	233	1	 3.231	 3.125
2000	234	1	 3.222	 3.202
2000	235	1	 3.418	 3.376
2000	236	1	 3.525	 3.418
2000	237	1	 3.491	 3.364
2000	238	1	 3.651	 3.729
2000	239	1	 3.233	 3.232
2000	240	1	 2.369	 2.421
2000	241	1	 2.656	 2.889
2000	242	1	 2.820	 2.685
2000	243	1	 2.929	 2.954
2000	244	1	 3.021	 3.006
2000	245	1	 2.509	 2.745
2000	246	1	 3.348	 3.278
2000	247	1	 3.655	 3.696
2000	248	1	 4.256	 3.869
2000	249	1	 6.318	 6.396
2000	250	1	 4.468	 4.789
2000	251	1	 5.561	 4.355
2000	252	1	 5.614	 3.804
2000	253	1	 4.098	 3.263
2000	254	1	 3.805	 3.323
2000	255	1	 3.954	 3.299
2000	256	1	 4.091	 3.061
2000	257	1	 4.123	 2.686
2000	258	1	 3.826	 2.297
2000	259	1	 3.809	 2.052
2000	260	1	 3.576	 1.857
2000	261	1	 3.718	 1.792
2000	262	1	 3.726	 1.627
2000	263	1	 3.678	 1.570
2000	264	1	 3.796	 1.516
2000	265	1	 3.964	 1.640
2000	266	1	 4.517	 1.505
2000	267	1	 3.733	 1.442
2000	268	1	 3.691	 1.470
2000	269	1	 3.538	 1.402
2000	270	1	 3.767	 1.388
2000	271	1	 3.735	 1.378
2000	272	1	 4.433	 1.703
2000	273	1	 2.283	 2.583
2000	274	1	 2.791	 2.574
2000	275	1	 3.223	 2.775
2000	276	1	 3.404	 3.153
2000	277	1	 4.032	 3.929
2000	278	1	 2.931	 3.671
2000	279	1	 1.898	 1.523
2000	280	1	 1.628	 1.620
2000	281	1	 2.482	 2.322
2000	282	1	 1.951	 1.707
2000	283	1	 2.093	 2.300
2000	284	1	 2.555	 2.650
2000	285	1	 2.712	 2.666
2000	286	1	 3.093	 3.074
2000	287	1	 3.378	 3.211
2000	288	1	 2.653	 2.929
2000	289	1	 2.470	 2.444
2000	290	1	 1.856	 1.907
2000	291	1	 2.851	 3.902
2000	292	1	 3.727	 4.314
2000	293	1	 4.270	 3.102
2000	294	1	 3.611	 2.800
2000	295	1	 4.119	 2.853
2000	296	1	 4.488	 2.739
2000	297	1	 2.905	 2.815
2000	298	1	 2.626	 2.756
2000	299	1	 2.616	 2.628
2000	300	1	 4.062	 3.852
2000	301	1	 3.173	 4.347
2000	302	1	 3.247	 4.227
2000	303	1	 3.840	 4.233
2000	304	1	 3.911	 4.817
2000	305	1	 3.786	 4.679
2000	306	1	 3.444	 4.290
2000	307	1	 3.393	 3.748
2000	308	1	 3.914	 4.288
2000	309	1	 2.808	 2.755
2000	310	1	 2.681	 3.194
2000	311	1	 2.601	 2.915
2000	312	1	 2.428	 2.957
2000	313	1	 3.274	 3.907
2000	314	1	 3.654	 4.605
2000	315	1	 2.357	 2.299
2000	316	1	 2.585	 2.239
2000	317	1	 2.479	 2.420
2000	318	1	 2.274	 2.413
2000	319	1	 1.940	 2.430
2000	320	1	 2.390	 2.638
2000	321	1	 1.951	 1.587
2000	322	1	 2.749	 2.310
2000	323	1	 3.181	 3.221
2000	324	1	 3.113	 2.913
2000	325	1	 3.134	 3.168
2000	326	1	 2.930	 2.474
2000	327	1	 3.874	 3.942
2000	328	1	 3.883	 3.931
2000	329	1	 3.498	 3.780
2000	330	1	 3.398	 3.454
2000	331	1	 3.646	 2.965
2000	332	1	 3.467	 2.923
2000	333	1	 3.845	 3.369
2000	334	1	 3.617	 3.829
2000	335	1	 2.984	 3.335
2001	1	1	 1.898	 1.920
2001	2	1	 1.597	 1.906
2001	3	1	 2.068	 2.357
2001	4	1	 1.632	 1.700
2001	5	1	 2.023	 1.703
2001	6	1	 1.947	 2.089
2001	7	1	 1.757	 1.605
2001	8	1	 1.953	 1.964
2001	9	1	 2.059	 1.641
2001	10	1	 1.530	 1.096
2001	11	1	 1.332	 1.085
2001	12	1	 1.116	 1.040
2001	13	1	 1.089	 1.085
2001	14	1	 0.980	 1.087
2001	15	1	 1.531	 1.597
2001	16	1	 1.619	 1.698
2001	17	1	 1.940	 2.025
2001	18	1	 2.138	 2.336
2001	19	1	 2.178	 2.299
2001	20	1	 1.787	 1.803
2001	21	1	 1.773	 1.729
2001	22	1	 1.827	 1.735
2001	23	1	 1.815	 1.783
2001	24	1	 1.764	 1.598
2001	25	1	 2.861	 1.846
2001	26	1	 1.894	 2.136
2001	27	1	 2.939	 3.035
2001	28	1	 2.849	 2.808
2001	29	1	 2.882	 2.819
2001	30	1	 3.637	 4.228
2001	31	1	 3.786	 3.906
