daily actual evapotranspiration [mm/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 4.163	 4.268
2000	2	 3.151	 3.774
2000	3	 3.732	 3.815
2000	4	 3.843	 3.578
2000	5	 3.035	 3.208
2000	6	 2.622	 3.136
2000	7	 2.993	 3.482
2000	8	 3.241	 3.536
2000	9	 2.879	 3.714
2000	10	 3.446	 3.661
2000	11	 3.079	 3.284
2000	12	 3.434	 3.618
2000	13	 3.906	 3.935
2000	14	 3.860	 3.959
2000	15	 3.848	 3.603
2000	16	 3.638	 3.427
2000	17	 4.146	 4.369
2000	18	 3.053	 3.480
2000	19	 2.519	 2.140
2000	20	 3.163	 3.520
2000	21	 3.491	 3.313
2000	22	 3.350	 3.419
2000	23	 3.194	 3.526
2000	24	 3.502	 3.766
2000	25	 3.689	 3.482
2000	26	 3.355	 3.281
2000	27	 3.392	 3.633
2000	28	 3.325	 3.632
2000	29	 2.949	 3.357
2000	30	 2.646	 2.749
2000	31	 2.743	 3.052
2000	32	 2.951	 2.892
2000	33	 3.296	 3.121
2000	34	 3.293	 3.332
2000	35	 3.620	 3.721
2000	36	 3.589	 3.494
2000	37	 3.102	 3.174
2000	38	 3.138	 3.064
2000	39	 2.375	 2.765
2000	40	 2.431	 2.236
2000	41	 2.045	 1.947
2000	42	 2.301	 2.468
2000	43	 2.373	 2.491
2000	44	 2.263	 2.190
2000	45	 1.943	 2.359
2000	46	 2.584	 3.097
2000	47	 2.572	 3.193
2000	48	 2.780	 3.480
2000	49	 2.781	 2.902
2000	50	 2.980	 3.251
2000	51	 3.583	 3.407
2000	52	 2.891	 2.809
2000	53	 3.058	 2.929
2000	54	 3.167	 2.914
2000	55	 3.388	 3.171
2000	56	 3.151	 2.850
2000	57	 3.263	 3.125
2000	58	 3.058	 2.848
2000	59	 3.041	 2.925
2000	60	 3.202	 2.916
2000	61	 2.788	 2.919
2000	62	 2.644	 2.747
2000	63	 2.867	 2.693
2000	64	 2.111	 1.687
2000	65	 2.107	 1.834
2000	66	 2.150	 2.280
2000	67	 2.356	 2.566
2000	68	 2.744	 2.719
2000	69	 2.677	 2.080
2000	70	 3.129	 3.064
2000	71	 2.909	 2.335
2000	72	 2.880	 2.205
2000	73	 2.105	 2.096
2000	74	 2.842	 2.556
2000	75	 2.819	 2.792
2000	76	 2.982	 2.760
2000	77	 2.801	 2.938
2000	78	 2.708	 2.571
2000	79	 2.971	 2.571
2000	80	 3.137	 2.965
2000	81	 2.667	 3.527
2000	82	 2.600	 2.846
2000	83	 2.549	 2.675
2000	84	 2.387	 2.267
2000	85	 2.656	 2.815
2000	86	 2.942	 2.882
2000	87	 2.956	 2.539
2000	88	 2.607	 2.126
2000	89	 2.458	 2.462
2000	90	 2.469	 2.237
2000	91	 2.271	 1.796
2000	92	 2.194	 2.037
2000	93	 2.364	 1.942
2000	94	 2.463	 2.200
2000	95	 2.450	 2.192
2000	96	 2.548	 2.487
2000	97	 2.865	 3.046
2000	98	 2.819	 3.055
2000	99	 2.820	 2.934
2000	100	 2.576	 2.797
2000	101	 2.305	 2.406
2000	102	 2.024	 2.336
2000	103	 2.377	 2.441
2000	104	 2.299	 2.246
2000	105	 2.414	 2.375
2000	106	 2.785	 2.696
2000	107	 2.940	 3.154
2000	108	 2.742	 3.100
2000	109	 2.288	 2.689
2000	110	 2.459	 2.471
2000	111	 2.577	 2.356
2000	112	 2.332	 1.681
2000	113	 1.934	 1.644
2000	114	 2.264	 2.194
2000	115	 2.021	 1.690
2000	116	 2.370	 2.065
2000	117	 2.755	 2.521
2000	118	 2.900	 2.921
2000	119	 2.472	 2.867
2000	120	 2.597	 2.454
2000	121	 2.696	 2.627
2000	122	 2.426	 2.735
2000	123	 2.814	 3.112
2000	124	 2.380	 2.357
2000	125	 2.032	 2.041
2000	126	 1.974	 1.729
2000	127	 1.981	 2.088
2000	128	 1.795	 1.522
2000	129	 1.647	 1.614
2000	130	 1.786	 1.747
2000	131	 2.256	 2.175
2000	132	 2.338	 2.180
2000	133	 1.995	 1.854
2000	134	 2.154	 2.142
2000	135	 2.314	 2.206
2000	136	 2.229	 2.243
2000	137	 2.236	 2.084
2000	138	 2.182	 2.036
2000	139	 2.126	 1.942
2000	140	 2.219	 2.081
2000	141	 2.355	 2.248
2000	142	 2.248	 2.313
2000	143	 2.177	 2.401
2000	144	 1.970	 1.824
2000	145	 2.150	 2.165
2000	146	 2.307	 2.263
2000	147	 2.451	 2.209
2000	148	 2.549	 2.295
2000	149	 2.322	 2.189
2000	150	 2.069	 1.918
2000	151	 2.213	 2.024
2000	152	 2.481	 2.400
2000	153	 2.317	 2.264
2000	154	 2.229	 2.026
2000	155	 1.843	 1.915
2000	156	 1.682	 1.559
2000	157	 1.560	 1.531
2000	158	 1.463	 1.645
2000	159	 1.881	 1.511
2000	160	 2.069	 1.970
2000	161	 2.153	 1.955
2000	162	 2.049	 1.885
2000	163	 2.350	 2.301
2000	164	 2.139	 2.301
2000	165	 1.921	 2.047
2000	166	 1.725	 1.813
2000	167	 2.319	 2.096
2000	168	 2.259	 2.553
2000	169	 2.569	 2.406
2000	170	 2.637	 2.409
2000	171	 2.535	 2.389
2000	172	 2.665	 2.643
2000	173	 2.691	 2.547
2000	174	 2.789	 2.639
2000	175	 1.945	 2.396
2000	176	 2.429	 2.267
2000	177	 2.329	 1.995
