daily river flow [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.41585E+08	0.24003E+08
2000	2	0.42832E+08	0.22651E+08
2000	3	0.46928E+08	0.22914E+08
2000	4	0.47125E+08	0.23950E+08
2000	5	0.47482E+08	0.25920E+08
2000	6	0.52820E+08	0.29830E+08
2000	7	0.55777E+08	0.33747E+08
2000	8	0.57094E+08	0.36604E+08
2000	9	0.58920E+08	0.35477E+08
2000	10	0.58392E+08	0.33488E+08
2000	11	0.55066E+08	0.31304E+08
2000	12	0.51188E+08	0.29152E+08
2000	13	0.47522E+08	0.27255E+08
2000	14	0.44166E+08	0.25288E+08
2000	15	0.41104E+08	0.23535E+08
2000	16	0.38123E+08	0.21901E+08
2000	17	0.35358E+08	0.20539E+08
2000	18	0.34411E+08	0.20093E+08
2000	19	0.36685E+08	0.22136E+08
2000	20	0.38102E+08	0.24166E+08
2000	21	0.37053E+08	0.23345E+08
2000	22	0.35313E+08	0.22095E+08
2000	23	0.33345E+08	0.20682E+08
2000	24	0.31217E+08	0.19378E+08
2000	25	0.29172E+08	0.18252E+08
2000	26	0.27459E+08	0.17174E+08
2000	27	0.25919E+08	0.16221E+08
2000	28	0.24813E+08	0.15553E+08
2000	29	0.26945E+08	0.16403E+08
2000	30	0.30171E+08	0.18508E+08
2000	31	0.33702E+08	0.20633E+08
2000	32	0.35756E+08	0.20269E+08
2000	33	0.35683E+08	0.19465E+08
2000	34	0.34331E+08	0.18464E+08
2000	35	0.32658E+08	0.17357E+08
2000	36	0.30860E+08	0.16299E+08
2000	37	0.28962E+08	0.15341E+08
2000	38	0.27319E+08	0.14569E+08
2000	39	0.28209E+08	0.14341E+08
2000	40	0.33852E+08	0.16144E+08
2000	41	0.40267E+08	0.19643E+08
2000	42	0.45535E+08	0.26188E+08
2000	43	0.50468E+08	0.31435E+08
2000	44	0.58038E+08	0.36816E+08
2000	45	0.69863E+08	0.42964E+08
2000	46	0.80571E+08	0.47615E+08
