total deep ground water discharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.41535E+08	0.23999E+08
2000	2	0.42322E+08	0.22647E+08
2000	3	0.46615E+08	0.22909E+08
2000	4	0.47022E+08	0.23946E+08
2000	5	0.46936E+08	0.25915E+08
2000	6	0.52198E+08	0.29825E+08
2000	7	0.55300E+08	0.33722E+08
2000	8	0.56419E+08	0.36582E+08
2000	9	0.58367E+08	0.35471E+08
2000	10	0.58194E+08	0.33484E+08
2000	11	0.55011E+08	0.31301E+08
2000	12	0.51154E+08	0.29148E+08
2000	13	0.47469E+08	0.27251E+08
2000	14	0.44141E+08	0.25285E+08
2000	15	0.41095E+08	0.23532E+08
2000	16	0.38118E+08	0.21898E+08
2000	17	0.35353E+08	0.20536E+08
2000	18	0.34404E+08	0.20089E+08
2000	19	0.36635E+08	0.22132E+08
2000	20	0.38078E+08	0.24162E+08
2000	21	0.37044E+08	0.23342E+08
2000	22	0.35308E+08	0.22092E+08
2000	23	0.33340E+08	0.20679E+08
2000	24	0.31212E+08	0.19375E+08
2000	25	0.29167E+08	0.18249E+08
2000	26	0.27454E+08	0.17171E+08
2000	27	0.25914E+08	0.16218E+08
2000	28	0.24808E+08	0.15549E+08
2000	29	0.26940E+08	0.16399E+08
2000	30	0.30165E+08	0.18504E+08
2000	31	0.33383E+08	0.20630E+08
2000	32	0.35750E+08	0.20266E+08
2000	33	0.35677E+08	0.19462E+08
2000	34	0.34325E+08	0.18461E+08
2000	35	0.32652E+08	0.17354E+08
2000	36	0.30854E+08	0.16296E+08
2000	37	0.28957E+08	0.15339E+08
2000	38	0.27313E+08	0.14566E+08
2000	39	0.28203E+08	0.14338E+08
2000	40	0.33844E+08	0.16140E+08
2000	41	0.40138E+08	0.19639E+08
2000	42	0.45304E+08	0.25242E+08
2000	43	0.50073E+08	0.31430E+08
2000	44	0.57304E+08	0.36744E+08
2000	45	0.67929E+08	0.42636E+08
2000	46	0.79701E+08	0.47585E+08
2000	47	0.80091E+08	0.45216E+08
2000	48	0.75765E+08	0.41488E+08
2000	49	0.70224E+08	0.38126E+08
2000	50	0.65063E+08	0.35587E+08
2000	51	0.60315E+08	0.33399E+08
2000	52	0.56270E+08	0.31148E+08
2000	53	0.52849E+08	0.29218E+08
2000	54	0.49288E+08	0.27311E+08
2000	55	0.45848E+08	0.25595E+08
2000	56	0.42810E+08	0.24040E+08
2000	57	0.40165E+08	0.22597E+08
2000	58	0.37731E+08	0.21205E+08
2000	59	0.35712E+08	0.20079E+08
2000	60	0.33935E+08	0.19041E+08
2000	61	0.32157E+08	0.17999E+08
2000	62	0.30311E+08	0.17020E+08
2000	63	0.28704E+08	0.16157E+08
2000	64	0.27427E+08	0.15441E+08
2000	65	0.26294E+08	0.14850E+08
2000	66	0.25196E+08	0.14333E+08
2000	67	0.24176E+08	0.13861E+08
2000	68	0.23200E+08	0.13382E+08
2000	69	0.22228E+08	0.12869E+08
2000	70	0.21363E+08	0.12357E+08
2000	71	0.20656E+08	0.11890E+08
2000	72	0.19948E+08	0.11427E+08
2000	73	0.19266E+08	0.11005E+08
2000	74	0.18753E+08	0.10602E+08
2000	75	0.18055E+08	0.10164E+08
2000	76	0.17367E+08	0.97583E+07
2000	77	0.16813E+08	0.93775E+07
2000	78	0.16301E+08	0.90207E+07
2000	79	0.15809E+08	0.86649E+07
2000	80	0.15470E+08	0.83245E+07
2000	81	0.15533E+08	0.80336E+07
2000	82	0.15294E+08	0.77721E+07
2000	83	0.14834E+08	0.75269E+07
2000	84	0.14339E+08	0.73152E+07
2000	85	0.13827E+08	0.70927E+07
2000	86	0.13267E+08	0.68117E+07
2000	87	0.12712E+08	0.65357E+07
2000	88	0.12209E+08	0.62919E+07
2000	89	0.11783E+08	0.60825E+07
2000	90	0.11402E+08	0.58835E+07
2000	91	0.11031E+08	0.56977E+07
2000	92	0.10661E+08	0.55263E+07
2000	93	0.10288E+08	0.53451E+07
2000	94	0.99103E+07	0.51678E+07
2000	95	0.95346E+07	0.49863E+07
2000	96	0.91707E+07	0.48062E+07
2000	97	0.88012E+07	0.46141E+07
2000	98	0.84181E+07	0.44126E+07
2000	99	0.80519E+07	0.42209E+07
2000	100	0.77118E+07	0.40447E+07
2000	101	0.74119E+07	0.38911E+07
2000	102	0.71490E+07	0.37563E+07
2000	103	0.69033E+07	0.36230E+07
2000	104	0.66475E+07	0.34914E+07
2000	105	0.64025E+07	0.33684E+07
2000	106	0.61540E+07	0.32439E+07
