groundwater discharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.17669E+07	0.10316E+07
2000	1	2	0.17652E+07	0.10291E+07
2000	1	3	0.17636E+07	0.10270E+07
2000	1	4	0.17620E+07	0.10250E+07
2000	1	5	0.17605E+07	0.10232E+07
2000	1	6	0.17590E+07	0.10215E+07
2000	1	7	0.17569E+07	0.10195E+07
2000	1	8	0.17541E+07	0.10171E+07
2000	1	9	0.17509E+07	0.10145E+07
2000	1	10	0.17472E+07	0.10117E+07
2000	1	11	0.17431E+07	0.10086E+07
2000	1	12	0.17387E+07	0.10054E+07
2000	1	13	0.17339E+07	0.10018E+07
2000	1	14	0.17289E+07	0.99805E+06
2000	1	15	0.17236E+07	0.99408E+06
2000	1	16	0.17182E+07	0.98997E+06
2000	1	17	0.17126E+07	0.98571E+06
2000	1	18	0.17068E+07	0.98134E+06
2000	1	19	0.17015E+07	0.97737E+06
2000	1	20	0.16967E+07	0.97372E+06
2000	1	21	0.16922E+07	0.97033E+06
2000	1	22	0.16880E+07	0.96718E+06
2000	1	23	0.16841E+07	0.96423E+06
2000	1	24	0.16805E+07	0.96144E+06
2000	2	1	0.16773E+07	0.95886E+06
2000	2	2	0.16769E+07	0.95647E+06
2000	2	3	0.16782E+07	0.95430E+06
2000	2	4	0.16824E+07	0.95235E+06
2000	2	5	0.16863E+07	0.95056E+06
2000	2	6	0.17076E+07	0.94897E+06
2000	2	7	0.17247E+07	0.94739E+06
2000	2	8	0.17382E+07	0.94582E+06
2000	2	9	0.17486E+07	0.94425E+06
2000	2	10	0.17567E+07	0.94266E+06
2000	2	11	0.17627E+07	0.94115E+06
2000	2	12	0.17681E+07	0.93976E+06
2000	2	13	0.17728E+07	0.93884E+06
2000	2	14	0.17764E+07	0.93819E+06
2000	2	15	0.17801E+07	0.93764E+06
2000	2	16	0.17832E+07	0.93735E+06
2000	2	17	0.17913E+07	0.93719E+06
2000	2	18	0.17979E+07	0.93716E+06
2000	2	19	0.18036E+07	0.93734E+06
2000	2	20	0.18087E+07	0.93808E+06
2000	2	21	0.18157E+07	0.93897E+06
2000	2	22	0.18415E+07	0.94000E+06
2000	2	23	0.18627E+07	0.94109E+06
2000	2	24	0.18802E+07	0.94248E+06
2000	3	1	0.18946E+07	0.94402E+06
2000	3	2	0.19065E+07	0.94566E+06
2000	3	3	0.19164E+07	0.94729E+06
2000	3	4	0.19246E+07	0.94893E+06
2000	3	5	0.19314E+07	0.95051E+06
2000	3	6	0.19371E+07	0.95198E+06
2000	3	7	0.19413E+07	0.95297E+06
2000	3	8	0.19444E+07	0.95361E+06
2000	3	9	0.19463E+07	0.95419E+06
2000	3	10	0.19475E+07	0.95480E+06
2000	3	11	0.19482E+07	0.95522E+06
2000	3	12	0.19489E+07	0.95543E+06
2000	3	13	0.19490E+07	0.95540E+06
2000	3	14	0.19484E+07	0.95519E+06
2000	3	15	0.19480E+07	0.95497E+06
2000	3	16	0.19482E+07	0.95484E+06
2000	3	17	0.19487E+07	0.95467E+06
2000	3	18	0.19488E+07	0.95436E+06
2000	3	19	0.19493E+07	0.95549E+06
2000	3	20	0.19501E+07	0.95708E+06
2000	3	21	0.19526E+07	0.95948E+06
2000	3	22	0.19569E+07	0.96187E+06
2000	3	23	0.19619E+07	0.96441E+06
2000	3	24	0.19664E+07	0.96699E+06
2000	4	1	0.19705E+07	0.96978E+06
2000	4	2	0.19739E+07	0.97244E+06
2000	4	3	0.19767E+07	0.97506E+06
2000	4	4	0.19791E+07	0.97862E+06
2000	4	5	0.19811E+07	0.98219E+06
2000	4	6	0.19826E+07	0.98568E+06
2000	4	7	0.19830E+07	0.98941E+06
2000	4	8	0.19824E+07	0.99263E+06
2000	4	9	0.19809E+07	0.99525E+06
2000	4	10	0.19786E+07	0.99745E+06
2000	4	11	0.19756E+07	0.10000E+07
2000	4	12	0.19719E+07	0.10022E+07
2000	4	13	0.19677E+07	0.10040E+07
2000	4	14	0.19631E+07	0.10054E+07
2000	4	15	0.19581E+07	0.10067E+07
2000	4	16	0.19529E+07	0.10076E+07
2000	4	17	0.19474E+07	0.10082E+07
2000	4	18	0.19417E+07	0.10087E+07
2000	4	19	0.19366E+07	0.10093E+07
2000	4	20	0.19318E+07	0.10099E+07
2000	4	21	0.19273E+07	0.10105E+07
2000	4	22	0.19232E+07	0.10110E+07
2000	4	23	0.19194E+07	0.10117E+07
2000	4	24	0.19161E+07	0.10124E+07
2000	5	1	0.19131E+07	0.10139E+07
2000	5	2	0.19104E+07	0.10158E+07
2000	5	3	0.19079E+07	0.10189E+07
2000	5	4	0.19059E+07	0.10230E+07
2000	5	5	0.19045E+07	0.10301E+07
2000	5	6	0.19045E+07	0.10363E+07
2000	5	7	0.19045E+07	0.10435E+07
2000	5	8	0.19043E+07	0.10516E+07
2000	5	9	0.19167E+07	0.10611E+07
2000	5	10	0.19263E+07	0.10690E+07
2000	5	11	0.19335E+07	0.10757E+07
2000	5	12	0.19389E+07	0.10812E+07
2000	5	13	0.19432E+07	0.10856E+07
2000	5	14	0.19465E+07	0.10892E+07
2000	5	15	0.19491E+07	0.10924E+07
