soil moisture in profile [mm] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 1083.416	 1024.615
2000	2	 1097.514	 1028.986
2000	3	 1100.895	 1032.338
2000	4	 1098.762	 1035.575
2000	5	 1108.837	 1048.572
2000	6	 1116.033	 1058.484
2000	7	 1118.765	 1069.351
2000	8	 1123.734	 1067.880
2000	9	 1126.515	 1063.972
2000	10	 1124.228	 1059.184
2000	11	 1120.526	 1055.088
2000	12	 1116.397	 1051.455
2000	13	 1113.005	 1046.770
2000	14	 1108.999	 1042.571
2000	15	 1104.472	 1038.331
2000	16	 1099.953	 1034.445
2000	17	 1099.516	 1033.989
2000	18	 1105.830	 1038.327
2000	19	 1111.349	 1052.466
2000	20	 1110.075	 1049.317
2000	21	 1107.495	 1045.156
2000	22	 1103.466	 1041.073
2000	23	 1099.249	 1037.049
2000	24	 1095.133	 1033.469
2000	25	 1091.767	 1029.718
2000	26	 1088.375	 1026.440
2000	27	 1085.557	 1024.015
2000	28	 1089.719	 1028.318
2000	29	 1103.324	 1038.384
2000	30	 1109.396	 1049.204
2000	31	 1118.514	 1048.061
2000	32	 1119.319	 1045.209
2000	33	 1116.934	 1041.854
2000	34	 1113.370	 1038.005
2000	35	 1108.950	 1033.924
2000	36	 1104.953	 1029.994
2000	37	 1100.875	 1026.289
2000	38	 1102.324	 1027.689
2000	39	 1118.281	 1031.351
2000	40	 1129.417	 1048.157
2000	41	 1141.591	 1067.992
2000	42	 1148.917	 1086.541
2000	43	 1157.844	 1096.927
2000	44	 1169.050	 1110.004
2000	45	 1186.745	 1122.300
2000	46	 1189.275	 1118.868
2000	47	 1186.660	 1114.094
2000	48	 1181.684	 1108.935
2000	49	 1176.840	 1104.943
2000	50	 1172.094	 1101.615
2000	51	 1168.186	 1097.186
2000	52	 1164.498	 1093.628
2000	53	 1160.154	 1089.571
2000	54	 1155.518	 1085.616
2000	55	 1150.883	 1081.648
2000	56	 1146.921	 1078.186
2000	57	 1142.624	 1074.153
2000	58	 1138.929	 1070.917
2000	59	 1135.604	 1067.770
2000	60	 1131.989	 1064.210
2000	61	 1127.894	 1060.694
2000	62	 1124.113	 1057.389
2000	63	 1120.998	 1054.643
2000	64	 1118.033	 1052.338
2000	65	 1114.987	 1050.140
2000	66	 1112.073	 1048.103
2000	67	 1109.237	 1045.927
2000	68	 1106.212	 1043.519
2000	69	 1103.277	 1040.939
2000	70	 1101.266	 1038.707
2000	71	 1098.821	 1036.037
2000	72	 1095.904	 1033.516
2000	73	 1094.880	 1031.347
2000	74	 1091.753	 1028.393
2000	75	 1088.873	 1025.574
2000	76	 1086.961	 1022.746
2000	77	 1084.432	 1020.002
2000	78	 1082.112	 1017.191
2000	79	 1080.637	 1014.210
2000	80	 1083.724	 1011.625
2000	81	 1082.099	 1011.145
2000	82	 1078.841	 1008.750
2000	83	 1075.657	 1006.816
