sub-daily contribution to river [m3/s] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	  114.51977	   65.24892
2000	2	1	  139.20676	   66.71948
2000	3	1	  123.90514	   68.22613
2000	4	1	  124.60065	   69.78680
2000	5	1	  132.17053	   73.55261
2000	6	1	  136.26562	   73.89828
2000	7	1	  139.00539	   76.45668
2000	8	1	  144.62836	   79.05297
2000	9	1	  147.34723	   81.00468
2000	10	1	  147.15948	   82.95639
2000	11	1	  148.63834	   84.75936
2000	12	1	  151.06758	   86.38768
2000	13	1	  153.69141	   87.85963
2000	14	1	  155.55486	   89.17593
2000	15	1	  157.31885	   90.35318
2000	16	1	  159.00189	   91.40276
2000	17	1	  160.57175	   92.36388
2000	18	1	  162.39233	   93.42979
2000	19	1	  164.38127	   94.82004
2000	20	1	  166.34196	   96.08336
2000	21	1	  167.85504	   97.23861
2000	22	1	  169.30554	   98.26527
2000	23	1	  170.62637	   99.17742
2000	24	1	  171.79172	   99.98901
2000	25	1	  172.80223	  100.71313
2000	26	1	  173.69400	  101.35214
2000	27	1	  174.47197	  101.91661
2000	28	1	  175.33749	  102.53588
2000	29	1	  178.57016	  103.32329
2000	30	1	  177.98056	  104.31998
2000	31	1	  179.68929	  105.23537
2000	32	1	  181.34688	  106.09017
2000	33	1	  182.85197	  106.87618
2000	34	1	  184.21063	  107.57876
2000	35	1	  185.42067	  108.19103
2000	36	1	  186.49123	  108.72029
2000	37	1	  187.41692	  109.17470
2000	38	1	  188.32182	  109.60237
2000	39	1	  199.13556	  110.10318
2000	40	1	  191.53554	  114.31832
2000	41	1	  195.50833	  143.95778
2000	42	1	  198.19841	  145.66835
2000	43	1	  202.88797	  115.86264
2000	44	1	  211.97610	  120.85799
2000	45	1	  409.27606	  125.96991
2000	46	1	  221.54370	  124.51549
2000	47	1	  220.24902	  126.75175
2000	48	1	  221.80042	  128.96042
2000	49	1	  225.19940	  130.92831
2000	50	1	  228.36623	  132.70120
2000	51	1	  231.46471	  134.30290
2000	52	1	  233.76236	  135.73921
2000	53	1	  235.88255	  137.02005
2000	54	1	  237.86569	  138.15579
2000	55	1	  239.62958	  139.15938
2000	56	1	  241.17671	  140.04630
2000	57	1	  242.53334	  140.81606
2000	58	1	  243.71468	  141.48834
2000	59	1	  244.75139	  142.07747
2000	60	1	  245.65805	  142.58284
2000	61	1	  246.42842	  143.00743
2000	62	1	  247.06577	  143.35912
2000	63	1	  247.59143	  143.65047
2000	64	1	  248.03241	  143.89377
2000	65	1	  248.38780	  144.09573
2000	66	1	  248.66342	  144.25946
2000	67	1	  248.86426	  144.38684
2000	68	1	  248.99092	  144.47687
2000	69	1	  249.04791	  144.52773
2000	70	1	  249.04083	  144.53986
2000	71	1	  248.98488	  144.51921
2000	72	1	  248.87843	  144.46370
2000	73	1	  248.73463	  144.37900
2000	74	1	  248.54317	  144.25909
2000	75	1	  248.30646	  144.10782
2000	76	1	  248.02216	  143.92680
2000	77	1	  247.70253	  143.71899
2000	78	1	  247.34900	  143.48502
2000	79	1	  246.96155	  143.22594
2000	80	1	  246.64516	  142.94565
2000	81	1	  246.28084	  142.64723
2000	82	1	  245.88591	  142.33148
2000	83	1	  245.44803	  142.00121
2000	84	1	  244.97273	  141.65796
2000	85	1	  244.45634	  141.29462
2000	86	1	  243.89865	  140.91164
2000	87	1	  243.30278	  140.51147
2000	88	1	  242.67635	  140.09784
2000	89	1	  242.02399	  139.67177
2000	90	1	  241.34674	  139.23328
2000	91	1	  240.64487	  138.78510
2000	92	1	  239.91856	  138.32520
2000	93	1	  239.16801	  137.85475
2000	94	1	  238.39291	  137.37277
2000	95	1	  237.59500	  136.88004
2000	96	1	  236.77467	  136.37587
2000	97	1	  235.92957	  135.85878
2000	98	1	  235.06108	  135.32974
2000	99	1	  234.17076	  134.78989
2000	100	1	  233.26219	  134.24094
2000	101	1	  232.33842	  133.68515
2000	102	1	  231.40250	  133.12263
2000	103	1	  230.45209	  132.55307
2000	104	1	  229.48891	  131.97766
2000	105	1	  228.51303	  131.39638
2000	106	1	  227.52306	  130.80882
2000	107	1	  226.51942	  130.21440
2000	108	1	  225.50453	  129.61385
2000	109	1	  224.48257	  129.00890
2000	110	1	  223.45192	  128.40039
2000	111	1	  222.41667	  127.79008
2000	112	1	  221.37813	  127.17908
2000	113	1	  220.33502	  126.56720
2000	114	1	  219.28616	  125.95296
2000	115	1	  218.23343	  125.33813
2000	116	1	  217.17586	  124.72160
2000	117	1	  216.11290	  124.10277
2000	118	1	  215.04379	  123.48139
2000	119	1	  213.97095	  122.85767
2000	120	1	  212.89429	  122.23285
2000	121	1	  211.81403	  121.60667
2000	122	1	  210.73151	  120.97923
2000	123	1	  209.64555	  120.35004
2000	124	1	  208.55821	  119.72054
2000	125	1	  207.47081	  119.09148
2000	126	1	  206.38361	  118.46344
2000	127	1	  205.29674	  117.83571
2000	128	1	  204.21101	  117.20928
2000	129	1	  203.12743	  116.58484
2000	130	1	  202.04530	  115.96152
2000	131	1	  200.96355	  115.33876
2000	132	1	  199.88229	  114.71667
2000	133	1	  198.80264	  114.09621
2000	134	1	  197.72461	  113.47668
2000	135	1	  196.64769	  112.85810
2000	136	1	  195.57217	  112.24047
2000	137	1	  194.49825	  111.62412
2000	138	1	  193.42616	  111.00914
2000	139	1	  192.35619	  110.39571
2000	140	1	  191.28842	  109.78376
2000	141	1	  190.22275	  109.17315
2000	142	1	  189.15948	  108.56398
2000	143	1	  188.09877	  107.95621
2000	144	1	  187.04143	  107.35043
2000	145	1	  185.98688	  106.74632
2000	146	1	  184.93500	  106.14383
2000	147	1	  183.88580	  105.54310
2000	148	1	  182.83919	  104.94418
2000	149	1	  181.79565	  104.34711
2000	150	1	  180.75563	  103.75221
2000	151	1	  179.71895	  103.15939
2000	152	1	  178.68547	  102.56847
2000	153	1	  177.65541	  101.97963
2000	154	1	  176.62907	  101.39226
2000	155	1	  175.60696	  100.80560
2000	156	1	  174.58928	  100.21985
2000	157	1	  173.57637	   99.63692
2000	158	1	  172.56836	   99.05690
2000	159	1	  171.56479	   98.47979
2000	160	1	  170.56531	   97.90529
2000	161	1	  169.56981	   97.33344
2000	162	1	  168.57857	   96.76422
2000	163	1	  167.59132	   96.19753
2000	164	1	  166.60831	   95.63335
2000	165	1	  165.62990	   95.07212
2000	166	1	  164.65617	   94.51363
2000	167	1	  163.68675	   93.95780
2000	168	1	  162.72156	   93.40446
2000	169	1	  161.76047	   92.85368
2000	170	1	  160.80351	   92.30557
2000	171	1	  159.85081	   91.76006
2000	172	1	  158.90234	   91.21712
2000	173	1	  157.95804	   90.67673
2000	174	1	  157.01790	   90.13889
2000	175	1	  156.08257	   89.60373
2000	176	1	  155.15172	   89.07126
2000	177	1	  154.22565	   88.54156
2000	178	1	  153.30432	   88.01473
2000	179	1	  152.38770	   87.49078
2000	180	1	  151.47577	   86.96955
2000	181	1	  150.56831	   86.45101
2000	182	1	  149.66537	   85.93509
2000	183	1	  148.76711	   85.42189
2000	184	1	  147.87254	   84.91142
2000	185	1	  146.98076	   84.40375
2000	186	1	  146.09265	   83.89872
2000	187	1	  145.20956	   83.39653
2000	188	1	  144.33145	   82.89706
2000	189	1	  143.45828	   82.40028
2000	190	1	  142.58998	   81.90623
2000	191	1	  141.72668	   81.41492
2000	192	1	  140.86832	   80.92633
2000	193	1	  140.01488	   80.44044
2000	194	1	  139.16632	   79.95728
2000	195	1	  138.32285	   79.47697
2000	196	1	  137.48427	   78.99940
2000	197	1	  136.65060	   78.52456
2000	198	1	  135.82182	   78.05244
2000	199	1	  134.99797	   77.58308
2000	200	1	  134.17896	   77.11644
2000	201	1	  133.36479	   76.65248
2000	202	1	  132.55540	   76.19122
2000	203	1	  131.75076	   75.73260
2000	204	1	  130.95087	   75.27661
2000	205	1	  130.15569	   74.82329
2000	206	1	  129.36516	   74.37252
2000	207	1	  128.57925	   73.92434
2000	208	1	  127.79790	   73.47866
2000	209	1	  127.02104	   73.03549
2000	210	1	  126.24868	   72.59474
2000	211	1	  125.48104	   72.15646
2000	212	1	  124.71751	   71.72066
2000	213	1	  123.95856	   71.28729
2000	214	1	  123.20404	   70.85635
2000	215	1	  122.45384	   70.42783
2000	216	1	  121.70847	   70.00170
2000	217	1	  120.96694	   69.57853
2000	218	1	  120.23016	   69.15709
2000	219	1	  119.49863	   68.73849
2000	220	1	  118.78439	   68.32328
2000	221	1	  118.06773	   67.90883
2000	222	1	  117.34780	   67.49767
2000	223	1	  116.64027	   67.08885
2000	224	1	  115.93670	   66.68235
2000	225	1	  115.23697	   66.27811
2000	226	1	  114.54106	   65.87611
2000	227	1	  113.84896	   65.47636
2000	228	1	  113.16064	   65.07882
2000	229	1	  112.47605	   64.68344
2000	230	1	  111.79519	   64.29025
2000	231	1	  111.11803	   63.89925
2000	232	1	  110.44463	   63.51040
2000	233	1	  109.77484	   63.12305
2000	234	1	  109.10870	   62.73532
2000	235	1	  108.44616	   62.34861
2000	236	1	  107.78723	   61.96419
2000	237	1	  107.13185	   61.58207
2000	238	1	  106.48006	   61.20221
2000	239	1	  105.83195	   60.82463
2000	240	1	  105.18756	   60.44938
2000	241	1	  104.54699	   60.07651
2000	242	1	  103.90990	   59.70571
2000	243	1	  103.27653	   59.33725
2000	244	1	  102.64669	   58.97100
2000	245	1	  102.02048	   58.60697
2000	246	1	  101.39779	   58.24513
2000	247	1	  100.77860	   57.88548
2000	248	1	  100.16299	   57.52797
2000	249	1	   99.55755	   57.17318
2000	250	1	   98.95225	   56.82063
2000	251	1	   98.34279	   56.46853
2000	252	1	   97.74344	   56.11972
2000	253	1	   97.14751	   55.77267
2000	254	1	   96.55480	   55.42581
2000	255	1	   95.96533	   55.08115
2000	256	1	   95.37908	   54.73869
2000	257	1	   94.79604	   54.39841
2000	258	1	   94.21625	   54.06030
2000	259	1	   93.63906	   53.72433
2000	260	1	   93.06153	   53.39050
2000	261	1	   92.48744	   53.05879
2000	262	1	   91.91682	   52.72919
2000	263	1	   91.34962	   52.40169
2000	264	1	   90.78584	   52.07627
2000	265	1	   90.22547	   51.75291
2000	266	1	   89.66862	   51.43160
2000	267	1	   89.11492	   51.11233
2000	268	1	   88.56470	   50.79510
2000	269	1	   88.01784	   50.47989
2000	270	1	   87.47430	   50.16666
2000	271	1	   86.93407	   49.85543
2000	272	1	   86.39751	   49.54618
2000	273	1	   85.87482	   49.23986
