daily actual evapotranspiration [mm/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 3.833	 4.262
2000	2	 2.744	 3.394
2000	3	 3.295	 3.382
2000	4	 3.481	 3.161
2000	5	 2.640	 2.797
2000	6	 2.226	 2.722
2000	7	 2.580	 3.061
2000	8	 2.831	 3.195
2000	9	 2.493	 3.631
2000	10	 3.104	 3.610
2000	11	 2.919	 3.207
2000	12	 3.324	 3.535
2000	13	 3.640	 3.868
2000	14	 3.695	 3.865
2000	15	 3.740	 3.486
2000	16	 3.543	 3.392
2000	17	 3.747	 4.005
2000	18	 2.652	 3.053
2000	19	 2.140	 1.767
2000	20	 2.826	 3.411
2000	21	 3.220	 3.283
2000	22	 3.258	 3.374
2000	23	 3.133	 3.474
2000	24	 3.416	 3.684
2000	25	 3.550	 3.417
2000	26	 3.239	 3.176
2000	27	 3.227	 3.456
2000	28	 2.905	 3.201
2000	29	 2.537	 2.942
2000	30	 2.270	 2.367
2000	31	 2.347	 2.765
2000	32	 2.576	 2.807
2000	33	 3.048	 3.047
2000	34	 3.207	 3.285
2000	35	 3.544	 3.664
2000	36	 3.497	 3.457
2000	37	 3.056	 3.173
2000	38	 2.743	 2.681
2000	39	 2.010	 2.380
2000	40	 2.035	 1.863
2000	41	 1.688	 1.598
2000	42	 1.940	 2.102
2000	43	 1.968	 2.090
2000	44	 1.878	 1.810
2000	45	 1.585	 1.978
2000	46	 2.198	 2.963
2000	47	 2.257	 3.149
2000	48	 2.695	 3.490
2000	49	 2.694	 2.849
2000	50	 2.896	 3.187
2000	51	 3.356	 3.378
2000	52	 2.780	 2.793
2000	53	 2.973	 3.074
2000	54	 3.104	 3.159
2000	55	 3.340	 3.406
2000	56	 3.084	 2.895
2000	57	 3.225	 3.224
2000	58	 3.018	 2.877
2000	59	 3.028	 2.931
2000	60	 3.189	 2.988
2000	61	 2.843	 2.988
2000	62	 2.700	 2.815
2000	63	 2.896	 2.687
2000	64	 2.292	 1.772
2000	65	 2.318	 1.887
2000	66	 2.328	 2.246
2000	67	 2.491	 2.504
2000	68	 2.822	 2.656
2000	69	 2.768	 2.149
2000	70	 2.984	 2.922
2000	71	 2.853	 2.379
2000	72	 2.855	 2.249
2000	73	 1.988	 2.113
2000	74	 2.819	 2.617
2000	75	 2.799	 2.799
2000	76	 2.859	 2.826
2000	77	 2.799	 2.956
2000	78	 2.710	 2.738
2000	79	 2.786	 2.823
2000	80	 2.794	 2.939
2000	81	 2.525	 3.242
2000	82	 2.581	 2.767
2000	83	 2.531	 2.618
2000	84	 2.329	 2.234
2000	85	 2.647	 2.873
2000	86	 2.940	 2.947
2000	87	 2.965	 2.758
2000	88	 2.621	 2.334
2000	89	 2.619	 2.559
2000	90	 2.517	 2.417
2000	91	 2.337	 1.927
2000	92	 2.287	 2.229
2000	93	 2.453	 2.056
2000	94	 2.569	 2.307
2000	95	 2.553	 2.295
2000	96	 2.658	 2.588
2000	97	 3.170	 3.143
2000	98	 3.013	 3.147
2000	99	 2.942	 3.021
2000	100	 2.693	 2.881
2000	101	 2.417	 2.455
2000	102	 2.132	 2.414
2000	103	 2.480	 2.515
2000	104	 2.398	 2.317
2000	105	 2.509	 2.444
2000	106	 2.876	 2.762
2000	107	 3.027	 3.217
2000	108	 2.825	 3.160
2000	109	 2.338	 2.747
2000	110	 2.536	 2.526
2000	111	 2.513	 2.322
2000	112	 2.265	 1.704
2000	113	 2.003	 1.696
2000	114	 2.332	 2.243
2000	115	 2.087	 1.738
