total overland flow [m**3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.38449E+02	0.12615E+00
2000	2	0.13550E+07	0.13625E+03
2000	3	0.17237E+06	0.12023E+03
2000	4	0.65237E+05	0.11543E+03
2000	5	0.25723E+06	0.26924E+03
2000	6	0.34705E+06	0.22118E+03
2000	7	0.31667E+06	0.24522E+03
2000	8	0.44621E+06	0.48154E+02
2000	9	0.39552E+06	0.14505E+02
2000	10	0.15109E+06	0.14568E+00
2000	11	0.39706E+05	0.16823E+01
2000	12	0.21592E+05	0.12896E+02
2000	13	0.34355E+05	0.13969E+00
2000	14	0.13016E+05	0.64832E+01
2000	15	0.19798E+04	0.13553E+00
2000	16	0.46979E+01	0.16723E+01
2000	17	0.69145E+02	0.65759E+02
2000	18	0.15815E+03	0.12825E+03
2000	19	0.13974E+03	0.26765E+03
2000	20	0.26052E+04	0.16102E+02
2000	21	0.29253E+02	0.13860E+00
2000	22	0.62344E+01	0.13678E+00
2000	23	0.15444E+00	0.13474E+00
2000	24	0.46951E+01	0.96827E+01
2000	25	0.16969E+02	0.16698E+01
2000	26	0.10829E+02	0.48724E+01
2000	27	0.18500E+02	0.22495E+02
2000	28	0.12131E+03	0.12664E+03
2000	29	0.16462E+06	0.21637E+03
2000	30	0.14587E+03	0.22118E+03
2000	31	0.19652E+03	0.35327E+02
2000	32	0.72227E+02	0.80858E+01
2000	33	0.29260E+02	0.32775E+01
2000	34	0.12378E+02	0.13480E+00
2000	35	0.31684E+01	0.13304E+00
2000	36	0.77695E+01	0.13108E+00
2000	37	0.15581E+00	0.12919E+00
2000	38	0.78353E+02	0.70562E+02
2000	39	0.77923E+06	0.10261E+03
2000	40	0.22414E+03	0.20192E+06
2000	41	0.13201E+06	0.17393E+07
2000	42	0.12648E+06	0.25553E+07
2000	43	0.26390E+06	0.21961E+03
2000	44	0.71328E+06	0.16166E+06
2000	45	0.15556E+08	0.18832E+06
2000	46	0.70116E+06	0.91297E+04
2000	47	0.21978E+06	0.35426E+02
2000	48	0.17782E+05	0.17692E+00
2000	49	0.74093E+04	0.17132E+01
2000	50	0.84366E+04	0.16131E+02
2000	51	0.34284E+05	0.16984E+00
2000	52	0.15125E+05	0.33089E+01
2000	53	0.26282E+04	0.16564E+00
2000	54	0.33993E+02	0.16345E+00
2000	55	0.47275E+01	0.17001E+01
2000	56	0.93285E+01	0.16979E+01
2000	57	0.47227E+01	0.15695E+00
2000	58	0.93239E+01	0.32959E+01
2000	59	0.13925E+02	0.48961E+01
2000	60	0.10854E+02	0.15089E+00
2000	61	0.17174E+00	0.14888E+00
2000	62	0.16970E+00	0.14687E+00
2000	63	0.10848E+02	0.48883E+01
2000	64	0.31742E+01	0.14339E+00
2000	65	0.16382E+01	0.14199E+00
2000	66	0.31711E+01	0.80885E+01
2000	67	0.62385E+01	0.96894E+01
2000	68	0.77714E+01	0.80859E+01
2000	69	0.77698E+01	0.13685E+00
2000	70	0.24648E+02	0.14492E+02
