Output file TC-wise conversion precipitation mass flux (m/s) to energy flux (kJ/m2/s); Unit of result: kJ/m3
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.44038E+06
2000	1	1	15	1	2	 0.44013E+06
2000	1	1	15	1	1	 0.43991E+06
2000	1	1	15	2	6	 0.43889E+06
2000	1	1	15	2	5	 0.43868E+06
2000	1	1	15	2	4	 0.43849E+06
2000	1	1	69	1	3	 0.42966E+06
2000	1	1	69	1	2	 0.42942E+06
2000	1	1	69	1	1	 0.42920E+06
2000	1	1	69	2	6	 0.42817E+06
2000	1	1	69	2	5	 0.42796E+06
2000	1	1	69	2	4	 0.42777E+06
2000	2	1	15	1	3	 0.43662E+06
2000	2	1	15	1	2	 0.43637E+06
2000	2	1	15	1	1	 0.43615E+06
2000	2	1	15	2	6	 0.43513E+06
2000	2	1	15	2	5	 0.43492E+06
2000	2	1	15	2	4	 0.43472E+06
2000	2	1	69	1	3	 0.44080E+06
2000	2	1	69	1	2	 0.44055E+06
2000	2	1	69	1	1	 0.44033E+06
2000	2	1	69	2	6	 0.43931E+06
2000	2	1	69	2	5	 0.43910E+06
2000	2	1	69	2	4	 0.43890E+06
2000	3	1	15	1	3	 0.43871E+06
2000	3	1	15	1	2	 0.43846E+06
2000	3	1	15	1	1	 0.43824E+06
2000	3	1	15	2	6	 0.43722E+06
2000	3	1	15	2	5	 0.43701E+06
2000	3	1	15	2	4	 0.43681E+06
2000	3	1	69	1	3	 0.44205E+06
2000	3	1	69	1	2	 0.44181E+06
2000	3	1	69	1	1	 0.44159E+06
2000	3	1	69	2	6	 0.44056E+06
2000	3	1	69	2	5	 0.44035E+06
2000	3	1	69	2	4	 0.44016E+06
2000	4	1	15	1	3	 0.43996E+06
2000	4	1	15	1	2	 0.43972E+06
2000	4	1	15	1	1	 0.43950E+06
2000	4	1	15	2	6	 0.43847E+06
2000	4	1	15	2	5	 0.43826E+06
2000	4	1	15	2	4	 0.43807E+06
2000	4	1	69	1	3	 0.44122E+06
2000	4	1	69	1	2	 0.44097E+06
2000	4	1	69	1	1	 0.44075E+06
2000	4	1	69	2	6	 0.43973E+06
2000	4	1	69	2	5	 0.43951E+06
2000	4	1	69	2	4	 0.43932E+06
2000	5	1	15	1	3	 0.43662E+06
2000	5	1	15	1	2	 0.43637E+06
2000	5	1	15	1	1	 0.43615E+06
2000	5	1	15	2	6	 0.43513E+06
2000	5	1	15	2	5	 0.43492E+06
2000	5	1	15	2	4	 0.43472E+06
2000	5	1	69	1	3	 0.43913E+06
2000	5	1	69	1	2	 0.43888E+06
2000	5	1	69	1	1	 0.43866E+06
2000	5	1	69	2	6	 0.43764E+06
2000	5	1	69	2	5	 0.43742E+06
2000	5	1	69	2	4	 0.43723E+06
2000	6	1	15	1	3	 0.43369E+06
2000	6	1	15	1	2	 0.43345E+06
2000	6	1	15	1	1	 0.43323E+06
2000	6	1	15	2	6	 0.43220E+06
2000	6	1	15	2	5	 0.43199E+06
2000	6	1	15	2	4	 0.43180E+06
2000	6	1	69	1	3	 0.43745E+06
2000	6	1	69	1	2	 0.43721E+06
2000	6	1	69	1	1	 0.43699E+06
2000	6	1	69	2	6	 0.43596E+06
2000	6	1	69	2	5	 0.43575E+06
2000	6	1	69	2	4	 0.43556E+06
2000	7	1	15	1	3	 0.43495E+06
2000	7	1	15	1	2	 0.43470E+06
2000	7	1	15	1	1	 0.43448E+06
2000	7	1	15	2	6	 0.43346E+06
2000	7	1	15	2	5	 0.43324E+06
2000	7	1	15	2	4	 0.43305E+06
2000	7	1	69	1	3	 0.43829E+06
2000	7	1	69	1	2	 0.43804E+06
2000	7	1	69	1	1	 0.43782E+06
2000	7	1	69	2	6	 0.43680E+06
2000	7	1	69	2	5	 0.43659E+06
2000	7	1	69	2	4	 0.43640E+06
2000	8	1	15	1	3	 0.43453E+06
2000	8	1	15	1	2	 0.43428E+06
2000	8	1	15	1	1	 0.43406E+06
2000	8	1	15	2	6	 0.43304E+06
2000	8	1	15	2	5	 0.43283E+06
2000	8	1	15	2	4	 0.43263E+06
2000	8	1	69	1	3	 0.44038E+06
2000	8	1	69	1	2	 0.44013E+06
2000	8	1	69	1	1	 0.43991E+06
2000	8	1	69	2	6	 0.43889E+06
2000	8	1	69	2	5	 0.43868E+06
2000	8	1	69	2	4	 0.43849E+06
2000	9	1	15	1	3	 0.43286E+06
2000	9	1	15	1	2	 0.43261E+06
2000	9	1	15	1	1	 0.43239E+06
2000	9	1	15	2	6	 0.43137E+06
2000	9	1	15	2	5	 0.43115E+06
2000	9	1	15	2	4	 0.43096E+06
2000	9	1	69	1	3	 0.44247E+06
2000	9	1	69	1	2	 0.44222E+06
2000	9	1	69	1	1	 0.44200E+06
2000	9	1	69	2	6	 0.44098E+06
2000	9	1	69	2	5	 0.44077E+06
2000	9	1	69	2	4	 0.44058E+06
2000	10	1	15	1	3	 0.43620E+06
2000	10	1	15	1	2	 0.43595E+06
2000	10	1	15	1	1	 0.43573E+06
2000	10	1	15	2	6	 0.43471E+06
2000	10	1	15	2	5	 0.43450E+06
2000	10	1	15	2	4	 0.43431E+06
2000	10	1	69	1	3	 0.44247E+06
2000	10	1	69	1	2	 0.44222E+06
2000	10	1	69	1	1	 0.44200E+06
2000	10	1	69	2	6	 0.44098E+06
2000	10	1	69	2	5	 0.44077E+06
2000	10	1	69	2	4	 0.44058E+06
2000	11	1	15	1	3	 0.43620E+06
2000	11	1	15	1	2	 0.43595E+06
2000	11	1	15	1	1	 0.43573E+06
2000	11	1	15	2	6	 0.43471E+06
2000	11	1	15	2	5	 0.43450E+06
2000	11	1	15	2	4	 0.43431E+06
2000	11	1	69	1	3	 0.43996E+06
2000	11	1	69	1	2	 0.43972E+06
2000	11	1	69	1	1	 0.43950E+06
2000	11	1	69	2	6	 0.43847E+06
2000	11	1	69	2	5	 0.43826E+06
2000	11	1	69	2	4	 0.43807E+06
2000	12	1	15	1	3	 0.43745E+06
2000	12	1	15	1	2	 0.43721E+06
2000	12	1	15	1	1	 0.43699E+06
2000	12	1	15	2	6	 0.43596E+06
2000	12	1	15	2	5	 0.43575E+06
2000	12	1	15	2	4	 0.43556E+06
2000	12	1	69	1	3	 0.43996E+06
2000	12	1	69	1	2	 0.43972E+06
2000	12	1	69	1	1	 0.43950E+06
2000	12	1	69	2	6	 0.43847E+06
2000	12	1	69	2	5	 0.43826E+06
2000	12	1	69	2	4	 0.43807E+06
2000	13	1	15	1	3	 0.43662E+06
2000	13	1	15	1	2	 0.43637E+06
