Output file TC-wise temperature corrected for elevation (-)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.25569E+02
2000	1	1	15	1	2	 0.25511E+02
2000	1	1	15	1	1	 0.25458E+02
2000	1	1	15	2	6	 0.25213E+02
2000	1	1	15	2	5	 0.25162E+02
2000	1	1	15	2	4	 0.25116E+02
2000	1	1	69	1	3	 0.26869E+02
2000	1	1	69	1	2	 0.26811E+02
2000	1	1	69	1	1	 0.26758E+02
2000	1	1	69	2	6	 0.26513E+02
2000	1	1	69	2	5	 0.26462E+02
2000	1	1	69	2	4	 0.26416E+02
2000	2	1	15	1	3	 0.24669E+02
2000	2	1	15	1	2	 0.24611E+02
2000	2	1	15	1	1	 0.24558E+02
2000	2	1	15	2	6	 0.24313E+02
2000	2	1	15	2	5	 0.24262E+02
2000	2	1	15	2	4	 0.24216E+02
2000	2	1	69	1	3	 0.25669E+02
2000	2	1	69	1	2	 0.25611E+02
2000	2	1	69	1	1	 0.25558E+02
2000	2	1	69	2	6	 0.25313E+02
2000	2	1	69	2	5	 0.25262E+02
2000	2	1	69	2	4	 0.25216E+02
2000	3	1	15	1	3	 0.25169E+02
2000	3	1	15	1	2	 0.25111E+02
2000	3	1	15	1	1	 0.25058E+02
2000	3	1	15	2	6	 0.24813E+02
2000	3	1	15	2	5	 0.24762E+02
2000	3	1	15	2	4	 0.24716E+02
2000	3	1	69	1	3	 0.25969E+02
2000	3	1	69	1	2	 0.25911E+02
2000	3	1	69	1	1	 0.25858E+02
2000	3	1	69	2	6	 0.25613E+02
2000	3	1	69	2	5	 0.25562E+02
2000	3	1	69	2	4	 0.25516E+02
2000	4	1	15	1	3	 0.25469E+02
2000	4	1	15	1	2	 0.25411E+02
2000	4	1	15	1	1	 0.25358E+02
2000	4	1	15	2	6	 0.25113E+02
2000	4	1	15	2	5	 0.25062E+02
2000	4	1	15	2	4	 0.25016E+02
2000	4	1	69	1	3	 0.25769E+02
2000	4	1	69	1	2	 0.25711E+02
2000	4	1	69	1	1	 0.25658E+02
2000	4	1	69	2	6	 0.25413E+02
2000	4	1	69	2	5	 0.25362E+02
2000	4	1	69	2	4	 0.25316E+02
2000	5	1	15	1	3	 0.24669E+02
2000	5	1	15	1	2	 0.24611E+02
2000	5	1	15	1	1	 0.24558E+02
2000	5	1	15	2	6	 0.24313E+02
2000	5	1	15	2	5	 0.24262E+02
2000	5	1	15	2	4	 0.24216E+02
2000	5	1	69	1	3	 0.25269E+02
2000	5	1	69	1	2	 0.25211E+02
2000	5	1	69	1	1	 0.25158E+02
2000	5	1	69	2	6	 0.24913E+02
2000	5	1	69	2	5	 0.24862E+02
2000	5	1	69	2	4	 0.24816E+02
2000	6	1	15	1	3	 0.23969E+02
2000	6	1	15	1	2	 0.23911E+02
2000	6	1	15	1	1	 0.23858E+02
2000	6	1	15	2	6	 0.23613E+02
2000	6	1	15	2	5	 0.23562E+02
2000	6	1	15	2	4	 0.23516E+02
2000	6	1	69	1	3	 0.24869E+02
2000	6	1	69	1	2	 0.24811E+02
2000	6	1	69	1	1	 0.24758E+02
2000	6	1	69	2	6	 0.24513E+02
2000	6	1	69	2	5	 0.24462E+02
2000	6	1	69	2	4	 0.24416E+02
2000	7	1	15	1	3	 0.24269E+02
2000	7	1	15	1	2	 0.24211E+02
2000	7	1	15	1	1	 0.24158E+02
2000	7	1	15	2	6	 0.23913E+02
2000	7	1	15	2	5	 0.23862E+02
2000	7	1	15	2	4	 0.23816E+02
2000	7	1	69	1	3	 0.25069E+02
2000	7	1	69	1	2	 0.25011E+02
2000	7	1	69	1	1	 0.24958E+02
2000	7	1	69	2	6	 0.24713E+02
2000	7	1	69	2	5	 0.24662E+02
2000	7	1	69	2	4	 0.24616E+02
2000	8	1	15	1	3	 0.24169E+02
2000	8	1	15	1	2	 0.24111E+02
2000	8	1	15	1	1	 0.24058E+02
2000	8	1	15	2	6	 0.23813E+02
2000	8	1	15	2	5	 0.23762E+02
2000	8	1	15	2	4	 0.23716E+02
2000	8	1	69	1	3	 0.25569E+02
2000	8	1	69	1	2	 0.25511E+02
2000	8	1	69	1	1	 0.25458E+02
2000	8	1	69	2	6	 0.25213E+02
2000	8	1	69	2	5	 0.25162E+02
2000	8	1	69	2	4	 0.25116E+02
2000	9	1	15	1	3	 0.23769E+02
2000	9	1	15	1	2	 0.23711E+02
2000	9	1	15	1	1	 0.23658E+02
2000	9	1	15	2	6	 0.23413E+02
2000	9	1	15	2	5	 0.23362E+02
2000	9	1	15	2	4	 0.23316E+02
2000	9	1	69	1	3	 0.26069E+02
2000	9	1	69	1	2	 0.26011E+02
2000	9	1	69	1	1	 0.25958E+02
2000	9	1	69	2	6	 0.25713E+02
2000	9	1	69	2	5	 0.25662E+02
2000	9	1	69	2	4	 0.25616E+02
2000	10	1	15	1	3	 0.24569E+02
2000	10	1	15	1	2	 0.24511E+02
2000	10	1	15	1	1	 0.24458E+02
2000	10	1	15	2	6	 0.24213E+02
2000	10	1	15	2	5	 0.24162E+02
2000	10	1	15	2	4	 0.24116E+02
2000	10	1	69	1	3	 0.26069E+02
2000	10	1	69	1	2	 0.26011E+02
2000	10	1	69	1	1	 0.25958E+02
2000	10	1	69	2	6	 0.25713E+02
2000	10	1	69	2	5	 0.25662E+02
2000	10	1	69	2	4	 0.25616E+02
2000	11	1	15	1	3	 0.24569E+02
2000	11	1	15	1	2	 0.24511E+02
2000	11	1	15	1	1	 0.24458E+02
2000	11	1	15	2	6	 0.24213E+02
2000	11	1	15	2	5	 0.24162E+02
2000	11	1	15	2	4	 0.24116E+02
2000	11	1	69	1	3	 0.25469E+02
2000	11	1	69	1	2	 0.25411E+02
2000	11	1	69	1	1	 0.25358E+02
2000	11	1	69	2	6	 0.25113E+02
2000	11	1	69	2	5	 0.25062E+02
2000	11	1	69	2	4	 0.25016E+02
2000	12	1	15	1	3	 0.24869E+02
2000	12	1	15	1	2	 0.24811E+02
2000	12	1	15	1	1	 0.24758E+02
2000	12	1	15	2	6	 0.24513E+02
2000	12	1	15	2	5	 0.24462E+02
2000	12	1	15	2	4	 0.24416E+02
2000	12	1	69	1	3	 0.25469E+02
2000	12	1	69	1	2	 0.25411E+02
2000	12	1	69	1	1	 0.25358E+02
2000	12	1	69	2	6	 0.25113E+02
2000	12	1	69	2	5	 0.25062E+02
2000	12	1	69	2	4	 0.25016E+02
2000	13	1	15	1	3	 0.24669E+02
2000	13	1	15	1	2	 0.24611E+02
2000	13	1	15	1	1	 0.24558E+02
2000	13	1	15	2	6	 0.24313E+02
2000	13	1	15	2	5	 0.24262E+02
2000	13	1	15	2	4	 0.24216E+02
2000	13	1	69	1	3	 0.25769E+02
2000	13	1	69	1	2	 0.25711E+02
2000	13	1	69	1	1	 0.25658E+02
2000	13	1	69	2	6	 0.25413E+02
2000	13	1	69	2	5	 0.25362E+02
2000	13	1	69	2	4	 0.25316E+02
2000	14	1	15	1	3	 0.24869E+02
2000	14	1	15	1	2	 0.24811E+02
2000	14	1	15	1	1	 0.24758E+02
2000	14	1	15	2	6	 0.24513E+02
2000	14	1	15	2	5	 0.24462E+02
2000	14	1	15	2	4	 0.24416E+02
2000	14	1	69	1	3	 0.25769E+02
2000	14	1	69	1	2	 0.25711E+02
2000	14	1	69	1	1	 0.25658E+02
2000	14	1	69	2	6	 0.25413E+02
2000	14	1	69	2	5	 0.25362E+02
2000	14	1	69	2	4	 0.25316E+02
2000	15	1	15	1	3	 0.24969E+02
2000	15	1	15	1	2	 0.24911E+02
