total subsurface runoff [m**3/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.41540E+08	0.24003E+08
2000	2	0.42327E+08	0.22651E+08
2000	3	0.46621E+08	0.22914E+08
2000	4	0.47027E+08	0.23950E+08
2000	5	0.46942E+08	0.25920E+08
2000	6	0.52204E+08	0.29830E+08
2000	7	0.55306E+08	0.33727E+08
2000	8	0.56426E+08	0.36587E+08
2000	9	0.58374E+08	0.35476E+08
2000	10	0.58201E+08	0.33488E+08
2000	11	0.55018E+08	0.31305E+08
2000	12	0.51161E+08	0.29152E+08
2000	13	0.47475E+08	0.27255E+08
2000	14	0.44147E+08	0.25288E+08
2000	15	0.41101E+08	0.23536E+08
2000	16	0.38124E+08	0.21902E+08
2000	17	0.35359E+08	0.20540E+08
2000	18	0.34410E+08	0.20093E+08
2000	19	0.36642E+08	0.22136E+08
2000	20	0.38085E+08	0.24167E+08
2000	21	0.37050E+08	0.23346E+08
2000	22	0.35314E+08	0.22096E+08
2000	23	0.33346E+08	0.20682E+08
2000	24	0.31217E+08	0.19378E+08
2000	25	0.29173E+08	0.18252E+08
2000	26	0.27460E+08	0.17174E+08
2000	27	0.25920E+08	0.16221E+08
2000	28	0.24814E+08	0.15553E+08
2000	29	0.26946E+08	0.16403E+08
2000	30	0.30172E+08	0.18508E+08
2000	31	0.33391E+08	0.20634E+08
2000	32	0.35757E+08	0.20270E+08
2000	33	0.35684E+08	0.19465E+08
2000	34	0.34332E+08	0.18465E+08
2000	35	0.32659E+08	0.17358E+08
2000	36	0.30861E+08	0.16300E+08
2000	37	0.28963E+08	0.15342E+08
2000	38	0.27320E+08	0.14569E+08
2000	39	0.28210E+08	0.14342E+08
2000	40	0.33853E+08	0.16144E+08
2000	41	0.40147E+08	0.19643E+08
2000	42	0.45313E+08	0.25247E+08
2000	43	0.50083E+08	0.31436E+08
2000	44	0.57315E+08	0.36751E+08
2000	45	0.67941E+08	0.42644E+08
2000	46	0.79713E+08	0.47592E+08
2000	47	0.80104E+08	0.45223E+08
2000	48	0.75777E+08	0.41494E+08
2000	49	0.70236E+08	0.38133E+08
2000	50	0.65074E+08	0.35593E+08
2000	51	0.60326E+08	0.33405E+08
2000	52	0.56281E+08	0.31154E+08
2000	53	0.52860E+08	0.29224E+08
2000	54	0.49299E+08	0.27317E+08
2000	55	0.45858E+08	0.25600E+08
2000	56	0.42819E+08	0.24045E+08
2000	57	0.40174E+08	0.22602E+08
2000	58	0.37741E+08	0.21210E+08
