total deep ground water recharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.42820E+08	0.24979E+08
2000	2	0.51762E+08	0.25676E+08
2000	3	0.52582E+08	0.26439E+08
2000	4	0.48639E+08	0.27312E+08
2000	5	0.56204E+08	0.32219E+08
2000	6	0.60712E+08	0.36355E+08
2000	7	0.61061E+08	0.41492E+08
2000	8	0.63571E+08	0.39086E+08
2000	9	0.64251E+08	0.36626E+08
2000	10	0.58814E+08	0.34178E+08
2000	11	0.54164E+08	0.31961E+08
2000	12	0.49980E+08	0.29724E+08
2000	13	0.46324E+08	0.27725E+08
2000	14	0.43029E+08	0.25717E+08
2000	15	0.40062E+08	0.23927E+08
2000	16	0.37389E+08	0.22278E+08
2000	17	0.35341E+08	0.21120E+08
2000	18	0.38796E+08	0.22541E+08
2000	19	0.41358E+08	0.27129E+08
2000	20	0.39138E+08	0.25764E+08
2000	21	0.37058E+08	0.24231E+08
2000	22	0.34921E+08	0.22569E+08
2000	23	0.32904E+08	0.21088E+08
2000	24	0.30868E+08	0.19786E+08
2000	25	0.28847E+08	0.18658E+08
2000	26	0.27305E+08	0.17553E+08
2000	27	0.25819E+08	0.16583E+08
2000	28	0.26902E+08	0.17263E+08
2000	29	0.32086E+08	0.19656E+08
2000	30	0.34614E+08	0.22636E+08
2000	31	0.38839E+08	0.21783E+08
2000	32	0.38440E+08	0.20926E+08
2000	33	0.36510E+08	0.20044E+08
2000	34	0.34610E+08	0.18966E+08
2000	35	0.32696E+08	0.17790E+08
2000	36	0.30865E+08	0.16704E+08
2000	37	0.28976E+08	0.15723E+08
2000	38	0.28656E+08	0.15349E+08
2000	39	0.35584E+08	0.16308E+08
2000	40	0.41097E+08	0.20309E+08
2000	41	0.48258E+08	0.26187E+08
2000	42	0.52919E+08	0.33178E+08
2000	43	0.59211E+08	0.37795E+08
2000	44	0.68518E+08	0.44739E+08
2000	45	0.85243E+08	0.52360E+08
2000	46	0.86505E+08	0.48814E+08
2000	47	0.79560E+08	0.45271E+08
2000	48	0.73170E+08	0.41414E+08
2000	49	0.67690E+08	0.38295E+08
2000	50	0.62935E+08	0.35778E+08
2000	51	0.58221E+08	0.33592E+08
2000	52	0.54835E+08	0.31458E+08
2000	53	0.51575E+08	0.29455E+08
2000	54	0.48269E+08	0.27576E+08
2000	55	0.45004E+08	0.25864E+08
2000	56	0.42176E+08	0.24348E+08
2000	57	0.39698E+08	0.22822E+08
2000	58	0.37410E+08	0.21547E+08
2000	59	0.35525E+08	0.20463E+08
2000	60	0.33834E+08	0.19370E+08
2000	61	0.32047E+08	0.18305E+08
2000	62	0.30286E+08	0.17339E+08
2000	63	0.28806E+08	0.16537E+08
2000	64	0.27687E+08	0.15900E+08
2000	65	0.26551E+08	0.15352E+08
2000	66	0.25486E+08	0.14843E+08
2000	67	0.24483E+08	0.14360E+08
2000	68	0.23483E+08	0.13859E+08
2000	69	0.22538E+08	0.13331E+08
2000	70	0.21653E+08	0.12800E+08
2000	71	0.20986E+08	0.12355E+08
2000	72	0.20290E+08	0.11872E+08
2000	73	0.19747E+08	0.11464E+08
2000	74	0.19108E+08	0.10978E+08
2000	75	0.18457E+08	0.10535E+08
2000	76	0.17778E+08	0.10114E+08
2000	77	0.17273E+08	0.97293E+07
2000	78	0.16775E+08	0.93531E+07
2000	79	0.16270E+08	0.89751E+07
2000	80	0.17050E+08	0.86550E+07
2000	81	0.16645E+08	0.83755E+07
2000	82	0.16085E+08	0.81221E+07
2000	83	0.15457E+08	0.78866E+07
2000	84	0.14902E+08	0.76808E+07
2000	85	0.14298E+08	0.73764E+07
2000	86	0.13687E+08	0.70739E+07
2000	87	0.13114E+08	0.68026E+07
2000	88	0.12637E+08	0.65809E+07
2000	89	0.12222E+08	0.63726E+07
2000	90	0.11823E+08	0.61645E+07
2000	91	0.11425E+08	0.59907E+07
2000	92	0.11028E+08	0.57914E+07
2000	93	0.10631E+08	0.56046E+07
2000	94	0.10228E+08	0.54056E+07
2000	95	0.98449E+07	0.52148E+07
2000	96	0.94686E+07	0.50142E+07
2000	97	0.90583E+07	0.47931E+07
2000	98	0.86631E+07	0.45827E+07
2000	99	0.82855E+07	0.43870E+07
2000	100	0.79537E+07	0.42129E+07
2000	101	0.76609E+07	0.40692E+07
2000	102	0.74091E+07	0.39272E+07
2000	103	0.71296E+07	0.37814E+07
2000	104	0.68688E+07	0.36497E+07
2000	105	0.66098E+07	0.35179E+07
2000	106	0.63338E+07	0.33807E+07
2000	107	0.60600E+07	0.32348E+07
2000	108	0.58136E+07	0.30976E+07
2000	109	0.56207E+07	0.29826E+07
2000	110	0.54134E+07	0.28792E+07
2000	111	0.52535E+07	0.27986E+07
2000	112	0.51147E+07	0.27343E+07
2000	113	0.49616E+07	0.26677E+07
2000	114	0.47922E+07	0.25829E+07
2000	115	0.46436E+07	0.25182E+07
2000	116	0.44792E+07	0.24418E+07
2000	117	0.43013E+07	0.23555E+07
2000	118	0.41235E+07	0.22629E+07
2000	119	0.39756E+07	0.21759E+07
2000	120	0.38287E+07	0.21040E+07
2000	121	0.36828E+07	0.20303E+07
2000	122	0.35550E+07	0.19576E+07
2000	123	0.34137E+07	0.18781E+07
2000	124	0.32966E+07	0.18173E+07
2000	125	0.31980E+07	0.17654E+07
2000	126	0.31046E+07	0.17222E+07
2000	127	0.30130E+07	0.16703E+07
2000	128	0.29313E+07	0.16327E+07
2000	129	0.28636E+07	0.16042E+07
2000	130	0.27877E+07	0.15642E+07
2000	131	0.26968E+07	0.15165E+07
2000	132	0.26063E+07	0.14704E+07
2000	133	0.25311E+07	0.14375E+07
2000	134	0.24581E+07	0.13950E+07
2000	135	0.23777E+07	0.13532E+07
2000	136	0.23018E+07	0.13116E+07
2000	137	0.22280E+07	0.12742E+07
2000	138	0.21580E+07	0.12383E+07
2000	139	0.20918E+07	0.12052E+07
2000	140	0.20255E+07	0.11710E+07
2000	141	0.19582E+07	0.11353E+07
2000	142	0.18969E+07	0.11009E+07
2000	143	0.18378E+07	0.10660E+07
2000	144	0.17895E+07	0.10395E+07
2000	145	0.17345E+07	0.10087E+07
2000	146	0.16781E+07	0.97776E+06
2000	147	0.16209E+07	0.94849E+06
2000	148	0.15640E+07	0.91952E+06
2000	149	0.15134E+07	0.89246E+06
2000	150	0.14689E+07	0.86907E+06
2000	151	0.14232E+07	0.84506E+06
2000	152	0.13750E+07	0.81898E+06
2000	153	0.13311E+07	0.79476E+06
2000	154	0.12903E+07	0.76393E+06
2000	155	0.12575E+07	0.71764E+06
2000	156	0.12281E+07	0.68123E+06
2000	157	0.12036E+07	0.66853E+06
2000	158	0.11814E+07	0.65655E+06
2000	159	0.11527E+07	0.64574E+06
2000	160	0.11200E+07	0.63014E+06
2000	161	0.10871E+07	0.61528E+06
2000	162	0.10570E+07	0.60161E+06
2000	163	0.10241E+07	0.58548E+06
2000	164	0.99494E+06	0.57034E+06
2000	165	0.97125E+06	0.56045E+06
2000	166	0.94903E+06	0.54881E+06
2000	167	0.92207E+06	0.53582E+06
2000	168	0.89468E+06	0.52096E+06
2000	169	0.86521E+06	0.50733E+06
2000	170	0.83795E+06	0.49501E+06
2000	171	0.81153E+06	0.48270E+06
2000	172	0.78472E+06	0.46939E+06
2000	173	0.75860E+06	0.45669E+06
2000	174	0.73282E+06	0.44413E+06
2000	175	0.71528E+06	0.43323E+06
2000	176	0.69522E+06	0.42309E+06
2000	177	0.67765E+06	0.41408E+06
2000	178	0.66197E+06	0.40684E+06
2000	179	0.64442E+06	0.39985E+06
2000	180	0.62767E+06	0.39112E+06
2000	181	0.60958E+06	0.38163E+06
2000	182	0.59137E+06	0.37227E+06
2000	183	0.57558E+06	0.36389E+06
2000	184	0.54715E+06	0.35647E+06
2000	185	0.50451E+06	0.34927E+06
2000	186	0.47840E+06	0.34139E+06
2000	187	0.46937E+06	0.33553E+06
2000	188	0.45971E+06	0.32876E+06
2000	189	0.44980E+06	0.32174E+06
2000	190	0.44022E+06	0.31523E+06
2000	191	0.43216E+06	0.30953E+06
2000	192	0.42401E+06	0.30359E+06
2000	193	0.41564E+06	0.29760E+06
2000	194	0.40810E+06	0.29241E+06
2000	195	0.40255E+06	0.28892E+06
2000	196	0.39599E+06	0.28426E+06
2000	197	0.38944E+06	0.27964E+06
2000	198	0.38316E+06	0.27530E+06
2000	199	0.37756E+06	0.27139E+06
2000	200	0.37208E+06	0.26757E+06
2000	201	0.36607E+06	0.26354E+06
2000	202	0.36012E+06	0.25943E+06
2000	203	0.35440E+06	0.25545E+06
2000	204	0.34838E+06	0.25117E+06
2000	205	0.34295E+06	0.24749E+06
2000	206	0.33694E+06	0.24308E+06
2000	207	0.33091E+06	0.23860E+06
2000	208	0.32426E+06	0.23389E+06
