total subsurface runoff (groundwater+interflow) [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.17671E+07	0.10318E+07
2000	1	2	0.17654E+07	0.10293E+07
2000	1	3	0.17638E+07	0.10271E+07
2000	1	4	0.17622E+07	0.10251E+07
2000	1	5	0.17607E+07	0.10233E+07
2000	1	6	0.17592E+07	0.10217E+07
2000	1	7	0.17571E+07	0.10197E+07
2000	1	8	0.17543E+07	0.10173E+07
2000	1	9	0.17511E+07	0.10147E+07
2000	1	10	0.17474E+07	0.10119E+07
2000	1	11	0.17433E+07	0.10088E+07
2000	1	12	0.17389E+07	0.10055E+07
2000	1	13	0.17341E+07	0.10020E+07
2000	1	14	0.17291E+07	0.99821E+06
2000	1	15	0.17238E+07	0.99425E+06
2000	1	16	0.17184E+07	0.99013E+06
2000	1	17	0.17128E+07	0.98587E+06
2000	1	18	0.17070E+07	0.98150E+06
2000	1	19	0.17017E+07	0.97753E+06
2000	1	20	0.16969E+07	0.97388E+06
2000	1	21	0.16924E+07	0.97049E+06
2000	1	22	0.16882E+07	0.96734E+06
2000	1	23	0.16843E+07	0.96439E+06
2000	1	24	0.16807E+07	0.96160E+06
2000	2	1	0.16775E+07	0.95902E+06
2000	2	2	0.16771E+07	0.95663E+06
2000	2	3	0.16785E+07	0.95447E+06
2000	2	4	0.16826E+07	0.95252E+06
2000	2	5	0.16865E+07	0.95073E+06
2000	2	6	0.17079E+07	0.94914E+06
2000	2	7	0.17249E+07	0.94756E+06
2000	2	8	0.17384E+07	0.94599E+06
2000	2	9	0.17488E+07	0.94443E+06
2000	2	10	0.17569E+07	0.94284E+06
2000	2	11	0.17629E+07	0.94133E+06
2000	2	12	0.17684E+07	0.93994E+06
2000	2	13	0.17730E+07	0.93902E+06
2000	2	14	0.17766E+07	0.93838E+06
2000	2	15	0.17803E+07	0.93782E+06
2000	2	16	0.17835E+07	0.93754E+06
2000	2	17	0.17915E+07	0.93738E+06
2000	2	18	0.17981E+07	0.93735E+06
2000	2	19	0.18038E+07	0.93752E+06
2000	2	20	0.18089E+07	0.93826E+06
2000	2	21	0.18159E+07	0.93915E+06
2000	2	22	0.18417E+07	0.94019E+06
2000	2	23	0.18629E+07	0.94127E+06
2000	2	24	0.18804E+07	0.94267E+06
2000	3	1	0.18948E+07	0.94421E+06
2000	3	2	0.19067E+07	0.94585E+06
2000	3	3	0.19166E+07	0.94747E+06
2000	3	4	0.19248E+07	0.94911E+06
2000	3	5	0.19317E+07	0.95069E+06
2000	3	6	0.19374E+07	0.95216E+06
2000	3	7	0.19415E+07	0.95315E+06
2000	3	8	0.19446E+07	0.95379E+06
2000	3	9	0.19466E+07	0.95437E+06
2000	3	10	0.19477E+07	0.95499E+06
2000	3	11	0.19484E+07	0.95540E+06
2000	3	12	0.19491E+07	0.95561E+06
2000	3	13	0.19492E+07	0.95558E+06
2000	3	14	0.19486E+07	0.95537E+06
2000	3	15	0.19482E+07	0.95516E+06
2000	3	16	0.19485E+07	0.95503E+06
2000	3	17	0.19489E+07	0.95486E+06
2000	3	18	0.19491E+07	0.95454E+06
2000	3	19	0.19495E+07	0.95568E+06
2000	3	20	0.19503E+07	0.95727E+06
2000	3	21	0.19529E+07	0.95966E+06
2000	3	22	0.19572E+07	0.96206E+06
2000	3	23	0.19621E+07	0.96460E+06
2000	3	24	0.19667E+07	0.96718E+06
2000	4	1	0.19707E+07	0.96997E+06
2000	4	2	0.19742E+07	0.97262E+06
2000	4	3	0.19769E+07	0.97525E+06
2000	4	4	0.19793E+07	0.97881E+06
2000	4	5	0.19813E+07	0.98238E+06
2000	4	6	0.19828E+07	0.98586E+06
2000	4	7	0.19833E+07	0.98961E+06
2000	4	8	0.19827E+07	0.99282E+06
2000	4	9	0.19812E+07	0.99544E+06
2000	4	10	0.19788E+07	0.99764E+06
2000	4	11	0.19758E+07	0.10002E+07
2000	4	12	0.19721E+07	0.10024E+07
2000	4	13	0.19679E+07	0.10042E+07
2000	4	14	0.19633E+07	0.10056E+07
2000	4	15	0.19583E+07	0.10069E+07
2000	4	16	0.19531E+07	0.10078E+07
2000	4	17	0.19476E+07	0.10084E+07
2000	4	18	0.19420E+07	0.10089E+07
2000	4	19	0.19368E+07	0.10095E+07
2000	4	20	0.19320E+07	0.10101E+07
2000	4	21	0.19275E+07	0.10106E+07
2000	4	22	0.19234E+07	0.10112E+07
2000	4	23	0.19196E+07	0.10119E+07
2000	4	24	0.19163E+07	0.10126E+07
2000	5	1	0.19133E+07	0.10141E+07
2000	5	2	0.19106E+07	0.10160E+07
2000	5	3	0.19081E+07	0.10191E+07
2000	5	4	0.19061E+07	0.10232E+07
2000	5	5	0.19047E+07	0.10303E+07
