total surface runoff [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.38457E+02	0.13382E+00
2000	2	1	0.18647E+07	0.13626E+03
2000	3	1	0.27845E+06	0.12024E+03
2000	4	1	0.98802E+05	0.11544E+03
2000	5	1	0.46475E+06	0.16871E+06
2000	6	1	0.50507E+06	0.22119E+03
2000	7	1	0.42844E+06	0.24523E+03
2000	8	1	0.58684E+06	0.19020E+05
2000	9	1	0.49232E+06	0.17059E+04
2000	10	1	0.18386E+06	0.15129E+00
2000	11	1	0.50099E+05	0.16877E+01
2000	12	1	0.26536E+05	0.12901E+02
2000	13	1	0.44190E+05	0.14468E+00
2000	14	1	0.18334E+05	0.64880E+01
2000	15	1	0.37770E+04	0.14021E+00
2000	16	1	0.80605E+02	0.16769E+01
2000	17	1	0.69151E+02	0.65764E+02
2000	18	1	0.15815E+03	0.12825E+03
2000	19	1	0.13974E+03	0.26765E+03
2000	20	1	0.13750E+05	0.16106E+02
2000	21	1	0.22751E+04	0.14255E+00
2000	22	1	0.62406E+01	0.14061E+00
2000	23	1	0.16064E+00	0.13846E+00
2000	24	1	0.47012E+01	0.96864E+01
2000	25	1	0.16975E+02	0.16733E+01
2000	26	1	0.10835E+02	0.48759E+01
2000	27	1	0.18506E+02	0.22498E+02
2000	28	1	0.12132E+03	0.12664E+03
2000	29	1	0.17264E+06	0.21637E+03
2000	30	1	0.14588E+03	0.22118E+03
2000	31	1	0.19652E+03	0.35330E+02
2000	32	1	0.72233E+02	0.80888E+01
2000	33	1	0.29266E+02	0.32804E+01
2000	34	1	0.12383E+02	0.13763E+00
2000	35	1	0.31741E+01	0.13579E+00
2000	36	1	0.77752E+01	0.13374E+00
2000	37	1	0.16146E+00	0.13174E+00
2000	38	1	0.78359E+02	0.70564E+02
2000	39	1	0.81251E+06	0.10261E+03
2000	40	1	0.22415E+03	0.29412E+06
2000	41	1	0.14379E+06	0.27463E+07
2000	42	1	0.14888E+06	0.27431E+07
2000	43	1	0.28841E+06	0.21961E+03
