daily river flow [m3/s] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	  93.149	  51.490
2000	2	 109.816	  52.637
2000	3	  99.627	  53.808
2000	4	 100.997	  55.021
2000	5	 105.128	  56.509
2000	6	 109.301	  58.216
2000	7	 111.796	  60.203
2000	8	 115.975	  62.045
2000	9	 118.566	  63.753
2000	10	 119.496	  65.325
2000	11	 121.270	  66.773
2000	12	 123.431	  68.089
2000	13	 125.548	  69.288
2000	14	 127.218	  70.365
2000	15	 128.804	  71.339
2000	16	 130.305	  72.212
2000	17	 131.673	  73.012
2000	18	 133.246	  73.892
2000	19	 134.956	  75.034
2000	20	 136.506	  76.071
2000	21	 137.923	  77.030
2000	22	 139.197	  77.888
2000	23	 140.342	  78.656
2000	24	 141.358	  79.343
2000	25	 142.243	  79.959
2000	26	 143.025	  80.507
2000	27	 143.708	  80.993
2000	28	 144.459	  81.520
2000	29	 147.164	  82.180
2000	30	 146.705	  83.009
2000	31	 148.141	  83.769
2000	32	 149.527	  84.482
2000	33	 150.786	  85.138
2000	34	 151.923	  85.732
2000	35	 152.936	  86.255
2000	36	 153.835	  86.712
2000	37	 154.620	  87.112
2000	38	 155.381	  87.480
2000	39	 163.974	  87.909
2000	40	 158.053	  90.879
2000	41	 159.960	 108.574
2000	42	 162.207	 118.795
2000	43	 166.084	  92.669
2000	44	 173.763	  96.428
2000	45	 318.362	  99.153
2000	46	 181.947	  99.611
2000	47	 181.473	 101.636
2000	48	 183.094	 103.502
2000	49	 185.854	 105.176
2000	50	 188.432	 106.694
2000	51	 190.889	 108.075
2000	52	 192.810	 109.321
2000	53	 194.601	 110.444
2000	54	 196.263	 111.447
2000	55	 197.737	 112.341
2000	56	 199.033	 113.137
2000	57	 200.168	 113.838
2000	58	 201.158	 114.454
2000	59	 202.026	 115.000
2000	60	 202.786	 115.477
2000	61	 203.437	 115.886
2000	62	 203.978	 116.233
2000	63	 204.423	 116.526
2000	64	 204.797	 116.781
2000	65	 205.103	 116.999
2000	66	 205.343	 117.183
2000	67	 205.522	 117.335
2000	68	 205.638	 117.454
2000	69	 205.696	 117.541
2000	70	 205.699	 117.594
2000	71	 205.656	 117.617
2000	72	 205.568	 117.611
2000	73	 205.450	 117.580
2000	74	 205.289	 117.518
2000	75	 205.091	 117.429
2000	76	 204.852	 117.313
2000	77	 204.582	 117.173
2000	78	 204.283	 117.010
2000	79	 203.956	 116.825
2000	80	 203.686	 116.620
2000	81	 203.371	 116.398
2000	82	 203.033	 116.160
2000	83	 202.663	 115.909
2000	84	 202.262	 115.645
2000	85	 201.828	 115.366
2000	86	 201.362	 115.069
2000	87	 200.866	 114.759
2000	88	 200.345	 114.437
2000	89	 199.801	 114.104
2000	90	 199.237	 113.760
2000	91	 198.652	 113.408
2000	92	 198.048	 113.046
2000	93	 197.424	 112.675
2000	94	 196.782	 112.294
2000	95	 196.121	 111.905
2000	96	 195.443	 111.505
2000	97	 194.745	 111.095
2000	98	 194.028	 110.674
2000	99	 193.294	 110.244
2000	100	 192.545	 109.806
2000	101	 191.784	 109.362
2000	102	 191.014	 108.913
2000	103	 190.232	 108.457
2000	104	 189.439	 107.996
2000	105	 188.636	 107.530
2000	106	 187.822	 107.059
2000	107	 186.998	 106.581
2000	108	 186.165	 106.098
2000	109	 185.327	 105.612
2000	110	 184.481	 105.122
2000	111	 183.630	 104.630
2000	112	 182.776	 104.137
2000	113	 181.919	 103.644
2000	114	 181.057	 103.148
2000	115	 180.192	 102.652
2000	116	 179.322	 102.154
2000	117	 178.448	 101.654
2000	118	 177.569	 101.152
2000	119	 176.686	 100.647
2000	120	 175.801	 100.142
2000	121	 174.913	  99.635
2000	122	 174.023	  99.127
2000	123	 173.130	  98.617
2000	124	 172.236	  98.107
2000	125	 171.341	  97.597
2000	126	 170.448	  97.088
2000	127	 169.554	  96.579
2000	128	 168.661	  96.070
2000	129	 167.770	  95.563
2000	130	 166.880	  95.057
2000	131	 165.991	  94.551
2000	132	 165.101	  94.046
2000	133	 164.213	  93.541
2000	134	 163.327	  93.038
2000	135	 162.441	  92.535
2000	136	 161.556	  92.032
2000	137	 160.673	  91.531
2000	138	 159.791	  91.030
2000	139	 158.911	  90.531
2000	140	 158.032	  90.033
2000	141	 157.155	  89.535
2000	142	 156.281	  89.039
2000	143	 155.408	  88.544
2000	144	 154.538	  88.050
2000	145	 153.670	  87.558
2000	146	 152.804	  87.067
2000	147	 151.940	  86.576
2000	148	 151.079	  86.083
2000	149	 150.220	  85.592
2000	150	 149.363	  85.103
2000	151	 148.510	  84.616
2000	152	 147.659	  84.130
2000	153	 146.811	  83.647
2000	154	 145.966	  83.165
2000	155	 145.124	  82.685
2000	156	 144.286	  82.208
2000	157	 143.452	  81.732
2000	158	 142.622	  81.260
2000	159	 141.795	  80.789
2000	160	 140.972	  80.320
2000	161	 140.152	  79.854
2000	162	 139.336	  79.389
2000	163	 138.523	  78.927
2000	164	 137.713	  78.467
2000	165	 136.907	  78.009
2000	166	 136.105	  77.552
2000	167	 135.306	  77.099
2000	168	 134.511	  76.647
2000	169	 133.719	  76.197
2000	170	 132.930	  75.749
2000	171	 132.145	  75.303
2000	172	 131.363	  74.860
2000	173	 130.585	  74.418
2000	174	 129.811	  73.979
2000	175	 129.040	  73.541
2000	176	 128.272	  73.106
2000	177	 127.506	  72.673
2000	178	 126.743	  72.242
2000	179	 125.983	  71.813
2000	180	 125.228	  71.387
2000	181	 124.477	  70.963
2000	182	 123.729	  70.541
2000	183	 122.986	  70.121
2000	184	 122.247	  69.703
2000	185	 121.511	  69.288
2000	186	 120.780	  68.875
2000	187	 120.053	  68.464
2000	188	 119.330	  68.055
2000	189	 118.611	  67.648
2000	190	 117.896	  67.244
2000	191	 117.185	  66.842
2000	192	 116.478	  66.442
2000	193	 115.774	  66.044
2000	194	 115.075	  65.648
2000	195	 114.380	  65.255
2000	196	 113.689	  64.864
2000	197	 113.002	  64.475
2000	198	 112.319	  64.088
2000	199	 111.640	  63.704
2000	200	 110.965	  63.322
2000	201	 110.294	  62.942
2000	202	 109.627	  62.564
2000	203	 108.964	  62.188
2000	204	 108.305	  61.815
2000	205	 107.649	  61.443
2000	206	 106.997	  61.074
2000	207	 106.349	  60.707
2000	208	 105.705	  60.342
2000	209	 105.064	  59.978
2000	210	 104.427	  59.617
2000	211	 103.795	  59.258
2000	212	 103.165	  58.901
2000	213	 102.539	  58.546
2000	214	 101.916	  58.193
2000	215	 101.297	  57.841
2000	216	 100.683	  57.492
2000	217	 100.071	  57.145
2000	218	  99.463	  56.800
2000	219	  98.860	  56.456
2000	220	  98.273	  56.116
2000	221	  97.681	  55.776
2000	222	  97.086	  55.439
2000	223	  96.502	  55.104
2000	224	  95.922	  54.770
2000	225	  95.345	  54.439
2000	226	  94.771	  54.109
2000	227	  94.200	  53.781
2000	228	  93.633	  53.455
2000	229	  93.068	  53.130
2000	230	  92.506	  52.803
2000	231	  91.947	  52.478
2000	232	  91.392	  52.155
2000	233	  90.839	  51.834
2000	234	  90.289	  51.515
2000	235	  89.742	  51.197
2000	236	  89.198	  50.882
2000	237	  88.657	  50.568
2000	238	  88.119	  50.256
2000	239	  87.584	  49.946
2000	240	  87.052	  49.638
2000	241	  86.523	  49.332
2000	242	  85.996	  49.028
2000	243	  85.473	  48.725
2000	244	  84.953	  48.424
2000	245	  84.436	  48.126
2000	246	  83.921	  47.829
2000	247	  83.410	  47.533
2000	248	  82.901	  47.240
2000	249	  82.402	  46.948
2000	250	  81.902	  46.658
2000	251	  81.397	  46.366
2000	252	  80.902	  46.078
2000	253	  80.409	  45.791
2000	254	  79.919	  45.506
2000	255	  79.432	  45.223
2000	256	  78.948	  44.942
2000	257	  78.465	  44.663
2000	258	  77.981	  44.385
2000	259	  77.501	  44.109
2000	260	  77.023	  43.835
2000	261	  76.548	  43.563
2000	262	  76.076	  43.292
2000	263	  75.607	  43.023
2000	264	  75.140	  42.756
2000	265	  74.677	  42.490
2000	266	  74.216	  42.226
2000	267	  73.758	  41.964
2000	268	  73.303	  41.704
2000	269	  72.850	  41.445
2000	270	  72.401	  41.188
2000	271	  71.954	  40.932
2000	272	  71.510	  40.678
2000	273	  71.080	  40.427
2000	274	  70.640	  40.181
2000	275	  70.204	  39.934
2000	276	  69.767	  39.680
2000	277	  69.337	  39.433
2000	278	  68.918	  39.195
2000	279	  68.504	 117.080
2000	280	  68.094	  38.720
2000	281	  67.687	  38.485
2000	282	  67.292	  38.255
2000	283	  66.886	  38.015
2000	284	  66.493	  37.789
2000	285	  66.113	  37.575
2000	286	  65.724	  37.350
2000	287	  65.345	  37.136
2000	288	  64.971	  36.918
2000	289	  64.613	  36.711
2000	290	  64.272	  36.512
2000	291	  63.933	  36.298
2000	292	  63.590	  36.098
2000	293	  63.256	  35.898
2000	294	  62.924	  35.699
2000	295	  62.590	  35.500
2000	296	  62.257	  35.301
2000	297	  61.925	  35.103
2000	298	  61.592	  34.904
2000	299	  61.260	  34.707
2000	300	  60.929	  34.510
2000	301	  60.621	  34.316
2000	302	  60.313	  34.126
2000	303	  60.003	  33.925
2000	304	  59.702	  33.732
2000	305	  59.405	  33.541
2000	306	  59.120	  33.358
2000	307	  58.846	  33.176
2000	308	  58.589	  32.997
2000	309	  58.363	  36.505
2000	310	  58.149	  32.674
2000	311	  57.987	  32.530
2000	312	  57.843	  32.381
2000	313	  57.695	  32.230
2000	314	  57.570	  32.090
2000	315	  80.049	  72.191
2000	316	  57.540	  31.892
2000	317	  57.564	  31.821
2000	318	  57.647	  31.765
2000	319	  57.789	  31.739
2000	320	  57.957	  31.731
2000	321	  58.151	  31.765
2000	322	  58.361	  31.817
2000	323	  58.662	  31.891
2000	324	  58.992	  31.978
2000	325	  59.377	  32.093
2000	326	  59.786	  32.230
2000	327	  60.160	  32.341
2000	328	  60.504	  32.448
2000	329	  60.818	  32.540
2000	330	  61.098	  32.617
2000	331	  61.344	  32.680
2000	332	  61.556	  32.731
2000	333	  61.735	  32.769
2000	334	  61.892	  32.800
2000	335	  62.157	  32.892
2001	1	 62.525	 33.031
2001	2	 75.866	 54.100
2001	3	 63.816	 33.603
2001	4	 64.633	 33.987
