groundwater recharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.34724E+08	0.19564E+08
2000	2	1	0.41952E+08	0.20048E+08
2000	3	1	0.42725E+08	0.20618E+08
2000	4	1	0.39834E+08	0.21293E+08
2000	5	1	0.45985E+08	0.25098E+08
2000	6	1	0.49836E+08	0.28302E+08
2000	7	1	0.50316E+08	0.32272E+08
2000	8	1	0.52565E+08	0.30621E+08
2000	9	1	0.53400E+08	0.28866E+08
2000	10	1	0.49240E+08	0.27141E+08
2000	11	1	0.45590E+08	0.25547E+08
2000	12	1	0.42236E+08	0.23874E+08
2000	13	1	0.39252E+08	0.22385E+08
2000	14	1	0.36526E+08	0.20828E+08
2000	15	1	0.34049E+08	0.19490E+08
2000	16	1	0.31824E+08	0.18195E+08
2000	17	1	0.30061E+08	0.17240E+08
2000	18	1	0.32881E+08	0.18310E+08
2000	19	1	0.34992E+08	0.22015E+08
2000	20	1	0.33127E+08	0.20938E+08
2000	21	1	0.31345E+08	0.19794E+08
2000	22	1	0.29538E+08	0.18502E+08
2000	23	1	0.27871E+08	0.17335E+08
2000	24	1	0.26177E+08	0.16279E+08
2000	25	1	0.24477E+08	0.15382E+08
2000	26	1	0.23134E+08	0.14483E+08
2000	27	1	0.21853E+08	0.13696E+08
2000	28	1	0.22644E+08	0.14169E+08
2000	29	1	0.26905E+08	0.16083E+08
2000	30	1	0.28958E+08	0.18490E+08
2000	31	1	0.32376E+08	0.17796E+08
2000	32	1	0.31969E+08	0.17099E+08
2000	33	1	0.30364E+08	0.16385E+08
2000	34	1	0.28773E+08	0.15587E+08
2000	35	1	0.27180E+08	0.14651E+08
2000	36	1	0.25693E+08	0.13808E+08
2000	37	1	0.24194E+08	0.13052E+08
2000	38	1	0.23828E+08	0.12610E+08
2000	39	1	0.29519E+08	0.13396E+08
2000	40	1	0.33965E+08	0.16642E+08
2000	41	1	0.39803E+08	0.21445E+08
2000	42	1	0.43571E+08	0.27127E+08
2000	43	1	0.48653E+08	0.30837E+08
2000	44	1	0.56227E+08	0.36456E+08
2000	45	1	0.69924E+08	0.42648E+08
2000	46	1	0.71007E+08	0.39999E+08
2000	47	1	0.65523E+08	0.37385E+08
2000	48	1	0.60396E+08	0.34512E+08
2000	49	1	0.55937E+08	0.32036E+08
2000	50	1	0.52025E+08	0.30028E+08
2000	51	1	0.48327E+08	0.28294E+08
2000	52	1	0.45469E+08	0.26557E+08
2000	53	1	0.42758E+08	0.24982E+08
2000	54	1	0.40079E+08	0.23441E+08
2000	55	1	0.37391E+08	0.22021E+08
2000	56	1	0.35063E+08	0.20765E+08
2000	57	1	0.32984E+08	0.19527E+08
2000	58	1	0.31084E+08	0.18427E+08
2000	59	1	0.29496E+08	0.17505E+08
2000	60	1	0.28082E+08	0.16616E+08
2000	61	1	0.26661E+08	0.15719E+08
2000	62	1	0.25206E+08	0.14908E+08
2000	63	1	0.23932E+08	0.14200E+08
2000	64	1	0.23004E+08	0.13685E+08
2000	65	1	0.22093E+08	0.13212E+08
2000	66	1	0.21218E+08	0.12759E+08
2000	67	1	0.20390E+08	0.12337E+08
2000	68	1	0.19556E+08	0.11894E+08
2000	69	1	0.18760E+08	0.11464E+08
2000	70	1	0.18009E+08	0.10984E+08
2000	71	1	0.17377E+08	0.10601E+08
2000	72	1	0.16767E+08	0.10194E+08
2000	73	1	0.16314E+08	0.98383E+07
2000	74	1	0.15752E+08	0.94285E+07
2000	75	1	0.15209E+08	0.90402E+07
2000	76	1	0.14634E+08	0.86707E+07
2000	77	1	0.14191E+08	0.83241E+07
2000	78	1	0.13761E+08	0.79997E+07
2000	79	1	0.13334E+08	0.76777E+07
2000	80	1	0.13935E+08	0.73879E+07
2000	81	1	0.13572E+08	0.71327E+07
2000	82	1	0.13130E+08	0.69000E+07
2000	83	1	0.12638E+08	0.66842E+07
2000	84	1	0.12186E+08	0.65038E+07
2000	85	1	0.11708E+08	0.62572E+07
2000	86	1	0.11223E+08	0.60070E+07
2000	87	1	0.10770E+08	0.57829E+07
2000	88	1	0.10381E+08	0.55969E+07
2000	89	1	0.10027E+08	0.54119E+07
2000	90	1	0.96848E+07	0.52356E+07
2000	91	1	0.93595E+07	0.50901E+07
2000	92	1	0.90435E+07	0.49240E+07
2000	93	1	0.87249E+07	0.47690E+07
2000	94	1	0.84057E+07	0.46031E+07
2000	95	1	0.81012E+07	0.44438E+07
2000	96	1	0.78014E+07	0.42758E+07
2000	97	1	0.74728E+07	0.40902E+07
2000	98	1	0.71551E+07	0.39135E+07
2000	99	1	0.68515E+07	0.37487E+07
2000	100	1	0.65856E+07	0.36026E+07
2000	101	1	0.63494E+07	0.34797E+07
2000	102	1	0.61474E+07	0.33601E+07
2000	103	1	0.59201E+07	0.32369E+07
2000	104	1	0.57076E+07	0.31254E+07
2000	105	1	0.54967E+07	0.30137E+07
2000	106	1	0.52724E+07	0.28976E+07
2000	107	1	0.50502E+07	0.27741E+07
2000	108	1	0.48497E+07	0.26580E+07
2000	109	1	0.46907E+07	0.25607E+07
2000	110	1	0.45218E+07	0.24732E+07
2000	111	1	0.43824E+07	0.24009E+07
2000	112	1	0.42603E+07	0.23453E+07
2000	113	1	0.41361E+07	0.22894E+07
2000	114	1	0.39981E+07	0.22174E+07
2000	115	1	0.38768E+07	0.21628E+07
2000	116	1	0.37423E+07	0.20979E+07
2000	117	1	0.35971E+07	0.20245E+07
2000	118	1	0.34519E+07	0.19459E+07
2000	119	1	0.33311E+07	0.18719E+07
2000	120	1	0.32115E+07	0.18110E+07
2000	121	1	0.30924E+07	0.17484E+07
2000	122	1	0.29879E+07	0.16866E+07
2000	123	1	0.28720E+07	0.16189E+07
2000	124	1	0.27757E+07	0.15671E+07
2000	125	1	0.26946E+07	0.15229E+07
2000	126	1	0.26175E+07	0.14860E+07
2000	127	1	0.25417E+07	0.14416E+07
2000	128	1	0.24739E+07	0.14095E+07
2000	129	1	0.24168E+07	0.13827E+07
2000	130	1	0.23541E+07	0.13487E+07
2000	131	1	0.22789E+07	0.13079E+07
2000	132	1	0.22040E+07	0.12685E+07
2000	133	1	0.21418E+07	0.12389E+07
2000	134	1	0.20807E+07	0.12027E+07
2000	135	1	0.20143E+07	0.11670E+07
2000	136	1	0.19513E+07	0.11314E+07
2000	137	1	0.18900E+07	0.10994E+07
2000	138	1	0.18317E+07	0.10688E+07
2000	139	1	0.17765E+07	0.10405E+07
2000	140	1	0.17214E+07	0.10112E+07
2000	141	1	0.16654E+07	0.98063E+06
2000	142	1	0.16146E+07	0.95124E+06
2000	143	1	0.15653E+07	0.92135E+06
2000	144	1	0.15245E+07	0.89868E+06
2000	145	1	0.14785E+07	0.87221E+06
2000	146	1	0.14314E+07	0.84564E+06
2000	147	1	0.13837E+07	0.80530E+06
2000	148	1	0.13364E+07	0.73610E+06
2000	149	1	0.12941E+07	0.71585E+06
2000	150	1	0.12568E+07	0.69825E+06
2000	151	1	0.12185E+07	0.68015E+06
2000	152	1	0.11783E+07	0.66079E+06
2000	153	1	0.11416E+07	0.64263E+06
2000	154	1	0.11075E+07	0.62670E+06
2000	155	1	0.10801E+07	0.61301E+06
2000	156	1	0.10556E+07	0.60148E+06
2000	157	1	0.10347E+07	0.59026E+06
2000	158	1	0.10157E+07	0.57934E+06
2000	159	1	0.99135E+06	0.56946E+06
2000	160	1	0.96390E+06	0.55565E+06
2000	161	1	0.93632E+06	0.54251E+06
2000	162	1	0.91112E+06	0.53041E+06
2000	163	1	0.88366E+06	0.51614E+06
2000	164	1	0.85924E+06	0.50271E+06
2000	165	1	0.83907E+06	0.49340E+06
2000	166	1	0.82051E+06	0.48312E+06
2000	167	1	0.79765E+06	0.47164E+06
2000	168	1	0.77466E+06	0.45850E+06
2000	169	1	0.74999E+06	0.44643E+06
2000	170	1	0.72692E+06	0.43532E+06
2000	171	1	0.70486E+06	0.42443E+06
2000	172	1	0.68242E+06	0.41265E+06
2000	173	1	0.66052E+06	0.40142E+06
2000	174	1	0.63889E+06	0.39030E+06
2000	175	1	0.62406E+06	0.38066E+06
2000	176	1	0.59267E+06	0.37170E+06
2000	177	1	0.55621E+06	0.36374E+06
2000	178	1	0.52288E+06	0.35719E+06
2000	179	1	0.51134E+06	0.35085E+06
2000	180	1	0.50016E+06	0.34313E+06
2000	181	1	0.48816E+06	0.33477E+06
2000	182	1	0.47610E+06	0.32650E+06
2000	183	1	0.46559E+06	0.31909E+06
2000	184	1	0.45608E+06	0.31254E+06
2000	185	1	0.44656E+06	0.30619E+06
2000	186	1	0.43644E+06	0.29922E+06
2000	187	1	0.42801E+06	0.29405E+06
2000	188	1	0.41916E+06	0.28809E+06
2000	189	1	0.41010E+06	0.28190E+06
2000	190	1	0.40132E+06	0.27613E+06
2000	191	1	0.39386E+06	0.27111E+06
2000	192	1	0.38638E+06	0.26589E+06
2000	193	1	0.37875E+06	0.26059E+06
2000	194	1	0.37187E+06	0.25602E+06
2000	195	1	0.36671E+06	0.25297E+06
2000	196	1	0.36072E+06	0.24883E+06
2000	197	1	0.35474E+06	0.24476E+06
2000	198	1	0.34900E+06	0.24094E+06
2000	199	1	0.34390E+06	0.23750E+06
2000	200	1	0.33889E+06	0.23414E+06
2000	201	1	0.33340E+06	0.23058E+06
2000	202	1	0.32797E+06	0.22697E+06
2000	203	1	0.32274E+06	0.22345E+06
2000	204	1	0.31724E+06	0.21969E+06
2000	205	1	0.31227E+06	0.21641E+06
2000	206	1	0.30678E+06	0.21252E+06
2000	207	1	0.30127E+06	0.20856E+06
2000	208	1	0.29520E+06	0.20441E+06
2000	209	1	0.28881E+06	0.19994E+06
2000	210	1	0.28245E+06	0.19519E+06
2000	211	1	0.27761E+06	0.19075E+06
2000	212	1	0.27243E+06	0.18684E+06
2000	213	1	0.26623E+06	0.18248E+06
2000	214	1	0.26032E+06	0.17829E+06
2000	215	1	0.25460E+06	0.17434E+06
2000	216	1	0.25002E+06	0.17034E+06
2000	217	1	0.24638E+06	0.16778E+06
2000	218	1	0.24348E+06	0.16593E+06
2000	219	1	0.23985E+06	0.16274E+06
2000	220	1	0.30263E+06	0.16056E+06
2000	221	1	0.32871E+06	0.15880E+06
2000	222	1	0.32416E+06	0.15616E+06
2000	223	1	0.31771E+06	0.15258E+06
2000	224	1	0.31106E+06	0.14902E+06
2000	225	1	0.30307E+06	0.14508E+06
2000	226	1	0.29499E+06	0.14108E+06
2000	227	1	0.28698E+06	0.13707E+06
2000	228	1	0.27886E+06	0.13270E+06
2000	229	1	0.27069E+06	0.12076E+06
2000	230	1	0.26244E+06	0.63787E+05
2000	231	1	0.25502E+06	0.61834E+05
2000	232	1	0.24733E+06	0.59732E+05
2000	233	1	0.23925E+06	0.57668E+05
2000	234	1	0.23131E+06	0.55593E+05
2000	235	1	0.22321E+06	0.53503E+05
2000	236	1	0.21517E+06	0.51444E+05
2000	237	1	0.20749E+06	0.49517E+05
2000	238	1	0.20003E+06	0.47535E+05
2000	239	1	0.19368E+06	0.45844E+05
2000	240	1	0.18873E+06	0.44640E+05
2000	241	1	0.18445E+06	0.43531E+05
2000	242	1	0.17848E+06	0.42041E+05
2000	243	1	0.17271E+06	0.40516E+05
2000	244	1	0.16710E+06	0.39010E+05
2000	245	1	0.16230E+06	0.37680E+05
2000	246	1	0.15632E+06	0.36177E+05
2000	247	1	0.15027E+06	0.34588E+05
2000	248	1	0.14463E+06	0.33013E+05
2000	249	1	0.14993E+06	0.27890E+05
2000	250	1	0.16511E+06	0.18340E+05
2000	251	1	0.16036E+06	0.00000E+00
2000	252	1	0.15511E+06	0.00000E+00
2000	253	1	0.14918E+06	0.00000E+00
2000	254	1	0.14243E+06	0.00000E+00
2000	255	1	0.13575E+06	0.00000E+00
2000	256	1	0.12914E+06	0.00000E+00
2000	257	1	0.10804E+06	0.00000E+00
2000	258	1	0.60205E+05	0.00000E+00
2000	259	1	0.57322E+05	0.00000E+00
2000	260	1	0.54678E+05	0.00000E+00
2000	261	1	0.52037E+05	0.00000E+00
2000	262	1	0.49545E+05	0.00000E+00
2000	263	1	0.47231E+05	0.00000E+00
2000	264	1	0.44967E+05	0.00000E+00
2000	265	1	0.42731E+05	0.00000E+00
2000	266	1	0.40772E+05	0.00000E+00
2000	267	1	0.38816E+05	0.00000E+00
2000	268	1	0.36922E+05	0.00000E+00
2000	269	1	0.35175E+05	0.00000E+00
2000	270	1	0.33336E+05	0.00000E+00
2000	271	1	0.31669E+05	0.00000E+00
2000	272	1	0.26816E+05	0.00000E+00
2000	273	1	0.37360E+05	0.00000E+00
2000	274	1	0.41970E+05	0.00000E+00
2000	275	1	0.45535E+05	0.00000E+00
2000	276	1	0.44588E+05	0.00000E+00
2000	277	1	0.43485E+05	0.00000E+00
2000	278	1	0.53156E+05	0.00000E+00
2000	279	1	0.14173E+06	0.00000E+00
2000	280	1	0.19174E+06	0.34462E+05
2000	281	1	0.23705E+06	0.55803E+05
2000	282	1	0.30916E+06	0.13886E+06
2000	283	1	0.30533E+06	0.13559E+06
2000	284	1	0.30014E+06	0.12569E+06
2000	285	1	0.31962E+06	0.14151E+06
2000	286	1	0.32178E+06	0.14437E+06
2000	287	1	0.34733E+06	0.18146E+06
2000	288	1	0.39833E+06	0.19390E+06
2000	289	1	0.56794E+06	0.25332E+06
2000	290	1	0.80192E+06	0.35900E+06
2000	291	1	0.86566E+06	0.34879E+06
2000	292	1	0.84335E+06	0.33665E+06
2000	293	1	0.81828E+06	0.32370E+06
2000	294	1	0.79855E+06	0.31099E+06
2000	295	1	0.77613E+06	0.29862E+06
2000	296	1	0.74924E+06	0.28546E+06
2000	297	1	0.72163E+06	0.27241E+06
2000	298	1	0.69211E+06	0.26085E+06
2000	299	1	0.66782E+06	0.25039E+06
2000	300	1	0.64716E+06	0.24144E+06
2000	301	1	0.79243E+06	0.23440E+06
2000	302	1	0.93621E+06	0.23689E+06
2000	303	1	0.92333E+06	0.22944E+06
2000	304	1	0.93618E+06	0.22137E+06
2000	305	1	0.97410E+06	0.21475E+06
2000	306	1	0.11047E+07	0.24158E+06
2000	307	1	0.12505E+07	0.31086E+06
2000	308	1	0.14620E+07	0.36468E+06
2000	309	1	0.18158E+07	0.54541E+06
2000	310	1	0.20103E+07	0.60241E+06
2000	311	1	0.26133E+07	0.75734E+06
2000	312	1	0.29467E+07	0.76648E+06
2000	313	1	0.29289E+07	0.74406E+06
2000	314	1	0.31272E+07	0.74373E+06
2000	315	1	0.43790E+07	0.11496E+07
2000	316	1	0.48397E+07	0.14749E+07
2000	317	1	0.51956E+07	0.17325E+07
2000	318	1	0.59731E+07	0.19223E+07
2000	319	1	0.68064E+07	0.22818E+07
2000	320	1	0.72044E+07	0.25652E+07
2000	321	1	0.75678E+07	0.30869E+07
2000	322	1	0.78160E+07	0.34132E+07
2000	323	1	0.90267E+07	0.36935E+07
2000	324	1	0.95207E+07	0.38881E+07
2000	325	1	0.10264E+08	0.42672E+07
2000	326	1	0.10653E+08	0.45795E+07
2000	327	1	0.10288E+08	0.44071E+07
2000	328	1	0.98764E+07	0.42161E+07
2000	329	1	0.94805E+07	0.40248E+07
2000	330	1	0.90444E+07	0.38320E+07
2000	331	1	0.85769E+07	0.36496E+07
2000	332	1	0.81408E+07	0.34777E+07
2000	333	1	0.77140E+07	0.33157E+07
2000	334	1	0.73931E+07	0.32011E+07
2000	335	1	0.87346E+07	0.38630E+07
2001	1	1	0.10300E+08	0.46406E+07
2001	2	1	0.13438E+08	0.63759E+07
2001	3	1	0.14913E+08	0.70380E+07
2001	4	1	0.16627E+08	0.80732E+07
2001	5	1	0.16161E+08	0.78821E+07
2001	6	1	0.15719E+08	0.76580E+07
2001	7	1	0.15258E+08	0.74662E+07
2001	8	1	0.14816E+08	0.72497E+07
2001	9	1	0.14474E+08	0.70743E+07
2001	10	1	0.14249E+08	0.68993E+07
2001	11	1	0.13916E+08	0.67385E+07
2001	12	1	0.13552E+08	0.65344E+07
