groundwater discharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.10121E+08	0.57202E+07
2000	2	1	0.10385E+08	0.58459E+07
2000	3	1	0.10651E+08	0.59757E+07
2000	4	1	0.10892E+08	0.61101E+07
2000	5	1	0.11179E+08	0.62746E+07
2000	6	1	0.11492E+08	0.64640E+07
2000	7	1	0.11806E+08	0.66846E+07
2000	8	1	0.12133E+08	0.68887E+07
2000	9	1	0.12463E+08	0.70759E+07
2000	10	1	0.12757E+08	0.72465E+07
2000	11	1	0.13019E+08	0.74020E+07
2000	12	1	0.13253E+08	0.75424E+07
2000	13	1	0.13463E+08	0.76694E+07
2000	14	1	0.13650E+08	0.77828E+07
2000	15	1	0.13818E+08	0.78843E+07
2000	16	1	0.13967E+08	0.79747E+07
2000	17	1	0.14103E+08	0.80572E+07
2000	18	1	0.14260E+08	0.81482E+07
2000	19	1	0.14432E+08	0.82674E+07
2000	20	1	0.14589E+08	0.83773E+07
2000	21	1	0.14731E+08	0.84769E+07
2000	22	1	0.14860E+08	0.85653E+07
2000	23	1	0.14974E+08	0.86438E+07
2000	24	1	0.15075E+08	0.87137E+07
2000	25	1	0.15163E+08	0.87760E+07
2000	26	1	0.15240E+08	0.88309E+07
2000	27	1	0.15308E+08	0.88793E+07
2000	28	1	0.15382E+08	0.89317E+07
2000	29	1	0.15488E+08	0.89989E+07
2000	30	1	0.15610E+08	0.90844E+07
2000	31	1	0.15758E+08	0.91640E+07
2000	32	1	0.15902E+08	0.92377E+07
2000	33	1	0.16034E+08	0.93053E+07
2000	34	1	0.16152E+08	0.93658E+07
2000	35	1	0.16258E+08	0.94184E+07
2000	36	1	0.16351E+08	0.94638E+07
2000	37	1	0.16432E+08	0.95028E+07
2000	38	1	0.16510E+08	0.95392E+07
2000	39	1	0.16632E+08	0.95814E+07
2000	40	1	0.16788E+08	0.96485E+07
2000	41	1	0.16989E+08	0.97522E+07
2000	42	1	0.17218E+08	0.98993E+07
2000	43	1	0.17486E+08	0.10075E+08
2000	44	1	0.17811E+08	0.10292E+08
2000	45	1	0.18242E+08	0.10557E+08
2000	46	1	0.18677E+08	0.10797E+08
2000	47	1	0.19066E+08	0.11014E+08
2000	48	1	0.19412E+08	0.11205E+08
2000	49	1	0.19721E+08	0.11375E+08
2000	50	1	0.19997E+08	0.11528E+08
2000	51	1	0.20242E+08	0.11666E+08
2000	52	1	0.20464E+08	0.11790E+08
2000	53	1	0.20663E+08	0.11901E+08
2000	54	1	0.20840E+08	0.11999E+08
2000	55	1	0.20995E+08	0.12085E+08
2000	56	1	0.21131E+08	0.12162E+08
2000	57	1	0.21251E+08	0.12228E+08
2000	58	1	0.21355E+08	0.12286E+08
2000	59	1	0.21446E+08	0.12337E+08
2000	60	1	0.21526E+08	0.12381E+08
2000	61	1	0.21594E+08	0.12417E+08
2000	62	1	0.21650E+08	0.12447E+08
2000	63	1	0.21697E+08	0.12472E+08
2000	64	1	0.21736E+08	0.12493E+08
2000	65	1	0.21767E+08	0.12510E+08
2000	66	1	0.21792E+08	0.12524E+08
2000	67	1	0.21810E+08	0.12535E+08
2000	68	1	0.21821E+08	0.12543E+08
2000	69	1	0.21826E+08	0.12547E+08
2000	70	1	0.21826E+08	0.12548E+08
2000	71	1	0.21821E+08	0.12546E+08
2000	72	1	0.21812E+08	0.12541E+08
2000	73	1	0.21800E+08	0.12533E+08
2000	74	1	0.21783E+08	0.12523E+08
2000	75	1	0.21763E+08	0.12509E+08
2000	76	1	0.21738E+08	0.12494E+08
2000	77	1	0.21710E+08	0.12476E+08
2000	78	1	0.21680E+08	0.12455E+08
2000	79	1	0.21646E+08	0.12433E+08
2000	80	1	0.21617E+08	0.12408E+08
2000	81	1	0.21586E+08	0.12382E+08
2000	82	1	0.21552E+08	0.12354E+08
2000	83	1	0.21514E+08	0.12326E+08
2000	84	1	0.21472E+08	0.12296E+08
2000	85	1	0.21427E+08	0.12264E+08
2000	86	1	0.21378E+08	0.12231E+08
2000	87	1	0.21326E+08	0.12196E+08
2000	88	1	0.21272E+08	0.12160E+08
2000	89	1	0.21215E+08	0.12123E+08
2000	90	1	0.21155E+08	0.12085E+08
2000	91	1	0.21094E+08	0.12046E+08
2000	92	1	0.21031E+08	0.12006E+08
2000	93	1	0.20965E+08	0.11965E+08
2000	94	1	0.20897E+08	0.11923E+08
2000	95	1	0.20827E+08	0.11880E+08
2000	96	1	0.20756E+08	0.11836E+08
2000	97	1	0.20682E+08	0.11791E+08
2000	98	1	0.20606E+08	0.11745E+08
2000	99	1	0.20528E+08	0.11698E+08
2000	100	1	0.20448E+08	0.11651E+08
2000	101	1	0.20368E+08	0.11603E+08
2000	102	1	0.20286E+08	0.11554E+08
2000	103	1	0.20202E+08	0.11504E+08
2000	104	1	0.20118E+08	0.11454E+08
2000	105	1	0.20033E+08	0.11404E+08
2000	106	1	0.19946E+08	0.11353E+08
2000	107	1	0.19858E+08	0.11301E+08
2000	108	1	0.19769E+08	0.11249E+08
2000	109	1	0.19680E+08	0.11197E+08
2000	110	1	0.19590E+08	0.11144E+08
2000	111	1	0.19499E+08	0.11091E+08
2000	112	1	0.19408E+08	0.11038E+08
2000	113	1	0.19317E+08	0.10985E+08
2000	114	1	0.19225E+08	0.10931E+08
2000	115	1	0.19133E+08	0.10878E+08
2000	116	1	0.19040E+08	0.10824E+08
2000	117	1	0.18947E+08	0.10771E+08
2000	118	1	0.18853E+08	0.10717E+08
2000	119	1	0.18759E+08	0.10663E+08
2000	120	1	0.18665E+08	0.10608E+08
2000	121	1	0.18570E+08	0.10554E+08
2000	122	1	0.18475E+08	0.10500E+08
2000	123	1	0.18380E+08	0.10445E+08
2000	124	1	0.18285E+08	0.10390E+08
2000	125	1	0.18190E+08	0.10336E+08
2000	126	1	0.18094E+08	0.10281E+08
2000	127	1	0.17999E+08	0.10227E+08
2000	128	1	0.17904E+08	0.10172E+08
2000	129	1	0.17809E+08	0.10118E+08
2000	130	1	0.17714E+08	0.10064E+08
2000	131	1	0.17619E+08	0.10010E+08
2000	132	1	0.17524E+08	0.99560E+07
