daily river flow [m3/s] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	 102.102	  57.885
2000	2	 126.784	  59.387
2000	3	 111.571	  60.924
2000	4	 112.313	  62.515
2000	5	 119.917	  66.404
2000	6	 124.048	  66.681
2000	7	 126.823	  69.263
2000	8	 132.473	  71.865
2000	9	 135.218	  73.860
2000	10	 135.058	  75.846
2000	11	 136.564	  77.679
2000	12	 139.022	  79.340
2000	13	 141.675	  80.844
2000	14	 143.568	  82.194
2000	15	 145.364	  83.405
2000	16	 147.079	  84.490
2000	17	 148.683	  85.486
2000	18	 150.532	  86.586
2000	19	 152.545	  88.010
2000	20	 154.531	  89.306
2000	21	 156.070	  90.496
2000	22	 157.548	  91.557
2000	23	 158.897	  92.504
2000	24	 160.091	  93.350
2000	25	 161.132	  94.110
2000	26	 162.056	  94.784
2000	27	 162.866	  95.384
2000	28	 163.762	  96.039
2000	29	 167.015	  96.860
2000	30	 166.444	  97.891
2000	31	 168.163	  98.840
2000	32	 169.830	  99.729
2000	33	 171.347	 100.549
2000	34	 172.718	 101.285
2000	35	 173.943	 101.932
2000	36	 175.030	 102.495
2000	37	 175.974	 102.984
2000	38	 176.898	 103.446
2000	39	 187.716	 103.981
2000	40	 180.112	 108.201
2000	41	 184.065	 137.816
2000	42	 186.728	 139.530
2000	43	 191.377	 109.865
2000	44	 200.405	 114.884
2000	45	 388.448	 119.970
2000	46	 209.763	 118.599
2000	47	 208.370	 120.867
2000	48	 209.830	 123.105
2000	49	 213.146	 125.104
2000	50	 216.238	 126.907
2000	51	 219.270	 128.540
2000	52	 221.507	 130.007
2000	53	 223.574	 131.319
2000	54	 225.511	 132.486
2000	55	 227.236	 133.521
2000	56	 228.751	 134.440
2000	57	 230.081	 135.241
2000	58	 231.241	 135.945
2000	59	 232.261	 136.565
2000	60	 233.156	 137.102
2000	61	 233.918	 137.558
2000	62	 234.552	 137.941
2000	63	 235.078	 138.264
2000	64	 235.521	 138.538
2000	65	 235.883	 138.771
2000	66	 236.168	 138.965
2000	67	 236.381	 139.123
2000	68	 236.522	 139.244
2000	69	 236.597	 139.325
2000	70	 236.610	 139.368
2000	71	 236.574	 139.377
2000	72	 236.490	 139.352
2000	73	 236.370	 139.297
2000	74	 236.203	 139.207
2000	75	 235.993	 139.085
2000	76	 235.737	 138.934
2000	77	 235.447	 138.755
2000	78	 235.124	 138.550
2000	79	 234.768	 138.320
2000	80	 234.482	 138.069
2000	81	 234.149	 137.799
2000	82	 233.787	 137.512
2000	83	 233.383	 137.210
2000	84	 232.943	 136.895
2000	85	 232.463	 136.560
2000	86	 231.943	 136.205
2000	87	 231.387	 135.833
2000	88	 230.801	 135.447
2000	89	 230.190	 135.048
2000	90	 229.555	 134.637
2000	91	 228.897	 134.216
2000	92	 228.215	 133.783
2000	93	 227.509	 133.340
2000	94	 226.780	 132.885
2000	95	 226.028	 132.418
2000	96	 225.256	 131.941
2000	97	 224.459	 131.450
2000	98	 223.639	 130.947
2000	99	 222.799	 130.433
2000	100	 221.941	 129.910
2000	101	 221.068	 129.380
2000	102	 220.184	 128.843
2000	103	 219.285	 128.299
2000	104	 218.374	 127.749
2000	105	 217.450	 127.193
2000	106	 216.513	 126.630
2000	107	 215.563	 126.061
2000	108	 214.602	 125.485
2000	109	 213.634	 124.904
2000	110	 212.657	 124.320
2000	111	 211.676	 123.734
2000	112	 210.692	 123.147
2000	113	 209.703	 122.560
2000	114	 208.710	 121.969
2000	115	 207.713	 121.378
2000	116	 206.710	 120.785
2000	117	 205.702	 120.190
2000	118	 204.688	 119.592
2000	119	 203.670	 118.991
2000	120	 202.648	 118.389
2000	121	 201.622	 117.786
2000	122	 200.595	 117.181
2000	123	 199.564	 116.575
2000	124	 198.531	 115.968
2000	125	 197.499	 115.361
2000	126	 196.466	 114.755
2000	127	 195.434	 114.149
2000	128	 194.403	 113.545
2000	129	 193.374	 112.942
2000	130	 192.345	 112.341
2000	131	 191.318	 111.740
2000	132	 190.290	 111.139
2000	133	 189.264	 110.540
2000	134	 188.240	 109.941
2000	135	 187.216	 109.344
2000	136	 186.194	 108.747
2000	137	 185.173	 108.152
2000	138	 184.154	 107.557
2000	139	 183.137	 106.964
2000	140	 182.122	 106.373
2000	141	 181.109	 105.782
2000	142	 180.098	 105.193
2000	143	 179.089	 104.606
2000	144	 178.083	 104.020
2000	145	 177.081	 103.436
2000	146	 176.080	 102.853
2000	147	 175.082	 102.272
2000	148	 174.087	 101.692
2000	149	 173.094	 101.114
2000	150	 172.105	 100.539
2000	151	 171.118	  99.965
2000	152	 170.135	  99.393
2000	153	 169.155	  98.823
2000	154	 168.179	  98.254
2000	155	 167.206	  97.686
2000	156	 166.238	  97.119
2000	157	 165.274	  96.554
2000	158	 164.315	  95.993
2000	159	 163.360	  95.434
2000	160	 162.408	  94.877
2000	161	 161.461	  94.324
2000	162	 160.518	  93.772
2000	163	 159.578	  93.223
2000	164	 158.643	  92.677
2000	165	 157.711	  92.133
