River sediment load in ton/timestep (with MAP IDs as in hymo.dat)
Year	Day	Timestep	15	69
2000	1	1	    0.000	    0.000
2000	2	1	   94.026	    0.000
2000	3	1	  284.271	    0.001
2000	4	1	  477.258	    0.001
2000	5	1	  596.432	    1.921
2000	6	1	  550.546	    8.423
2000	7	1	  502.713	   31.109
2000	8	1	  460.088	   80.072
2000	9	1	  416.532	  151.272
2000	10	1	  366.740	  225.995
2000	11	1	  306.075	  285.575
2000	12	1	  230.694	  332.177
2000	13	1	  145.544	  366.847
2000	14	1	   91.004	  389.821
2000	15	1	   71.143	  400.610
2000	16	1	   53.038	  398.119
2000	17	1	   36.223	  381.073
2000	18	1	   22.479	  350.076
2000	19	1	   11.872	  310.597
2000	20	1	    4.862	  267.793
2000	21	1	    1.761	  223.691
2000	22	1	    0.895	  180.887
2000	23	1	    0.592	  142.475
2000	24	1	    0.352	  109.610
2000	25	1	    0.208	   81.785
2000	26	1	    0.152	   59.055
2000	27	1	    0.123	   41.236
2000	28	1	    0.096	   27.861
2000	29	1	    1.210	   18.316
2000	30	1	    3.465	   11.852
2000	31	1	    5.720	    7.573
2000	32	1	    7.035	    4.678
2000	33	1	    6.275	    2.758
2000	34	1	    5.443	    1.747
2000	35	1	    4.610	    1.564
2000	36	1	    3.777	    1.982
2000	37	1	    2.944	    2.667
2000	38	1	    2.111	    3.263
2000	39	1	   10.623	    3.708
2000	40	1	   28.481	    6.025
2000	41	1	   47.590	   51.793
2000	42	1	   61.091	  180.254
2000	43	1	   60.729	  350.102
2000	44	1	   69.731	  522.718
2000	45	1	  569.365	  696.376
2000	46	1	 1557.878	  797.280
2000	47	1	 2544.763	  788.460
2000	48	1	 3113.383	  742.107
2000	49	1	 2787.861	  707.661
2000	50	1	 2414.962	  751.570
2000	51	1	 2041.891	  927.852
2000	52	1	 1672.197	 1215.779
2000	53	1	 1302.908	 1530.803
2000	54	1	  934.104	 1762.446
2000	55	1	  566.165	 1908.968
2000	56	1	  201.935	 1974.686
