total sediment production [t] for all sub-basins (MAP-IDs) and particle classes{ 3}
Year	Day 	15:1	15:2	15:3	69:1	69:2	69:3
2000	1	    0.001	    0.001	    0.001	    0.000	    0.000	    0.000
2000	2	    0.011	    0.009	    0.008	    0.004	    0.003	    0.004
2000	3	    0.004	    0.003	    0.003	    0.003	    0.003	    0.003
2000	4	    0.001	    0.001	    0.001	    0.003	    0.002	    0.003
2000	5	    0.008	    0.006	    0.006	    0.010	    0.008	    0.010
2000	6	    0.006	    0.005	    0.004	    0.008	    0.006	    0.008
2000	7	    0.003	    0.003	    0.002	    0.009	    0.007	    0.009
2000	8	    0.005	    0.004	    0.003	    0.001	    0.001	    0.001
2000	9	    0.003	    0.003	    0.002	    0.000	    0.000	    0.000
2000	10	    0.001	    0.001	    0.001	    0.000	    0.000	    0.000
2000	11	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	12	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	13	    0.001	    0.000	    0.000	    0.000	    0.000	    0.000
2000	14	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	15	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	16	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	17	    0.002	    0.001	    0.001	    0.002	    0.001	    0.002
2000	18	    0.005	    0.004	    0.004	    0.004	    0.003	    0.004
2000	19	    0.004	    0.003	    0.003	    0.010	    0.008	    0.010
2000	20	    0.001	    0.001	    0.001	    0.000	    0.000	    0.000
2000	21	    0.001	    0.000	    0.000	    0.000	    0.000	    0.000
2000	22	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	23	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	24	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	25	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	26	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	27	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	28	    0.004	    0.003	    0.003	    0.004	    0.003	    0.004
2000	29	    0.010	    0.008	    0.007	    0.008	    0.006	    0.008
2000	30	    0.005	    0.004	    0.003	    0.008	    0.006	    0.008
2000	31	    0.007	    0.005	    0.005	    0.001	    0.001	    0.001
