soil moisture in profile [mm] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	  915.855	  871.873
2000	2	  931.880	  877.175
2000	3	  937.134	  881.466
2000	4	  936.711	  885.671
2000	5	  948.763	  899.808
2000	6	  958.077	  910.994
2000	7	  962.910	  923.307
2000	8	  970.047	  923.191
2000	9	  974.989	  920.545
2000	10	  974.637	  916.928
2000	11	  972.687	  913.923
2000	12	  970.151	  911.302
2000	13	  968.217	  907.563
2000	14	  965.548	  904.267
2000	15	  962.252	  900.992
2000	16	  958.874	  898.163
2000	17	  959.506	  898.412
2000	18	  966.977	  903.495
2000	19	  973.717	  918.525
2000	20	  973.586	  916.219
2000	21	  972.076	  912.849
2000	22	  969.045	  909.502
2000	23	  965.758	  906.171
2000	24	  962.507	  903.258
2000	25	  959.947	  900.353
2000	26	  957.316	  897.973
2000	27	  955.217	  896.084
2000	28	  960.111	  900.937
2000	29	  974.589	  911.622
2000	30	  981.589	  923.151
2000	31	  991.738	  922.687
2000	32	  993.552	  920.486
2000	33	  992.115	  917.750
2000	34	  989.438	  914.487
2000	35	  985.849	  910.959
2000	36	  982.631	  907.552
2000	37	  979.285	  904.385
2000	38	  981.448	  906.255
2000	39	  998.307	  910.412
2000	40	 1010.444	  927.840
2000	41	 1023.790	  948.554
2000	42	 1032.385	  968.179
2000	43	 1042.720	  979.673
2000	44	 1055.550	  994.062
2000	45	 1075.619	 1007.885
2000	46	 1080.095	 1005.843
2000	47	 1079.205	 1002.344
2000	48	 1075.773	  998.345
2000	49	 1072.330	  995.416
2000	50	 1068.866	  993.079
2000	51	 1066.133	  989.610
2000	52	 1063.536	  987.043
2000	53	 1060.210	  984.049
2000	54	 1056.530	  981.097
2000	55	 1052.800	  978.023
2000	56	 1049.686	  975.293
2000	57	 1046.208	  971.948
2000	58	 1043.306	  969.359
2000	59	 1040.777	  966.827
2000	60	 1038.087	  963.856
2000	61	 1034.880	  960.985
2000	62	 1031.925	  958.356
2000	63	 1029.578	  956.175
2000	64	 1027.387	  954.353
2000	65	 1025.111	  952.620
2000	66	 1022.929	  951.029
2000	67	 1020.802	  949.283
2000	68	 1018.449	  947.290
2000	69	 1016.180	  945.115
2000	70	 1014.646	  943.268
2000	71	 1012.651	  940.975
2000	72	 1010.234	  938.862
2000	73	 1009.619	  937.093
2000	74	 1006.926	  934.720
2000	75	 1004.573	  932.436
2000	76	 1003.061	  930.135
2000	77	 1001.015	  927.862
2000	78	  999.237	  925.550
2000	79	  998.117	  923.103
2000	80	 1001.537	  920.898
2000	81	 1000.196	  920.615
2000	82	  997.212	  918.412
2000	83	  994.295	  916.677
2000	84	  991.898	  914.907
2000	85	  988.904	  912.038
2000	86	  985.640	  909.078
2000	87	  982.380	  906.541
2000	88	  979.796	  904.434
2000	89	  977.750	  902.397
2000	90	  975.677	  900.319
2000	91	  973.474	  898.550
2000	92	  971.126	  896.411
2000	93	  968.621	  894.369
2000	94	  965.908	  892.073
2000	95	  963.227	  889.788
2000	96	  960.559	  887.209
2000	97	  957.509	  884.074
2000	98	  954.469	  880.935
2000	99	  951.438	  877.920
2000	100	  948.658	  875.045
2000	101	  946.156	  872.695
2000	102	  943.942	  870.286
2000	103	  941.382	  867.774
2000	104	  938.906	  865.460
2000	105	  936.322	  863.019
2000	106	  933.373	  860.260
2000	107	  930.276	  857.048
2000	108	  927.382	  853.894
2000	109	  925.078	  851.154
2000	110	  922.478	  848.633
2000	111	  920.402	  846.617
2000	112	  918.574	  845.018
2000	113	  916.511	  843.327
2000	114	  914.119	  841.087
2000	115	  911.975	  839.353
2000	116	  909.485	  837.245
2000	117	  906.615	  834.683
2000	118	  903.603	  831.721
2000	119	  901.024	  828.815
2000	120	  898.323	  826.323
2000	121	  895.527	  823.659
2000	122	  893.003	  820.889
2000	123	  890.096	  817.742
2000	124	  887.626	  815.352
2000	125	  885.506	  813.279
2000	126	  883.446	  811.519
2000	127	  881.383	  809.401
2000	128	  879.506	  807.849
2000	129	  877.908	  806.593
2000	130	  876.045	  804.817
2000	131	  873.713	  802.614
2000	132	  871.302	  800.407
2000	133	  869.236	  798.783
2000	134	  867.139	  796.616
2000	135	  864.758	  794.384
2000	136	  862.463	  792.117
2000	137	  860.164	  790.009
2000	138	  857.919	  787.950
2000	139	  855.732	  785.986
2000	140	  853.455	  783.882
2000	141	  851.047	  781.613
2000	142	  848.747	  779.279
2000	143	  846.519	  776.857
2000	144	  844.625	  775.013
2000	145	  842.427	  772.829
2000	146	  840.072	  770.547
2000	147	  837.575	  768.319
2000	148	  834.982	  766.007
2000	149	  832.617	  763.801
2000	150	  830.506	  761.866
2000	151	  828.252	  759.826
2000	152	  825.732	  757.410
2000	153	  823.376	  755.131
2000	154	  821.109	  753.089
2000	155	  819.230	  751.284
2000	156	  817.512	  749.710
2000	157	  816.040	  748.165
2000	158	  814.665	  746.631
2000	159	  812.874	  745.232
2000	160	  810.771	  743.249
2000	161	  808.586	  741.281
2000	162	  806.505	  739.383
2000	163	  804.124	  737.070
2000	164	  801.955	  734.757
2000	165	  800.127	  733.156
2000	166	  798.373	  731.332
2000	167	  796.147	  729.224
2000	168	  793.861	  726.660
2000	169	  791.264	  724.243
2000	170	  788.722	  721.946
2000	171	  786.161	  719.547
2000	172	  783.471	  716.893
2000	173	  780.755	  714.336
2000	174	  777.943	  711.688
2000	175	  775.975	  709.283
2000	176	  773.643	  707.007
2000	177	  771.525	  705.003
2000	178	  769.608	  703.315
2000	179	  767.382	  701.602
2000	180	  765.220	  699.529
2000	181	  762.751	  697.112
2000	182	  760.144	  694.614
2000	183	  757.824	  692.369
2000	184	  755.697	  690.300
2000	185	  753.480	  688.216
2000	186	  750.931	  685.786
2000	187	  748.748	  683.894
2000	188	  746.421	  681.743
2000	189	  743.886	  679.334
2000	190	  741.292	  676.964
2000	191	  738.983	  674.822
2000	192	  736.497	  672.392
2000	193	  733.802	  669.790
2000	194	  731.284	  667.443
2000	195	  729.377	  665.885
2000	196	  727.058	  663.670
2000	197	  724.583	  661.344
2000	198	  722.029	  658.991
2000	199	  719.627	  656.765
2000	200	  717.351	  654.663
2000	201	  714.810	  652.401
2000	202	  712.312	  650.122
2000	203	  709.943	  647.940
2000	204	  707.488	  645.624
2000	205	  705.264	  643.585
2000	206	  702.769	  641.149
2000	207	  700.246	  638.634
2000	208	  697.410	  635.986
2000	209	  694.403	  633.092
2000	210	  691.382	  629.982
2000	211	  689.042	  627.026
2000	212	  686.691	  624.522
2000	213	  683.893	  621.769
2000	214	  681.182	  619.110
2000	215	  678.474	  616.512
2000	216	  676.455	  613.835
2000	217	  674.708	  612.610
2000	218	  673.567	  611.117
2000	219	  674.370	  609.082
2000	220	  688.723	  610.491
2000	221	  692.723	  608.383
2000	222	  689.584	  605.130
2000	223	  685.189	  602.284
2000	224	  682.176	  599.872
2000	225	  679.384	  597.195
2000	226	  676.495	  594.443
2000	227	  673.608	  591.759
2000	228	  670.597	  588.865
2000	229	  667.467	  586.094
2000	230	  664.234	  583.336
2000	231	  661.307	  581.073
2000	232	  658.275	  578.793
2000	233	  655.034	  576.674
2000	234	  651.803	  574.716
2000	235	  648.376	  572.952
2000	236	  644.842	  571.347
2000	237	  641.343	  569.910
2000	238	  637.684	  568.506
2000	239	  634.562	  567.306
2000	240	  632.185	  566.445
2000	241	  630.178	  565.673
2000	242	  627.351	  564.655
2000	243	  624.415	  563.609
2000	244	  621.506	  562.562
2000	245	  618.991	  561.617
2000	246	  615.636	  560.529
2000	247	  612.094	  559.347
2000	248	  608.733	  558.165
2000	249	  614.738	  557.428
2000	250	  618.754	  559.608
2000	251	  614.125	  556.420
2000	252	  609.483	  554.607
2000	253	  605.819	  553.368
2000	254	  602.446	  552.064
2000	255	  599.145	  550.707
2000	256	  596.051	  549.329
2000	257	  593.356	  547.916
2000	258	  591.070	  546.582
2000	259	  588.993	  545.259
2000	260	  587.153	  543.953
2000	261	  585.390	  542.577
2000	262	  583.748	  541.264
2000	263	  582.225	  539.933
2000	264	  580.731	  538.597
2000	265	  579.249	  537.322
2000	266	  577.929	  536.034
2000	267	  576.584	  534.670
2000	268	  575.230	  533.373
2000	269	  573.938	  532.016
2000	270	  572.514	  530.662
2000	271	  571.198	  529.309
2000	272	  570.248	  528.063
2000	273	  584.959	  531.009
2000	274	  591.631	  533.866
2000	275	  595.928	  537.421
2000	276	  595.510	  536.134
2000	277	  594.198	  534.487
2000	278	  604.506	  538.570
2000	279	  621.685	  575.995
2000	280	  639.138	  595.657
2000	281	  652.353	  621.836
2000	282	  668.297	  637.328
2000	283	  668.110	  635.855
2000	284	  666.822	  633.586
2000	285	  671.507	  639.733
2000	286	  672.806	  641.463
2000	287	  677.426	  654.665
2000	288	  685.770	  658.652
2000	289	  708.494	  674.316
2000	290	  730.914	  695.301
2000	291	  737.045	  692.241
2000	292	  733.787	  687.929
2000	293	  731.535	  685.180
2000	294	  731.584	  682.864
2000	295	  728.395	  680.494
2000	296	  723.985	  677.750
2000	297	  721.300	  674.930
2000	298	  718.642	  672.296
2000	299	  716.483	  669.918
2000	300	  714.949	  667.736
2000	301	  732.960	  670.383
2000	302	  744.190	  671.345
2000	303	  744.113	  667.197
2000	304	  744.474	  663.982
