daily river flow [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.45700E+07	0.17183E+07
2000	2	0.45919E+07	0.17266E+07
2000	3	0.46151E+07	0.17357E+07
2000	4	0.46363E+07	0.17456E+07
2000	5	0.46689E+07	0.17609E+07
2000	6	0.47082E+07	0.17798E+07
2000	7	0.47511E+07	0.18041E+07
2000	8	0.48007E+07	0.18264E+07
2000	9	0.48549E+07	0.18480E+07
2000	10	0.49055E+07	0.18684E+07
2000	11	0.49536E+07	0.18876E+07
2000	12	0.49987E+07	0.19056E+07
2000	13	0.50408E+07	0.19222E+07
2000	14	0.50798E+07	0.19375E+07
2000	15	0.51158E+07	0.19516E+07
2000	16	0.51489E+07	0.19644E+07
2000	17	0.51802E+07	0.19764E+07
2000	18	0.52193E+07	0.19903E+07
2000	19	0.52640E+07	0.20098E+07
2000	20	0.53055E+07	0.20265E+07
2000	21	0.53451E+07	0.20429E+07
2000	22	0.53816E+07	0.20580E+07
2000	23	0.54152E+07	0.20719E+07
2000	24	0.54458E+07	0.20847E+07
2000	25	0.54731E+07	0.20964E+07
2000	26	0.54975E+07	0.21070E+07
2000	27	0.55194E+07	0.21167E+07
2000	28	0.55453E+07	0.21270E+07
2000	29	0.55830E+07	0.21411E+07
2000	30	0.56269E+07	0.21595E+07
2000	31	0.56817E+07	0.21759E+07
2000	32	0.57363E+07	0.21922E+07
2000	33	0.57877E+07	0.22076E+07
2000	34	0.58358E+07	0.22217E+07
2000	35	0.58802E+07	0.22346E+07
2000	36	0.59209E+07	0.22464E+07
2000	37	0.59575E+07	0.22570E+07
2000	38	0.59945E+07	0.22669E+07
2000	39	0.62291E+07	0.22790E+07
2000	40	0.61214E+07	0.22977E+07
2000	41	0.62121E+07	0.26495E+07
2000	42	0.63170E+07	0.27441E+07
2000	43	0.64412E+07	0.24177E+07
2000	44	0.65938E+07	0.24809E+07
2000	45	0.13818E+08	0.25590E+07
2000	46	0.70720E+07	0.26321E+07
2000	47	0.72412E+07	0.27020E+07
2000	48	0.73981E+07	0.27666E+07
2000	49	0.75658E+07	0.28268E+07
2000	50	0.77220E+07	0.28832E+07
2000	51	0.78646E+07	0.29358E+07
2000	52	0.79969E+07	0.29851E+07
2000	53	0.81192E+07	0.30308E+07
2000	54	0.82310E+07	0.30733E+07
2000	55	0.83322E+07	0.31126E+07
2000	56	0.84239E+07	0.31492E+07
2000	57	0.85071E+07	0.31828E+07
2000	58	0.85824E+07	0.32140E+07
