total deep ground water discharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.45700E+07	0.17183E+07
2000	2	0.45905E+07	0.17259E+07
2000	3	0.46139E+07	0.17347E+07
2000	4	0.46358E+07	0.17446E+07
2000	5	0.46674E+07	0.17593E+07
2000	6	0.47066E+07	0.17781E+07
2000	7	0.47496E+07	0.18021E+07
2000	8	0.47990E+07	0.18252E+07
2000	9	0.48532E+07	0.18471E+07
2000	10	0.49044E+07	0.18677E+07
2000	11	0.49527E+07	0.18869E+07
2000	12	0.49979E+07	0.19050E+07
2000	13	0.50401E+07	0.19216E+07
2000	14	0.50793E+07	0.19370E+07
2000	15	0.51154E+07	0.19511E+07
2000	16	0.51486E+07	0.19641E+07
2000	17	0.51795E+07	0.19760E+07
2000	18	0.52180E+07	0.19891E+07
2000	19	0.52626E+07	0.20080E+07
2000	20	0.53047E+07	0.20259E+07
2000	21	0.53444E+07	0.20423E+07
2000	22	0.53811E+07	0.20575E+07
2000	23	0.54150E+07	0.20715E+07
2000	24	0.54456E+07	0.20844E+07
2000	25	0.54730E+07	0.20961E+07
2000	26	0.54975E+07	0.21068E+07
2000	27	0.55195E+07	0.21166E+07
2000	28	0.55444E+07	0.21262E+07
2000	29	0.55817E+07	0.21397E+07
2000	30	0.56256E+07	0.21579E+07
2000	31	0.56801E+07	0.21752E+07
2000	32	0.57352E+07	0.21916E+07
2000	33	0.57870E+07	0.22071E+07
2000	34	0.58353E+07	0.22213E+07
2000	35	0.58798E+07	0.22343E+07
2000	36	0.59207E+07	0.22461E+07
2000	37	0.59573E+07	0.22568E+07
2000	38	0.59938E+07	0.22667E+07
2000	39	0.60491E+07	0.22779E+07
2000	40	0.61196E+07	0.22959E+07
2000	41	0.62103E+07	0.23243E+07
2000	42	0.63151E+07	0.23654E+07
2000	43	0.64391E+07	0.24151E+07
2000	44	0.65915E+07	0.24780E+07
2000	45	0.67964E+07	0.25558E+07
2000	46	0.70111E+07	0.26301E+07
2000	47	0.72107E+07	0.27001E+07
2000	48	0.73949E+07	0.27648E+07
2000	49	0.75646E+07	0.28251E+07
2000	50	0.77212E+07	0.28816E+07
2000	51	0.78638E+07	0.29343E+07
2000	52	0.79963E+07	0.29837E+07
2000	53	0.81187E+07	0.30295E+07
2000	54	0.82307E+07	0.30720E+07
2000	55	0.83320E+07	0.31115E+07
2000	56	0.84238E+07	0.31482E+07
2000	57	0.85072E+07	0.31818E+07
2000	58	0.85826E+07	0.32132E+07
2000	59	0.86514E+07	0.32423E+07
2000	60	0.87145E+07	0.32690E+07
2000	61	0.87714E+07	0.32935E+07
2000	62	0.88218E+07	0.33159E+07
2000	63	0.88668E+07	0.33366E+07
2000	64	0.89079E+07	0.33559E+07
2000	65	0.89451E+07	0.33739E+07
2000	66	0.89785E+07	0.33907E+07
2000	67	0.90084E+07	0.34062E+07
2000	68	0.90347E+07	0.34205E+07
2000	69	0.90576E+07	0.34334E+07
2000	70	0.90772E+07	0.34452E+07
2000	71	0.90944E+07	0.34556E+07
2000	72	0.91091E+07	0.34650E+07
2000	73	0.91219E+07	0.34734E+07
2000	74	0.91323E+07	0.34806E+07
2000	75	0.91405E+07	0.34866E+07
2000	76	0.91461E+07	0.34917E+07
2000	77	0.91499E+07	0.34958E+07
2000	78	0.91522E+07	0.34989E+07
2000	79	0.91526E+07	0.35011E+07
2000	80	0.91560E+07	0.35025E+07
2000	81	0.91580E+07	0.35032E+07
2000	82	0.91579E+07	0.35033E+07
2000	83	0.91556E+07	0.35029E+07
2000	84	0.91513E+07	0.35019E+07
2000	85	0.91449E+07	0.35002E+07
2000	86	0.91363E+07	0.34977E+07
2000	87	0.91258E+07	0.34945E+07
2000	88	0.91137E+07	0.34907E+07
2000	89	0.91003E+07	0.34864E+07
2000	90	0.90856E+07	0.34817E+07
2000	91	0.90696E+07	0.34765E+07
2000	92	0.90523E+07	0.34708E+07
2000	93	0.90337E+07	0.34647E+07
2000	94	0.90139E+07	0.34581E+07
2000	95	0.89927E+07	0.34510E+07
2000	96	0.89703E+07	0.34435E+07
2000	97	0.89466E+07	0.34354E+07
2000	98	0.89217E+07	0.34268E+07
2000	99	0.88956E+07	0.34178E+07
2000	100	0.88686E+07	0.34083E+07
2000	101	0.88407E+07	0.33985E+07
2000	102	0.88121E+07	0.33884E+07
2000	103	0.87827E+07	0.33779E+07
2000	104	0.87525E+07	0.33671E+07
2000	105	0.87216E+07	0.33561E+07
2000	106	0.86899E+07	0.33447E+07
2000	107	0.86575E+07	0.33327E+07
2000	108	0.86244E+07	0.33203E+07
2000	109	0.85909E+07	0.33078E+07
2000	110	0.85568E+07	0.32950E+07
2000	111	0.85225E+07	0.32821E+07
2000	112	0.84878E+07	0.32692E+07
2000	113	0.84529E+07	0.32561E+07
2000	114	0.84176E+07	0.32429E+07
2000	115	0.83820E+07	0.32296E+07
2000	116	0.83460E+07	0.32162E+07
2000	117	0.83096E+07	0.32027E+07
2000	118	0.82729E+07	0.31890E+07
2000	119	0.82358E+07	0.31752E+07
2000	120	0.81985E+07	0.31612E+07
2000	121	0.81609E+07	0.31472E+07
2000	122	0.81232E+07	0.31330E+07
2000	123	0.80851E+07	0.31188E+07
2000	124	0.80469E+07	0.31044E+07
2000	125	0.80086E+07	0.30900E+07
2000	126	0.79702E+07	0.30756E+07
2000	127	0.79317E+07	0.30611E+07
2000	128	0.78931E+07	0.30466E+07
2000	129	0.78545E+07	0.30322E+07
2000	130	0.78159E+07	0.30177E+07
2000	131	0.77773E+07	0.30032E+07
2000	132	0.77385E+07	0.29886E+07
2000	133	0.76997E+07	0.29740E+07
2000	134	0.76609E+07	0.29594E+07
2000	135	0.76221E+07	0.29448E+07
2000	136	0.75833E+07	0.29302E+07
2000	137	0.75444E+07	0.29155E+07
2000	138	0.75055E+07	0.29009E+07
2000	139	0.74665E+07	0.28862E+07
2000	140	0.74272E+07	0.28716E+07
2000	141	0.73880E+07	0.28569E+07
2000	142	0.73488E+07	0.28422E+07
2000	143	0.73097E+07	0.28275E+07
2000	144	0.72706E+07	0.28129E+07
2000	145	0.72316E+07	0.27982E+07
2000	146	0.71927E+07	0.27836E+07
2000	147	0.71538E+07	0.27689E+07
2000	148	0.71150E+07	0.27543E+07
2000	149	0.70762E+07	0.27397E+07
2000	150	0.70376E+07	0.27251E+07
2000	151	0.69990E+07	0.27105E+07
2000	152	0.69605E+07	0.26959E+07
2000	153	0.69221E+07	0.26814E+07
2000	154	0.68838E+07	0.26669E+07
2000	155	0.68456E+07	0.26524E+07
2000	156	0.68075E+07	0.26380E+07
2000	157	0.67697E+07	0.26237E+07
2000	158	0.67319E+07	0.26094E+07
2000	159	0.66944E+07	0.25951E+07
2000	160	0.66569E+07	0.25809E+07
2000	161	0.66196E+07	0.25667E+07
2000	162	0.65824E+07	0.25526E+07
2000	163	0.65453E+07	0.25384E+07
2000	164	0.65084E+07	0.25244E+07
2000	165	0.64716E+07	0.25104E+07
2000	166	0.64350E+07	0.24964E+07
2000	167	0.63985E+07	0.24825E+07
2000	168	0.63621E+07	0.24686E+07
2000	169	0.63259E+07	0.24548E+07
2000	170	0.62898E+07	0.24410E+07
2000	171	0.62538E+07	0.24272E+07
2000	172	0.62179E+07	0.24135E+07
2000	173	0.61822E+07	0.23999E+07
2000	174	0.61467E+07	0.23863E+07
2000	175	0.61113E+07	0.23727E+07
2000	176	0.60760E+07	0.23592E+07
2000	177	0.60409E+07	0.23457E+07
2000	178	0.60060E+07	0.23323E+07
2000	179	0.59712E+07	0.23190E+07
2000	180	0.59366E+07	0.23057E+07
2000	181	0.59021E+07	0.22925E+07
2000	182	0.58678E+07	0.22793E+07
2000	183	0.58336E+07	0.22662E+07
2000	184	0.57996E+07	0.22531E+07
2000	185	0.57658E+07	0.22401E+07
2000	186	0.57321E+07	0.22272E+07
2000	187	0.56986E+07	0.22143E+07
2000	188	0.56652E+07	0.22014E+07
2000	189	0.56320E+07	0.21887E+07
2000	190	0.55990E+07	0.21760E+07
2000	191	0.55662E+07	0.21633E+07
2000	192	0.55335E+07	0.21507E+07
2000	193	0.55009E+07	0.21382E+07
2000	194	0.54686E+07	0.21257E+07
2000	195	0.54364E+07	0.21133E+07
2000	196	0.54044E+07	0.21010E+07
2000	197	0.53725E+07	0.20887E+07
2000	198	0.53409E+07	0.20765E+07
2000	199	0.53094E+07	0.20644E+07
2000	200	0.52781E+07	0.20523E+07
2000	201	0.52469E+07	0.20403E+07
2000	202	0.52159E+07	0.20284E+07
2000	203	0.51851E+07	0.20165E+07
2000	204	0.51544E+07	0.20046E+07
2000	205	0.51239E+07	0.19928E+07
2000	206	0.50936E+07	0.19811E+07
2000	207	0.50634E+07	0.19693E+07
2000	208	0.50334E+07	0.19573E+07
2000	209	0.50036E+07	0.19454E+07
2000	210	0.49739E+07	0.19336E+07
2000	211	0.49443E+07	0.19218E+07
2000	212	0.49150E+07	0.19101E+07
2000	213	0.48857E+07	0.18985E+07
2000	214	0.48567E+07	0.18870E+07
2000	215	0.48277E+07	0.18755E+07
2000	216	0.47990E+07	0.18640E+07
2000	217	0.47704E+07	0.18527E+07
2000	218	0.47419E+07	0.18414E+07
2000	219	0.47137E+07	0.18302E+07
2000	220	0.46860E+07	0.18190E+07
2000	221	0.46586E+07	0.18079E+07
2000	222	0.46314E+07	0.17969E+07
2000	223	0.46043E+07	0.17859E+07
2000	224	0.45773E+07	0.17751E+07
2000	225	0.45505E+07	0.17642E+07
2000	226	0.45238E+07	0.17534E+07
2000	227	0.44972E+07	0.17427E+07
2000	228	0.44707E+07	0.17321E+07
2000	229	0.44444E+07	0.17215E+07
2000	230	0.44182E+07	0.17110E+07
2000	231	0.43921E+07	0.17005E+07
2000	232	0.43661E+07	0.16901E+07
2000	233	0.43402E+07	0.16797E+07
2000	234	0.43145E+07	0.16694E+07
2000	235	0.42888E+07	0.16591E+07
2000	236	0.42633E+07	0.16487E+07
2000	237	0.42379E+07	0.16384E+07
2000	238	0.42126E+07	0.16282E+07
2000	239	0.41875E+07	0.16180E+07
2000	240	0.41624E+07	0.16079E+07
2000	241	0.41376E+07	0.15978E+07
2000	242	0.41128E+07	0.15879E+07
2000	243	0.40881E+07	0.15780E+07
2000	244	0.40636E+07	0.15681E+07
