total deep ground water recharge [m3] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.64606E+07	0.29100E+07
2000	2	0.78495E+07	0.29384E+07
2000	3	0.83411E+07	0.31327E+07
2000	4	0.81138E+07	0.33190E+07
2000	5	0.96929E+07	0.40937E+07
2000	6	0.10924E+08	0.47573E+07
2000	7	0.11561E+08	0.55975E+07
2000	8	0.12625E+08	0.54772E+07
2000	9	0.13431E+08	0.53164E+07
2000	10	0.13024E+08	0.51244E+07
2000	11	0.12612E+08	0.49365E+07
2000	12	0.12168E+08	0.47637E+07
2000	13	0.11735E+08	0.45631E+07
2000	14	0.11292E+08	0.43802E+07
2000	15	0.10852E+08	0.41949E+07
2000	16	0.10430E+08	0.40166E+07
2000	17	0.10096E+08	0.38732E+07
2000	18	0.11323E+08	0.40695E+07
2000	19	0.12339E+08	0.50078E+07
2000	20	0.11996E+08	0.48576E+07
2000	21	0.11644E+08	0.46586E+07
2000	22	0.11225E+08	0.44704E+07
2000	23	0.10798E+08	0.42930E+07
2000	24	0.10319E+08	0.41315E+07
2000	25	0.98350E+07	0.39646E+07
2000	26	0.94176E+07	0.38080E+07
2000	27	0.90253E+07	0.36739E+07
2000	28	0.95306E+07	0.36615E+07
2000	29	0.11502E+08	0.42939E+07
2000	30	0.12595E+08	0.50367E+07
2000	31	0.14332E+08	0.49248E+07
2000	32	0.14473E+08	0.48031E+07
2000	33	0.14005E+08	0.46665E+07
2000	34	0.13505E+08	0.44841E+07
2000	35	0.12964E+08	0.43014E+07
2000	36	0.12412E+08	0.41274E+07
2000	37	0.11797E+08	0.39573E+07
2000	38	0.11802E+08	0.38536E+07
2000	39	0.14820E+08	0.40656E+07
2000	40	0.17301E+08	0.51599E+07
2000	41	0.20565E+08	0.68217E+07
2000	42	0.22919E+08	0.88594E+07
2000	43	0.26058E+08	0.10287E+08
2000	44	0.30692E+08	0.12419E+08
2000	45	0.39183E+08	0.14864E+08
2000	46	0.40951E+08	0.14370E+08
2000	47	0.38786E+08	0.13777E+08
2000	48	0.36519E+08	0.12992E+08
2000	49	0.34424E+08	0.12375E+08
2000	50	0.32506E+08	0.11829E+08
2000	51	0.30456E+08	0.11281E+08
2000	52	0.28981E+08	0.10802E+08
2000	53	0.27525E+08	0.10290E+08
2000	54	0.25994E+08	0.98188E+07
2000	55	0.24407E+08	0.93724E+07
2000	56	0.22998E+08	0.89668E+07
2000	57	0.21755E+08	0.85290E+07
2000	58	0.20575E+08	0.81928E+07
2000	59	0.19615E+08	0.78686E+07
2000	60	0.18772E+08	0.75257E+07
2000	61	0.17839E+08	0.71928E+07
2000	62	0.16877E+08	0.68895E+07
2000	63	0.16071E+08	0.66399E+07
2000	64	0.15504E+08	0.64386E+07
2000	65	0.14913E+08	0.62535E+07
2000	66	0.14355E+08	0.60795E+07
2000	67	0.13825E+08	0.58997E+07
2000	68	0.13285E+08	0.57074E+07
2000	69	0.12771E+08	0.55140E+07
2000	70	0.12285E+08	0.53347E+07
2000	71	0.11904E+08	0.51478E+07
2000	72	0.11530E+08	0.49779E+07
2000	73	0.11246E+08	0.48392E+07
2000	74	0.10883E+08	0.46522E+07
2000	75	0.10526E+08	0.44849E+07
2000	76	0.10137E+08	0.43238E+07
2000	77	0.98607E+07	0.41791E+07
2000	78	0.96018E+07	0.40340E+07
2000	79	0.93253E+07	0.38840E+07
2000	80	0.97921E+07	0.37624E+07
2000	81	0.95692E+07	0.36606E+07
2000	82	0.92448E+07	0.35538E+07
