total subsurface runoff (groundwater+interflow) [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.45719E+07	0.17190E+07
2000	2	1	0.45934E+07	0.17271E+07
2000	3	1	0.46169E+07	0.17362E+07
2000	4	1	0.46382E+07	0.17462E+07
2000	5	1	0.46706E+07	0.17613E+07
2000	6	1	0.47100E+07	0.17803E+07
2000	7	1	0.47531E+07	0.18045E+07
2000	8	1	0.48026E+07	0.18271E+07
2000	9	1	0.48568E+07	0.18488E+07
2000	10	1	0.49075E+07	0.18692E+07
2000	11	1	0.49558E+07	0.18884E+07
2000	12	1	0.50008E+07	0.19064E+07
2000	13	1	0.50430E+07	0.19230E+07
2000	14	1	0.50820E+07	0.19383E+07
2000	15	1	0.51180E+07	0.19524E+07
2000	16	1	0.51512E+07	0.19652E+07
2000	17	1	0.51823E+07	0.19771E+07
2000	18	1	0.52214E+07	0.19910E+07
2000	19	1	0.52661E+07	0.20103E+07
2000	20	1	0.53077E+07	0.20273E+07
2000	21	1	0.53474E+07	0.20437E+07
2000	22	1	0.53839E+07	0.20589E+07
2000	23	1	0.54176E+07	0.20728E+07
2000	24	1	0.54481E+07	0.20856E+07
2000	25	1	0.54754E+07	0.20973E+07
2000	26	1	0.54999E+07	0.21079E+07
2000	27	1	0.55218E+07	0.21176E+07
2000	28	1	0.55476E+07	0.21277E+07
2000	29	1	0.55851E+07	0.21417E+07
2000	30	1	0.56291E+07	0.21601E+07
2000	31	1	0.56839E+07	0.21768E+07
2000	32	1	0.57387E+07	0.21931E+07
2000	33	1	0.57902E+07	0.22085E+07
2000	34	1	0.58383E+07	0.22227E+07
2000	35	1	0.58827E+07	0.22356E+07
2000	36	1	0.59235E+07	0.22473E+07
2000	37	1	0.59601E+07	0.22579E+07
2000	38	1	0.59970E+07	0.22678E+07
2000	39	1	0.60529E+07	0.22798E+07
2000	40	1	0.61237E+07	0.22983E+07
2000	41	1	0.62146E+07	0.23271E+07
2000	42	1	0.63196E+07	0.23685E+07
2000	43	1	0.64438E+07	0.24185E+07
2000	44	1	0.65964E+07	0.24816E+07
2000	45	1	0.68016E+07	0.25598E+07
2000	46	1	0.70163E+07	0.26332E+07
2000	47	1	0.72154E+07	0.27031E+07
2000	48	1	0.73993E+07	0.27677E+07
2000	49	1	0.75689E+07	0.28280E+07
2000	50	1	0.77254E+07	0.28844E+07
2000	51	1	0.78680E+07	0.29370E+07
2000	52	1	0.80003E+07	0.29863E+07
2000	53	1	0.81227E+07	0.30321E+07
2000	54	1	0.82346E+07	0.30745E+07
2000	55	1	0.83358E+07	0.31139E+07
2000	56	1	0.84275E+07	0.31505E+07
2000	57	1	0.85108E+07	0.31841E+07
2000	58	1	0.85861E+07	0.32154E+07
2000	59	1	0.86548E+07	0.32444E+07
2000	60	1	0.87179E+07	0.32711E+07
2000	61	1	0.87746E+07	0.32955E+07
2000	62	1	0.88250E+07	0.33178E+07
2000	63	1	0.88699E+07	0.33385E+07
2000	64	1	0.89110E+07	0.33577E+07
2000	65	1	0.89481E+07	0.33757E+07
2000	66	1	0.89815E+07	0.33924E+07
2000	67	1	0.90113E+07	0.34079E+07
2000	68	1	0.90375E+07	0.34221E+07
2000	69	1	0.90603E+07	0.34350E+07
2000	70	1	0.90800E+07	0.34467E+07
2000	71	1	0.90971E+07	0.34571E+07
2000	72	1	0.91117E+07	0.34664E+07
2000	73	1	0.91245E+07	0.34748E+07
2000	74	1	0.91349E+07	0.34819E+07
2000	75	1	0.91430E+07	0.34879E+07
2000	76	1	0.91485E+07	0.34929E+07
2000	77	1	0.91523E+07	0.34969E+07
2000	78	1	0.91545E+07	0.35000E+07
2000	79	1	0.91550E+07	0.35022E+07
2000	80	1	0.91588E+07	0.35035E+07
2000	81	1	0.91605E+07	0.35042E+07
2000	82	1	0.91603E+07	0.35043E+07
2000	83	1	0.91578E+07	0.35038E+07
2000	84	1	0.91535E+07	0.35028E+07
2000	85	1	0.91470E+07	0.35010E+07
2000	86	1	0.91384E+07	0.34985E+07
2000	87	1	0.91278E+07	0.34952E+07
2000	88	1	0.91157E+07	0.34914E+07
2000	89	1	0.91022E+07	0.34871E+07
2000	90	1	0.90874E+07	0.34822E+07
2000	91	1	0.90714E+07	0.34770E+07
2000	92	1	0.90541E+07	0.34713E+07
2000	93	1	0.90355E+07	0.34651E+07
2000	94	1	0.90155E+07	0.34585E+07
2000	95	1	0.89943E+07	0.34514E+07
2000	96	1	0.89719E+07	0.34438E+07
2000	97	1	0.89481E+07	0.34357E+07
2000	98	1	0.89231E+07	0.34270E+07
2000	99	1	0.88970E+07	0.34179E+07
2000	100	1	0.88699E+07	0.34084E+07
2000	101	1	0.88420E+07	0.33986E+07
2000	102	1	0.88133E+07	0.33884E+07
2000	103	1	0.87839E+07	0.33780E+07
2000	104	1	0.87536E+07	0.33672E+07
2000	105	1	0.87227E+07	0.33561E+07
2000	106	1	0.86909E+07	0.33447E+07
2000	107	1	0.86584E+07	0.33327E+07
2000	108	1	0.86253E+07	0.33203E+07
2000	109	1	0.85917E+07	0.33078E+07
2000	110	1	0.85576E+07	0.32950E+07
2000	111	1	0.85232E+07	0.32821E+07
2000	112	1	0.84886E+07	0.32692E+07
2000	113	1	0.84536E+07	0.32561E+07
2000	114	1	0.84182E+07	0.32429E+07
2000	115	1	0.83826E+07	0.32296E+07
2000	116	1	0.83466E+07	0.32162E+07
2000	117	1	0.83101E+07	0.32027E+07
2000	118	1	0.82733E+07	0.31890E+07
2000	119	1	0.82362E+07	0.31752E+07
2000	120	1	0.81989E+07	0.31612E+07
2000	121	1	0.81613E+07	0.31472E+07
2000	122	1	0.81234E+07	0.31330E+07
2000	123	1	0.80854E+07	0.31188E+07
2000	124	1	0.80471E+07	0.31044E+07
2000	125	1	0.80088E+07	0.30900E+07
2000	126	1	0.79703E+07	0.30756E+07
2000	127	1	0.79318E+07	0.30611E+07
2000	128	1	0.78932E+07	0.30466E+07
2000	129	1	0.78546E+07	0.30322E+07
2000	130	1	0.78160E+07	0.30177E+07
2000	131	1	0.77773E+07	0.30032E+07
2000	132	1	0.77386E+07	0.29886E+07
2000	133	1	0.76998E+07	0.29740E+07
2000	134	1	0.76609E+07	0.29594E+07
2000	135	1	0.76221E+07	0.29448E+07
2000	136	1	0.75833E+07	0.29302E+07
2000	137	1	0.75444E+07	0.29155E+07
2000	138	1	0.75055E+07	0.29009E+07
2000	139	1	0.74665E+07	0.28862E+07
2000	140	1	0.74272E+07	0.28716E+07
2000	141	1	0.73880E+07	0.28569E+07
2000	142	1	0.73488E+07	0.28422E+07
2000	143	1	0.73097E+07	0.28275E+07
2000	144	1	0.72706E+07	0.28129E+07
2000	145	1	0.72316E+07	0.27982E+07
2000	146	1	0.71927E+07	0.27836E+07
2000	147	1	0.71538E+07	0.27689E+07
2000	148	1	0.71150E+07	0.27543E+07
2000	149	1	0.70762E+07	0.27397E+07
2000	150	1	0.70376E+07	0.27251E+07
2000	151	1	0.69990E+07	0.27105E+07
2000	152	1	0.69605E+07	0.26959E+07
2000	153	1	0.69221E+07	0.26814E+07
2000	154	1	0.68838E+07	0.26669E+07
2000	155	1	0.68456E+07	0.26524E+07
2000	156	1	0.68075E+07	0.26380E+07
2000	157	1	0.67697E+07	0.26237E+07
2000	158	1	0.67319E+07	0.26094E+07
2000	159	1	0.66944E+07	0.25951E+07
2000	160	1	0.66569E+07	0.25809E+07
2000	161	1	0.66196E+07	0.25667E+07
2000	162	1	0.65824E+07	0.25526E+07
2000	163	1	0.65453E+07	0.25384E+07
2000	164	1	0.65084E+07	0.25244E+07
2000	165	1	0.64716E+07	0.25104E+07
2000	166	1	0.64350E+07	0.24964E+07
2000	167	1	0.63985E+07	0.24825E+07
2000	168	1	0.63621E+07	0.24686E+07
2000	169	1	0.63259E+07	0.24548E+07
2000	170	1	0.62898E+07	0.24410E+07
2000	171	1	0.62538E+07	0.24272E+07
2000	172	1	0.62179E+07	0.24135E+07
2000	173	1	0.61822E+07	0.23999E+07
2000	174	1	0.61467E+07	0.23863E+07
2000	175	1	0.61113E+07	0.23727E+07
2000	176	1	0.60760E+07	0.23592E+07
2000	177	1	0.60409E+07	0.23457E+07
2000	178	1	0.60060E+07	0.23323E+07
2000	179	1	0.59712E+07	0.23190E+07
2000	180	1	0.59366E+07	0.23057E+07
2000	181	1	0.59021E+07	0.22925E+07
2000	182	1	0.58678E+07	0.22793E+07
2000	183	1	0.58336E+07	0.22662E+07
2000	184	1	0.57996E+07	0.22531E+07
2000	185	1	0.57658E+07	0.22401E+07
2000	186	1	0.57321E+07	0.22272E+07
2000	187	1	0.56986E+07	0.22143E+07
2000	188	1	0.56652E+07	0.22014E+07
2000	189	1	0.56320E+07	0.21887E+07
2000	190	1	0.55990E+07	0.21760E+07
2000	191	1	0.55662E+07	0.21633E+07
2000	192	1	0.55335E+07	0.21507E+07
2000	193	1	0.55009E+07	0.21382E+07
2000	194	1	0.54686E+07	0.21257E+07
2000	195	1	0.54364E+07	0.21133E+07
2000	196	1	0.54044E+07	0.21010E+07
2000	197	1	0.53725E+07	0.20887E+07
