actual evapotranspiration [mm] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	 0.109	 0.014
2000	1	2	 0.061	 0.014
2000	1	3	 0.010	 0.014
2000	1	4	 0.109	 0.014
2000	1	5	 0.023	 0.014
2000	1	6	 0.029	 0.014
2000	1	7	 0.252	 0.349
2000	1	8	 0.338	 0.349
2000	1	9	 0.261	 0.349
2000	1	10	 0.296	 0.349
2000	1	11	 0.284	 0.348
2000	1	12	 0.271	 0.348
2000	1	13	 0.280	 0.348
2000	1	14	 0.245	 0.348
2000	1	15	 0.312	 0.348
2000	1	16	 0.290	 0.348
2000	1	17	 0.261	 0.348
2000	1	18	 0.280	 0.347
2000	1	19	 0.035	 0.013
2000	1	20	 0.023	 0.013
2000	1	21	 0.010	 0.013
2000	1	22	 0.026	 0.013
2000	1	23	 0.109	 0.013
2000	1	24	 0.007	 0.013
2000	2	1	 0.042	 0.015
2000	2	2	 0.075	 0.104
2000	2	3	 0.035	 0.065
2000	2	4	 0.049	 0.060
2000	2	5	 0.011	 0.020
2000	2	6	 0.093	 0.072
2000	2	7	 0.200	 0.276
2000	2	8	 0.154	 0.208
2000	2	9	 0.162	 0.201
2000	2	10	 0.197	 0.194
2000	2	11	 0.181	 0.252
2000	2	12	 0.217	 0.231
2000	2	13	 0.165	 0.280
2000	2	14	 0.157	 0.222
2000	2	15	 0.189	 0.207
2000	2	16	 0.165	 0.253
2000	2	17	 0.221	 0.218
2000	2	18	 0.175	 0.232
2000	2	19	 0.005	 0.020
2000	2	20	 0.022	 0.089
2000	2	21	 0.059	 0.017
2000	2	22	 0.086	 0.039
2000	2	23	 0.071	 0.026
2000	2	24	 0.047	 0.075
2000	3	1	 0.038	 0.028
2000	3	2	 0.045	 0.034
2000	3	3	 0.014	 0.012
2000	3	4	 0.017	 0.040
2000	3	5	 0.033	 0.011
2000	3	6	 0.014	 0.008
2000	3	7	 0.230	 0.209
2000	3	8	 0.263	 0.243
2000	3	9	 0.205	 0.297
2000	3	10	 0.244	 0.265
2000	3	11	 0.256	 0.208
2000	3	12	 0.261	 0.236
2000	3	13	 0.208	 0.213
2000	3	14	 0.212	 0.238
2000	3	15	 0.289	 0.279
2000	3	16	 0.273	 0.264
2000	3	17	 0.246	 0.228
2000	3	18	 0.223	 0.217
2000	3	19	 0.031	 0.161
2000	3	20	 0.031	 0.053
2000	3	21	 0.095	 0.086
2000	3	22	 0.075	 0.012
2000	3	23	 0.052	 0.059
2000	3	24	 0.011	 0.036
2000	4	1	 0.022	 0.066
2000	4	2	 0.040	 0.009
2000	4	3	 0.006	 0.050
2000	4	4	 0.085	 0.124
2000	4	5	 0.054	 0.042
2000	4	6	 0.011	 0.039
2000	4	7	 0.239	 0.293
2000	4	8	 0.247	 0.195
2000	4	9	 0.215	 0.196
2000	4	10	 0.220	 0.239
2000	4	11	 0.260	 0.309
2000	4	12	 0.233	 0.189
2000	4	13	 0.255	 0.213
2000	4	14	 0.284	 0.226
2000	4	15	 0.255	 0.224
2000	4	16	 0.284	 0.187
2000	4	17	 0.278	 0.221
2000	4	18	 0.220	 0.250
2000	4	19	 0.067	 0.007
2000	4	20	 0.019	 0.006
2000	4	21	 0.022	 0.019
2000	4	22	 0.051	 0.018
2000	4	23	 0.114	 0.054
2000	4	24	 0.070	 0.028
2000	5	1	 0.016	 0.050
2000	5	2	 0.007	 0.028
2000	5	3	 0.010	 0.049
2000	5	4	 0.039	 0.047
2000	5	5	 0.026	 0.070
2000	5	6	 0.048	 0.029
2000	5	7	 0.151	 0.231
2000	5	8	 0.150	 0.220
2000	5	9	 0.274	 0.227
2000	5	10	 0.158	 0.165
2000	5	11	 0.165	 0.166
2000	5	12	 0.172	 0.159
2000	5	13	 0.181	 0.157
2000	5	14	 0.157	 0.181
2000	5	15	 0.164	 0.192
2000	5	16	 0.210	 0.259
2000	5	17	 0.215	 0.162
2000	5	18	 0.201	 0.194
2000	5	19	 0.055	 0.005
2000	5	20	 0.103	 0.051
2000	5	21	 0.015	 0.006
2000	5	22	 0.049	 0.079
2000	5	23	 0.006	 0.045
2000	5	24	 0.089	 0.062
2000	6	1	 0.051	 0.009
2000	6	2	 0.082	 0.020
2000	6	3	 0.019	 0.060
2000	6	4	 0.021	 0.087
2000	6	5	 0.084	 0.007
2000	6	6	 0.006	 0.027
2000	6	7	 0.138	 0.162
2000	6	8	 0.133	 0.177
2000	6	9	 0.143	 0.258
2000	6	10	 0.111	 0.193
2000	6	11	 0.223	 0.186
2000	6	12	 0.114	 0.178
2000	6	13	 0.111	 0.313
2000	6	14	 0.123	 0.161
2000	6	15	 0.135	 0.222
2000	6	16	 0.136	 0.221
2000	6	17	 0.186	 0.185
2000	6	18	 0.188	 0.188
2000	6	19	 0.032	 0.014
2000	6	20	 0.041	 0.014
2000	6	21	 0.035	 0.050
2000	6	22	 0.039	 0.013
2000	6	23	 0.057	 0.007
2000	6	24	 0.049	 0.012
2000	7	1	 0.052	 0.021
2000	7	2	 0.006	 0.044
2000	7	3	 0.079	 0.098
2000	7	4	 0.003	 0.026
2000	7	5	 0.029	 0.011
2000	7	6	 0.032	 0.052
2000	7	7	 0.283	 0.182
2000	7	8	 0.145	 0.205
2000	7	9	 0.192	 0.192
2000	7	10	 0.186	 0.189
2000	7	11	 0.178	 0.207
2000	7	12	 0.233	 0.228
2000	7	13	 0.180	 0.208
2000	7	14	 0.154	 0.219
2000	7	15	 0.148	 0.186
2000	7	16	 0.150	 0.254
2000	7	17	 0.259	 0.259
2000	7	18	 0.162	 0.184
2000	7	19	 0.035	 0.007
2000	7	20	 0.031	 0.073
2000	7	21	 0.030	 0.114
2000	7	22	 0.038	 0.057
2000	7	23	 0.004	 0.006
2000	7	24	 0.019	 0.087
