total subsurface runoff [m**3/d] for all sub-basins (MAP-IDs)
Year	Day	15	69
2000	1	0.88255E+07	0.50034E+07
2000	2	0.90941E+07	0.51330E+07
2000	3	0.93654E+07	0.52659E+07
2000	4	0.96093E+07	0.54034E+07
2000	5	0.99006E+07	0.55710E+07
2000	6	0.10217E+08	0.57633E+07
2000	7	0.10534E+08	0.59866E+07
2000	8	0.10864E+08	0.61927E+07
2000	9	0.11196E+08	0.63825E+07
2000	10	0.11490E+08	0.65558E+07
2000	11	0.11754E+08	0.67143E+07
2000	12	0.11990E+08	0.68578E+07
2000	13	0.12202E+08	0.69878E+07
2000	14	0.12391E+08	0.71045E+07
2000	15	0.12561E+08	0.72092E+07
2000	16	0.12713E+08	0.73029E+07
2000	17	0.12852E+08	0.73890E+07
2000	18	0.13011E+08	0.74840E+07
2000	19	0.13185E+08	0.76069E+07
2000	20	0.13343E+08	0.77193E+07
2000	21	0.13488E+08	0.78221E+07
2000	22	0.13618E+08	0.79138E+07
2000	23	0.13735E+08	0.79956E+07
2000	24	0.13838E+08	0.80688E+07
2000	25	0.13928E+08	0.81344E+07
2000	26	0.14008E+08	0.81927E+07
2000	27	0.14078E+08	0.82446E+07
2000	28	0.14155E+08	0.83010E+07
2000	29	0.14264E+08	0.83720E+07
2000	30	0.14387E+08	0.84610E+07
2000	31	0.14535E+08	0.85433E+07
2000	32	0.14680E+08	0.86201E+07
2000	33	0.14811E+08	0.86910E+07
2000	34	0.14929E+08	0.87547E+07
2000	35	0.15035E+08	0.88105E+07
2000	36	0.15129E+08	0.88593E+07
2000	37	0.15211E+08	0.89015E+07
2000	38	0.15291E+08	0.89414E+07
2000	39	0.15413E+08	0.89876E+07
2000	40	0.15568E+08	0.90583E+07
2000	41	0.15766E+08	0.91659E+07
2000	42	0.15991E+08	0.93172E+07
2000	43	0.16254E+08	0.94961E+07
2000	44	0.16571E+08	0.97176E+07
2000	45	0.16989E+08	0.99856E+07
2000	46	0.17411E+08	0.10228E+08
2000	47	0.17786E+08	0.10447E+08
2000	48	0.18119E+08	0.10641E+08
2000	49	0.18416E+08	0.10813E+08
2000	50	0.18682E+08	0.10969E+08
2000	51	0.18918E+08	0.11110E+08
2000	52	0.19131E+08	0.11237E+08
2000	53	0.19322E+08	0.11351E+08
2000	54	0.19493E+08	0.11452E+08
2000	55	0.19642E+08	0.11541E+08
2000	56	0.19773E+08	0.11620E+08
2000	57	0.19888E+08	0.11690E+08
2000	58	0.19988E+08	0.11750E+08
2000	59	0.20076E+08	0.11804E+08
2000	60	0.20153E+08	0.11851E+08
2000	61	0.20219E+08	0.11890E+08
2000	62	0.20274E+08	0.11923E+08
2000	63	0.20319E+08	0.11951E+08
2000	64	0.20358E+08	0.11975E+08
2000	65	0.20389E+08	0.11995E+08
2000	66	0.20414E+08	0.12012E+08
2000	67	0.20432E+08	0.12025E+08
2000	68	0.20444E+08	0.12036E+08
2000	69	0.20451E+08	0.12043E+08
2000	70	0.20452E+08	0.12046E+08
2000	71	0.20449E+08	0.12047E+08
2000	72	0.20442E+08	0.12045E+08
2000	73	0.20431E+08	0.12040E+08
2000	74	0.20417E+08	0.12032E+08
2000	75	0.20399E+08	0.12022E+08
2000	76	0.20376E+08	0.12009E+08
2000	77	0.20351E+08	0.11993E+08
2000	78	0.20323E+08	0.11976E+08
2000	79	0.20293E+08	0.11956E+08
2000	80	0.20268E+08	0.11934E+08
2000	81	0.20239E+08	0.11911E+08
2000	82	0.20208E+08	0.11886E+08
2000	83	0.20173E+08	0.11860E+08
2000	84	0.20135E+08	0.11833E+08
2000	85	0.20093E+08	0.11804E+08
2000	86	0.20049E+08	0.11773E+08
2000	87	0.20000E+08	0.11741E+08
2000	88	0.19950E+08	0.11707E+08
2000	89	0.19897E+08	0.11673E+08
2000	90	0.19842E+08	0.11637E+08
2000	91	0.19785E+08	0.11601E+08
2000	92	0.19726E+08	0.11564E+08
2000	93	0.19665E+08	0.11525E+08
2000	94	0.19602E+08	0.11486E+08
2000	95	0.19537E+08	0.11446E+08
2000	96	0.19470E+08	0.11404E+08
2000	97	0.19402E+08	0.11362E+08
2000	98	0.19331E+08	0.11319E+08
2000	99	0.19258E+08	0.11274E+08
2000	100	0.19184E+08	0.11229E+08
2000	101	0.19109E+08	0.11183E+08
2000	102	0.19032E+08	0.11137E+08
2000	103	0.18954E+08	0.11090E+08
2000	104	0.18876E+08	0.11042E+08
2000	105	0.18796E+08	0.10994E+08
2000	106	0.18715E+08	0.10945E+08
2000	107	0.18633E+08	0.10896E+08
2000	108	0.18550E+08	0.10846E+08
2000	109	0.18466E+08	0.10796E+08
2000	110	0.18382E+08	0.10746E+08
2000	111	0.18297E+08	0.10695E+08
2000	112	0.18212E+08	0.10644E+08
2000	113	0.18126E+08	0.10594E+08
2000	114	0.18040E+08	0.10543E+08
2000	115	0.17954E+08	0.10491E+08
2000	116	0.17867E+08	0.10440E+08
2000	117	0.17780E+08	0.10389E+08
2000	118	0.17693E+08	0.10337E+08
2000	119	0.17605E+08	0.10285E+08
