groundwater recharge [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.17458E+07	0.10071E+07
2000	1	2	0.17448E+07	0.10061E+07
2000	1	3	0.17434E+07	0.10051E+07
2000	1	4	0.17426E+07	0.10041E+07
2000	1	5	0.17415E+07	0.10031E+07
2000	1	6	0.17403E+07	0.10020E+07
2000	1	7	0.17344E+07	0.99778E+06
2000	1	8	0.17285E+07	0.99348E+06
2000	1	9	0.17224E+07	0.98937E+06
2000	1	10	0.17162E+07	0.98516E+06
2000	1	11	0.17101E+07	0.98099E+06
2000	1	12	0.17036E+07	0.97633E+06
2000	1	13	0.16971E+07	0.97131E+06
2000	1	14	0.16905E+07	0.96620E+06
2000	1	15	0.16840E+07	0.96120E+06
2000	1	16	0.16775E+07	0.95616E+06
2000	1	17	0.16709E+07	0.95120E+06
2000	1	18	0.16642E+07	0.94623E+06
2000	1	19	0.16618E+07	0.94443E+06
2000	1	20	0.16593E+07	0.94260E+06
2000	1	21	0.16568E+07	0.94079E+06
2000	1	22	0.16543E+07	0.93898E+06
2000	1	23	0.16521E+07	0.93715E+06
2000	1	24	0.16499E+07	0.93534E+06
2000	2	1	0.16492E+07	0.93394E+06
2000	2	2	0.16649E+07	0.93255E+06
2000	2	3	0.16756E+07	0.93178E+06
2000	2	4	0.16956E+07	0.93093E+06
2000	2	5	0.16982E+07	0.93018E+06
2000	2	6	0.18168E+07	0.92966E+06
2000	2	7	0.18105E+07	0.92825E+06
2000	2	8	0.18042E+07	0.92683E+06
2000	2	9	0.17979E+07	0.92521E+06
2000	2	10	0.17923E+07	0.92360E+06
2000	2	11	0.17874E+07	0.92253E+06
2000	2	12	0.17892E+07	0.92184E+06
2000	2	13	0.17893E+07	0.92353E+06
2000	2	14	0.17876E+07	0.92442E+06
2000	2	15	0.17908E+07	0.92442E+06
2000	2	16	0.17915E+07	0.92566E+06
2000	2	17	0.18265E+07	0.92629E+06
2000	2	18	0.18254E+07	0.92701E+06
2000	2	19	0.18257E+07	0.92835E+06
2000	2	20	0.18273E+07	0.93220E+06
2000	2	21	0.18453E+07	0.93404E+06
2000	2	22	0.19757E+07	0.93593E+06
2000	2	23	0.19716E+07	0.93730E+06
2000	2	24	0.19683E+07	0.94040E+06
2000	3	1	0.19656E+07	0.94273E+06
2000	3	2	0.19639E+07	0.94500E+06
2000	3	3	0.19623E+07	0.94650E+06
2000	3	4	0.19607E+07	0.94832E+06
2000	3	5	0.19599E+07	0.94958E+06
2000	3	6	0.19591E+07	0.95039E+06
2000	3	7	0.19542E+07	0.94880E+06
2000	3	8	0.19516E+07	0.94745E+06
2000	3	9	0.19469E+07	0.94769E+06
2000	3	10	0.19433E+07	0.94851E+06
2000	3	11	0.19414E+07	0.94777E+06
2000	3	12	0.19418E+07	0.94687E+06
2000	3	13	0.19385E+07	0.94551E+06
2000	3	14	0.19339E+07	0.94422E+06
2000	3	15	0.19343E+07	0.94403E+06
2000	3	16	0.19384E+07	0.94435E+06
2000	3	17	0.19398E+07	0.94396E+06
2000	3	18	0.19379E+07	0.94290E+06
2000	3	19	0.19402E+07	0.95192E+06
