total surface runoff [m**3/timestep] for all sub-basins (MAP-IDs)
Year	Day	Timestep	15	69
2000	1	1	0.25258E+00	0.54743E-02
2000	1	2	0.35008E+04	0.54727E-02
2000	1	3	0.21260E+03	0.54711E-02
2000	1	4	0.65265E+04	0.54695E-02
2000	1	5	0.10318E+04	0.54680E-02
2000	1	6	0.14328E+04	0.54664E-02
2000	1	7	0.41233E+03	0.54622E-02
2000	1	8	0.57393E+04	0.54517E-02
2000	1	9	0.98298E+03	0.54412E-02
2000	1	10	0.30561E+04	0.54308E-02
2000	1	11	0.22502E+04	0.54206E-02
2000	1	12	0.14704E+04	0.54114E-02
2000	1	13	0.19715E+04	0.54026E-02
2000	1	14	0.61369E+01	0.53939E-02
2000	1	15	0.35666E+04	0.53851E-02
2000	1	16	0.23359E+04	0.53764E-02
2000	1	17	0.81911E+03	0.53677E-02
2000	1	18	0.17447E+04	0.53590E-02
2000	1	19	0.13923E+04	0.53522E-02
2000	1	20	0.77185E+03	0.53498E-02
2000	1	21	0.15745E+03	0.53475E-02
2000	1	22	0.90888E+03	0.53451E-02
2000	1	23	0.47909E+04	0.53428E-02
2000	1	24	0.52781E+01	0.53407E-02
2000	2	1	0.14413E+05	0.53388E-02
2000	2	2	0.28507E+05	0.93951E+01
2000	2	3	0.13629E+05	0.31465E+01
2000	2	4	0.20142E+05	0.23454E+01
2000	2	5	0.29565E+04	0.53946E-02
2000	2	6	0.42680E+05	0.42681E+01
2000	2	7	0.26300E+05	0.82736E+01
2000	2	8	0.15650E+04	0.54346E-02
2000	2	9	0.58860E+04	0.54320E-02
2000	2	10	0.24665E+05	0.54269E-02
2000	2	11	0.16021E+05	0.45885E+01
2000	2	12	0.36468E+05	0.12239E+01
2000	2	13	0.75574E+04	0.89145E+01
2000	2	14	0.27928E+04	0.54666E-02
2000	2	15	0.21481E+05	0.54632E-02
2000	2	16	0.73092E+04	0.45886E+01
2000	2	17	0.40871E+05	0.54709E-02
2000	2	18	0.14446E+05	0.12239E+01
2000	2	19	0.60133E+03	0.54701E-02
2000	2	20	0.10608E+05	0.66715E+01
2000	2	21	0.34208E+05	0.54874E-02
2000	2	22	0.53777E+05	0.54829E-02
2000	2	23	0.46795E+05	0.54844E-02
2000	2	24	0.31020E+05	0.45886E+01
2000	3	1	0.11740E+05	0.55017E-02
2000	3	2	0.14239E+05	0.55032E-02
2000	3	3	0.38583E+04	0.55042E-02
2000	3	4	0.48952E+04	0.10242E+00
2000	3	5	0.10114E+05	0.55077E-02
2000	3	6	0.38581E+04	0.55045E-02
2000	3	7	0.94301E+04	0.54997E-02
2000	3	8	0.20815E+05	0.10241E+00
2000	3	9	0.10556E+04	0.76328E+01
2000	3	10	0.14074E+05	0.31466E+01
2000	3	11	0.18162E+05	0.55184E-02
2000	3	12	0.19927E+05	0.55096E-02
2000	3	13	0.20787E+04	0.55056E-02
2000	3	14	0.34074E+04	0.55006E-02
2000	3	15	0.28866E+05	0.50693E+01
2000	3	16	0.23848E+05	0.29864E+01
